pt,de,en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
","
","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
"
											Leves, brilhantes e alegres.
											São algumas das melodias mais familiares
de toda a música do início do séc. XVIII.
											Têm entrado em incontáveis filmes
e anúncios televisivos,
											mas o que são
e porque é que soam assim?
									","
											Leicht, hell und fröhlich.
											Es ist eines der bekanntesten Musikstücke
des frühen 18. Jahrhunderts.
											Es ist schon bei zahllosen Filme
und Werbespots verwendet wurden.
											Aber was ist es und warum klingt es so?
									","
											Light, bright, and cheerful.
											It's some of the most familiar
of all early 18th century music.
											It's been featured in uncounted films
and television commercials,
											but what is it 
and why does it sound that way?
									","
											Luminosa, brillante, y alegre.
											Es una de las melodías más familiares de 
todas las de principios del siglo XVIII.
											Se ha ejecutado en innumerables 
películas y anuncios de televisión,
											pero ¿qué es y por qué 
suena de esa manera?
									","
											Rahatlatıcı, ışıltılı ve neşeli.
											18. yy. müziğinin en bilinen 
örneklerinden biridir.
											Sayısız film ve TV reklamında 
yer almıştır
											fakat sırrı nedir 
ve neden bu şekilde işitilir?
									","
											Léger, vivant et joyeux.
											C'est un des thèmes musicaux
les plus familiers du 18ème siècle.
											Il est présent dans un nombre incalculable
de films et de publicités,
											mais quel est ce thème
et pourquoi sonne-t-il ainsi ?
									","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
"
","
","
","
","
","
","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
"
											Esta é a abertura da ""Primavera"",
de ""As Quatro Estações"",
											do compositor italiano António Vivaldi.
											""As Quatro Estações"" são famosas
em parte porque é um prazer ouvi-las.
											Contudo, mais notável
											é o facto de que elas têm histórias
para contar.
											Na época da sua publicação,
em Amesterdão, em 1725,
											elas foram acompanhadas por poemas
											a descrever exatamente a característica
de cada estação
											que Vivaldi pretendera captar
em termos musicais.
											Ao fornecer o conteúdo específico
da música instrumental,
											Vivaldi estava avançado
várias gerações no seu tempo.
									","
											Das ist der Beginn des ""Frühlings""
der ""Vier Jahreszeiten""
											von dem italienischen
Komponisten Antonio Vivaldi.
											""Die Vier Jahreszeiten"" sind teils
bekannt, weil sie das Ohr entzücken.
											Aber noch bemerkenswerter ist,
											dass das Musikstück Geschichten erzählt.
											Als es 1725 in Amsterdam
veröffentlicht wurde,
											waren ihm Gedichte beigefügt,
											die genau beschrieben,
welches Merkmal einer Jahreszeit
											Vivaldi mit Musik
umzusetzen versucht hatte.
											Indem er seiner Instrumentalmusik
Geschichten beifügte,
											war Vivaldi seiner Zeit weit voraus.
									","
											This is the opening of ""Spring""
from ""The Four Seasons,""
											by Italian composer Antonio Vivaldi.
											""The Four Seasons"" are famous in part
because they are a delight to the ear.
											However, even more notable
											is the fact that 
they have stories to tell.
											At the time of their publication
in Amsterdam in 1725,
											they were accompanied by poems
											describing exactly what feature
of that season
											Vivaldi intended to capture 
in musical terms.
											In providing specific plot content
for instrumental music,
											Vivaldi was generations ahead of his time.
									","
											Es la apertura de la ""Primavera""
de ""Las cuatro estaciones"",
											del compositor italiano Antonio Vivaldi.
											""Las cuatro estaciones"" son famosas en 
parte porque son una delicia para el oído.
											Sin embargo, aún más notable
											es el hecho de que tienen 
historias que contar.
											En el momento de su publicación 
en Ámsterdam en 1725,
											fueron acompañados por poemas
											que describen exactamente
las características de la estación
											que Vivaldi pretende captar 
en términos musicales.
											En dar contenido específico 
a la música instrumental,
											Vivaldi fue generaciones 
por delante de su tiempo.
									","
											Bu, ""Dört Mevsim""'in ""İlkbahar"" bölümü,
											İtalyan besteci,
Antonio Vivaldi'nin eseridir.
											''Dört Mevsim'' kulağa çok hoş
geldiği için bu kadar ünlüdür.
											Buna rağmen, asıl dikkat çeken yönü
											söyleyecek hikâyeleri olmasıdır.
											Yayımlandıkları zamanda,
1725'te Amsterdam'da,
											bu bestelere Vivaldi'nin
											mevsimin özelliğini müzikle
tanımlamayı amaçladığı
											şiirler eşlik etmiştir.
											Enstrümantel müziğe katkı
sağlama anlamında,
											Vivaldi zamanının çok ötesindeydi.
									","
											C'est l'ouverture du « Printemps »,
des « Quatre Saisons »,
											par le compositeur italien
Antonio Vivaldi.
											« Les Quatre Saisons » sont célèbres, en
partie car elles sont un délice à écouter.
											Cependant, le plus important
											est qu'elles ont des histoires à raconter.
											A l'époque de leur publication,
à Amsterdam en 1725,
											elles étaient accompagnées de poèmes
décrivant dans le détail
											chaque saison que Vivaldi souhaitait
représenter en musique.
											En créant un contexte
à une musique instrumentale,
											Vivaldi avait des générations d'avance.
									","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
"
","
","
","
","
","
","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
"
											Se lêssemos os poemas enquanto
ouvíamos a música,
											veríamos que as cenas poéticas
											se sincronizam muito bem
com as imagens musicais.
											Dizem-nos que as aves dão as boas-vindas
à primavera com uma alegre canção
											e aqui estão elas
a fazer exatamente isso.
											Em breve, contudo,
rebenta uma tempestade.
											Não só há trovões e relâmpagos musicais,
											como também há mais pássaros,
											molhados, assustados e infelizes.
									","
											Wenn man die Gedichte
gleichzeitig zur Musik liest,
											findet man die dichterischen Szenen
											auf wunderbare Weise
musikalisch umgesetzt.
											Darin heißt es: Die Vögel begrüßen
den Frühling mit einem fröhlichen Lied,
											und hier tun sie genau das.
											Bald bricht jedoch ein Gewittersturm los.
											Aber man hört nicht nur
musikalischen Blitz und Donner,
											sondern auch mehr Vögel —
											nass, ängstlich und unglücklich.
									","
											If one were to read the poems
simultaneously to hearing the music,
											one would find the poetic scenes
											synchronizing nicely 
with the musical imagery.
											We are told that the birds welcome
spring with happy song,
											and here they are doing exactly that.
											Soon, however, 
a thunderstorm breaks out.
											Not only is there musical thunder
and lightning,
											there are also more birds,
											wet, frightened, and unhappy.
									","
											Si uno lee los poemas de 
forma simultánea a escuchar la música,
											puede encontrar las escenas poéticas
											sincronizadas perfectamente 
con la imaginería musical.
											Dice que los pájaros dan la bienvenida 
a la primavera con una canción feliz,
											y aquí están haciendo exactamente eso.
											Pronto, sin embargo, 
una estalla una tormenta.
											No solo hay truenos 
y relámpagos musicales,
											también hay más pájaros,
											mojados, asustados e infelices.
									","
											Eğer biri müziği dinlediği esnada
şiirleri okursa,
											müzikal görüntülerle senkronize olan
											şiirsel sahneler görebilirdi.
											Bize kuşların baharı
şarkılarla karşıladığı anlatılırdı,
											burada da aynen bu şekilde karşılıyorlar.
											Kısa sürede, buna rağmen
bir fırtına kopar.
											Sadece müzikal bir fırtına 
ve yıldırım da değil,
											ayrıca ıslak, korkmuş ve mutsuz olan

											daha çok kuş vardır.
									","
											En lisant les poèmes
tout en écoutant la musique,
											on découvre que chaque scène poétique
											s'accorde avec élégance
avec le thème musical.
											On nous dit que les oiseaux accueillent
le printemps par de joyeux chants,
											et voilà qu'ils le font aussitôt.
											Bientôt, cependant, une tempête éclate.
											En plus des éclairs
et du tonnerre en musique,
											il y a aussi plus d'oiseaux,
											mouillés, effrayés, et malheureux.
									","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
"
","
","
","
","
","
","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
"
											No ""Verão"", a rola canta o seu nome
""tortorella"", em italiano,
											antes de uma tempestade de granizo
arrasar os campos.
											O ""Outono"" traz ávidos caçadores
em perseguição das suas presas.
									","
											Im ""Sommer"" singt die Turteltaube
ihren Namen ""Tortorella"" auf Italienisch,
											bevor ein Hagelsturm
die Felder platt macht.
											Der ""Herbst"" bringt eifrige Jäger, die
auf der Suche nach Beute losstürmen.
									","
											In ""Summer,"" the turtle dove sings 
her name ""tortorella"" in Italian,
											before a hail storm flattens the fields.
											""Autumn"" brings eager hunters dashing
out in pursuit of their prey.
									","
											En ""Verano"", la tórtola canta 
su nombre ""tortorella"" en italiano,
											antes de que una tormenta de granizo 
aplane los campos.
											El ""Otoño"" trae cazadores deseosos de 
salir corriendo en busca de sus presas.
									","
											""Yazın"", üveyik ismi olan,
""tortorella""'yı İtalyanca söyler.
											Dolu fırtınası tarlaları vurmadan önce,
											""Güz"" aceleyle avlarının
peşinde koşan hevesli avcıları getirir.
									","
											Dans « L'Été », la tourterelle chante
son nom en italien « tortorella »,
											avant qu'une tempête de grêle
ne détruise tout.
											« L'Automne » apporte d'impatients
chasseurs se précipitant sur leurs proies.
									","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
"
","
","
","
","
","
","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
"
											O concerto do ""Inverno""
começa com o bater dos dentes, de frio,
											antes de conseguirmos refúgio
junto ao lume crepitante de uma lareira.
											Depois, voltamos à tempestade,
											onde há escorregadelas e quedas no gelo.
											Nestas primeiras semanas de inverno,
o ano velho está a chegar ao fim,
											tal como a exploração musical
das estações de Vivaldi.
									","
											Das ""Winter""-Concerto beginnt
mit Zähneklappern in der Kälte,
											bevor man am knisternden
Feuer Zuflucht findet.
											Und dann wieder raus in den Sturm,
											wo man dahin schlittert
auf dem Eis und fällt.
											In diesen ersten Winterwochen
geht das alte Jahr dem Ende zu,
											so wie auch Vivaldis musikalische
Erkundungsreise durch die Jahreszeiten.
									","
											The ""Winter"" concerto begins with teeth
chattering in the cold
											before one takes refuge by
a crackling fire.
											Then it's back out into the storm
											where there'll be slips 
and falls on the ice.
											In these first weeks of winter,
the old year is coming to a close,
											and so does Vivaldi's musical exploration
of the seasons.
									","
											El concierto de ""Invierno"" comienza 
con castañeteo de dientes por el frío
											antes de que uno 
se refugie cerca de la chimenea.
											Luego es hora 
de volver a la tormenta
											donde habrá caídas 
y resbalones en el hielo.
											En estas primeras semanas de invierno, 
el viejo año está llegando a su fin,
											y lo mismo ocurre con la exploración 
musical del Vivaldi de las estaciones.
									","
											''Kış'' konçertosu,
soğuktan takırdayan dişlerle başlar,

											biri çatırdayan bir ateşe sığınmadan önce.
											Daha sonra tekrar fırtına kopmadan önce
											buzda kayma ve düşmelere dönüşür.
											Kışın bu ilk haftalarında,
eski yıl sonlanır,
											tıpkı Vivaldi'nin mevsimleri 
müzikle anlatışı gibi.
									","
											Le concerto de « l'Hiver » commence
avec un froid à claquer des dents,
											avant qu'on se réfugie
auprès d'un feu crépitant.
											Puis c'est le retour de la tempète
											où l'on glisse et tombe sur la glace.
											Durant les premières semaines de l'hiver,
l'année se conclut,
											tout comme l'exploration
musicale par Vivaldi des saisons.
									","Why should you listen to Vivaldi's ""Four Seasons""?",Betsy Schwarm,4:04,"TED-Ed,music,history,brain,animation,world cultures,culture"
