en,fr,es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
"
											Economists have been exploring
people's behavior for hundreds of years:
											how we make decisions,
											how we act individually and in groups,
											how we exchange value.
											They've studied the institutions
that facilitate our trade,
											like legal systems,
											corporations,
											marketplaces.
											But there is a new,
technological institution
											that will fundamentally change
how we exchange value,
											and it's called the blockchain.
									","
											Les économistes ont exploré
le comportement des gens
											depuis des centaines d'années :
											comment nous prenons des décisions,
											comment nous agissons
individuellement et en groupe,
											comment nous échangeons des valeurs.
											Ils ont étudié les institutions
qui facilitent notre commerce,
											comme les systèmes légaux,
											les entreprises,
											les marchés.
											Mais il y a une nouvelle
institution technologique
											qui va fondamentalement changer
notre façon d'échanger la valeur
											et c'est la blockchain.
									","
											Durante siglos, los economistas
han explorado nuestro comportamiento:
											cómo tomamos decisiones,
											cómo actuamos 
individualmente y en colectivos,
											cómo intercambiamos valor.
											Han estudiado las instituciones
que facilitan el comercio,
											como los sistemas legales,
											empresas,
											mercados.
											Pero hay una nueva
institución tecnológica
											que cambiará radicalmente
cómo intercambiamos valor,
											y se llama
la cadena de bloques.
									","
											Há séculos que os economistas têm 
explorado o comportamento das pessoas:
											a forma como tomamos decisões,
como agimos individualmente e em grupos,
											como trocamos valores.
											Estudaram as instituições
que facilitam o nosso comércio,
											como os sistemas legais,
corporações,
											mercados.
											Mas existe uma 
nova instituição tecnológica
											que vai mudar fundamentalmente 
a forma como trocamos valor,
											e chama-se a ""blockchain"".
									","
											Ekonomistler yüzyıllardır insan 
davranışlarını inceliyorlar:
											nasıl karar aldığımızı,
											bireysel olarak ve gruplar içerisinde
nasıl davrandığımızı,
											değer değişimini nasıl yaptığımızı.
											Hukuk sistemleri, şirketler,
											piyasalar gibi

											aramızdaki alışverişi düzenleyen
											kurumları incelediler.
											Ama artık değer değişim şeklimizi
toptan değiştirecek
											yeni, teknolojik bir kurum var.
											Adı da blok zinciri.
									","
											Hunderte von Jahre haben Ökonomen
das Verhalten von Menschen erforscht:
											wie wir Entscheidungen treffen,
											wie wir uns individuell
und in Gruppen verhalten,
											wie wir Werte austauschen.
											Sie haben die Institutionen untersucht,
die den Handel erleichtern,
											wie Rechtssysteme,
											Gesellschaften,
											Marktplätze.
											Jedoch gibt es jetzt eine neue,
technologische Einrichtung,
											die fundamental ändern wird,
wie wir Werte austauschen
											und sie heißt: Blockchain.
									",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
"
","
","
","
","
","
",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
"
											Now, that's a pretty bold statement,
											but if you take nothing else
away from this talk,
											I actually want you to remember
											that while blockchain technology
is relatively new,
											it's also a continuation
of a very human story,
											and the story is this.
											As humans, we find ways
											to lower uncertainty about one another
											so that we can exchange value.
									","
											C'est une affirmation audacieuse,
											mais si vous ne deviez retenir
qu'une chose de cette présentation,
											je veux que vous vous souveniez
											que, si la technologie
de la blockchain est récente,
											c'est aussi une continuation
d'une histoire très humaine
											que voici.
											En tant qu'humains, nous trouvons le moyen
											de diminuer les doutes
que nous avons envers les autres
											afin de pouvoir échanger la valeur.
									","
											Esto es una afirmación
muy atrevida,
											pero si no se van
a quedar con nada más de esta charla
											de verdad quiero que recuerden
											que aunque la tecnología de
esta cadena es relativamente nueva,
											también es la continuación de una historia
muy humana
											Y la historia es esta:
											Como humanos,
encontramos formas
											de disminuir nuestra incertidumbre
hacia los demás
											para poder intercambiar valor.
									","
											Claro, esta é uma 
afirmação bastante arrojada,
											mas se não levarem 
mais nada desta conversa,
											quero que se lembrem
											que, enquanto que a tecnologia 
""blockchain"" é relativamente nova,
											também é a continuação
de uma história muito humana,
											e a história é esta.
											Como humanos, nós encontramos maneiras
de reduzir a incerteza sobre os outros
											para podermos trocar valores.
									","
											Bu çok cesur bir ifade,
											ama bu konuşmadan hiçbir şey 
hatırlamasanız bile,
											şunu aklınızda tutmanızı istiyorum.
											Blok zinciri teknolojisi görece yeni
											ve gayet insani bir hikayenin de devamı.
											Hikaye şöyle:
											Biz insanlar, bir diğer kişiye dair
											belirsizliği azaltmak için yollar buluruz.
											Böylece değer değişimi yapabiliriz.
									","
											Das ist eine ziemlich mutige Aussage,
											doch wenn Sie nichts anderes
von dieser Rede mitnehmen,
											dann möchte ich Sie daran erinnern,
											die Blockchaintechnologie
ist zwar relativ neu,
											sie ist aber die Fortsetzung
einer sehr menschlichen Geschichte
											und die Geschichte ist folgende:
											Wir Menschen finden Wege,
											um unsere Unsicherheiten
übereinander zu senken,
											damit wir Werte austauschen können.
									",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
"
","
","
","
","
","
",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
"
											Now, one of the first people
to really explore the idea
											of institutions as a tool in economics
											to lower our uncertainties
about one another
											and be able to do trade
											was the Nobel economist Douglass North.
											He passed away at the end of 2015,
											but North pioneered what's called
""new institutional economics.""
											And what he meant by institutions
were really just formal rules
											like a constitution,
											and informal constraints, like bribery.
											These institutions are really the grease
											that allow our economic
wheels to function,
											and we can see this play out
over the course of human history.
									","
											L'une des premières personnes
à avoir vraiment exploré l'idée
											des institutions comme outil économique
											pour diminuer nos doutes envers les autres
											et pouvoir faire du commerce
											était le prix Nobel de l'économie,
Douglass North.
											Il est décédé fin 2015
											mais North était un précurseur de
la « nouvelle économie institutionnelle ».
											Et ce qu'il entendait par institutions
était en fait des règles formelles,
											comme une constitution,
											et des contraintes informelles,
comme la corruption.
											Ces institutions sont la graisse
											permettant aux roues
de l'économie de tourner
											et nous pouvons le voir
à travers le cours de l'histoire humaine.
									","
											Uno de los primeros en
verdaderamente explorar la idea
											de considerar las instituciones
como herramientas económicas
											para disminuir nuestra incertidumbre
hacia los otros
											y ser capaces de comerciar
											fue el premio Nobel
de economía Douglass North.
											Falleció a finales del 2015,
											pero North fue el pionero de la
denominada ""nueva economía institucional"".
											Y lo que él se refería por instituciones 
en realidad eran reglas formales
											como una constitución,
											y restricciones informales,
como los sobornos.
											Estas instituciones son el motor
											que permite que nuestra economía funcione
											y esto se observa a lo largo 
de la historia de la humanidad.
									","
											Uma das primeiras pessoas 
a explorar a ideia
											de usar as instituições enquanto 
uma ferramenta na economia,
											de forma a reduzir a 
incerteza quanto às outras partes
											e ser capaz de negociar,
											foi o economista, vencedor de um Nobel, 
Douglass North.
											Faleceu no fim de 2015,
											mas North iniciou o que se 
chama de ""nova economia institucional.""
											E o que ele queria dizer com instituições 
eram na verdade apenas regras formais
											como uma constituição,
											e limitações informais, como o suborno.
											Estas instituições são na realidade o óleo
											que permite que as 
rodas da economia funcionem,
											e podemos ver isto ao longo 
do curso da história humana.
									","
											Şimdi, ekonomide,

											alış verişi mümkün kılabilmek için,
											karşılıklı olarak belirsizliği azaltan
bir araç olarak kurumlar
											fikrini inceleyen ilk kişilerden biri
											Nobel ödüllü ekonomist
Douglass North idi.
											2015 yılının sonunda hayatını kaybetti,
											ancak ""yeni kurumsal ekonomi""
fikrinin öncülüğünü yaptı.
											Kurumlar derken kastettiği şey
sadece resmi kurallardı;
											bir anayasa gibi
											ve rüşvet gibi resmi olmayan kısıtlar.
											Bu kurumlar,
											ekonomi çarkının 
dönebilmesini sağlayan yağlardır
											ve insalık tarihi boyunca 
böyle olduğunu görüyoruz.
									","
											Einer der ersten Menschen,
der ernsthaft diese Idee untersuchte,
											dass für die Wirtschaft
Institutionen Werkzeuge sind,
											die uns gegenseitig erlauben,
Unsicherheiten zu senken,
											und in die Lage versetzt,
Handel zu betreiben,
											war der Wirtschaftsnobelpreisträger,
Douglass North.
											Er verstarb Ende 2015,
											aber North war Vorreiter
der ""neuen Institutionenökonomik"".
											Was er unter Institutionen verstand,
waren tatsächlich nur formale Regeln
											wie beispielsweise die Verfassung
											und informelle Einschränkungen,
wie z.B. die Bestechung.
											Diese Institutionen sind die Schmiere,
											die die Räder unserer Wirtschaft
am Laufen halten
											und wir sehen dies am Verlauf
der Menschheitsgeschichte.
									",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
"
","
","
","
","
","
",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
"
											If we think back to when we were
hunter-gatherer economies,
											we really just traded
within our village structure.
											We had some informal constraints in place,
											but we enforced
all of our trade with violence
											or social repercussions.
											As our societies grew more complex
											and our trade routes grew more distant,
											we built up more formal institutions,
											institutions like banks for currency,
											governments, corporations.
											These institutions
helped us manage our trade
											as the uncertainty
and the complexity grew,
											and our personal control was much lower.
											Eventually with the internet,
we put these same institutions online.
											We built platform marketplaces
like Amazon, eBay, Alibaba,
											just faster institutions
that act as middlemen
											to facilitate human economic activity.
									","
											Si nous en revenons aux économies
où nous étions chasseurs-cueilleurs,
											nous faisions du commerce
dans la structure de notre village.
											Il y avait des contraintes informelles
											mais nous imposions
tout notre commerce par la violence
											ou des répercussions sociales.
											Alors que nos sociétés
se sont complexifiées
											et que nos routes de commerce
se sont étendues,
											nous avons bâti
des institutions plus formelles,
											des institutions telles que
les banques pour la monnaie,
											les gouvernements, les entreprises.
											Ces institutions nous ont aidés
à gérer le commerce
											alors que l'incertitude
et la complexité augmentaient
											et que notre contrôle personnel
était fortement diminué.
											Finalement, avec internet,
nous avons mis ces institutions en ligne.
											Nous avons construit
des places de marché
											comme Amazon, eBay, Alibaba,
											des institutions plus rapides
servant d'intermédiaires
											pour facilité l'activité
économique humaine.
									","
											Cuando nuestra economía
se sustentaba en la caza-recolección,
											solo comerciábamos 
dentro de nuestro asentamiento.
											Había algunas restricciones informales,
											pero realizábamos 
todo nuestro comercio con violencia
											o mediante repercusiones sociales.
											A medida que la sociedad
se hacía más compleja
											y las rutas de comercio se ampliaban,
											creamos instituciones más formales,
											instituciones como bancos,
											gobiernos, corporaciones.
											Estas instituciones ayudaron
a organizar el comercio

											mientras aumentaban la 
incertidumbre y la complejidad
											y personalmente controlábamos
mucho menos.
											Actualmente, con el internet,
hemos puesto las instituciones en la red.
											Creamos plataformas de mercado 
como Amazon, eBay, Alibaba,
											instituciones más rápidas
que actúan como intermediarios
											que facilitan nuestra actividad económica.
									","
											Se olharmos para o tempo em que 
tínhamos economias de caça e recoleção,
											só comercializávamos
dentro da estrutura da nossa vila.
											Tínhamos algumas limitações 
informais em vigor,
											mas forçávamos todo o 
nosso comércio com violência
											ou repercussões sociais.
											À medida que as nossas sociedades 
se tornaram mais complexas
											e as nossas rotas de comércio
se tornaram mais distantes,
											construímos instituições mais formais,
											instituições como bancos para a moeda,
governos, corporações.
											Estas instituições ajudavam-nos
a gerir o nosso intercâmbio
											enquanto que a incerteza 
e a complexidade aumentavam,
											e o nosso controlo 
pessoal tornava-se reduzido.
											Por fim, com a Internet, 
colocámos as mesmas instituições ""online"".
											Construímos plataformas de mercado
como a Amazon, eBay, Alibaba,
											instituições mais rápidas
que funcionam como intermediários
											para facilitar a atividade económica.
									","
											Avcı-toplayıcı ekonomilerden
itibaren düşünürsek,
											sadece köy yaşamı içerisinde
ticaret yapıyorduk.
											Bazı resmi olmayan
kısıtlamalar vardı
											ancak tüm ticareti şiddetle
veya sosyal baskılarla
											dayatıyorduk.
											Toplum yapısı daha karmaşık hale geldikçe
											ve ticaret yolları birbirinden
gittikçe uzaklaşınca,
											daha resmi kurumlar oluşturduk,
											para birimi için bankalar gibi kurumlar,
											devletler, şirketler.
											Bu kurumlar, belirsizlik ve 
karmaşa artarken
											ticareti düzenlememizde
yardımcı oldu
											ve bireysel kontrolümüz azaldı.
											Sonunda internet ile bu kurumları
çevrimiçi dünyaya taşıdık.
											Amazon, eBay, Alibaba gibi
pazar yerleri yarattık,
											insanın ekonomik aktivitesini 
kolaylaştırmak için
											aracı olarak çalışan daha hızlı kurumlar.
									","
											Wenn wir zurückdenken, als wir
Jäger- und Sammlerökonomien hatten,
											da handelten wir bloß
innerhalb unserer Dorfstrukturen.
											Wir hatten einige allgemeingültige
Einschränkungen vor Ort,
											aber wir setzten unseren 
gesamten Handel mit Gewalt durch
											oder mit sozialen Konsequenzen.
											Als unsere Gesellschaft komplexer wurde
											und unsere Handelsrouten
weitreichender wurden,
											bauten wir formalere Institutionen auf,
											Institutionen wie Notenbanken,
											Regierungen, Unternehmen.
											Diese Institutionen halfen uns,
unseren Handel zu bewältigen,
											während die Zweifel und
die Komplexität zunahmen
											und unsere persönliche Kontrolle
sich deutlich verringerte.
											Irgendwann haben wir mit dem Internet
dieselben Institutionen online gestellt.
											Wir schufen Markt-Plattformen 
wie Amazon, eBay und Alibaba,
											d.h. schnellere Institutionen, 
die als Mittler dienen,
											um die zwischenmenschlichen
Wirtschaftsaktivitäten zu erleichtern.
									",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
"
","
","
","
","
","
",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
"
											As Douglass North saw it,
											institutions are a tool
to lower uncertainty
											so that we can connect and exchange
all kinds of value in society.
											And I believe we are now entering
											a further and radical evolution
											of how we interact and trade,
											because for the first time,
we can lower uncertainty
											not just with political
and economic institutions,
											like our banks, our corporations,
our governments,
											but we can do it with technology alone.
									","
											Comme le voyait Douglass North,
											les institutions sont un outil
pour diminuer l'incertitude
											afin que nous nous connections
et échangions des valeurs en société.
											Je crois que nous entrons aujourd'hui
											dans une évolution nouvelle et radicale
											sur notre façon d'interagir
et de faire du commerce
											car, pour la première fois,
nous pouvons diminuer l'incertitude
											non seulement avec des institutions
politiques et économiques
											comme nos banques, nos entreprises,
nos gouvernements,
											mais cela est faisable
uniquement avec la technologie.
									","
											Según Douglass North,
											las instituciones son una herramienta
que disminuye la incertidumbre
											para que podamos conectar e intercambiar
todo tipo de valor en la sociedad.
											Y yo creo que ahora está empezando
											una evolución más grande y más radical
											en la forma en que
interactuamos y comerciamos,
											porque por primera vez,
podemos disminuir la incertidumbre
											no solo mediante instituciones políticas
y económicas,
											como bancos, corporaciones o gobiernos,
											sino que podemos
hacerlo solo con la tecnología.
									","
											Como Douglass North observava,
											as instituições são uma ferramenta 
para reduzir a incerteza
											para que possamos associar-nos e trocar 
todo o tipo de valor em sociedade,
											Eu acredito que estamos agora a iniciar
uma nova e mais radical evolução
											da forma como interagimos
e comercializamos,
											porque, pela primeira vez, 
podemos reduzir a incerteza
											não apenas com instituições 
políticas e económicas,
											como os nossos bancos, 
corporações, governos,
											mas podemos fazê-lo apenas com tecnologia.
									","
											Douglass North'un görmüş olduğu gibi,
											kurumlar belirsizliği azaltmak için
oluşturulmuş araçlardır,
											böylelikle toplumda bağlantıları kurup
her türlü değer değişimi yapabiliyoruz.
											Ve inanıyorum ki, şimdi daha ileri

											ve radikal bir evrime giriyoruz.
											Etkileşim ve ticaret tarzımızın evrimi.
											Çünkü ilk defa,
belirsizliği azaltabiliyoruz.
											Bankalar, şirketler, devletler gibi
											sadece politik ve ekonomik
kurumlarla değil,
											bunu tek başına 
teknoloji ile yapabiliyoruz.
									","
											Douglass North meinte,
											Institutionen sind ein Werkzeug,
um Unsicherheiten zu mindern,
											uns zu verbinden und damit wir Werte
in der Gesellschaft austauschen können.
											Ich glaube, dass wir nun
											eine weitere und radikalere
Entwicklung einschlagen,
											beim Interagieren und Handeln,
											weil wir zum ersten Mal 
Zweifel mindern können,
											nicht nur mit politischen und
ökonomischen Institutionen,
											wie unseren Banken, 
Unternehmen, Regierungen,
											sondern auch und ausschließlich
mit Technologie.
									",How the blockchain will radically transform the economy,Bettina Warburg,14:57,"Internet,business,computers,data,collaboration,privacy,security,future,economics,society,software,trust,innovation,technology,blockchain,wikipedia,cryptocurrency"
