en,es,tr,pt,title,speaker,duration,tags
"
","
","
","
",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
"
											Since the time of Homer,
											ancient stories told of fierce warriors 
dwelling beyond the Mediterranean world,
											striking fear into the mightiest 
empires of antiquity.
											Their exploits were
recounted by many epic poets.
											They fought in the legendary Trojan War 
and their grand army invaded Athens.
											Jason and the Argonauts 
passed by their shores,
											barely avoiding their deadly arrows.
											These formidable fighters faced off 
against the greatest champions of myth:
											Heracles,
											Theseus,
											and Achilles.
									","
											Desde la época de Homero
											historias antiguas 
hablaban de guerreras feroces
											que vivían más allá 
del mundo mediterráneo,
											sembrando el miedo en los más poderosos 
imperios de la antigüedad.
											Sus hazañas fueron
contadas por muchos poetas épicos.
											Pelearon en la legendaria Guerra de Troya
y su gran ejército invadió Atenas.
											Jasón y los Argonautas
pasaron por sus orillas,
											evitando apenas sus flechas mortales.
											Estas formidables luchadoras 
se enfrentaron
											contra los mejores campeones del mito:
											Heracles,
											Teseo,
											y Aquiles.
									","
											Homer zamanından beri,
											ilk çağın güçlü imparatorluklarına korku
salan ve Akdenizin ötesinde yaşayan
											azılı savaşçılarla ilgili
eski hikâyeler anlatılır.
											Kahramanlıkları pek çok
epik şiirde anlatıldı.
											Efsanevi Truva Savaşında savaştılar ve
heybetli orduları Atina'yı işgal etti.
											Jason ve Argonotlar ölümcül oklarından
											zar zor kaçınarak, kıyılarından geçti.
											Bu heybetli savaşçılar efsanelerdeki
en büyük şampiyonlar olan
											Herkül,
											Theseus,
											ve Akhilleus ile yüzleşmiştir.
									","
											Desde o tempo de Homero,
											antigas histórias falavam
de guerreiras ferozes
											que habitavam para além
do mundo mediterrânico,
											lançando o terror nos mais poderosos
reinos da Antiguidade.
											As suas façanhas eram contadas
por muitos poetas épicos.
											Lutaram na lendária Guerra de Troia
											e o seu grande exército invadiu Atenas.
											Jasão e os Argonautas
passaram pelas suas praias,
											e evitaram com dificuldade
as suas setas mortíferas.
											Estas combatentes formidáveis
enfrentaram os maiores campeões do mito:
											Héracles,
											Teseu
											e Aquiles.
									",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
"
","
","
","
",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
"
											And every single one 
of these warriors was a woman.
									","
											Y cada una de estas guerreras era mujer.
									","
											Ve bu savaşçıların her biri kadındı.
									","
											Eram só mulheres.
									",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
"
","
","
","
",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
"
											The war-loving Amazons,
""the equals of men"" in courage and skill,
											were familiar to everyone in
ancient Greece.
											Amazon battle scenes decorated 
the Parthenon on the Athenian Acropolis;
											paintings and statues of Amazons
adorned temples and public spaces.
											Little girls played with Amazon dolls,
											and Amazons were a favorite subject 
on Greek vase paintings.
											In Greek art and literature,
											they were depicted as daring 
and desirable,
											but also terrifying and deadly,
											and doomed to die 
at the hands of Greek heroes.
									","
											Las amazonas amantes de la guerra,
											""las iguales a los hombres"" 
en valentía y habilidad,
											eran conocidas por todos en
la antigua Grecia.
											Escenas de la batalla amazona decoraban
el Partenón en la acrópolis de Atenas;
											pinturas y estatuas de amazonas
adornaban los templos y espacios públicos.
											Las niñas jugaban con muñecas amazonas
											y las amazonas eran un tema favorito
en las pinturas de los jarrones griegos.
											En el arte y la literatura griega,
											se representaban 
como atrevidas y deseables,
											pero también aterradoras y mortales,
											y condenadas a morir
a manos de los héroes griegos.
									","
											Savaşı seven Amazonlar cesaret ve yetenek
söz konusu olduğunda erkeklere eşittiler.
											Aynı zamanda Antik Yunan'da
herkesçe tanınıyorlardı.
											Amazon savaş sahneleri Atinalı
Akropol'deki Parthenon Tapınağını süsledi.
											Amazonların tablo ve heykelleri tapınak
ve halka açık alanları donattı.
											Küçük kızlar
Amazon oyuncak bebekleri ile oynadı
											ve Amazonlar Yunan vazo boyama
işinde favori konuydu.
											Yunan edebiyatında ve sanatında,
											cüretkâr ve çekici
											ama aynı zamanda korkutucu ve ölümcül
											ve Yunan kahramanların ellerinde
ölmeye mahkûm olarak betimlendiler.
									","
											As amazonas, amantes da guerra,
""iguais aos homens"" em coragem e perícia
											eram conhecidas por todos
na antiga Grécia.
											Cenas de batalhas com as amazonas
ornavam o Pártenon na Acrópole ateniense,
											pinturas e estátuas de amazonas
adornavam templos e espaços públicos.
											As crianças brincavam com amazonas bonecas
											e as amazonas eram um tema preferido
nas pinturas dos vasos gregos.
											Na arte e literatura da Grécia
											eram descritas
como ousadas e desejáveis,
											mas também como terríveis e mortíferas
											condenadas a morrer
às mãos de heróis gregos.
									",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
"
","
","
","
",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
"
											Were Amazons merely figures of myth,
or something more?
									","
											¿Eran las amazonas meras figuras de mito, 
o eran algo más?
									","
											Amazonlar sadece afsanelerde yer alan
kişiler miydi yoksa daha mı fazlasıydılar?
									","
											As amazonas serão meras figuras míticas
ou haverá mais qualquer coisa?
									",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
"
","
","
","
",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
"
											It was long assumed 
that they were imaginary,
											like the cyclops and centaurs.
											But curiously enough, 
stories from ancient Egypt,
											Persia,
											the Middle East,
											Central Asia,
											India,
											and China
											also featured Amazon-like warrior women.
											And Amazons were described in ancient
historical accounts, not just myths.
											Writers like Herodotus, Plato, 
and Strabo never doubted their existence.
									","
											Durante mucho tiempo se asumió
que eran imaginarias,
											como los cíclopes y los centauros.
											Pero curiosamente,
historias del antiguo Egipto,
											Persia, Oriente Medio, 
Asia Central, India y China
											también presentaron mujeres guerreras 
como las amazonas.
											Y las amazonas eran descritas 
en la relatos históricos antiguos,
											no solo mitos.
											Escritores como Herodoto, Platón,
y Estrabón nunca dudaron de su existencia.
									","
											Uzun bir süre boyunca
cycloplar ve sentorlar gibi
											hayal ürünü oldukları varsayıldı.
											Fakat garip bir biçimde,
Antik Mısır'dan,
											İran'dan,
											Orta Doğu'dan,
											Orta Asya'dan,
											Hindistan'dan
											ve Çin'den de
											Amazonlar gibi savaşçı kadınları
konu alan hikâyeler ortaya çıktı.
											Ve Amazonlardan sadece efsanelerde değil,
eski tarihi belgelerde de bahsedilmişti.
											Herodot, Plato ve Strabo gibi yazarlar,
varlıklarından asla şüphe etmedi.
									","
											Há muito que se concluiu
que eram imaginárias,
											tal como os ciclopes e os centauros.
											Mas, curiosamente,
histórias do antigo Egito,
											da Pérsia, do Médio Oriente,
											da Ásia Central,
											da Índia e da China
											também descrevem mulheres guerreiras,
do tipo das amazonas.
											As amazonas aparecem descritas
em antigos relatos históricos,
											não apenas em mitos.
											Escritores como Heródoto,
Platão e Estrabão
											nunca duvidaram da sua existência.
									",Did the Amazons really exist?,Adrienne Mayor,5:02,"TED-Ed,history,ancient world"
