fr,tr,de,en,es,title,speaker,duration,tags
"
","
","
","
","
","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
"
											C'est un grand honneur d'être ici avec vous.
											La bonne nouvelle est que
											je suis parfaitement conscient de ma responsabilité de vous sortir d'ici
											car je suis le seul obstacle entre vous et le bar.
											(rires)
											L'autre bonne nouvelle est que je n'ai pas préparé de discours,
											mais j'ai une boîte de diapositives
											J'ai quelques photos qui représentent ma vie et ce que je fais dans la vie.
											J'ai appris par expérience
											que les gens se souviennent des images longtemps après qu'ils aient oublié les mots.
											J'espère donc que vous vous souviendrez de quelques unes des images
											que je vais partager avec vous pendant quelques minutes.
									","
											Burada sizlerle olmak büyük bir onur.
											İyi haber şu;
											Sizi buradan çıkarmakla ilgili sorumluluğumun kesinlikle farkındayım
											çünkü sizinle bar arasında duran tek şey benim.
											(kahkahalar)
											Ve iyi haber, hazırladığım bir konuşma yok
											ama bir kutu slide'ım var.
											Hayatımı ve yaşamak için ne iş yaptığımı anlatan bazı fotoğraflarım var.
											İnsanların kelimeleri unutmalarından
											çok daha sonra fotoğrafları unuttukları hakkında yeterli tecrübeye sahibim.
											Ve bu fotoğraflardan da bazılarını anımsayacağınızı umut ediyorum.
											Sizlerle sadece birkaç dakikayı paylaşacağım.
									","
											Es ist eine große Ehre hier zu sein.
											Die gute Nachricht ist,
											ich bin mir sehr gut meiner Verpflichtung euch hier raus zu bekommen bewusst,
											denn ich bin das Einzige dass zwischen euch und der Bar steht.
											(Lachen)
											Und die gute Nachricht ist, ich habe keine Rede vorbereitet,
											ich habe nur eine Box mit Folien,
											ich habe einige Bilder die mein Leben und das was ich tue repräsentieren.
											Ich habe durch Erfahrung gelernt
											dass Menschen sich an Bilder lange nach dem sie die Wörter vergessen haben erinnern.
											Und so hoffe ich, dass ihr euch an einige der Bilder erinnert,
											die ich mit euch in ein paar Minuten teilen werde.
									","
											It's a great honor to be here with you.
											The good news is
											I'm very aware of my responsibilities to get you out of here
											because I'm the only thing standing between you and the bar.
											(Laughter)
											And the good news is I don't have a prepared speech,
											but I have a box of slides.
											I have some pictures that represent my life and what I do for a living.
											I've learned through experience
											that people remember pictures long after they've forgotten words,
											and so I hope you'll remember some of the pictures
											I'm going to share with you for just a few minutes.
									","
											Es un gran honor estar aquí con ustedes.
											La buena noticia es que
											Yo estoy muy conciente de mi responsabilidad de sacarlos de aquí,
											porque yo soy lo único que esta entre ustedes y el bar.
											(Risas)
											Y la buena noticia es que no tengo un discurso preparado,
											pero tengo una caja de diapositivas.
											Tengo algunas fotos que representan mi vida y a lo que me dedico.
											He aprendido por experiencia
											que la gente recuerda imágenes mucho después de olvidar las palabras.
											Así que espero que recuerden algunas de las fotos
											que voy a compartir con ustedes por unos minutos.
									","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
"
","
","
","
","
","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
"
											L'histoire a réellement commencée
											lorsque j'étais lycéen à Pittsburgh, en Pennsylvanie,
											dans une banlieue difficile que tout le monde avait laissée pour morte.
											Et un mercredi après midi,
											alors que j´empruntais le couloir de mon lycée,
											en pensant à mes occupations, il y avait un artiste donnant un cours,
											qui avait fait un grand récipient en poterie.
											Je me suis retrouvé à regarder à l'intérieur de la classe d'art.
											Si vous n'avez jamais vu faire de la poterie, c'est magique,
											et je n'avais jamais rien vu de tel dans ma vie auparavant.
											Alors je suis rentré dans la classe d'art et j'ai dit ""C'est quoi ça ?""
											Il a dit ""De la poterie - et toi, qui es-tu ? ""
											Et j'ai dit, ""Je suis Bill Strickland. Je veux que vous m'appreniez à faire ça""
											Et il a dit, ""Eh bien, dis à ton professeur principal de signer un papier
											qui dit que tu peux venir ici, et je te l'apprendrai.""
											Et pendant mes deux dernières années de lycée,
											j'ai séché tous mes cours.
											(rires)
											Mais j'ai eu la présence d'esprit
											de donner aux profs des cours que je séchais les poteries que j'avais faites ...
											(rires)
											et ils m'ont donné de bonnes notes.
											C'est comme ça que j'ai terminé le lycée.
									","
											Bütün hikaye Pennsylvania, Pittsburgh'da,
											ölüymüşler gibi herkesin onlardan vazgeçtiği sert bir mahallede
											lise öğrenci olan benimle başlıyor.
											Bir çarşamba akşamüstü
											lisemin koridorundan aşağı doğru yürüyordum,
											bir şekilde kendi işime bakıyordum ki şu sanatçı öğretmeni gördüm,
											büyük seramik bir vazo yapmıştı.
											Ve bir şekilde sanat odasının kapısından içeriye bakıyordum.
											Ve seramik çamurunun nasıl yapıldığını gördüyseniz bilirsiniz, sihirlidir,
											ve ben hayatımda hiç böyle birşeyi görmemiştim.
											Sanat odasından içeriye yürüdüm ve ""Bu nedir?"" diye sordum.
											Oda bana ""Seramik—ve sen kimsin?"" diye sordu.
											Bende ""Ben Bill Strickland'im. Bana bu şeyi öğretmeni istiyorum."" dedim.
											Oda bana ""İyi, sınıf sorumlusu öğretmenine buraya gelebileceğine dair
											bir kağıt imzalat, bende sana öğreteyim"" dedi.
											Ve lisede kalan son iki yılımda
											bütün derslerimi astım.
											(kahkahalar)
											Ama kafamda şu vardı,
											astığım tüm dersler için öğretmenlerime yaptığım seramikleri verecektim—
											(kahkahalar)
											ve onlarda bana geçer not verdiler.
											İşte bu şekilde liseden mezun oldum.
									","
											Die ganze Geschichte begann eigentlich
											mit mir als Schüler in Pittsburgh, Pennsylvania,
											in einer schwierigen Gegend, die alle aufgegeben hatten.
											An einem Mittwoch Nachmittag
											lief ich durch den Gang meiner Schule,
											hatte meine eigenen Dinge im Kopf und da war dieser Künstler am unterrichten
											der einen großen alten Keramik-Kessel machte.
											Ich schaute zufällig durch die Tür des Kunstraumes.
											Wenn sie jemals Töpfern gesehen haben, es ist Magie,
											und ich hatte so etwas noch nie zuvor gesehen.
											Ich ging also in den Raum und sagte, ""Was ist das?""
											Und er sagte ""Keramik - und wer bist du?""
											Und ich sagte, ""Ich bin Bill Strickland. Ich will dass du mir das beibringst.""
											Und er sagte, ""Bring deinen Lehrer dazu, ein Stück Papier zu unterschreiben
											das sagt, dass du hier herkommen darfst und ich bringe es dir bei.""
											Und so habe ich für die restlichen zwei Jahre meiner Schulzeit,
											alle meine Kurse geschwänzt.
											(Lachen)
											Aber ich hatte die Geistesgegenwart
											meinen Lehrern, deren Kurse ich schwänzte, Töpferwaren zu geben, die ich gemacht hatte.
											(Lachen)
											und sie gaben mir Noten die zum bestehen reichten.
											Und so kam ich durch die Schule.
									","
											The whole story really starts
											with me as a high school kid in Pittsburgh, Pennsylvania,
											in a tough neighborhood that everybody gave up on for dead.
											And on a Wednesday afternoon,
											I was walking down the corridor of my high school
											kind of minding my own business. And there was this artist teaching,
											who made a great big old ceramic vessel,
											and I happened to be looking in the door of the art room —
											and if you've ever seen clay done, it's magic —
											and I'd never seen anything like that before in my life.
											So, I walked in the art room and I said, ""What is that?""
											And he said, ""Ceramics. And who are you?""
											And I said, ""I'm Bill Strickland. I want you to teach me that.""
											And he said, ""Well, get your homeroom teacher to sign a piece of paper
											that says you can come here, and I'll teach it to you.""
											And so for the remaining two years of my high school,
											I cut all my classes.
											(Laughter)
											But I had the presence of mind
											to give the teachers' classes that I cut the pottery that I made,
											(Laughter)
											and they gave me passing grades.
											And that's how I got out of high school.
									","
											La historia empieza en realidad
											conmigo como estudiante de secundaria en Pittsburg, Pensilvania,
											en un barrio difícil al que todos dieron por muerto.
											Y en un miércoles por la tarde
											estaba caminando por un corredor de mi secundaria,
											metido en mi cosas, y ahi estaba este artista dando clases,
											quien estaba haciendo un gran jarrón de cerámica.
											Y yo justo estaba mirando por la puerta del aula de arte.
											Si alguna vez han visto cómo se trabaja la arcilla, es mágico,
											y yo nunca antes había visto algo igual en mi vida.
											Entonces, entré al aula y dije: “¿Qué es eso?”
											Y él dijo: “Cerámica - ¿ y tú quién eres?”
											Yo dije: “Soy Bill Strickland. Quiero que me enseñes a hacer eso.”
											Y él dijo: “Bueno, consigue un papel firmado por tu profesor
											que diga que puedes venir y yo te enseñaré.”
											Y entonces, los últimos dos años de la secundaria,
											falté a todas mis clases.
											(Risas)
											Pero tuve la astucia
											de darles la cerámica que hice a los profesores de las clases a las que falté—
											(Risas)
											y me aprobaron.
											Y así terminé la secundaria.
									","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
"
","
","
","
","
","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
"
											Et Mr Ross a dit,
											""Tu es trop intelligent pour mourir, et je ne veux pas ça sur ma conscience,
											alors je quitte cette école et je t'emmène avec moi.""
											Et il m'a conduit à l'université de Pittsburgh
											ou j'ai rempli un formulaire d'entrée et ai été pris à l'essai.
											Voilà, je suis maintenant au conseil d'administration de l'université
											et, à ma cérémonie d'intronisation, j'ai dit :
											""Je suis celui qui est venu de la banlieue
											et a été pris ici à l'essai.
											N'abandonnez pas les enfants pauvres parce qu'on ne sait jamais
											ce qui va leur arriver dans la vie.""
									","
											Ve Bay Ross bana,
											""Ölmek için çok zekisin, ve bunu vicdanımda taşımak istemiyorum,
											bu nedenle okuldan ayrılıyorum ve seni de yanımda götürüyorum"" dedi.
											Ve beni Pittsburgh Üniversitesi'ne kadar götürdü
											orada bir başvuru formu doldurdum ve gözetim altında kabul edildim.
											Ve şimdi Üniversitenin Vekillerinden biriyim,
											Kabul törenimde şunları söyledim;
											""Ben komşu mahalleden gelen ve
											buraya gözetim altında kabul edilen adamım.
											Fakir çocuklardan vazgeçmeyin, çünkü yaşam içinde
											onlara neler olabileceğini asla bilemezsiniz""
									","
											Und Herr Ross sagte,
											""Du bist zu schlau zum Sterben und ich will das nicht auf meinem Gewissen,
											deshalb verlasse ich die Schule und nehme dich mit.""
											Also fuhr er mich zur Universität von Pittsburgh
											wo ich eine Uni-Bewerbung ausfüllte und auf Bewährung genommen wurde.
											Und jetzt bin ich Beauftragter an der Universität
											und in meiner Amtseinführungszeremonie sagte ich,
											""Ich bin der Typ der aus der Nachbarschaft kommt,
											der hier auf Bewährung aufgenommen wurde.
											Gebt die armen Kinder nicht auf, denn ihr wisst nie,
											was einmal mit diesen Kindern in ihrem Leben passieren wird.""
									","
											And Mr. Ross said,
											""You're too smart to die and I don't want it on my conscience,
											so I'm leaving this school and I'm taking you with me.""
											And he drove me out to the University of Pittsburgh
											where I filled out a college application and got in on probation.
											Well, I'm now a trustee of the university,
											and at my installation ceremony I said,
											""I'm the guy who came from the neighborhood
											who got into the place on probation.
											Don't give up on the poor kids, because you never know
											what's going to happen to those children in life.""
									","
											Y el Sr. Ross dijo:
											“Eres demasiado listo para morir, y no quiero eso pesando en mi conciencia,
											así que estoy dejando esta escuela y te llevo conmigo.”
											Y me llevó a la Universidad de Pittsburg
											donde llené la solicitud de ingreso y entré a prueba.
											Bueno, ahora soy Miembro del Consejo de la Universidad
											y en la ceremonia de instalacion dije:
											“Soy el tipo que vino del barrio
											quien entró en el lugar a prueba.
											No se den por vencidos con los jóvenes pobres porque nunca saben
											qué les va a pasar a esos jóvenes en la vida.”
									","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
"
","
","
","
","
","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
"
											Ce que je vais vous montrer pendant quelques minutes
											est un complexe que j'ai construit dans la banlieue la plus difficile de Pittsburgh
											avec le taux de criminalité le plus haut.
											Cela s'appelle le Bidwell training center, c'est une école professionnelle
											pour les ex métalliurgistes, les parents célibataires et les mères bénéficiant d'aide sociale
											Vous vous souvenez que l'on fabriquait de l'acier à Pittsburgh ?
											Eh bien, on n'en fabrique plus
											et les personnes qui fabriquaient l'acier
											vivent des temps très difficiles du coup.
											Et je les reconstruis et leur donne une nouvelle vie.
									","
											Şimdi sizlere birkaç dakika boyunca, Pittsburghun en sert,
											suç oranının en yüksek olduğu mahallede inşa ettiğim
											bir tesisi göstereceğim.
											Birinin adı Bidewll Eğitim Merkezi, bu bir meslek okulu
											eski çelik işcileri ve bekar ebeveynler ve ödenekle yaşayan anneler için.
											Pittsburgh'da eskiden çelik yapıldığını anımsıyor musunuz?
											İşte artık çelik yapmıyoruz.
											Ve eskiden çelik yapan bu kişiler
											bundan dolayı çok sıkıntılı zamanlar yaşıyorlar.
											Bende onları yeniden inşa edip onlara yeni bir yaşam verdim,
									","
											Was ich euch für ein paar Minuten zeigen werde,
											ist die Einrichtung die ich im gefährlichsten Viertel in Pittsburgh
											mit der höchsten Kriminalitätsrate gebaut habe.
											Eine heißt Bidwell Trainingszentrum, es ist eine Berufsschule
											für ehemalige Stahlarbeiter und Alleinerziehende und Mütter in Sozialhilfe.
											Ihr erinnert euch, dass wir mal Stahl machten in Pittsburgh?
											Naja, wir machen kein Stahl mehr
											und die Leute, die dies taten
											haben eine sehr schwere Zeit dadurch.
											Ich baue sie auf und gebe Ihnen ein neues Leben.
									","
											What I'm going to show you for a couple of minutes
											is a facility that I built in the toughest neighborhood in Pittsburgh
											with the highest crime rate.
											One is called Bidwell Training Center; it is a vocational school
											for ex-steel workers and single parents and welfare mothers.
											You remember we used to make steel in Pittsburgh?
											Well, we don't make any steel anymore,
											and the people who used to make the steel
											are having a very tough time of it.
											And I rebuild them and give them new life.
									","
											Lo que les voy a mostrar por unos minutos
											es un complejo que construí en el peor barrio de Pittsburg
											con la más alta tasa de crimen.
											Uno se llama Centro de Capacitación Bidwell, es una escuela vocacional
											para ex trabajadores siderúrgicos y padres solteros y madres con asistencia social.
											¿Recuerdan que solíamos producir acero en Pittsburg?
											Bueno, ya no producimos mas acero
											y la gente que solía producir el acero
											está pasando por un momento muy duro por esto.
											Y yo los reconstruyo y les doy vida nueva.
									","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
"
","
","
","
","
","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
"
											La guilde des artisans de Manchester est baptisée d'après ma banlieue.
											J'ai été adopté
											par l'évêque du diocèse épiscopal pendant les émeutes.
											Et il a fait don d'une maison, et dans cette maison,
											j'ai commencé la guilde des artisans de Manchester.
											Et j'ai appris très rapidement que là ou il y a des épiscopaliens,
											il y a de l'argent pas loin.
											(rires)
											Et l'évêque m'a adopté comme son fils.
											L'année dernière, je me suis exprimé à son service funèbre
											et lui ai dit adieu.
											Je suis allé embaucher un étudiant de l'architecte Frank Lloyd Wright
											et lui ai demandé de me construire un centre de classe mondiale
											dans la pire banlieue de Pittsburgh.
											Et mon bâtiment a servi de modèle réduit pour l'aéroport de Pittsburgh.
											Si vous venez à Pittsburgh, et vous êtes tous invités,
											vous atterrirez dans la version agrandie de mon bâtiment.
											Voici le bâtiment.
											Construit dans une banlieue difficile où les gens avaient été laissés pour morts.
									","
											Ve Manchaster Esnafları Derneği benim mahallemin adını aldı.
											Ve ben Episcopal Diocese (Piskoposluğa ait bölge) Piskoposu tarafından
											ayaklanmalar zamanında evlat edinildim.
											Ve o bana bir şehir evi bağışladı, ve o şehir evinde
											ben Manchester Esnaf Derneği'ni kurdum,
											ve Piskopos'ların olduğu yerlerde onlara çok yakın bir mesafede
											paranın da varolduğunu, çok çabuk kavradım.
											(kahkahalar)
											Ve Piskopos beni çocuğu olarak evlat edindi.
											Ve geçen sene, onun anma töreninde konuştum
											ve ona bu hayatında iyi dileklerde bulundum.
											Dışarıya çıkıp Frank Lloyd Wright'ın, mimardır, bir öğrencisini işe aldım,
											ve ondan Pittsburgh'un en kötü mahallesinde
											dünya klasında bir merkez inşa etmesini istedim.
											Ve benim binam Pittsburgh havalimanı için bir ölçek model oldu.
											Ve Pittsburgh'a geldiğinizde,— ve hepiniz davetlisiniz—
											benim binamın şişirilmiş bir versiyonuna doğru uçuyor olacaksınız.
											İşte bina bu.
											İnsanlardan ölümüne vazgeçilen çok sert bir mahallede inşaa edildi.
									","
											Die Manchester Handwerker Genossenschaft ist nach meinem Viertel benannt.
											Ich wurde adoptiert
											vom Bischof der Episcopal Diocese währen der Aufstände.
											Er spendete ein Reihenhaus und in diesem Reihenhaus
											gründete ich die Manchester Handwerker Genossenschaft,
											und ich lernte sehr schnell, dass wo auch immer Episcopalians sind,
											gibt es Geld in der unmittelbaren Umgebung.
											(lachen)
											Der Bischof adoptierte mich als sein Kind.
											Letztes Jahr sprach ich bei seinem Gedenkgottesdienst
											und wünschte ihm alles Gute in diesem Leben.
											Ich ging los und heuerte einen Schüler von Frank Lloyd Wright, dem Architekten,
											und bat Ihn darum, mir ein Zentrum der Weltklasse
											in der schlimmsten Nachbarschaft in Pittsburgh zu bauen.
											Mein Gebäude war ein Maßstabs model des Pittsburgher Flughafens.
											Und wenn ihr nach Pittsburgh kommt - und ihr seid alle eingeladen -
											fliegt ihr in eine aufgeblasene Version meines Gebäudes.
											Das ist das Gebäude.
											Gebaut in einer der schlimmsten Gegenden, in der die Menschen aufgegeben wurden.
									","
											Manchester Craftsmen's Guild is named after my neighborhood.
											I was adopted
											by the Bishop of the Episcopal Diocese during the riots,
											and he donated a row house. And in that row house
											I started Manchester Craftsmen's Guild,
											and I learned very quickly that wherever there are Episcopalians,
											there's money in very close proximity.
											(Laughter)
											And the Bishop adopted me as his kid.
											And last year I spoke at his memorial service
											and wished him well in this life.
											I went out and hired a student of Frank Lloyd Wright, the architect,
											and I asked him to build me a world class center
											in the worst neighborhood in Pittsburgh.
											And my building was a scale model for the Pittsburgh airport.
											And when you come to Pittsburgh — and you're all invited —
											you'll be flying into the blown-up version of my building.
											That's the building.
											Built in a tough neighborhood where people have been given up for dead.
									","
											La Asociación de Artesanos Manchester se llama así por mi barrio.
											Y fui adoptado
											por el Obispo de la Diócesis Episcopal durante los disturbios.
											Y él donó una casa adosada y en esa casa
											fundé la Asociación de Artesanos Manchester.
											Y aprendí rápidamente que donde hay Episcopales,
											hay dinero en las proximidades.
											(Risas)
											Y el Obispo me adoptó como a un hijo.
											Y el año pasado hablé en su ceremonia conmemorativa
											y le deseé lo mejor en esta vida.
											Salí y contraté a un estudiante de Frank Lloyd Wright, el arquitecto,
											y le pedí que me construyera un centro de alto nivel
											en el peor barrio de Pittsburg.
											Mi edificio es un modelo a escala del aeropuerto de Pittsburg.
											Y cuando vengan a Pittsburg – y están todos invitados–
											Van a aterrizar en la versión ampliada de mi edificio.
											Ese es el edificio.
											Construido en un barrio difícil donde a la gente se les habia dada por muerta.
									","Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,35:28,"MacArthur grant,activism,children,cities,culture,philanthropy,live music"
