es,tr,en,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
","
","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
"
											Billy Collins: Estoy aquí para darles
											la dosis recomendada
											de poesía.
											Y lo haré
											presentándoles
											5 animaciones
											de 5 de mis poemas.
											Les contaré un poco cómo nació todo esto
											dado que la mezcla de esas dos formas de arte
											no es muy natural, ni necesaria.
									","
											Bugün size
											günlük almanız gereken
											şiir miktarını vermek için buradayım.
											Bunu, size
											beş şiirimin
											beş animasyonunu
											sunarak yapacağım.
											İzin verin bu nasıl ortaya çıktı onu anlatayım.
											Çünkü bu iki medyayı birleştirmek
											bir bakıma doğadışı ve gereksiz.
									","
											I'm here to give you
											your recommended dietary allowance
											of poetry.
											And the way I'm going to do that
											is present to you
											five animations
											of five of my poems.
											And let me just tell you a little bit of how that came about.
											Because the mixing of those two media
											is a sort of unnatural or unnecessary act.
									","
											Billy Collins : Je suis ici pour vous donner
											votre apport alimentaire recommandé
											de poésie.
											Et la façon dont je vais le faire
											est de vous présenter
											cinq animations
											de cinq de mes poèmes.
											Et permettez-moi de vous parler un peu de comment cela s'est fait.
											Parce que le mélange de ces deux médias
											est une sorte d'acte inutile ou contre nature.
									","
											Ich bin hier,
											um Ihnen Ihre empfohlene Dosis
											an Lyrik zu verabreichen.
											Und ich werde das folgendermaßen tun:
											Ich werde Ihnen
											fünf Animationen
											von fünf meiner Gedichte vorstellen.
											Lassen Sie mich ein wenig darüber reden, wie es dazu gekommen ist.
											Denn die Vermischung dieser beiden Medien
											ist so etwas wie ein unnatürlicher oder unnötiger Vorgang.
									","
											Billy Collins: Estou aqui para vos prescrever
											a vossa dieta diária recomendada
											de poesia.
											E a maneira como o vou fazer
											é apresentando-vos
											cinco animações
											de cinco dos meus poemas.
											E deixem-me só contar-vos um bocadinho de como isto aconteceu.
											Porque a mistura destas duas formas de comunicação
											é uma espécie de acto antinatural ou desnecessário.
									","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
"
","
","
","
","
","
","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
"
											Pero al volverme Poeta Laureado de EE.UU.
											-me encanta decir eso-
											(Risas)
											-es un gran modo de empezar una frase-
											Cuando recibí la distinción,
											vino la agencia publicitaria J. Walter Thompson
											para una producción
											del Sundance Channel.
											Me propusieron que grabe algunos de mis poemas
											y luego ellos buscarían especialistas
											para animarlos.
											Al principio me resistí
											porque siempre pienso
											que la poesía no necesita otros recursos.
											Los intentos de musicalizar mis poemas
											han dado resultados desastrosos,
											siempre.
											Y el poema, si fue escrito de oído,
											ya tiene una musicalidad verbal
											desde su composición.
											Sin duda, si uno lee un poema
											que habla de una vaca,
											no hace falta en la página siguiente
											el dibujo de una vaca.
											Digo, dejémosle un poco de trabajo al lector.
									","
											Ama ben Birleşik Devletler Şiir Elçisi'yken —
											bunu söylemeye bayılıyorum.
											(Gülüşmeler)
											Cümleye başlamanın harika bir yolu.
											Ben o zamanlar o kişiyken,
											reklam şirketi J. Walter Thompson benimle iletişime geçti,
											Sundance Channel
											tarafından tutulmuşlardı.
											Şöyle bir fikirleri vardı, şiirlerimin bazılarını okurken kayıt edeceklerdi
											ve animasyon sanatçılarına
											animasyonlarını yaptıracaklardı.
											Başlangıçta çekindim,
											çünkü ben hep şiirin
											kendi başına durabileceğini düşünürüm.
											Şiirlerimi müzikle birleştirme
											çabaları daha önce
											berbat sonuçlanmıştı.
											Ve şiir, eğer kulakla yazıldıysa,
											zaten yazılırken kendi söz müziğine
											sahiptir.
											Ve tabii ki, bir inekten
											bahseden bir şiir okurken
											sayfada size bakan
											bir inek resmine ihtiyacınız yoktur.
											İzin verin okuyucu da biraz çaba göstersin.
									","
											But when I was United States Poet Laureate —
											and I love saying that.
											(Laughter)
											It's a great way to start sentences.
											When I was him back then,
											I was approached by J. Walter Thompson, the ad company,
											and they were hired
											sort of by the Sundance Channel.
											And the idea was to have me record some of my poems
											and then they would find animators
											to animate them.
											And I was initially resistant,
											because I always think
											poetry can stand alone by itself.
											Attempts to put my poems to music
											have had disastrous results,
											in all cases.
											And the poem, if it's written with the ear,
											already has been set to its own verbal music
											as it was composed.
											And surely, if you're reading a poem
											that mentions a cow,
											you don't need on the facing page
											a drawing of a cow.
											I mean, let's let the reader do a little work.
									","
											Mais quand j'étais Poète lauréat des États-Unis -
											et j'aime le dire.
											(Rires)
											C'est une excellente façon de commencer des phrases.
											Quand j'étais lui à l'époque,
											j'ai été approché par J. Walter Thompson, la compagnie publicitaire,
											et ils ont été embauchés
											en quelque sorte par la Sundance Channel.
											Et l'idée était de me faire enregistrer certains de mes poèmes
											puis ils trouveraient des animateurs
											pour les mettre en animation.
											Et j'ai d'abord résisté,
											parce que je pense toujours
											que la poésie peut se suffire à elle-même.
											Les tentatives pour mettre mes poèmes en musique
											ont eu des résultats désastreux,
											dans tous les cas.
											Et le poème, si il est écrit à l'oreille,
											a déjà été réglé à sa propre musique verbale
											comme il a été composé.
											Et bien sûr, si vous lisez un poème
											qui mentionne une vache,
											vous n'avez pas besoin sur la page opposée
											d'un dessin d'une vache.
											Je veux dire, laissons le lecteur travailler un peu.
									","
											Aber als ich zum höchsten Dichter der USA ernannt worden war –
											Ich liebe es, das zu sagen.
											(Gelächter)
											Es ist eine großartige Art, Sätze zu beginnen.
											Als ich also ernannt worden war,
											wurde ich vom Werbeunternehmen J. Walter Thompson angesprochen,
											und die wiederum waren sozusagen
											vom Sundance Channel beauftragt.
											Die Idee war, dass ich einige meiner Gedichte aufnehme
											und dass sie dann Trickfilmer finden würden,
											um diese zu animieren.
											Am Anfang lehnte ich das ab,
											weil ich immer denke,
											dass Lyrik für sich selbst stehen kann.
											Versuche, meine Gedichte zu vertonen,
											führten zu katastrophalen Ergebnissen
											in jedem einzelnen Fall.
											Und wenn das Gedicht mit einem offenen Ohr geschrieben wurde,
											dann hat es bereits eine verbale Melodie erhalten,
											als es geschaffen wurde.
											Und wenn Sie ein Gedicht lesen,
											das von einer Kuh handelt
											dann brauchen Sie auf der Vorderseite natürlich keine
											Zeichnung einer Kuh.
											Ich meine, lassen wir den Leser doch etwas arbeiten.
									","
											Mas quando eu era o Poeta Laureado dos Estados Unidos -
											e adoro dizer isto...
											(Risos)
											É uma óptima maneira de começar frases.
											Quando era esse Poeta, na altura,
											fui contactado pela J. Walter Thompson, a agência de publicidade,
											e eles estavam como que
											contratados pela Sundace Channel.
											A ideia era gravarem-me a recitar alguns dos meus poemas
											e depois encontrariam animadores
											para os animar.
											E fiquei reticente de início
											porque penso sempre
											que a poesia se basta a si própria.
											Tentativas de transformar os meus poemas em canções
											tiveram resultados desastrosos
											em todos os casos.
											E o poema, se é escrito com o ouvido,
											já foi associado à sua própria música verbal
											enquanto foi composto.
											E de certeza que se estiverem a ler um poema
											que menciona uma vaca
											não precisam de ter na mesma página
											o desenho de uma vaca.
											Quer dizer, vamos lá deixar o leitor ter um bocadinho de trabalho.
									","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
"
","
","
","
","
","
","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
"
											Pero cedí porque me pareció una posibilidad interesante
											y siempre he sido fan de los dibujos animados
											desde la infancia.
											Creo que más que
											Emily Dickinson, Wordsworth o Coleridge,
											me influyeron
											Warner Brothers, Merrie Melodies
											y los dibujos animados de Looney Tunes.
											Bugs Bunny es mi inspiración.
											De esa forma la poesía se abriría camino en la televisión.
											Soy partidario de la poesía en lugares públicos...
											de la poesía en autobuses, en metros,
											en carteleras y cajas de cereales.
											Como Poeta Laureado -lo dije otra vez,
											no puedo evitarlo, porque es verdad-
											(Risas)
											creé un canal de poesía para Delta Airlines
											que duró un par de años.
											Se podía escuchar poesía durante el vuelo.
									","
											Ama bu işe izin verdim çünkü ilginç şeyler ortaya çıkabilirdi
											ve ben çocukluğumdan beri
											bir çizgi roman müptelasıyım.
											Bence hayal gücüme
											Emily Dickinson, Coleridge, ya da Wordsworth'tan çok
											Warner Brothers, Merrie Melodies
											ve Loony Tunes çizgi filmlerinin
											katkısı oldu.
											Bugs Bunny benim ilham perim.
											Ve böylece şiir her yerdeki televizyonlarda kendine yer bulabilir.
											Ben toplu yerlerde şiirden yanayım —
											otobüste şiir, metroda şiir,
											ilan panolarında, mısır gevreği kutularında.
											Ben Şiir Elçisi'yken —
											kendimi tutamıyorum —
											(Gülüşmeler)
											Delta Havayolları'nda birkaç yıl devam eden
											bir şiir kanalı yarattım.
											Yani uçarken şiir dinleyebiliyordunuz.
									","
											But I relented because it seemed like an interesting possibility,
											and also I'm like a total cartoon junkie
											since childhood.
											I think more influential
											than Emily Dickinson or Coleridge or Wordsworth
											on my imagination
											were Warner Brothers, Merrie Melodies
											and Loony Tunes cartoons.
											Bugs Bunny is my muse.
											And this way poetry could find its way onto television of all places.
											And I'm pretty much all for poetry in public places —
											poetry on buses, poetry on subways,
											on billboards, on cereal boxes.
											When I was Poet Laureate, there I go again —
											I can't help it, it's true —
											(Laughter)
											I created a poetry channel on Delta Airlines
											that lasted for a couple of years.
											So you could tune into poetry as you were flying.
									","
											Mais j'ai cédé, car ça semblait être une possibilité intéressante,
											et aussi je suis un dingue de bande dessinée
											depuis l'enfance.
											Je pense que Warners Brothers, Merrie Melodies
											et les dessins animés Looney Tunes
											ont eu plus d'influence
											sur mon imagination
											qu'Emily Dickinson ou Coleridge ou Wordsworth.
											Bugs Bunny est ma muse.
											Et ainsi la poésie pourrait trouver son chemin à la télévision, imaginez un peu.
											Et je suis assez pour la poésie dans les lieux publics -
											la poésie dans les bus, la poésie dans le métro,
											sur les panneaux publicitaires, sur les boîtes de céréales.
											Quand j'étais Poète lauréat, et je remets ça —
											je ne peux pas m'en empêcher, c'est vrai -
											(Rires)
											j'ai créé une chaîne de poésie sur Delta Airlines
											qui a duré deux ou trois ans.
											Ainsi, vous pouvez vous brancher sur la poésie pendant votre vol.
									","
											Aber ich gab nach, weil es nach einer interessanten Möglichkeit aussah,
											und außerdem bin ich seit meiner Kindheit
											absolut comicsüchtig.
											Ich denke,
											dass statt Emily Dickinson oder Coleridge oder Wordsworth
											eher Warner Brothers,
											Merrie Melodies und die Loony Tunes
											Einfluss auf meine Fantasie hatten.
											Bugs Bunny ist meine Muse.
											Und so könnte die Lyrik ihren Weg gerade ins Fernsehen finden.
											Ich bin ganz und gar dafür, Lyrik an öffentliche Plätze zu bringen –
											Lyrik im Bus, Lyrik in der U-Bahn,
											auf Plakatwänden, auf Cornflakespackungen.
											Als ich zum höchsten Dichter der USA ernannt worden war, ich mache es schon wieder –
											Ich kann nichts dafür, es ist wahr –
											(Gelächter)
											da habe ich einen Lyrikkanal für Delta Airlines entwickelt
											der einige Jahre auf Sendung war.
											Damit konnte man sich Gedichte anhören, während man im Flugzeug saß.
									","
											Mas cedi porque me pareceu uma possibilidade interessante,
											e também porque sou completamente viciado em desenhos animados
											desde criança.
											Acho que mais influentes
											do que Emily Dickinson ou Coleridge ou Wordsworth
											para a minha imaginação,
											foram os desenhos animados da Warner Brothers,
											Merrie Melodies ou Looney Tunes.
											O Bugs Bunny é a minha musa.
											E desta maneira, a poesia conseguiu encontrar o seu caminho para a televisão em todo o lado.
											E eu sou muito a favor da poesia em locais públicos -
											poesia nos autocarros, poesia nos metros,
											em outdoors, em caixas de cereais.
											Quando eu era o Poeta Oficial... cá vou eu outra vez -
											não consigo evitá-lo, é verdade...
											(Risos)
											Criei um canal de poesia na Delta Airlines
											que durou alguns anos.
											Portanto poderiam sintonizar poesia enquanto voavam.
									","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
"
","
","
","
","
","
","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
"
											Mi sensación es que
											es bueno sacar la poesía de los estantes
											y ponerla en la vida pública.
											Empezar una reunión con un poema. Pueden adoptar esa idea.
											Cuando un poema llega a una cartelera o a la radio
											o a una caja de cereales, etc.,
											a menudo sucede
											que uno no tiene tiempo
											de activar el escudo anti-poesía
											que construyó en la secundaria.
									","
											Bana kalırsa
											şiiri raflardan alıp
											hayatın içine sokmak iyi birşey.
											Toplantıyı şiirle açın. Bu yanınızda götürebileceğiniz bir fikir olabilir.
											Bir ilan panosunda, radyoda,
											mısır gevreği kutusunda ya da her neredeyse
											bir şiirle karşılaşmak o kadar ani olur ki
											lisede yeşleşmiş
											anti-şiir yansıtıcı kalkanlarınızı
											çıkaracak vaktiniz olmaz.
									","
											And my sense is,
											it's a good thing to get poetry off the shelves
											and more into public life.
											Start a meeting with a poem. That would be an idea you might take with you.
											When you get a poem on a billboard or on the radio
											or on a cereal box or whatever,
											it happens to you so suddenly
											that you don't have time
											to deploy your anti-poetry deflector shields
											that were installed in high school.
									","
											Et j'ai le sentiment que
											c'est une bonne chose de sortir la poésie des étagères
											et de l'amener plus dans la vie publique.
											Commencer une réunion par un poème. Ce serait une idée que vous pourriez emporter.
											Lorsque vous avez un poème sur un panneau d'affichage ou à la radio
											ou sur une boîte de céréales ou autre,
											ça vous arrive si soudainement
											que vous n'avez pas le temps
											de déployer vos boucliers déflecteur anti-poésie
											qui ont été installés au lycée.
									","
											Und ich denke,
											dass es gut ist, Lyrik aus den Bücherregalen zu holen
											und sie ins öffentliche Leben zu bringen.
											Beginnen Sie ein Meeting mit einem Gedicht. Das wäre doch eine Idee.
											Wenn Sie auf ein Gedicht auf einer Werbetafel oder im Radio treffen
											oder auf einer Cornflakespackung oder was auch immer,
											dann geschieht das so plötzlich,
											dass Sie gar keine Zeit haben,
											Ihren Anti-Lyrik-Schutzschirm aufzuspannen,
											den Sie sich während der Schulzeit eingebaut haben.
									","
											O que eu quero dizer é que
											é uma coisa boa tirar a poesia das prateleiras
											e trazê-la mais para a vida pública.
											Comecem um encontro com um poema. Pode ser uma boa ideia a levar convosco.
											Quando encontram um poema num outdoor ou na rádio
											ou numa caixa de cereais, ou onde quer que seja,
											acontece-vos tão de repente
											que não têm tempo
											de activar os vossos escudos protectores anti-poesia
											que foram instalados durante o liceu.
									","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
"
","
","
","
","
","
","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
"
											Así que empecemos con el primero.
											Es un poema corto titulado ""Budapest""
											en el que revelo,
											o pretendo revelar,
											los secretos del proceso creativo.
									","
											Şimdi birincisiyle başlayalım.
											""Budapeşte"" isimli küçük bir şiir,
											onunla,
											yaratma sürecini yansıtıyorum
											veya yansıtmaya çalışıyorum.
									","
											So let us start with the first one.
											It's a little poem called ""Budapest,""
											and in it I reveal,
											or pretend to reveal,
											the secrets of the creative process.
									","
											Donc, nous allons commencer par le premier.
											C'est un petit poème intitulé « Budapest »,
											et j'y révèle,
											ou je fais semblant de révéler,
											les secrets du processus de création.
									","
											Also lassen Sie uns mit dem ersten beginnen.
											Es ist ein kleines Gedicht mit dem Titel ""Budapest"",
											und in diesem enthülle ich,
											oder ich tue zumindest so,
											was die Geheimnisse des kreativen Prozesses sind.
									","
											Vamos então começar com o primeiro.
											É um poema pequeno, chamado ""Budapeste"",
											e nele eu revelo,
											ou finjo que revelo,
											os segredos do processo creativo.
									","Everyday moments, caught in time",Billy Collins,15:13,"culture,entertainment,humor,poetry"
