en,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
"
											The public debate about architecture
											quite often just stays on contemplating the final result,
											the architectural object.
											Is the latest tower in London
											a gherkin or a sausage
											or a sex tool?
									","
											El debate sobre la arquitectura
											se reduce a menudo a contemplar el resultado,
											el objeto arquitectónico.
											El rascacielos más reciente de Londres,
											¿se parece a una pepinillo, una salchicha
											o a un juguete sexual?
									","
											Mimari hakkındaki toplumsal görüş
											genellikle tasarımın nihai sonucu üzerinde sınırlı kalır,
											yani mimari bir obje gibi.
											Londra'da son yapılan kule
											turşuluk bir salatalık mı, yoksa bir sosis mi
											veya bir seks aleti mi?
									","
											Le débat public sur l'architecture
											est la plupart du temps centré sur le résultat final,
											sur l'objet de l'architecture.
											La tour la plus récente de Londres, c'est quoi ?
											Un cornichon, une saucisse,
											ou un sex-toy ?
									","
											Die öffentliche Diskussion über Architektur
											dreht sich meistens nur um das Endergebnis.
											Das architektonische Objekt.
											„Ist das neueste Hochhaus in London
											eine Gewürzgurke oder ein Würstchen
											oder ein Sexspielzeug?“
									",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
"
","
","
","
","
",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
"
											So recently, we asked ourselves
											if we could invent a format
											that could actually tell the stories behind the projects,
											maybe combining images and drawings and words
											to actually sort of tell stories about architecture.
											And we discovered that we didn't have to invent it,
											it already existed in the form of a comic book.
									","
											Por ello, nos preguntamos
											si podríamos inventar un formato
											para contar el proceso de nuestros proyectos.
											Quizás combinando imágenes, planos y palabras
											para crear historias sobre arquitectura.
											Y resultó que no teníamos que inventarlo,
											ya existía, era el cómic.
									","
											Kısa zaman önce kendimize şunu sorduk,
											bir format yaratılıp da
											projelerin ardında yatan hikayeler anlatılabilir mi?
											Belki görüntü, çizim ve kelimeleri hikayeye birleştirip
											mimari hakkında hikayeler anlatmak mümkün olabilir.
											Ve bunu yaratmak zorunda olmadığımızı keşfettik,
											bir çizgi roman formatında hali hazırda zaten vardı.
									","
											Alors depuis peu, on se demande
											si on peut inventer une forme
											qui raconte l'histoire qui se cache derrière les projets.
											On pourrait allier les images, les dessins et les mots
											pour raconter des histoires sur l'architecture.
											On a découvert qu'on n'avait pas besoin de l'inventer,
											que ça existait déjà sous la forme de la bande dessinée.
									","
											Also haben wir uns vor kurzem gefragt,
											ob wir nicht ein Format erfinden könnten,
											das die Geschichten hinter den Projekten erzählen kann.
											Vielleicht mit Bildern, Zeichnungen und Worten.
											Um Geschichten über Architektur zu erzählen.
											Und wir stellten fest, wir brauchten es nicht zu erfinden.
											Es existierte bereits in Form von Comics.
									",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
"
","
","
","
","
",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
"
											So we basically copied the format of the comic book
											to actually tell the stories of behind the scenes,
											how our projects actually evolve through adaptation
											and improvisation.
											Sort of through the turmoil and the opportunities
											and the incidents of the real world.
											We call this comic book ""Yes is More,""
											which is obviously a sort of evolution of the ideas of some of our heroes.
									","
											Básicamente, copiamos el formato del cómic.
											Así, contamos la historia de cada trazo,
											cómo evolucionan los proyectos con adaptaciones
											e improvisación.
											A través de la confusión, las oportunidades
											y las casualidades del mundo real.
											Lo llamamos el cómic ""Sí es más"".
											Evidentemente, es la evolución de las ideas de nuestros héroes.
									","
											Bizde basitce çizgi roman formatını kopyaladık.
											Yani sahne arkasındaki görüntüleri,
											projelerimizin nasıl adaptasyon ve doğaçlama
											ile evrimleştiğini gerçekten anlattık.
											Gerçek dünyaya ait kargaşaların,
											fırsatların ve olayların içinden geçişimiz gibi.
											Bu çizgi roman kitabuna ""Evet, Daha Fazlasıdır"" adını verdik.
											Bu kitap bizim kahramanlarımızdan bazılarına ait fikirlerin evrimleşmesiyle ilgilidir.
									","
											En gros, on a copié le modèle de la bande dessinée.
											Donc on raconte ce qui se passe dans les coulisses,
											comment nos projets évoluent grâce à l'adaptation
											et à l'improvisation.
											Grâce à l'agitation, aux opportunités
											et aux incidents présents dans le monde réel.
											Cette bande dessinée s'appelle ""Oui c'est Plus.""
											Ce qui est apparement une évolution des idées de certains de nos héros.
									","
											Wir haben also praktisch das Comicformat kopiert,
											um die Storys hinter den Kulissen zu erzählen.
											Darüber wie sich unsere Projekte durch Adaption
											und Improvisation entwickeln.
											Etwa durch den Tumult, die Gelegenheiten und
											und Zwischenfälle in der echten Welt.
											Wir nennen diesen Comic „Yes is More“.
											Was eine Art von Weiterentwicklung der Ideen einiger unserer Helden ist.
									",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
"
","
","
","
","
",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
"
											In this case it's Mies van der Rohe's Less is More.
											He triggered the modernist revolution.
											After him followed the post-modern counter-revolution,
											Robert Venturi saying, ""Less is a bore.""
											After him, Philip Johnson sort of introduced
											(Laughter)
											you could say promiscuity, or at least openness
											to new ideas with, ""I am a whore.""
											Recently, Obama has introduced optimism
											at a sort of time of global financial crisis.
									","
											Como el ""Menos es más"" de Mies van der Rohe,
											impulsor de la revolución modernista.
											Luego llegó la contra revolución posmodernista.
											Robert Venturi con su ""Menos es aburrido"".
											Después, Philip Johnson introdujo
											(Risas)
											la promiscuidad o, al menos,
											nuevas ideas con ""Soy una puta"".
											Ahora, Obama ha introducido el optimismo
											en una época de crisis económica global.
									","
											Bu bölümde Mies van der Rohe var, ""Az, Daha Fazlasıdır""
											Kendisi modernist devrimin öncüsüdür.
											Onu post-modernizme karşıt gelişen devrim takip etmiştir.
											Robert Venuri burada ""Az, sıkıntıdır"" diyor.
											Sonrasında Philip Johnson'un
											(gülüşmeler)
											""gelişigüzellik"" veya en azından ""açıklık"" olarak adlandırlabilecek
											yeni fikirlerini aktaran ""Ben bir Fahişeyim""
											En son Obama'nın global finansal krizde
											iyimserliği tanıtması gibi...
									","
											Ici, il s'agit du ""Moins, c'est Plus"" de Mies van der Rohe.
											Il a déclenché la révolution moderne.
											Après lui, la contre-révolution post-moderne a suivi.
											Robert Venturi qui dit ""Moins, c'est embêtant.""™
											Après lui, Philip Johnson a ESSAYÉ de faire découvrir
											(Rires)
											disons, la promiscuité, ou tout du moins l'ouverture
											a de nouvelles idées avec ""je suis une putain.""
											Récemment, Obama a fait découvrir l'optimisme
											dans une période de crise économique mondiale.
									","
											In diesem Fall Mies van der Rohes „Weniger ist mehr“.
											Er hat die Revolution der Moderne ausgelöst.
											Ihm folgte die postmoderne Gegenrevolution.
											Robert Venturi sagte „Weniger ist öde“.
											Nach ihm führte Philip Johnson mehr oder weniger –
											(Gelächter)
											man könnte es „Freizügigkeit"" nennen, aber zumindest Offenheit
											für neue Ideen ein, mit „Ich bin eine Hure“.
											Kürzlich brachte Obama Optimismus
											in einer Zeit der globalen Finanzkrise.
									",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
"
","
","
","
","
",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
"
											And what we'd like to say with ""Yes is More""
											is basically trying to question this idea
											that the architectural avant-garde is almost always negatively defined,
											as who or what we are against.
											The cliche of the radical architect
											is the sort of angry young man rebelling against the establishment.
											Or this idea of the misunderstood genius,
											frustrated that the world doesn't fit in with his or her ideas.
											Rather than revolution, we're much more interested in evolution,
											this idea that things gradually evolve
											by adapting and improvising
											to the changes of the world.
									","
											Y nosotros con ""Sí es más"" queremos
											básicamente, cuestionar esta idea
											de que la vanguardia arquitectónica es negativista,
											contra quién o contra qué estamos.
											El cliché del arquitecto radical
											es un joven reaccionario que lucha contra el orden establecido.
											O la idea de genio incomprendido,
											frustrado porque el mundo no está preparado para sus ideas.
											Más que una revolución, nos interesa más la evolución.
											La idea de que todo evoluciona
											con adaptación e improvisación
											ante los cambios del mundo.
									","
											""Evet, daha fazlasıdır"" ile bizim söylemek istediğimiz şey
											basitçe şu fikri sorgulamak:
											mimaride öncül olmak neredeyse her zaman olumsuz tanımlanır,
											ki biz buna karşıyız.
											Radikal bir mimarın klişesi
											bir kuruma karşı savaş veren öfkeli genç bir adam gibidir.
											Veya yanlış anlaşılmış dahi fikri,
											dünyanın onun fikirlerine uymamasından yılmıştır.
											Biz devrimden ziyade evrim ile ilgileniyoruz.
											Bu fikir, bir şeylerin zamanla, adaptasyon ve doğaçlama
											yoluyla, dünyadaki değişimlere
											evrimleştiğidir.
									","
											Ce qu'on voudrait faire avec ""Oui, c'est Plus"",
											c'est en fait essayer de remettre en question cette idée
											que l'avant-garde architecturale est très souvent définie négativement,
											comme ce contre quoi, ou contre qui, on se positionne.
											Le cliché de l'architecte radical
											est une espèce de jeune homme furieux qui se rebelle contre l'ordre établi.
											Ou encore cette idée du génie incompris,
											frustré parce que le monde ne veut pas se conformer à ses idées.
											Bien plus que la révolution, nous nous intéressons à l'évolution.
											Cette idée que les choses évoluent petit à petit
											en improvisant, et en s'adaptant
											aux changements dans le monde.
									","
											Und was wir mit „Yes is More“ wollen,
											zu versuchen zu hinterfragen,
											dass die architektonische Avantgarde fast immer negativ definiert wird.
											Dadurch gegen wen oder was wir sind.
											Das Klischee des radikalen Architekten
											ist so ein zorniger junger Mann, der gegen das Establishment rebelliert.
											Oder diese Vorstellung des verkannten Genies,
											frustriert, dass die Welt nicht mit seinen Ideen übereinstimmt.
											Anstatt für Revolution interessieren wir uns viel mehr für Evolution.
											Dieser Gedanke, dass Dinge sich langsam entwickeln.
											Durch Improvisation und Anpassung
											an die Veränderungen der Welt.
									",3 warp-speed architecture tales,Bjarke Ingels,18:14,"architecture,cities,creativity,design,environment,green"
