en,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Applaus)
									","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
","
","
","
","
","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
											(Music)
									","
											(Música)
									","
											(Music)
									","
											(Musique)
									","
											(Musik)
									","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
","
","
","
","
","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Applaus)
									","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
","
","
","
","
","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
											Angella Ahn: Thank you.
											(Applause)
											Thank you so much.
											We are so honored to be here at TEDWomen,
											sharing our music with you.
											What an exciting and inspiring event.
											What you just heard is ""Skylife"" by David Balakrishnan.
											We want to play you one more selection.
											It's by Astor Piazzolla, an Argentine composer.
											And we talk about different ideas —
											he had this idea
											that he thought music should be from the heart.
											This was in the middle of the 20th century
											when music from the heart, beautiful music,
											wasn't the most popular thing in the classical music world.
											It was more atonal and twelve-tone.
											And he insisted on beautiful music.
											So this is ""Oblivion"" by Astor Piazzolla.
									","
											Angella Ahn: Gracias.
											(Aplausos)
											Muchas gracias.
											Es un gran honor estar aquí en TEDWomen
											compartiendo nuestra música con Uds.
											¡Qué evento más emocionante e inspirador!
											Lo que acaban de escuchar es ""Skylife"", de David Balakrishnan.
											Ahora queremos presentarles otra selección.
											Es de Astor Piazzolla, un compositor argentino.
											Y hablamos de ideas diferentes...
											él tenía esta idea
											pensaba que la música debería venir del corazón.
											Esto era a mediados del siglo XX
											cuando la música del corazón, música maravillosa,
											no era lo más popular en el mundo de la música clásica.
											Era más atonal y dodecafónica.
											Pero él insistía en la belleza de la música.
											Esto es ""Oblivion"" de Astor Piazzolla.
									","
											Angella Ahn: Teşekkür ederim.
											(Alkış)
											Çok teşekkür ederim.
											TEDWomen'da olmaktan, müziğimizi sizinle
											paylaşmaktan çok onur duyuyoruz.
											Ne heyacan ve ilham veren bir olay.
											Dinlediğiniz David Balakrishanan'dan Skylife'dı
											Bir tane daha çalacağız.
											Arjantinli besteci, Astor Piazolla'dan.
											Ve farklı fikirler hakkında konuştuk —
											müziğin kalpten olması gerektiğini düşünen
											bir fikre sahipti.
											20nci yüzyılın ortalarında kalpten gelen
											güzel müziğin klasik müzik dünyasında
											en popüler şey olmadığı zamanlardı.
											Daha atonal(anahtar olmadan) ve kromatikti.
											Güzel müzikte ısrar etti.
											Bu yüzden bu Astor Piazolla'dan ""Oblivion""
									","
											Angella Ahn: merci.
											(Applaudissements)
											Merci beaucoup.
											Nous sommes très honorées d´être ici à TEDWomen,
											et de partager notre musique avec vous.
											C´est un évènement très excitant et exaltant.
											Ce que vous venez d´entendre c´est ""Skylife"", de David Balakrishnan.
											Nous voulons vous jouer encore une sélection.
											C´est d´Astor Piazzolla, un compositeur argentin.
											Et nous parlons d´idées différentes-
											il il avait cette idée
											qu´il pensait que la musique devait venir du coeur.
											C´était au milieu du 20ème siècle
											quand la musique qui venait du coeur, la belle musique,
											n´était pas la chose la plus populaire dans le monde de la musique classique.
											C´était plus atonal et dodécaphonique.
											Et il a insisté en la belle musique.
											Donc voici ""Oblivion"", d´Astor Piazzolla.
									","
											Angella Ahn: Danke schön.
											(Applaus)
											Haben Sie herzlichen Dank.
											Wir fühlen uns sehr geehrt, hier bei TEDWomen zu sein
											und Ihnen unsere Musik vorstellen zu dürfen.
											War für eine aufregende und inspirierende Veranstaltung.
											Was Sie soeben hörten, ist ""Skylife"" von David Balakrishnan.
											Wir möchten Ihnen ein weiteres Stück präsentieren.
											Es ist von Astor Piazzolla, einem argentinischen Komponisten.
											Er hatte ganz andere musikalische Vorstellungen -
											seine Vorstellung war die, zu glauben,
											dass Musik vom Herzen kommen sollte.
											Das war in der Mitte des 20. Jahrhunderts,
											als Musik, die von Herzem kam, wunderschöne Musik,
											nicht gerade sehr populär in der klassischen Musik war.
											Die war mehr atonal und Zwölftonmusik.
											Aber er bestand auf schöner Musik.
											Dies ist also ""Oblivion"" von Astor Piazzolla.
									","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
","
","
","
","
","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
											Thank you.
									","
											Gracias.
									","
											Teşekkür ederim.
									","
											Merci.
									","
											Danke schön.
									","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
","
","
","
","
","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
											(Music)
											(Applause)
									","
											(Música)
											(Aplausos)
									","
											(Müzik)
											(Alkış)
									","
											(Musique)
											(Applaudissements)
									","
											(Musik)
											(Applaus)
									","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
"
","
","
","
","
","A modern take on piano, violin, cello",Ahn Trio,9:25,"entertainment,live music,performance,music"
