en,de,fr,tr,title,speaker,duration,tags
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											I grew up white, secular and middle class
											in 1950s America.
											That meant watching fireworks
on the Fourth of July,
											trick-or-treating on Halloween
											and putting presents
under a tree at Christmas.
											But by the time
those traditions got to me,
											they were hollow, commercial enterprises,
											which just left me feeling empty.
											So from a relatively young age,
											I found myself looking to fill
an existential hole,
											to connect with something
bigger than myself.
									","
											Ich wuchs auf als weißer Mann,
säkular, in einer Mittelschichtfamilie
											in den 50er Jahren in der USA.
											Das bedeutete,
Feuerwerk gucken am 4. Juli,
											Süßes oder Saures an Halloween
											und Geschenke unter
den Weihnachtsbaum legen.
											Aber mit der Zeit waren diese Traditionen
											nur noch hohles, kommerzielles Treiben,
											die mir ein Gefühl von Leere gaben.
											Von früh an also,
											habe ich versucht, 
diese existenziellen Löcher zu füllen,
											um mich mit etwas Größerem
als mir selbst zu verbinden.
									","
											J'ai grandi en étant blanc,
laïc et de classe moyenne
											dans l'Amérique des années 50.
											Ça signifiait admirer les feux d'artifice
le 4 juillet, la fête nationale,
											faire la chasse aux bonbons à Halloween
											et déposer des cadeaux
sous le sapin de Noël.
											Mais quand ces traditions
ont commencé à me parler,
											c'étaient des entreprises
commerciales creuses
											qui me laissaient avec un vide.
											A un âge relativement jeune,
											j'ai commencé à chercher
à remplir un vide existentiel,
											à rejoindre quelque chose
qui me dépassait.
									","
											1950'lerde Amerika'da
											beyaz, laik ve orta bir sınıfta yetiştim.
											Bunun anlamı 4 Temmuz'da
havai fişeklerin izlenmesi,
											Cadılar bayramında 
''şaka mı şeker mi?'' diye sorulması
											ve Noel'de bir ağacın altına 
hediyelerin konulup sunulmasıdır.
											Fakat bu gelenekler, zamanla
											beni anlamsızlığa iten
											içi boş ticari işletmeler oldular.
											Gençliğimden beri,
											kendimden daha büyük bir şeyle
bağlantı kurmak için
											kendimi varoluşsal bir deliği 
doldururken buldum.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											There hadn't been a bar mitzvah
in my family in over a century,
											so I thought I'd take a shot at that —
									","
											Bar Mitzwa wurde in unserer Familie
seit Ewigkeiten nicht gefeiert,
											also fing ich damit an —
									","
											Ma famille n'avait plus organisé
de bar mitzvah depuis un siècle
											alors j'ai pensé
que je pourrais ranimer ça.
									","
											Ailemde bir asırdan fazla bir süredir 
bar mitzhvah yapılmıyordu.
											bu yüzden bir şeyler yapmam
gerektiğini düşündüm
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Kahkahalar)
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											only to be devastated
when my one encounter with the rabbi,
											a really tall, godlike figure
with flowing white hair,
											consisted of him asking me
for my middle name
											so we could fill out a form.
											Yep, that was it.
									","
											und war schließlich erschüttert, 
weil meine Begegnung mit dem Rabbiner,
											eine große, gottähnliche Person,
mit wehendem, weißem Haar,
											nur darin bestand,
meinen zweiten Vornamen zu erfragen,
											damit wir ein Formular ausfüllen konnten.
											Ja, das war alles.
									","
											Mais ma rencontre avec le rabbin
a éteint mon espoir.
											Il était très grand, ressemblant
à Dieu avec ses cheveux gris,
											et il m'a demandé mon deuxième prénom
											pour remplir son formulaire.
											Ce fut tout.
									","
											ve oldukça uzun boylu, ak saçlı,
											tanrıvari haham
											formu doldurmak için
											göbek adımı sorduğunda hüsrana uğradım.
											Evet, aynen öyle oldu.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Kahkahalar)
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
