es,pt,tr,en,fr,title,speaker,duration,tags
"
","
","
","
","
",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
"
											Soy un hombre que intenta 
vivir con el corazón,
											y así que antes 
de empezar,
											quería decirles como surafricano
											que uno de los hombres 
que más me ha inspirado
											falleció hace unas horas.
											Nelson Mandela 
ha llegado al final
											de su largo camino 
hacia la libertad.
											Y esta charla 
es para él.
									","
											Sou um homem que tenta viver 
e agir com o coração,
											e por isso, antes de prosseguir
											gostaria de dizer que, 
enquanto sul-africano,
											um dos homens que mais me inspirou
											morreu há poucas horas atrás.
											Nelson Mandela chegou ao fim
											da sua longa caminhada para a liberdade.
											E por isso, esta palestra é-lhe dedicada.
									","
											Ben kalpten yaşamaya çalışan bir adamım
											ve başlamadan hemen önce
											size bir Güney Afrikalı olarak söylemek istediğim şey
											bana en çok ilham veren kişilerden birinin
											birkaç saat önce vefat ettiğidir.
											Nelson Mandela özgürlüğe olan
											uzun yürüyüşünün sonuna geldi.
											Bunun için bu konuşma onun için olacak.
									","
											I'm a man who's trying to live from his heart,
											and so just before I get going,
											I wanted to tell you as a South African
											that one of the men who has inspired me most
											passed away a few hours ago.
											Nelson Mandela has come to the end
											of his long walk to freedom.
											And so this talk is going to be for him.
									","
											Je suis un homme qui essaie
en suivant son cœur,
											alors, juste avant de commencer,
											je voulais vous dire
qu'en tant que Sud-Africain,
											l'un des hommes qui m'ont le plus inspiré
											est mort il y a quelques heures.
											Nelson Mandela est arrivé au bout
											de son long voyage vers la liberté.
											Et ce discours lui est dédié.
									",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
"
","
","
","
","
",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
"
											Yo crecí en el asombro.
											Crecí entre estos animales.
											Crecí en la parte oriental 
salvaje de Sudáfrica
											en un lugar llamado 
Londolozi Game Reserve.
											Es un lugar donde 
mi familia ha estado
											en el negocio del safari 
por cuatro generaciones.
											Durante todo el tiempo 
que puedo recordar,
											mi trabajo ha sido sacar a 
la gente en la naturaleza,
											así que creo que hoy es 
un hermoso giro del destino
											tener la oportunidad
											de mostrar algunas de 
mis experiencias en la naturaleza
											en esta reunión.
											África es un lugar
											donde la gente todavía se sienta 
bajo un cielo estrellado
											y alrededor de fogatas 
a contar historias,
											y entonces lo que debo 
compartir con Uds. hoy
											es la medicina simple de 
unos cuentos de fogata,
											historias sobre 
héroes del corazón.
											Mis historias no 
son las historias
											que Uds. escucharán 
en las noticias,
											y si bien es cierto que 
África es un lugar hostil,
											también sé que es un lugar
											donde las personas, 
animales y ecosistemas
											nos enseñan acerca de 
un mundo más interconectado.
									","
											Cresci com uma enorme admiração.
											Eu cresci rodeado por esses animais.
											Cresci na parte leste, selvagem,
da África do Sul
											na Reserva de Caça de Londolozi.
											Este é um lugar que a minha família tem ocupado
											como campo de Safari, há já quatro gerações.
											Ora, desde que me lembro, a minha função
											tem sido levar gente 
para o meio da Natureza.
											Por isso, julgo ser 
uma bela ironia do destino
											ter agora a oportunidade
											de trazer algumas das minhas experiências 
do meio da Natureza
											para este encontro.
											A África é um lugar
											onde as pessoas ainda se sentam 
sob o céu estrelado,
											em torno de fogueiras ao ar livre 
e contam histórias.
											O que tenho para partilhar hoje
											é a simples mezinha 
de algumas histórias contadas à fogueira.
											Histórias sobre heróis de coragem e coração.
											As minhas histórias não são do género
											das que se ouvem no noticiário,
											e embora seja verdade que a África 
é um lugar austero,
											também sei que é um lugar
											onde as pessoas, os animais e os ecossistemas
											nos ensinam sobre um mundo mais interligado.
									","
											Merak içinde büyüdüm.
											Bu hayvanların arasında büyüdüm.
											Güney Afrika'nın vahşi doğu kısmı olan
											Londolozi Safari Parkı denilen bir yerde büyüdüm.
											Burası ailemin dört nesildir
											safari işiyle uğraştığı yerdir.
											Evet, hatırlayabildiğim kadarıyla hep yaptığım
											iş insanları tabiata götürmek olmuştu
											ve bu yüzden doğadaki bazı deneyimlerimi
											bu buluşmaya
											getirme fırsatı bulmak
											kaderin güzel bir cilvesi.
											Afrika,
											insanların hâlâ yıldızlı gökyüzünün ve kamp ateşlerinin
											altında oturdukları ve hikâyeler anlatıkları bir yerdir
											ve bu yüzden sizinle bugün paylaşacağım şey
											birkaç kamp ateşi hikâyesinin basit ilacı olacak,
											yürekli kahramanların hikâyeleri.
											Şimdi benim anlatacağım hikâyeler
											haberlerde duyabileceğiniz hikâyeler değil
											ve Afrika'nın sert bir yer olduğu doğru olmakla beraber,
											ben orayı insanların, hayvanların ve eko-sistemlerin
											bize birbirine daha bağlı bir dünyayı öğrettiği
											bir yer olarak biliyorum.
									","
											I grew up in wonder.
											I grew up amongst those animals.
											I grew up in the wild eastern part of South Africa
											at a place called Londolozi Game Reserve.
											It's a place where my family has been
											in the safari business for four generations.
											Now for as long as I can remember,
											my job has been to take people out into nature,
											and so I think it's a lovely twist of fate today
											to have the opportunity
											to bring some of my experiences out in nature
											in to this gathering.
											Africa is a place
											where people still sit under starlit skies
											and around campfires and tell stories,
											and so what I have to share with you today
											is the simple medicine of a few campfire stories,
											stories about heroes of heart.
											Now my stories are not the stories
											that you'll hear on the news,
											and while it's true that Africa is a harsh place,
											I also know it to be a place
											where people, animals and ecosystems
											teach us about a more interconnected world.
									","
											J'ai grandi dans l'émerveillement.
											J'ai grandi parmi ces animaux.
											J'ai grandi dans l'Est sauvage
de l'Afrique du Sud,
											dans un endroit appelé
la Réserve de Chasse Londolozi.
											C'est un lieu où ma famille
organise des safaris
											depuis quatre générations.
											D'aussi loin que je me souvienne,
											mon travail a été d'emmener les gens
dans la nature,
											et je pense que c'est
une charmante ironie du sort
											d'avoir aujourd'hui l'occasion
											d'apporter un peu
de mon expérience de la nature
											à cette assemblée.
											L'Afrique est un lieu
											où les gens continuent de s'asseoir
sous les cieux étoilés,
											autour d'un feu de camp,
pour se raconter des histoires,
											et ce que je veux partager avec vous
aujourd'hui,
											c'est le simple réconfort de quelques contes,
											des histoires qui parlent
de héros de cœur.
											Mes histoires ne sont pas celles
											dont vous entendrez parler aux infos,
											et s'il est vrai que l'Afrique est rude,
											je sais aussi que c'est un endroit
											où les gens, les animaux
et les écosystèmes
											nous enseignent des choses
sur un monde plus interconnecté.
									",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
"
","
","
","
","
",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
"
											Cuando tenía 9 años,
											el presidente Mandela llegó 
para quedarse con mi familia.
											Le acababan de liberar tras 
27 años de encarcelamiento,
											y estaba en un 
período de reajuste
											a su condición de 
icono global repentino.
											Miembros del Congreso 
Nacional Africano
											creyeron que en la selva
											tendría tiempo para 
descansar y recuperarse
											lejos de los ojos del público,
											y es cierto que los leones 
tienden a ser
											un muy buen elemento disuasivo 
para la prensa y paparazzi.
											(Risas)
											Pero fue un momento decisivo 
para mí como un muchacho joven.
											Le llevaría el desayuno a la cama,
											y luego, en un viejo 
chándal y zapatillas,
											él iría a pasear por el jardín.
											Por la noche, 
me sentaba con mi familia
											alrededor de la televisión 
nevada de orejas de conejo
											y ver las imágenes del mismo
											hombre tranquilo del jardín
											rodeado de cientos 
de miles de personas
											en escenas de su liberación 
que se difundían todas las noches.
											Él iba a traer paz
											a una Sudáfrica 
dividida y violenta,
											un hombre con un sentido 
increíble de su humanidad.
											Mandela dijo a menudo 
el regalo de la prisión
											fue la capacidad 
de ir a su interior y pensar,
											para crear dentro de sí
											las cosas que más 
quería para Sudáfrica:
											paz, reconciliación, armonía.
											A través de este acto de 
inmenso corazón abierto,
											iba a convertirse 
en la encarnación
											de lo que en Sudáfrica 
que llamamos ""ubuntu"".
											Ubuntu: Existo gracias a ti.
											O, las personas 
no personas
											sin otras personas.
											No es una idea 
o un valor nuevo
											pero es uno que sin duda 
creo que en estos momentos
											vale la pena construir.
											De hecho, se dice que en 
la conciencia colectiva de África,
											llegamos a las partes más 
profundas de la experiencia
											de nuestra propia humanidad
											a través de nuestras 
interacciones con los demás.
											Ubuntu está en juego ahora.
											Uds. tienen un espacio para mí
											para expresar la verdad 
más profunda de quién soy.
											Sin Uds., soy un tipo hablando 
en una sala vacía,
											y pasé mucho tiempo 
haciéndolo, la semana pasada
											y no es lo mismo que esto.
											(Risas)
									","
											Quando eu tinha nove anos
											o Presidente Mandela foi acolhido 
pela minha família.
											Tinha acabado de ser libertado 
após 27 anos de prisão
											e estava a passar por 
um período de adaptação
											à sua súbita ascenção 
a ícone de estatuto global.
											Havia Membros do 
Congresso Nacional Africano
											que achavam que o mato
											seria o lugar ideal 
para descansar e recuperar
											longe da vista do público.
											E de facto, os leões 
têm tendência a serem
											uma forma eficaz de deter 
a imprensa e os ""paparazzi"".
											(Risos)
											Foi uma altura marcante na minha infância.
											Servia-lhe o pequeno almoço na cama,
											e depois, vestido num velho 
fato de treino e pantufas
											ele ia passear pelo jardim.
											À noite, sentava-me com a minha família
											em frente à TV enevoada, 
com orelhas de coelho,
											e víamos imagens daquele
											mesmo homem calmo do jardim,
											cercado por centenas e milhares de pessoas,
											porque imagens sobre a sua libertação 
eram transmitidas todas as noites.
											Ele propunha trazer paz
											a uma África do Sul dividida e violenta.
											Um ser humano com uma 
incrível consciência da sua humanidade.
											Mandela disse várias vezes que o seu 
aprisionamento lhe tinha trazido
											a oportunidade para a contemplação interior,
											e de criar em si mesmo
											o que mais desejava para a África do Sul.
											Paz. Reconciliação. Harmonia.
											Através deste ato de enorme generosidade
											ele encarnou aquilo a que
											na África do Sul chamamos ""ubuntu"".
											""Ubuntu"":
eu sou, por causa de ti.
											Ou que as pessoas não existem
											sem outras pessoas.
											Não é uma ideia nem valor novos,
											mas algo que julgo ser importante
nesta altura
											servir de fundação para o crescimento.
											Dizem que na consciência coletiva da África
											temos a oportunidade de vivenciar as profundezas
											da nossa própria humanidade
											através da interação com os outros.
											""Ubuntu"" está a acontecer neste momento.
											Vocês estão a manter um espaço aberto
											para que possa expressar a verdade 
mais profunda de mim mesmo.
											Sem vocês, sou apenas alguém a falar 
para uma sala vazia,
											e passei muito tempo na semana passada 
a fazer isso mesmo,
											e não é... (Risos) 
Não é a mesma coisa.
											(Risos)
									","
											Dokuz yaşındayken
											Cumhurbaşkanı Mandela ailemle kalmaya geldi.
											27 yıllık tutsaklığından yeni kurtulmuştu
											ve birdenbire olan küresel simge statüsüne
											alışma dönemindeydi.
											Afrika Ulusal Kongresi üyeleri doğada
											gözden uzakta bir yerde dinlenebileceğini ve eski
											sağlığına tekrar kavuşabileceğini
											düşündüler
											ve aslanların basın ve paparazzi için
											iyi bir caydırıcı olduğu da doğrudur.
											(Gülüşmeler)
											Ama bu küçük bir çocuk olarak benim için bir dönüm noktasıydı bu.
											Yatağına kahvaltı götürürdüm
											ve daha sonra eski bir eşofman ve terlikle
											bahçede yürüyüşe çıkardı.
											Geceleyin, karıncalı ve çubuk antenli televizyonun
											başında ailemle otururdum
											ve bahçedeki o aynı sessiz adamın
											her yanı yüzlerce, binlerce kişi tarafından sarılı
											görüntülerini izlerdim,
											çünkü tahliyesinin görüntüleri geceleri yayınlanıyordu.
											İnanılmaz bir insanlık anlayışına sahip bir adam,
											bölünmüş ve şiddet dolu Güney Afrika'ya
											barış getiriyordu.
											Mandela sıklıkla hapishanenin hediyesinin,
											kendini dinleme ve Güney Afrika için en çok istediği
											şeyleri düşünme ve kendinde keşfetme yeteneği
											olduğunu söylerdi:
											Barış, uzlaşma, uyum.
											Bu engin açık yüreklilik ile,
											bizim Güney Afrika'da ""ubuntu"" dediğimiz
											şeyin vücut bulmuş haline gelecekti.
											Ubuntu: Ben senin sayende olduğum kişiyim
											ya da insanlar diğer insanlar olmadan
											insan değildir.
											Bu, yeni bir düşünce ya da değer değil,
											ama bu benim bu günlerde kesinlikle
											geliştirmeye değer olduğunu düşündüğüm bir şey.
											Aslında, Afrika'nın ortak hafızasında
											kendi insaniyetimizin en derin bölümlerini
											başkaları ile olan etkileşimlerimiz sayesinde
											deneyimlediğimiz söylenir.
											Ubuntu şu an sahnede.
											Siz bana kim olduğum gerçeğini
											en derin şekilde gözler önüne sermem için şans tanıyorsunuz.
											Sizler olmayınca ben boş bir odayla konuşan bir adamım sadece,
											zaten geçen haftanın çoğunu böyle geçirdim
											ve bununla aynı değildi.
											(Gülüşmeler)
									","
											When I was nine years old,
											President Mandela came to stay with my family.
											He had just been released from
his 27 years of incarceration,
											and was in a period of readjustment
											to his sudden global icon status.
											Members of the African National Congress
											thought that in the bush
											he would have time to rest and recuperate
											away from the public eye,
											and it's true that lions tend to be
											a very good deterrent to press and paparazzi.
											(Laughter)
											But it was a defining time for me as a young boy.
											I would take him breakfast in bed,
											and then, in an old track suit and slippers,
											he would go for a walk around the garden.
											At night, I would sit with my family
											around the snowy, bunny-eared TV,
											and watch images of that same
											quiet man from the garden
											surrounded by hundreds and thousands of people
											as scenes from his release were broadcast nightly.
											He was bringing peace
											to a divided and violent South Africa,
											one man with an unbelievable sense of his humanity.
											Mandela said often that the gift of prison
											was the ability to go within and to think,
											to create in himself
											the things he most wanted for South Africa:
											peace, reconciliation, harmony.
											Through this act of immense open-heartedness,
											he was to become the embodiment
											of what in South Africa we call ""ubuntu.""
											Ubuntu: I am because of you.
											Or, people are not people
											without other people.
											It's not a new idea or value
											but it's one that I certainly think at these times
											is worth building on.
											In fact, it is said that in the
collective consciousness of Africa,
											we get to experience the deepest parts
											of our own humanity
											through our interactions with others.
											Ubuntu is at play right now.
											You are holding a space for me
											to express the deepest truth of who I am.
											Without you, I'm just a guy talking to an empty room,
											and I spent a lot of time last week doing that,
											and it's not the same as this.
											(Laughter)
									","
											Quand j'avais neuf ans,
											le Président Mandela
est venu séjourner dans ma famille.
											Il venait d'être libéré
de ses 27 années d'incarcération,
											et était dans une période de réajustement
											vis-à-vis de son nouveau statut
d'icône planétaire.
											Les membres du Congrès National Africain
											pensaient que dans la brousse
											il aurait le temps de se reposer
et de récupérer
											loin de la scène publique,
											et il est vrai que les lions
ont tendance à être
											très dissuasifs face à la presse
et aux paparazzi.
											(Rires)
											Mais ce fut aussi un moment décisif pour moi,
en tant que petit garçon.
											Je lui apportais son petit-déjeuner au lit,
											et ensuite,
dans un vieux survêtement et des pantoufles,
											il allait se promener dans le jardin.
											La nuit, je m'asseyais avec ma famille
											autour de la télé neigeuse,
aux oreilles de lapin,
											et je regardais les images
											de l'homme tranquille
de notre jardin,
											entouré par des centaines,
des milliers de personnes
											dans les vidéos de sa libération
diffusées tous les soirs.
											Il amenait la paix
											à une Afrique du Sud
divisée et violente,
											un homme avec un incroyable sens
de son humanité.
											Mandela disait souvent
que le bon côté de la prison
											c'était qu'elle lui avait permis d'entrer en lui-même
et de réfléchir,
											de créer en lui-même
											ce qu'il désirait le plus
pour l'Afrique du Sud :
											la paix, la réconciliation, l'harmonie.
											A travers cet acte d'une immense sincérité,
											il allait devenir l'incarnation
											de ce qu'en Afrique du Sud
on appelle « ubuntu ».
											Ubuntu : Je suis grâce à toi.
											Autrement dit,
nous ne serions pas celui que nous sommes
											sans les autres.
											Ce n'est pas une idée
ni une valeur nouvelle,
											mais c'en est une
dont je pense vraiment
											qu'elle mérite
qu'on s'y attache à notre époque.
											En fait, on dit que,
dans la conscience collective africaine,
											nous ressentons notre humanité
											la plus profonde
											au travers de nos interactions
avec autrui.
											Ubuntu est à l'oeuvre en ce moment même.
											Vous m'ouvrez un espace
où je peux exprimer
											ma vérité la plus profonde.
											Sans vous, je suis juste un type qui parle
à une salle vide ;
											j'ai passé beaucoup de temps à faire ça
la semaine dernière,
											et ce n'est pas la même chose qu'ici.
											(Rires)
									",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
"
","
","
","
","
",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
"
											Si Mandela era la encarnación 
nacional e internacional,
											por otra parte, el hombre 
que más me enseñó
											sobre este valor fue 
personalmente este hombre,
											Solly Mhlongo.
											Solly nació bajo un árbol,
											a 60 km de donde 
me crié en Mozambique.
											Nunca tendría un 
montón de dinero,
											pero él llegó a ser
											uno de los hombres más ricos 
que conocería.
											Solly creció cuidando 
el ganado de su padre.
											Ahora, puedo decirles, que no sé qué pasa a las personas que han crecido cuidando ganado,
											pero las hace ser
súper ingeniosas.
											El primer trabajo que tuvo 
en el negocio del safari
											fue arreglar los 
camiones de safari.
											De dónde había aprendido 
a hacer eso en la selva,
											no tengo ni idea, 
pero podía hacerlo.
											Luego pasó al otro lado 
a lo que llamamos
											el equipo de hábitat.
											Estas eran las 
personas de la reserva
											responsables de su bienestar.
											Arregló caminos, 
mejoró los humedales,
											algo de anti caza furtiva.
											Y un día salimos juntos
											y se encontró con las huellas 
de una leopardo hembra.
											Y eran rastros antiguos,
											pero para divertirse 
se volvió y comenzó a seguirlos,
											y les digo, supe
por la velocidad
											con la que se movía por 
esas marcas de almohadillas,
											que este hombre era 
un rastreador de nivel doctorado.
											Si pasabas a Solly
											en algún lugar 
fuera de la reserva,
											al mirar por el retrovisor
											verías que había 
parado el coche
											20, 50 metros 
atrás de la carretera
											por si acaso necesitabas 
ayuda con algo.
											La única acusación 
que escuché hacía él
											fue cuando uno de 
nuestros clientes dijo:
											""Solly, eres patológicamente servicial"".
											(Risas)
									","
											Embora Mandela fosse a encarnação nacional 
e internacional [de ""ubuntu""],
											o homem que mais me ensinou
											sobre este valor, pessoalmente, foi este senhor,
											Solly Mhlongo.
											Solly nasceu debaixo de uma árvore
											a 60 km de onde eu cresci, em Moçambique.
											Ele nunca teve muito dinheiro,
											mas tornou-se num dos homens
											mais ricos que eu alguma vez conheci.
											Solly passou a juventude 
a tratar do gado do pai.
											Eu não sei bem porquê, 
mas uma juventude a tratar de gado
											parece criar pessoas 
incrivelmente habilidosas.
											O primeiro trabalho que teve 
relacionado com safaris
											foi a consertar camiões de safari.
											Onde aprendeu ele a fazer reparações, 
no meio do mato,
											não faço a menor ideia. 
Mas conseguia.
											Depois, passou a fazer parte
											daquilo a que chamamos 
a ""equipa do 'habitat'.""
											Na Reserva, eram os responsáveis
											pela manutenção e saúde.
											Ele remendava estradas, corrigia pantanais,
											e afastava caçadores-furtivos.
											Um dia, estávamos nós no mato,
											e ele viu as pegadas deixadas por 
um leopardo fêmea.
											Era um rasto antigo,
											mas ele seguiu-o, na brincadeira,
											e pude perceber pela rapidez
											com que ele seguia as pegadas,
											que ele parecia ter um 
Doutoramento como batedor.
											Se passasse pelo Solly, de carro,
											algures na Reserva,
											quando olhasse pelo retrovisor
											iria reparar que ele teria parado o carro
											a 20 m, 50 m de distância,
											""para o caso de precisar 
de ajuda nalguma coisa.""
											A única acusação que alguma vez 
ouvi ser-lhe dirigida
											foi quando um dos nossos clientes disse
											""Solly, você é patologicamente prestativo.""
											(Risos)
									","
											Mandela ulusal ve uluslararası bir simgeyse,
											o zaman kişisel olarak
											bana bu değeri en çok öğreten adam
											Solly Mhlongo'ydu.
											Solly, benim Mozambik'te büyüdüğüm yerin
											60 kilometre uzağındaki bir ağacın altında dünyaya geldi.
											Hiç öyle çok fazla parası olmazdı,
											ancak hayatta tanıdığım
											en zengin adamlardan biri olacaktı.
											Solly babasının sığırlarına bakarak büyüdü.
											Şimdi cidden, niye öyle bilmiyorum ama,
											sığırlara bakarak büyümüş insanlar aşırı becerikli oluyorlar.
											Safari işindeki ilk işi
											safari kamyonlarını tamir etmekti.
											Ormanın ortasında bunu yapmayı nereden öğrendi
											hiç bilmiyorum, ama yapardı.
											Sonra habitat grubu dediğimiz şeyin
											içine girdi.
											Parktaki bu insanlar habitatın
											iyiliğinden sorumluydu.
											Yolları tamir etti, sulak alanları düzenledi,
											biraz da yasadışı avlananlarla uğraştı.
											Bir gün beraber dışarıdaydık
											ve bir dişi leoparın üzerinden geçtiği bir ize rastladık.
											Eski de bir izdi,
											ama eğlencesine dönüp takip etmeye başladı
											ve size o pati izlerini izleme hızından
											söyleyebilirim ki,
											bu adam doktora seviyesinde iz sürücüydü.
											Solly'yi doğanın ortasında
											arabanızla geçip de
											dikiz aynanıza baksaydınız,
											arabasını yolun 20-50 metre ilerisinde
											sırf bir şeye ihtiyacınız olur diye
											durdurduğunu görürdünüz.
											Ona yapıldığını duyduğum tek suçlama
											bir müşterimizin
											""Solly, gereksiz derecede yardımseversin"" demesiydi.
											(Gülüşmeler)
									","
											If Mandela was the national
and international embodiment,
											then the man who taught me the most
											about this value personally was this man,
											Solly Mhlongo.
											Solly was born under a tree
											60 kilometers from where I grew up in Mozambique.
											He would never have a lot of money,
											but he was to be
											one of the richest men I would ever meet.
											Solly grew up tending to his father's cattle.
											Now, I can tell you, I don't know what it is
about people who grow up looking after cattle,
											but it makes for über-resourcefulness.
											The first job that he ever got in the safari business
											was fixing the safari trucks.
											Where he had learned to do that out in the bush
											I have no idea, but he could do it.
											He then moved across into what we called
											the habitat team.
											These were the people on the reserve
											who were responsible for its well-being.
											He fixed roads, he mended wetlands,
											he did some anti-poaching.
											And then one day we were out together,
											and he came across the tracks of where
a female leopard had walked.
											And it was an old track,
											but for fun he turned and he began to follow it,
											and I tell you, I could tell by the speed
											at which he moved on those pad marks
											that this man was a Ph.D.-level tracker.
											If you drove past Solly
											somewhere out on the reserve,
											you look up in your rearview mirror,
											you'd see he'd stopped the car
											20, 50 meters down the road
											just in case you need help with something.
											The only accusation I ever heard leveled at him
											was when one of our clients said,
											""Solly, you are pathologically helpful.""
											(Laughter)
									","
											Si Mandela était l'incarnation de la nation
et du monde entier,
											celui qui personnellement
m'a appris le plus
											sur cette valeur a été cet homme,
											Solly Mhlongo.
											Solly est né sous un arbre,
											à 60 km de la réserve où j'ai grandi,
au Mozambique.
											Il n'a jamais eu beaucoup d'argent,
											mais il était l'un des hommes
											les plus riches que j'aurai connu.
											Solly a grandi
en s'occupant du bétail de son père.
											Je vais vous dire, je ne sais pas ce qu'il y a
avec les gens qui ont grandi en s'occupant du bétail,
											mais cela les rend super-débrouillards.
											Le tout premier emploi qu'il eu
dans le safari
											a été de réparer les camions.
											Où il avait appris à faire ça
dans la brousse,
											je n'en ai aucune idée,
mais il savait le faire.
											Il a ensuite intégré ce qu'on appelait
											l'équipe habitat naturel.
											Il s'agissait des personnes de la réserve
											qui étaient responsables de son entretien.
											Il réparait les routes,
raccommodait les marécages,
											et faisait de l'anti-braconnage.
											Et alors qu'un jour
nous étions dehors ensemble,
											il a croisé les empreintes
d'une femelle léopard.
											C'étaient d'anciennes empreintes,
											mais, pour s'amuser, il a tourné
et a commencé à les suivre,
											et je peux vous dire,
vu la vitesse
											à laquelle il avançait
sur ces empreintes de coussinets,
											que cet homme avait l'équivalent
d'un doctorat en pistage.
											Si vous passiez en voiture
près de Solly,
											quelque part dans la réserve,
											vous regardiez dans votre rétroviseur,
											et vous voyiez qu'il avait arrêté sa voiture
											20, 50 mètres avant,
											juste au cas où vous auriez besoin d'aide.
											Le seul reproche que j'ai jamais entendu
à son adresse
											a été quand l'un de nos clients a dit,
											« Solly,
vous êtes pathologiquement serviable. »
											(Rires)
									",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
"
","
","
","
","
",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
"
											Cuando empecé 
profesionalmente a ser guía
											en este ambiente,
											Solly fue mi rastreador.
											Trabajamos juntos 
como un equipo.
											Y los primeros 
invitados que tuvimos
											fue un grupo filantrópico 
de la Costa Este,
											y le dijeron a Solly, 
de lado, dijeron:
											""Antes de ni siquiera 
salir a ver los leones y leopardos,
											queremos ver dónde vives"".
											Así que los llevamos 
hasta su casa,
											y esta visita de 
los filántropos a su casa
											coincidió con un momento 
en que la esposa de Solly,
											que estaba aprendiendo inglés,
											estaba pasando por una etapa 
donde abría la puerta
											diciendo: ""Hola, te amo.
											Bienvenido, te amo"". (Risas)
											Y había algo tan 
maravillosamente africano
											en esto para mí, 
esta pequeña casa
											con un gran corazón en ella.
									","
											Quando comecei a trabalhar 
profissionalmente como guia
											e comecei a levar gente para a selva
											o Solly era o meu batedor.
											Trabalhávamos em equipa.
											Os nossos primeiros clientes
											foram um grupo de filantropos 
da vossa Costa Leste.
											e eles disseram ao Solly, num aparte,
											""Antes de irmos ver os leões e os leopardos,
											""gostaríamos de ver onde você mora.""
											Então, levámo-los à casa dele.
											E esta visita dos filantropos
											coincidiu com uma altura
em que a esposa do Solly,
											que estava a aprender inglês,
											abria a porta de casa a dizer:
											""Olá, amo-vos.""
											""Sejam bem-vindos, amo-vos"" (Risos)
											Havia algo de tão essencialmente africano
e bonito nesse ato,
											a meu ver, esta casa pequena
											com um coração enorme dentro dela.
									","
											İnsanları bu tabiatta
											profesyonel olarak gezdirmeye başladığım zaman,
											Solly benim iz sürücümdü.
											Takım olarak beraber çalıştık.
											İlk misafirlerimiz
											sizin Doğu yakanızdan hayırsever bir gruptu
											ve Solly'ye ayrıca sordular, dediler ki,
											""Aslanlarla leoparları görmeden önce
											senin nerede yaşadığını görmek istiyoruz.""
											Öyle olunca Solly'nin evine götürdük onları
											ve bu ziyaret
											Solly'nin İngilizce öğrenen karısının
											kapıyı ""Merhaba, seni seviyorum.
											Hoşgeldin, seni seviyorum.""
											diyerek açtığı bir döneme rastlamıştı.
											(Gülüşmeler)
											Bu küçük evdeki o kocaman mutluluk
											bende Afrika'ya özgü muazzam güzellikte
											hisler uyandırıyordu.
									","
											When I started professionally guiding people
											out into this environment,
											Solly was my tracker.
											We worked together as a team.
											And the first guests we ever got
											were a philanthropy group from your East Coast,
											and they said to Solly, on the side, they said,
											""Before we even go out to see lions and leopards,
											we want to see where you live.""
											So we took them up to his house,
											and this visit of the philanthropist to his house
											coincided with a time when Solly's wife,
											who was learning English,
											was going through a phase
where she would open the door
											by saying, ""Hello, I love you.
											Welcome, I love you."" (Laughter)
											And there was something so beautifully African
											about it to me, this small house
											with a huge heart in it.
									","
											Quand j'ai commencé
ma carrière professionnelle de guide
											dans cet environnement,
											Solly a été mon pisteur.
											Nous avons travaillé en équipe.
											Et nos tout premiers visiteurs
											ont été une association caritative
de votre Côte Est,
											ils ont pris Solly à part,
et ils lui ont dit,
											« Avant même d'aller voir
les lions et les léopards,
											nous voulons voir où vous vivez. »
											Nous les avons donc amenés chez lui.
											Cette visite des philanthropes
dans sa maison
											a coïncidé avec une époque
où la femme de Solly,
											qui apprenait l'Anglais,
											traversait une phase
durant laquelle elle ouvrait la porte
											en disant, « Bonjour, je vous aime.
											Bienvenue, je vous aime. »
(Rires)
											Il y avait quelque chose
de magnifiquement africain
											pour moi, là dedans,
cette petite maison,
											avec un énorme cœur dedans.
									",What I learned from Nelson Mandela,Boyd Varty,14:59,"Africa,culture,nature"
