es,tr,fr,title,speaker,duration,tags
"
","
","
",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
"
											Empezaré...
											Hace un par de años, una organizadora de eventos me llamó
											porque yo iba a dar una conferencia;
											me llamó y dijo:
											""Intento la manera
											de describirte en el folleto"".
											""Y, ¿cuál es la dificultad?""
											Y ella: ""fundamentalmente te escuché hablar.
											Iba a llamarte investigadora,
											pero pensé que si lo hacía, nadie vendría
											porque pensarían que serías aburrida e irrelevante"".
											(Risas)
											Y yo ""OK"". Y ella:
											""Lo que me gustó de tu conferencia
											es que cuentas historias.
											Así que te llamaré cuentacuentos"".
											Y mi parte académica e insegura pensó:
											""¿Me llamarás qué?""
											Y ella: ""Te llamaré cuentacuentos"". Y yo:
											""¿Y por qué no hada mágica?""
											(Risas)
											Y dije: ""Déjame pensarlo un segundo"".
											Entonces intenté apelar a mi valentía.
											Y pensé: soy cuentacuentos
											y también investigadora cualitativa.
											Colecciono historias, eso hago.
											Y tal vez las historias sean solamente datos con alma.
											Quizá sea sólo una cuentacuentos.
											Así que dije: ""¿Sabes qué?
											¿Por qué no escribes que soy una investigadora que narro cuentos?""
											Y ella: ""¡Ja, ja, ja! Eso no existe"".
											(Risas)
											Así, soy una investigadora que cuenta cuentos.
											Y les hablaré hoy
											de la percepción ampliada.
											Quiero contarles algo
											sobre mi investigación
											que fundamentalmente amplió mi percepción
											y que realmente cambió la manera en que vivo, amo,
											trabajo y soy madre.
									","
											Şöyle başlayayım:
											birkaç yıl önce bir organizatör beni aradı
											çünkü bir konuşma yapacaktım.
											Aradı ve şöyle dedi:
											""Broşürde seni nasıl tanıtacağım
											konusunda zorluk yaşıyorum.""
											Ben de ""Niye, zorluk nedir?"" diye düşündüm.
											Dedi ki, ""Seni konuşurken dinledim,
											ve seni bir araştırmacı olarak tanıtacağım, sanırım,
											ama öyle dersem de kimse gelmez diye korkuyorum
											çünkü sıkıcı ve gereksiz olduğunu düşünecekler.""
											(Kahkahalar)
											Peki.
											Ve dedi ki: ""Senin konuşmanda beğendiğim,
											senin bir hikaye anlatıcı olman.
											O yüzden seni bir hikaye anlatıcısı olarak tanıtacağım.""
											Tabii benim akademik, güvensiz yanım şöyleydi:
											""Beni nasıl tanıtacaksın dedin?""
											Ve dedi ki, ""Seni bir hikaye anlatıcısı olarak tanıtacağım.""
											Ben de ""Büyülü periye ne dersin?"" dedim.
											(Kahkahalar)
											""İzin ver, ben biraz düşüneyim"" dedim.
											Cesaretimi ortaya çıkarmaya çalıştım.
											Ve düşündüm, ben bir hikaye anlatıcısıyım.
											Ben bir niteliksel araştırmacıyım.
											Hikayeleri toplarım; yaptığım bu.
											Belki de hikayeler, ruhu olan veriden ibarettir.
											Ve belki ben de sadece bir hikaye anlatıcısıyım.
											Ve ben de dedim ki, ""Biliyor musun?
											Bana neden sadece araştırmacı-hikaye anlatıcı demiyorsun?""
											O da ""Ha ha, öyle bir şey yok ki"" dedi.
											(Kahkahalar)
											Sonuçta ben bir araştırmacı-hikaye anlatıcıyım
											ve bugün sizinle - madem algının
											genişlemesinden söz ediyoruz -
											ve ben de sizinle konuşmak ve araştırmamın bir bölümü
											hakkında konuşmak istiyorum ki
											bu benim algımı temelden genişletti
											ve gerçekten aslında yaşama ve sevme, çalışma ve
											annelik yapma tarzımı değiştirdi.
									","
											Alors, je vais commencer par ceci :
											il y a deux ans, l'organisatrice d'un événement m'a téléphoné
											parce que je devais donner une conférence.
											Elle m'a appelé et m'a dit :
											""J'ai vraiment du mal à trouver
											comment vous décrire sur notre petit prospectus.""
											Et je me suis dit : "" Et bien, où est le problème ?""
											Et elle m'a dit : "" Et bien, je vous ai déjà vu parler,
											et je vais vous désigner comme une chercheuse, je crois,
											mais j'ai peur que si je vous désigne comme chercheuse, personne ne vienne,
											parce que tout le monde pensera que vous êtes ennuyeuse et hors sujet.""
											(Rires)
											Ok.
											Et elle a dit : "" Mais ce que j'ai aimé dans votre conférence,
											c'est que vous êtes une conteuse d'histoires.
											Alors je pense que ce que je vais faire, c'est juste dire que vous êtes une conteuse.""
											Et bien sûr, mon côté universitaire, qui manque d'assurance,
											a dit : "" Vous allez dire que je suis quoi ?! ""
											Et elle a dit : "" Je vais dire que vous êtes une conteuse.""
											Et moi : "" Et pourquoi pas fée Carabosse ? ""
											(Rires)
											J'ai fait : "" Laissez-moi réfléchir une seconde.""
											J'ai essayé de rassembler tout mon courage.
											Et j'ai pensé, je suis une conteuse d'histoires.
											Je suis une chercheuse en sciences humaines.
											Je recueille des histoires ; c'est ce que je fais.
											Et peut-être que les histoires ne sont rien d'autre que des données scientifiques avec une âme.
											Et peut être que je ne suis rien d'autre qu'une conteuse.
											Alors j'ai dit : "" Vous savez quoi ?
											Pourquoi ne pas simplement dire que je suis une chercheuse-conteuse ?""
											Et elle a fait : "" Ha ha. Ça n'existe pas.""
											(Rires)
											Ainsi, je suis une chercheuse-conteuse,
											et je vais vous parler aujourd'hui —
											nous discutons de l'élargissement de nos conceptions —
											alors je veux vous parler et vous raconter quelques histoires
											sur une partie de mes recherches
											qui a fondamentalement élargi ma perception
											et a réellement, concrètement, changé ma façon de vivre, d'aimer,
											de travailler, et d'élever mes enfants.
									",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
"
","
","
",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
"
											Y así empieza mi historia:
											Cuando era una joven investigadora y estudiante de doctorado,
											durante mi primer año tuve un profesor
											que nos dijo:
											""Esto es así,
											si no lo puedes medir, no existe"".
											Y yo pensé que solamente me adulaba,
											y dije:""¿De verdad?"" Y él: ""Por supuesto"".
											Entiendan que tengo
											una licenciatura y una maestría en trabajo social
											y me doctoraba en lo mismo.
											Esto es que durante toda mi carrera académica
											estuve rodeada de gente
											que pensaba:
											""la vida es desordenada, disfrútala"".
											Y yo más bien pienso: ""la vida es desordenada,
											ordénala,
											organízala y clasificala en una caja"".
											(Risas)
											Y así pensaba que había encontrado mi camino,
											mi profesión y eso me lleva a...
											como se dice en trabajo social,
											""entrar en la incomodidad del trabajo"".
											Y soy más de ""saca de la cabeza con un golpe la disconformidad
											y saca buenas notas.
											Ese fue mi mantra.
											Estaba muy emocionada
											y pensé, esta es mi profesión
											porque me interesan algunos temas confusos
											para ordenarlos.
											Quiero entenderlos.
											Quiero llegar hasta el fondo de ellos
											porque sé que son importantes
											y para develar para todos el código.
									","
											Ve hikayem böyle başlıyor.
											Genç bir araştırmacıyken, doktora öğrencisiyken,
											ilk yıl bir araştırma hocam vardı
											derdi ki
											""Bakın,
											Eğer bir şeyi ölçemiyorsanız, öyle bir şey yoktur.""
											Bana tatlı dillilik yapıyor diye düşünürdüm.
											""Sahi mi?"" derdim ve ""Kesinlikle"" derdi.
											Yani şunu anlamalısınız:
											sosyal hizmet üzerine okumuş, yüksek lisans yapmıştım
											ve sosyal hizmet konusunda doktora yapıyordum,
											bütün akademik kariyerim boyunca
											hayatın karmaşık olduğunu
											düşünen, bunu seven
											bir grup insanla çevriliydim.
											Ben ise hayat karmaşık,
											temizle, düzenle
											ve güzelce kutuya koy, türünde biriyim.
											(Kahkahalar)
											Bu yüzden tam kendi yolumu buldum,
											beni alıp götürecek kariyeri buldum derken —
											gerçekten, sosyal hizmetlerde en büyük laflardan
											biri çalışmanın rahatsızlığını olumlamaktır.
											Ve ben de, rahatsızlığı baş aşağı et ve
											kenara koy ve tüm A'ları al, diye düşünürüm.
											İşte mantram buydu.
											Yani bu konuda çok heyecanlıydım.
											Ve, ne biliyor musunuz, bunun tam bana göre bir kariyer olduğunu düşündüm,
											çünkü bazı karmaşık konularla ilgiliyim.
											Ama onları çözebilmek de istiyorum.
											Onları anlamak istiyorum,
											önemli olduğunu bildiğim bu şeylerin
											içlerine sızmak ve herkesin
											görebileceği şekilde şifresini ortaya çıkarmak istiyorum.
									","
											Et voilà où mon histoire commence.
											Quand j'étais une jeune chercheuse, une étudiante en doctorat,
											pendant ma première année j'ai eu un directeur de recherche
											qui nous a dit :
											"" Voilà le topo :
											ce qu'on ne peut pas mesurer n'existe pas.""
											Et j'ai pensé qu'il essayait de m'embobiner.
											Et j'ai fait : "" Vraiment ?"", et lui : ""Absolument.""
											Il faut que vous sachiez
											que j'ai une licence d'assistance sociale, un master d'assistance sociale,
											et que je préparais une thèse d'assistance sociale,
											alors j'avais passé toute ma carrière universitaire
											entourée de gens
											qui croyaient en quelque sorte
											que la vie c'est le désordre, et qu'il faut l'aimer ainsi.
											Alors que moi ça serait plutôt : la vie c'est le désordre,
											il faut la nettoyer, l'organiser,
											et bien la ranger dans des petites cases.
											(Rires)
											Alors quand je pense que j'ai trouvé ma voie,
											que j'ai engagé ma carrière sur un chemin qui m'amène —
											vraiment, dans l'aide sociale, on dit beaucoup
											qu'il faut plonger dans l'inconfort du travail.
											Et moi je suis plutôt : évacuer l'inconfort une bonne fois pour toutes,
											le dégager et n'obtenir que des 20 sur 20.
											C'était ma devise.
											C'est pourquoi j'étais très enthousiasmée par cette idée.
											Et que je me suis dit, tu sais quoi, c'est la carrière qu'il te faut,
											parce que je m'intéresse à des sujets compliqués,
											mais je veux pouvoir les rendre moins compliqués.
											Je veux les comprendre.
											Je veux m'infiltrer dans ces questions,
											que je sais importantes,
											et les décoder pour tout le monde.
									",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
"
","
","
",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
"
											Así que empecé con la noción de conexión
											Porque cuando eres trabajadora social durante diez años,
											te das cuenta
											que si estamos aquí es por la conexión.
											Es lo que nos da sentido y finalidad a nuestras vidas.
											De eso se trata.
											No importa si hablas con gente
											que trabaja en justicia social o en salud mental, abuso o negligencia.
											Esa conexión,
											la habilidad de sentirnos conectados,
											es nuestra programación neurológica.
											Por esto estamos aquí.
											Y pensé, ""Comenzaré con la conexión"".
											Bien, ¿conocen esa situación
											donde su jefa los evalúa...
											y dice las 37 cosas que están haciendo realmente bien
											y una que, ya saben, en que tienes una ""oportunidad para crecer""?
											(Risas)
											Y sólo piensas en esa ""oportunidad para crecer,"" ¿verdad?
											Pues, aparentemente así se desarrolló mi trabajo también.
											Porque al preguntar a las personas sobre el amor
											te hablan de desilusión amorosa.
											Al preguntar sobre pertenencia,
											te contarán experiencias muy dolorosas
											de exclusión.
											Y al preguntar sobre la conexión
											me contaron historias de desconexión.
									","
											Başlangıç noktam, bağlantı olgusuydu.
											Çünkü, sosyal hizmet görevlisi olarak 10 yılı doldurduğunuzda,
											şunu fark ediyorsunuz
											burada olma nedenimiz, bağlantı.
											Hayatlarımıza amaç ve anlam veren şey bu.
											Her şey bununla ilgili.
											Sosyal adalet ve akıl sağlığı ve istismar ve ihmal
											konularında çalışan insanlarla konuşup konuşmadığınız önemli değil,
											şunu biliyoruz; bağlantı,
											bağlılık hissetme yetisi -
											ki nörobiyolojik olarak böyle yapılandırılmışız -
											burada olma nedenimiz.
											Ben de düşündüm, biliyor musunuz, bağlantı ile başlayacağım.
											Hani bazı durumlar olur ya,
											patronunuzdan bir değerlendirme alırsınız
											ve 37 konuda çok başarılı olduğunuzu, ancak bir konunun
											""gelişmek için fırsat"" olduğunu söyler ya?
											(Kahkahalar)
											Ve sizin tek düşünebildiğiniz sadece o iyileşme fırsatı olur, değil mi?
											Anlaşılan o ki, işte benim çalışmam da böyle oldu
											çünkü insanlara sevgi hakkında soru sorduğunuzda
											size aşk acılarını anlatırlar.
											İnsanlara aidiyet hakkında sorarsanız,
											size en dayanılmaz derecede acı veren
											dışlanma deneyimlerini anlatırlar.
											Ve insanlara bağlantı hakkında sorarsanız,
											anlattıkları bağlantısız olmakla ilgiliydi.
									","
											J'ai donc commencé avec les relations humaines.
											Parce que, quand vous avez travaillé dans le social pendant 10 ans,
											vous réalisez
											que les relations humaines sont la raison de notre présence sur terre.
											C'est ce qui donne un but et du sens à nos vies.
											Tout tourne autour de cela.
											Peu importe que vous en discutiez avec des gens
											qui travaillent dans le secteur de la justice sociale, ou bien de la santé mentale, ou de la maltraitance, ou de la négligence parentale,
											ils vous diront tous que les relations,
											la capacité d'entrer en relation, c'est —
											sur le plan neurobiologique, nous sommes conçus ainsi —
											c'est la raison de notre présence sur terre.
											J'ai donc pensé: je vais commencer par les relations humaines.
											Vous connaissez cette situation
											où vous avez un entretien d'évaluation avec votre patron,
											et elle vous parle de 37 choses que vous faites incroyablement bien,
											et puis d'une chose — "" Une occasion de vous améliorer.""
											(Rires)
											Et tout ce que vous retenez, c'est cette ""occasion de vous améliorer"", pas vrai ?
											Eh bien, à première vue, c'est également la direction que mon travail a prise,
											parce que, quand j'ai interrogé les gens sur l'amour,
											ils m'ont parlé de chagrin.
											Quand j'ai interrogé les gens sur le sentiment d'appartenance,
											ils m'ont raconté leurs plus atroces expériences
											où ils étaient exclus.
											Et quand j'ai interrogé les gens sur les relations humaines,
											les histoires qu'ils m'ont racontées parlaient d'isolement.
									",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
"
","
","
",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
"
											Rápidamente (a unas 6 semanas de empezar a investigar),
											me topé ante esta cosa innombrada
											que descifró por completo la conexión.
											De un modo que no entendía y nunca había visto.
											Di marcha atrás la investigación
											y me dije: ""debo averiguar qué pasa"".
											Y resultó ser la vergüenza.
											Resultó que -y la vergüenza se entiende fácilmente
											como el miedo a la desconexión-
											¿Existe algo en mí
											que si otros lo saben o ven,
											no seré digna de conexión?
											Lo que les puedo decir es esto:
											es universal, todos lo sentimos.
											Las únicas personas que no sienten vergüenza
											son las incapaces de sentir empatía o conexión humana.
											Nadie quiere hablar de ello
											y cuanto menos lo hablas, más lo sientes.
											Lo que refuerza esta vergüenza es:
											""no soy suficiente bueno"".
											Todos conocemos este sentimiento,
											el ""no soy suficiente _, no soy suficiente delgado,
											suficiente rico o suficiente brillante,
											o no me han ascendido lo suficiente""...
											Lo que lo corrobora es esta
											vulnerabilidad insoportable.
											Esta idea de
											""para que exista conexión
											debemos dejarnos ver"",
											que nos vean de verdad.
									","
											Ben de çok hızlı bir şekilde - araştırmamın 6. haftasına doğru -
											bu isimlendirilmez şeyle karşılaştım,
											anlamadığım ya da hiç görmediğim bir şekilde
											kesinlikle bağlantıyı çözen bu şeyle.
											Ve ben de araştırmayı bıraktım
											ve bunun ne olduğunu anlamam gerekiyor dedim.
											Sonuçta bunun utanç olduğunu anladım.
											Ve utanç gerçekten bağlantısızlıktan
											korkma olarak kolayca anlaşılır.
											Acaba bendeki bir şeyi
											diğerleri görse veya bilse
											bağlantıyı hak etmeyebilir miyim?
											Bunun hakkında söyleyebileceklerim:
											bu evrensel bir duygu, hepimizde var.
											Utanç duymayan insanlar sadece insani
											empati veya bağlantı kurmaya kapasitesi olmayanlardır.
											Kimse bu konuda konuşmak istemez,
											ve ne kadar az konuşursanız, utancınız o kadar artar.
											Bu utancı destekleyen şey,
											bu ""yeterince iyi değilim"" -
											ki bu hissi hepimizin bildiği bir duygudur:
											""Yeterince açık değilim. Yeterince ince değilim,
											yeterince zengin, yeterince güzel, yeterince akıllı,
											yeterince desteklenmiş değilim.""
											Bunu destekleyen şey
											dayanılmaz derecede kırılganlık,
											şu fikir,
											bağlantının olabilmesi için,
											kendimizin görünür olmasına izin vermeliyiz,
											gerçekten görünür.
									","
											Aussi très rapidement — en fait après seulement six semaines de recherches —
											j'ai buté sur cette chose sans nom
											qui détruisait totalement les relations
											d'une façon que je ne comprenais pas, et que je n'avais jamais vu.
											J'ai donc pris un peu de recul sur ma recherche
											et je me suis dit, il faut que je comprenne ce dont il s'agit.
											Et j'ai découvert qu'il s'agissait de la honte.
											On peut vraiment comprendre la honte facilement
											si on la considère comme la peur de l'isolement.
											Il y a-t-il quelque chose chez moi qui ferait que,
											si d'autres le savaient ou le voyaient,
											je ne mériterais pas d'être en relation avec eux ?
											Il y a une chose que je peux vous en dire :
											c'est universel ; on a tous ça.
											Les seules personnes qui n'éprouvent pas la honte
											sont celles qui sont incapables d'empathie ou de relations humaines.
											Personne ne veut en parler,
											et moins on en parle, plus on la ressent.
											Ce qui est à la base de cette honte,
											ce ""Je ne suis pas assez bien "", —
											qui est un sentiment que nous connaissons tous :
											"" Je ne suis pas assez neutre. Je ne suis pas assez mince,
											pas assez riche, pas assez beau, pas assez malin,
											pas assez reconnu dans mon travail.""
											Ce qui est à la base de tout ça,
											c'est une atroce vulnérabilité,
											cette idée que,
											pour pouvoir entrer en relation avec les autres,
											nous devons nous montrer tels que nous sommes,
											vraiment tels que nous sommes.
									",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
"
","
","
",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
"
											Y saben lo que opino respecto a la vulnerabilidad, la ODIO.
											Y así pensé que esta sería mi oportunidad
											de eliminarla con mi vara de medir.
											Lo haré. Lo resolveré.
											Pasaré un año con esto. Desarmaré por completo la vergüenza.
											Entenderé cómo funciona la vulnerabilidad
											y la derrotaré con astucia.
											¡Estaba lista y realmente emocionada!
											Como se pueden imaginar, esto no iba a terminar bien.
											(Risas)
											Uds. ya lo saben.
											Podría explicarles mucho sobre la vergüenza
											pero consumiría el tiempo de todos los demás.
											Pero puedo decirles que ocurre.
											Y esto tal vez sea una de las cosas más importantes que he aprendido
											en la década que llevo con esta investigación.
											Mi año
											se convirtió en seis,
											miles de historias,
											cientos de entrevistas largas, grupos focales,
											a veces la gente me enviaba páginas de sus diarios,
											sus historias...
											miles de datos en seis años.
											Y casi lo llegué a entender.
									","
											Ve kırılganlık konusunda nasıl hissettiğimi biliyorsunuz. Nefret ederim.
											Ve ben de düşündüm ki, bu benim için
											onu cetvellimle yenmek için bir şans.
											Bu işe giriyorum, bu olayı çözeceğim,
											buna bir yıl ayıracağım, utanç duygusunu tamamıyla çözeceğim,
											kırılganlığın nasıl çalıştığını anlayacağım,
											ve onun üstesinde geleceğim.
											Buna hazırdım ve gerçekten çok heyecanlıydım.
											Tahmin edebilirsiniz, sonuç parlak olmayacak.
											(Kahkahalar)
											Biliyorsunuz.
											Yani utanç konusunda çok şey anlatabilirim,
											ama başkasının zamanından almam gerekecektir.
											Ama bunun nereye gittiğini söyleyebilirim -
											ve bu, bu araştırmayı yaptığım 10 yıl boyunca öğrendiğim
											en önemli şeylerden biri olabilir.
											Bir yılım
											altı yıla dönüştü,
											binlerce hikayeye,
											yüzlerce uzun mülakata, konuşma gruplarına.
											Bir noktada insanlar bana gazete sayfaları ve
											kendi hikayelerini gönderiyorlardı -
											altı yılda binlerce veri.
											Ve olaya bir nevi hakim oldum.
									","
											Et vous savez ce que je pense de la vulnérabilité. Je hais la vulnérabilité.
											J'ai donc pensé, voilà l'occasion que j'attendais
											de la faire battre en retraite avec ma règle.
											Je vais m'y plonger, je vais démêler toute cette histoire,
											je vais y consacrer une année, je vais complètement déboulonner la honte,
											je vais comprendre comment fonctionne la vulnérabilité,
											et je vais être la plus forte.
											J'étais donc prête, et j'étais vraiment enthousiaste.
											Comme vous vous en doutez, ça ne s'est pas bien passé.
											(Rires)
											Vous vous en doutez.
											Alors, je pourrais vous en dire long sur la honte,
											mais il me faudrait prendre le temps de parole de tous les autres.
											Mais voilà ce que je peux vous dire, ce à quoi ça se résume —
											et c'est peut-être la chose la plus importante que j'ai jamais apprise
											pendant les dix années passées sur cette recherche.
											Mon année
											s'est transformée en six années,
											des milliers de récits,
											des centaines de longs entretiens, de groupes de discussion.
											À un moment, les gens m'envoyaient des pages de journaux,
											ils m'envoyaient leurs histoires —
											des milliers d'éléments d'information en six ans.
											Et j'ai commencé à comprendre.
									",The power of vulnerability,Brené Brown,20:19,"TEDx,communication,culture,depression,fear,mental health,psychology,self,social change"
