en,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
											What an intriguing
group of individuals you are ...
											to a psychologist.
									","
											Que grupo de indivíduos
fascinantes que vocês são
											para um psicólogo!
									","
											Bir psikolog için
											çok ilginç bireylersiniz.
									","
											Was für eine faszinierende 
Gruppe Individuen Sie sind ...
											für einen Psychologen.
									","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
","
","
","
","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkahalar)
									","
											(Lachen)
									","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
","
","
","
","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
											I've had the opportunity
over the last couple of days
											of listening in on some
of your conversations
											and watching you interact with each other.
											And I think it's fair to say, already,
											that there are 47 people in this audience,
											at this moment,
											displaying psychological symptoms
I would like to discuss today.
									","
											Tive a oportunidade
nos últimos dois dias
											de escutar algumas 
das vossas conversas
											e de ver-vos a interagir
uns com os outros.
											E acho que é justo dizer, nesta altura,
											que há 47 pessoas nesta audiência,
											neste momento,
											que revelam sintomas psicológicos
que eu gostaria de discutir hoje.
									","
											Fırsat buldukça, son birkaç gün
											bazı söyleyişlerinize 
kulak misafiri olabildim
											ve etkileşimde bulunmanızı izledim.
											Şimdiden söyleyebilirim ki
											seyirci arasında 47 kişi,
											şu anda,
											psikolojik semptomlar sergiliyor. 
Konumuz da aynen bu.
									","
											In den letzten Tagen
hatte ich die Gelegenheit,
											einigen Ihrer Unterhaltungen zuzuhören
											und Sie miteinander interagieren zu sehen.
											Ich denke, ich kann bereits jetzt sagen,
											dass 47 Menschen in diesem Publikum,
											in diesem Moment,
											psychologische Symptome zeigen, 
über die ich heute gerne sprechen möchte.
									","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
","
","
","
","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkaha)
									","
											(Lachen)
									","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
","
","
","
","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
											And I thought you might
like to know who you are.
									","
											Achei que gostariam de saber
quais são eles.
									","
											Kim olduğunu bilmek ister misiniz?
									","
											Ich dachte, Sie würden gerne wissen,
wer von Ihnen es ist.
									","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
","
","
","
","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkahalar)
									","
											(Lachen)
									","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
","
","
","
","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
											But instead of pointing at you,
											which would be gratuitous and intrusive,
											I thought I would tell you
a few facts and stories,
											in which you may catch
a glimpse of yourself.
									","
											Mas em vez de os apontar,
											o que seria gratuito e intrometido,
											pensei em contar-vos alguns 
factos e histórias
											em que se possam rever
em algum momento.
									","
											Ama size işaret edeceğime,
											ki bu gereksiz ve zoraki olur,
											sizinle bazı gerçekleri ve hikâyeleri 
paylaşmak istiyorum.
											Belki içinde kendini bulabilirsin.
									","
											Aber anstatt auf Sie zu zeigen,
											was unnötig und aufdringlich wäre,
											habe ich vor, Ihnen Fakten
und Geschichten zu erzählen,
											in denen Sie sich vielleicht
selbst wiedererkennen.
									","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
","
","
","
","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
											I'm in the field of research
known as personality psychology,
											which is part of a larger
personality science
											which spans the full spectrum,
from neurons to narratives.
											And what we try to do,
											in our own way,
											is to make sense of how each of us —
											each of you —
											is, in certain respects,
											like all other people,
											like some other people
											and like no other person.
									","
											Estou num campo de investigação,
conhecida por psicologia da personalidade,
											que faz parte de uma ciência maior
chamada ciência da personalidade
											que cobre todo o espectro,
desde neurónios a narrativas.
											E o que tentamos fazer,
											à nossa maneira,
											é perceber como é que cada um de nós
											— cada um de vocês —
											é, de certa maneira,
											como todas as outras pessoas,
											como algumas outras pessoas,
											e como nenhuma outra.
									","
											Bilim alanım Kişilik Psikolojisi 
olarak tanımlanıyor,
											bu daha kapsamlı Kişilik Araştırma 
alanının parçası.
											Nörondan başlayan 
öykülerimize varan bir alan bu.
											Bizim yapmaya çalıştığımız şey
											kendimize öz şekilde,
											her birimizi anlayabilmek —
											her biriniz —
											belirli bir açıdan
											bazıları gibi,
											herkes gibisiniz, ama
											kimseye benzemeyen
özelliklerin de var.
									","
											Ich arbeite im Forschungsfeld 
der Persönlichkeitspsychologie,
											das Teil einer größeren
Persönlichkeitswissenschaft ist,
											die das ganze Spektrum von Neuronen
bis hin zu Erzählungen umfasst.
											Wir versuchen,
											auf unsere eigene Art zu verstehen,
											wie jeder von uns —
											jeder von Ihnen —
											in manchen Dingen,
											wie alle anderen Menschen,
											wie nur einige andere Menschen
											und wie kein anderer Mensch ist.
									","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
"
","
","
","
","Who are you, really? The puzzle of personality",Brian Little,15:15,"communication,humanity,personality,identity,humor,self,psychology,introvert,TED Books"
