en,pt,tr,es,title,speaker,duration,tags
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											For all that's ever been said
about climate change,
											we haven't heard nearly enough
about the psychological impacts
											of living in a warming world.
											If you've heard the grim climate research
											that science communicators like me
weave into our books and documentaries,
											you've probably felt bouts of fear,
fatalism or hopelessness.
											If you've been impacted
by climate disaster,
											these feelings can set in much deeper,
											leading to shock, trauma,
											strained relationships, substance abuse
											and the loss of personal
identity and control.
									","
											Apesar de tudo o que já foi dito sobre
as alterações climáticas,
											não ouvimos o suficiente
sobre os impactos psicológicos
											de viver num mundo em aquecimento.
											Se já ouviram falar
da investigação climática
											que os comunicadores de ciência como eu
tecem em livros e documentários,
											provavelmente sentiram crises de medo, 
fatalismo ou desânimo.
											Se sofreram o impacto
do desastre climático,
											esses sentimentos podem
interiorizar-se profundamente
											conduzindo ao choque, ao trauma,
											a relações difíceis, ao abuso de drogas
											e à perda da identidade
pessoal e do controlo.
									","
											İklim değişikliği hakkında
şu zamana kadar söylenenlere bakılırsa
											ısınan bir dünyada yaşamanın
psikolojik etkilerinden bahsedildiğini
											neredeyse hiç duymadık.
											Eğer benim gibi bilim iletişimcilerinin
kitaplarımızda ve belgesellerimizde
											ileri sürdüğümüz korkunç 
iklim araştırmalarını duyduysanız
											muhtemelen korkuyu, kaderciliği
veya çaresizliği hissetmişinizdir.
											Eğer iklim değişikliğinden etkilendiyseniz
											bu duygular daha derinden etkileyebilir;
											şoka, travmaya, sorunlu ilişkilere,
											madde bağımlılığına, kişisel kimliğin 
ve kontrolün kaybına neden olabilir.
									","
											Pese a lo que siempre se ha dicho
sobre el cambio climático,
											no hemos oído mucho
acerca del impacto psicológico
											de vivir en un mundo más cálido.
											Si han oído hablar de la preocupante 
investigación climática que
											comunicadores de la ciencia 
producimos en libros y comentarios,
											probablemente han padecido crisis
de miedo, fatalismo o desesperanza.
											Si el desastre climático nos afecta,
											esos sentimientos pueden
dañarnos profundamente
											y desencadenar perturbación, trauma,
											relaciones tensas, abuso de sustancias
											y pérdida de identidad 
personal y de control.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											Vital political and technological work
is underway to moderate our climate chaos,
											but I'm here to evoke a feeling in you
											for why we also need
our actions and policies
											to reflect an understanding
of how our changing environments
											threaten our mental,
social and spiritual well-being.
									","
											Está em marcha um trabalho político
e tecnológico, vital,
											para moderar o caos climático,
											mas venho aqui para vos
despertar um sentimento
											sobre porque é que também
precisarmos de ações e políticas
											para refletir e compreender
como o nosso ambiente em mudança
											ameaça o nosso bem-estar
mental, social e espiritual.
									","
											Önemli siyasi ve teknolojik çalışmalar
iklim kaosunu yatıştırmak için seyirde

											ancak değişen çevremizin 
akıl, toplumsal ve ruhsal sağlığımızı
											nasıl tehdit ettiğini yansıtan
eylemlere ve ilkelere de
											neden ihtiyacımızın olduğunu
anlamanız için bugün buradayım.
									","
											Se está llevando a cabo 
un trabajo político y tecnológico vital
											para reducir el caos climático,
											pero estoy aquí para que Uds. reflexionen
											por qué también necesitamos
que nuestras acciones y políticas
											reflejen la comprensión de 
cómo los cambios ambientales
											amenazan nuestro bienestar
mental, social y espiritual.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											The anxiety, grief and depression
of climate scientists and activists
											have been reported on for years.
											Trends we've seen
after extreme weather events
											like hurricane Sandy or Katrina
											for increased PTSD and suicidality.
											And there are rich mental-health data
from northern communities
											where warming is the fastest,
											like the Inuit in Labrador,
											who face existential distress
as they witness the ice,
											a big part of their identity,
											vanishing before their eyes.
									","
											A ansiedade, a dor e a depressão
dos cientistas e ativistas climáticos
											têm sido relatadas durante anos.
											Depois de incidentes climáticos rigorosos
											como o furacão Sandy ou o Katrina,
											assistimos à tendência para o aumento
do ""stress"" pós-traumático e do suicídio.
											Há muitos dados sobre a saúde mental
de comunidades do norte
											— onde o aquecimento é mais rápido —
											como os Inuítes no Labrador,
											que enfrentam uma angústia existencial
enquanto veem o gelo,
											uma grande parte da sua identidade,
											a desaparecer em frente dos olhos.
									","
											Klimatologların ve iklim aktivistlerinin
											kaygı, üzüntü ve bunalımları 
yıllardır bildiriliyor.
											Sandy ve Katrina Kasırgası gibi
ekstrem hava olayları sonrasında
											TSSB'nin ve intihar eğiliminin 
arttığını görüyoruz.
											Bir de ısınmanın en hızlı olduğu kuzey
topluluklarının akıl sağlığı verileri var,
											kimliklerinin büyük bir parçası olan 
buzullar gözleri önünde yok oldukça
											varoluşsal endişeyle yüzleşen
Labrador'daki İnuitler gibi.
									","
											La ansiedad, tristeza y depresión
de los científicos y activistas del clima
											se han dado a conocer desde hace años.
											Tras eventos climáticos extremos,
											como los huracanes Sandy o Katrina,
vemos el aumento de casos
											de trastornos de estrés postraumáticos 
y de suicidios.
											Hay datos acerca de la salud mental
de comunidades del norte,
											donde el calentamiento es más rápido,
como el pueblo Inuit, de Labrador,
											que se enfrenta a una angustia
existencial mientras el hielo,
											una gran parte de su identidad,
desaparece ante sus ojos.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											Now if that weren't enough,
											the American Psychological Association
											says that our psychological
responses to climate change,
											like conflict avoidance, helplessness
and resignation, are growing.
											This means that our conscious
and unconscious mental processes
											are holding us back
											from identifying the causes
of the problem for what they are,
											working on solutions and fostering
our own psychological resilience,
											but we need all those things
to take on what we've created.
									","
											Como se isso não chegasse,
											a Associação Americana de Psicologia
											diz que as nossas reações psicológicas
às alterações climáticas
											como a prevenção de conflitos, o desamparo
e a resignação, estão a aumentar.
											Isso significa que os processos
mentais conscientes e inconscientes
											estão a impedir-nos de identificar
											as causas do problema tais como elas são,
											de trabalhar em soluções e fomentar
a nossa resiliência psicológica
											mas precisamos de todas essas coisas
para conservar o que criámos.
									","
											Eğer bu da yeterli değilse
											Amerikan Psikoloji Birliği 
iklim değişikliğine karşı
											kaçınma çatışması, 
çaresizlik ve vazgeçme gibi
											verdiğimiz psikolojik tepkilerin 
arttığını söylüyor.
											Bu, bilinçli ve bilinç dışı 
zihinsel süreçlerimizin
											problemin nedenlerini tanımlamaktan,
çözüm üzerine çalışmaktan
											ve kendi psikolojik 
sağlamlığımızı geliştirmekten
											bizi alıkoyduğu anlamına geliyor
											ancak bütün bu şeylerin
üstlenilmesine ihtiyacımız var.

											Son zamanlarda gördüğümüz 
duygusal zorlukların
											sadece bir örneği olan 
bir olgu üzerine çalışıyorum
									","
											Por si fuera poco,
											la Asociación Estadounidense de Psicología
											afirma que crecen las respuestas
psicológicas al cambio climático,
											tales como la solución de conflictos,
la desesperanza y la resignación.
											Eso significa que los procesos
mentales conscientes e inconscientes
											nos impiden identificar las causas
											del problema como se presentan,
											buscando soluciones y estimulando
nuestra propia resiliencia psicológica,
											pero necesitamos todo ello
para asumir lo que hemos creado.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											Lately, I've been studying a phenomenon
											that's just one example
of the emotional hardships
											that we're seeing.
											And it comes in the form of a question
											that a significant amount of people
in my generation are struggling to answer.
											That being:
											Should I have a child
in the age of climate change?
											After all, any child born today
											will have to live in a world
where hurricanes, flooding, wildfires —
											what we used to call natural disasters —
											have become commonplace.
									","
											Ultimamente, tenho estudado um fenómeno
											que é apenas um exemplo
da dificuldade emocional
											que estamos a ver
											e que aparece na forma de uma pergunta
											que muitas pessoas da minha geração
estão a tentar responder.
											Ou seja:
											""Devo ter um filho nesta era
das alterações climáticas?""
											Afinal, qualquer criança nascida hoje
											vai ter de viver num mundo onde
furacões, inundações, incêndios florestais
											— a que chamávamos
desastres naturais —
											se tornaram comuns.
									","
											ve bu olgu, benim kuşağımdaki
önemli miktardaki kişinin
											cevaplamakta zorlandığı bir soru
formunda ortaya çıkıyor.
											Bu soru ise şu:
											""İklim değişikliği çağında
bir çocuk sahibi olmalı mıyım?""
											Ne de olsa bugün doğan 
herhangi bir çocuk
											eskiden doğal afet dediğimiz
kasırgaların, sellerin, yangınların
											sıradan bir şeye dönüştüğü
bir dünyada yaşamak zorunda olacak.
											Kaydedilen en sıcak 20 yıl
son 22 yıl içinde gerçekleşti.
											Birleşmiş Milletler, 
küresel nüfusun üçte ikisinin
											şu andan itibaren 6 yıl içinde
su kıtlıklarıyla yüzleşmesini bekliyor.
									","
											Últimamente he estudiado un fenómeno
											que es un ejemplo de las dificultades
emocionales a que nos enfrentamos.
											Y viene en forma de pregunta
											que mucha gente de mi generación
se esfuerza para contestar.
											La pregunta es:
											¿Debo tener hijos en la era
del cambio climático?
											Los niños que nacen hoy tendrán
que vivir en un mundo en el que huracanes,
											inundaciones, incendios forestales,
que solían ser desastres naturales,
											se han convertido en algo habitual.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
