tr,pt,title,speaker,duration,tags
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											2001'de dünyayı kurtarmaya kararlı,
genç ve yeni bir doktordum.
											İlk işim üç ay boyunca
akciğer kanseri biriminde çalışmak oldu.
											Neredeyse tüm hastalarım
sigara içiyordu veya eski içicilerdi
											ve çoğunun sigarayla
tanışması çocukluklarında
											veya gençliklerinde olmuştu.
											Geniş imkanlara sahip harika
bir ülkede yaşamalarına,
											en gelişmiş ilaçlara
erişimleri olmasına rağmen
											neredeyse tüm hastalarım
hayatını kaybetti.
											Tütünün zararlı olduğunu herkes biliyor
											ama günden güne etkilerini
kendiniz gözlerinizle gördüğünüzde
											etkisi çok daha derin oluyor.
									","
											Em 2001, eu era uma médica nova
e brilhante, e planeava salvar o mundo.
											Trabalhei pela primeira vez,
durante três meses,
											numa unidade de cancro do pulmão.
											Quase todos os meus doentes
eram fumadores ou ex-fumadores
											e a maioria deles tinha começado
a fumar quando eram miúdos
											ou no início da adolescência.
											Apesar de viverem num país bonito e rico,
											com acesso aos medicamentos
mais sofisticados,
											quase todos os meus doentes morreram.
											Toda a gente sabe que o tabaco é mau
											mas quando vemos o seu impacto,
diretamente, dia após dia,
											a impressão é muito profunda.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											10 sene sonra, artık bir
radyasyon onkoloğu olduğumda
											tütünün neden olduğu
tüm sorunları biliyordum.
											Hastane kantininde oturmuş,
emeklilik fonu temsilcimle
											ilk kez görüşüyordum.
											Heyecan vericiydi,
tahmin etmişsinizdir.
									","
											Dez anos depois,
sou oncologista por radiações,
											plenamente consciente
do sofrimento causado pelo tabaco.
											Estou na cafetaria do hospital,
a ter a minha primeira reunião
											com um representante
do meu fundo de reforma.
											Foi emocionante.
De certeza que vocês imaginam.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											(Gülüşmeler)
									","
											(Risos)
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Fonumun varsayılan seçeneklerden
olduğunu söyledi.
											Ben de ""Seçenek mi? Başka
seçenekler de mi var?"" diye sordum.
									","
											Ele diz-me que eu estou na opção padrão.
											E eu disse: ""Opção? Isso significa
que há outras opções?""
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Bana bakıp gözlerini devirdi ve dedi ki,
											""Daha doğrucu bir seçenek de var
											bu seçenek madencilik, alkol veya tütüne
yatırım yapmak istemeyenler için.""
									","
											Ele olhou para mim,
revirou os olhos e disse:

											""Bem, há a opção ecológica
											""para as pessoas que têm problemas
em investir em minas, álcool ou tabaco"".
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											""Tütün mü dedin?"" diye sordum.
									","
											Eu disse: ""Você disse tabaco?""
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
