en,es,pt,de,tr,title,speaker,duration,tags
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											When I die,
											I would like for my body
to be laid out to be eaten by animals.
											Having your body laid out to be eaten
by animals is not for everyone.
									","
											Cuando muera,
											quisiera que arrojaran mi cuerpo 
para que lo coman los animales.
											Que arrojen tu cuerpo para que lo coman
los animales, no es para cualquiera.
									","
											Quando eu morrer,
											gostaria que o meu corpo
fosse comido por animais.
											Deixar o nosso corpo ser comido
por animais não é para qualquer um.
									","
											Wenn ich sterbe, soll mein Körper
von Tieren gefressen werden.
											Das ist nicht jedermanns Sache.
									","
											Ben öldüğümde,
											bedenimi açıkta bıraksınlar ki
hayvanlar tarafından yensin.
											Bedenin böyle hayvanlara yem
edilmesi her yiğidin harcı değildir.
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Kahkahalar)
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											Maybe you have already had
the end-of-life talk with your family
											and decided on,
I don't know, cremation.
											And in the interest of full disclosure,
											what I am proposing for my dead body
is not strictly legal at the moment,
											but it's not without precedent.
									","
											Quizá ya han conversado con su familia 
sobre qué hacer en caso de muerte
											y decidieron, no sé, la cremación.
											En tren de revelaciones,
											lo que propongo para mi cadáver
por ahora no es legal,
											pero existen precedentes.
									","
											Talvez já tenham tido com a vossa
família uma conversa sobre o fim da vida
											e tenham decidido pela cremação.
											No interesse por uma exposição total,
											que é o que proponho para o meu cadáver,
ainda não é estritamente legal,
											mas não é sem precedentes.
									","
											Vielleicht hatten Sie und Ihre Familie
bereits das Gespräch über den Tod.
											Sie haben sich möglicherweise
für Einäscherung entschieden.
											Ehrlich gesagt, ist mein Vorschlag
derzeit nicht wirklich legal.
											Was nicht heißt, dass es
noch nie gemacht wurde.
									","
											Belki de çoktan ailenizle ölüm
sonrasını konuşmuşsunuzdur.
											Belki de, ne bileyim,
yakılmakta karar kılmışsınızdır.
											Daha açık konuşmak gerekirse
											ölü bedenim için önerim
şu anda pek de yasal sayılmaz
											ama örnekleri de yok sayılmaz.
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											We've been laying out our dead
for all of human history;
											it's call exposure burial.
											In fact, it's likely happening
right now as we speak.
											In the mountainous regions of Tibet,
											they practice ""sky burial,""
											a ritual where the body is left
to be consumed by vultures.
											In Mumbai, in India,
those who follow the Parsi religion
											put their dead in structures
called ""Towers of Silence.""
											These are interesting cultural tidbits,
											but they just haven't really been
that popular in the Western world —
											they're not what you'd expect.
									","
											Lo hemos hecho desde siempre;
											se llama disección ritual.
											De hecho, es probable que suceda
ahora mismo mientras hablamos.
											En las regiones montañosas del Tíbet
											practican el ""entierro celestial"",
											un ritual donde se deja el cuerpo
para ser consumido por los buitres.
											En Mumbai, en India,
quienes siguen la religión parsi
											ponen sus muertos en estructuras
llamadas ""torres de silencio"".
											Son interesantes dulces culturales,
											sencillamente no han tenido
repercusión en Occidente...
											no son lo que cabría esperar.
									","
											Temos deixado os nossos cadáveres
expostos durante toda a história humana.
											Chama-se sepultura de exposição.
											Provavelmente, talvez esteja a acontecer
agora mesmo, enquanto falamos.
											Nas regiões montanhosas do Tibete,
											pratica-se o ""enterro celestial"",
											um ritual no qual o cadáver é deixado
para ser consumido por abutres.
											Em Mumbai, na Índia, aqueles que
seguem a religião dos pársis
											colocam os seus mortos em estruturas
chamadas ""Torres do Silêncio"".
											Estes são interessantes
requintes culturais,
											mas não têm sido muito
populares no mundo ocidental,
											não são o que as pessoas esperam.
									","
											Im Laufe der Geschichte haben wir
unsere Toten oft im Freien ausgelegt.
											Das nennt sich Luftbestattung.
											Es passiert wahrscheinlich
gerade in diesem Moment irgendwo.
											In den Gebirgsregionen von Tibet
werden ""Himmelsbestattungen"" durchgeführt.
											Bei diesem Ritual wird die Leiche
Aasfressern überlassen.
											Anhänger der Parsen-Religion
im indischen Mumbai
											legen ihre Toten in
sogenannte ""Türme der Stille"".
											Das sind interessante
kulturelle Schmankerl,
											aber sie sind in der
westlichen Welt nicht gängig.
											Man würde so etwas hier nicht erwarten.
									","
											İnsanlık tarihi boyunca
ölülerimizi açıkta bırakıyoruz.
											Buna teşhir defni denir.
											Aslında daha konuşurken gerçekleşiyordur.
											Tibet'in dağlık bölgelerinde mesela.
											Onlarda adı ""gökyüzü defni""dir.
											Bedenin akbabalara yem edildiği bir tören.
											Hindistan'ın Mumbai şehrinde
Parsi dini mensupları
											ölülerini ""Sessizlik Kuleleri""
dedikleri yapılara koyarlar.
											Bunlar ufak genel kültür bilgileri
											ama yine de Batı'da yaygın değiller.
											Bize uyan şeyler değiller.
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											In America, our death traditions
have come to be chemical embalming,
											followed by burial at your local cemetery,
											or, more recently, cremation.
											I myself, am a recent vegetarian,
											which means I spent the first
30 years or so of my life
											frantically inhaling animals —
											as many as I could get my hands on.
											Why, when I die, should they not
have their turn with me?
									","
											En EE.UU., nuestras tradiciones de muerte
han llegado al embalsamamiento químico,
											seguido de entierro en el cementerio local
											o, más recientemente, la cremación.
											Yo misma, vegetariana reciente,
											es decir que pasé los primeros
30 años o más de mi vida
											consumiendo animales sin parar...
											todos los animales que pude.
											¿Por qué, cuando muera, no deberían
tener ellos su oportunidad conmigo?
									","
											Nos EUA, as nossas tradições de enterros
tornaram-se o embalsamento químico,
											seguido por um enterro
num cemitério local,
											ou, mais recentemente, a cremação.
											Eu sou vegetariana, recentemente,
											o que significa que passei os primeiros
30 anos ou mais da minha vida
											a engolir freneticamente animais,
											tantos quantos conseguisse.
											Porque é que, quando eu morrer,
eles não poderão desforrar-se de mim?
									","
											In Amerika beginnt eine traditionelle
Bestattung mit chemischer Einbalsamierung.
											Danach folgt die Beerdigung am Friedhof,
oder neuerdings auch die Einäscherung.
											Ich bin seit kurzem Vegetarierin.
											Während meiner ersten rund 30 Lebensjahre
habe ich wie verrückt Tiere verschlungen.
											So viele, wie ich nur kriegen konnte.
											Warum sollten sie nicht auch etwas
von mir abbekommen, wenn ich sterbe?
									","
											Amerika'da cenaze merasimi 
kimyasal mumyalama
											ve ardından yerel bir
mezarlığa definden ibarettir
											ya da son zamanlarda yakılma.
											Ben yeni vejetaryen oldum.
											Yani hayatımın yaklaşık ilk 30 yılını
											elime geçen hayvanı afiyetle

											yutarak geçirdim.
											O zaman ben öldüğümde 
neden sıra onlara geçmesin?
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
