en,pt,fr,es,tr,title,speaker,duration,tags
"
","
","
","
","
",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
"
											Cybercrime is out of control.
											It's everywhere.
											We hear about it every single day.
											This year,
											over two billion records lost or stolen.
											And last year, 100 million of us,
mostly Americans,
											lost our health insurance data
to thieves — myself included.
											What's particularly concerning about this
is that in most cases,
											it was months before anyone even
reported that these records were stolen.
									","
											O crime cibernético está fora de controlo.
											Está por toda a parte.
											Ouvimos falar nele todos os dias.
											Este ano
											perderam-se ou foram roubados
mais de dois mil milhões de registos.
											No ano passado, 100 milhões de pessoas,
na maior parte norte-americanos,
											perderam os dados do seguro de saúde
para ladrões, eu inclusive.
											O que é preocupante nisto,
é que, na maior parte dos casos,
											passaram-se meses
antes que alguém informasse
											que esses registos tinham sido roubados.
									","
											La cybercriminalité est hors de contrôle.
											Elle est omniprésente.
											Nous en entendons parler quotidiennement.
											Cette année,
											plus de deux milliards de documents
ont été perdus ou volés.
											L'année dernière, 100 millions
d'entre nous, surtout des Américains,
											ont perdu leurs données d'assurance santé
face à des voleurs, moi y compris.
											Ce qui est particulièrement inquiétant
est que, dans la majorité des cas,
											il a fallu plusieurs mois avant
que ces dossiers soient déclarés volés.
									","
											La ciberdelincuencia 
está fuera de control.
											Está en todas partes.
											Oímos hablar de eso a diario.
											Este año,
											más de 2000 millones de registros 
se perdieron o fueron robados.
											Y el año pasado 100 millones, 
en su mayoría estadounidenses,
											perdimos, yo incluido, nuestros datos 
del seguro de salud en manos de ladrones.
											Lo que es particularmente preocupante de 
esto es que, en la mayoría de los casos,
											pasaron meses antes de que alguien 
informara de estos registros robados.
									","
											Siber suçlar çığırından çıktı.
											Tam bir salgın.
											Bunu her gün duyuyoruz.
											Bu yıl,
											iki milyardan fazla
kayıt kayboldu veya çalındı.
											Geçen yıl, çoğu Amerikalı,
100 milyon kişinin
											sağlık sigortası verileri
çalındı, benimki dahil.
											Asıl endişe verici olansa
çoğu kez,
											kayıtların çalınmasından aylar sonra
açıklama yapılmasıdır.
									",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
"
","
","
","
","
",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
"
											So if you watch the evening news,
											you would think that most of this
is espionage or nation-state activity.
											And, well, some of it is.
											Espionage, you see, is an accepted
international practice.
											But in this case,
											it is only a small portion
of the problem that we're dealing with.
											How often do we hear about a breach
											followed by, ""... it was the result
of a sophisticated nation-state attack?""
											Well, often that is companies
not being willing to own up
											to their own lackluster
security practices.
											There is also a widely held belief
											that by blaming an attack
on a nation-state,
											you are putting regulators at bay —
											at least for a period of time.
									","
											Por isso, se assistirmos
aos noticiários da noite,
											pensamos que, na maior parte,
se trata de espionagem
											ou da atividade de um estado-nação.
											Claro, há uma parte que assim é.
											A espionagem é uma prática
aceite internacionalmente.
											Mas, neste caso,
											é apenas uma pequena porção
do problema que enfrentamos.
											Quantas vezes ouvimos dizer
a seguir a uma interrupção:

											""... foi resultado de um sofisticado
ataque de um estado-nação""?
											Bem, muitas vezes são empresas
que não estão dispostas a denunciar
											as suas práticas de segurança deficientes.
											Há também uma crença
bastante disseminada
											de que culpando um estado-nação
por um ataque,
											estamos a manter à distância
as entidades reguladoras,
											pelo menos, durante algum tempo.
									","
											Si vous regardez le 20 heures,
											vous pourriez penser
											que la majorité est de l'espionnage
ou de l'activité d’États.
											C'est en partie vrai.
											L'espionnage est une pratique
internationale acceptée.
											Mais dans ce cas,
											ce n'est qu'une petite part du problème
auquel nous faisons face.
											Quand on parle d'une brèche,
											à quelle fréquence est-ce suivi par :
											« c'est le résultat d'une attaque
sophistiquée d'un État » ?
											Souvent, ce sont des entreprises
qui ne veulent pas admettre
											leurs piètres pratiques de sécurité.
											Il y a aussi une croyance commune
											selon laquelle en accusant
un État d'une attaque,
											vous éloignez les régulateurs —
											au moins un certain temps.
									","
											Si ven las noticias de la noche,
											podrían pensar que la mayor parte 
es espionaje de Estado.
											Y, así es, en parte.
											El espionaje es una práctica 
internacional aceptada.
											Pero en este caso,
											es solo una pequeña parte del problema 
que estamos tratando.
											¿Con qué frecuencia 
oímos hablar de una vulneración
											seguido de ""...fue debido a 
un ataque sofisticado al Estado?""
											Pues bien, a menudo, son las empresas 
las que no están dispuestas a tener
											sus propias prácticas de seguridad.
											También hay una creencia muy extendida
											de culpar a un ataque a un Estado-nación,
											Uds. lo controlan
											al menos durante un período de tiempo.
									","
											Akşam haber izlerken,
											bunların çoğunun casusluk veya
devletlerin işi olduğunu düşünürsünüz.
											Evet, bir kısmı öyle.
											Biliyorsunuz casusluk, kabul gören
uluslararası bir faaliyet.
											Fakat bu olayda,
											karşılaştığımız sorunun sadece 
küçük bir kısmı bununla ilgili.
											Bir ihlalin ardından şunu sıkça duyarız:
											""... bu çok yönlü bir devlet
saldırısı sonucudur.""
											Firmalar genellikle, güvenlik
uygulamalarının yetersiz olduğunu
											kabul etmeye yanaşmazlar.
											Ayrıca yaygın bir inanışa göre
											bir saldırıdan bir devleti sorumlu tutarak
											düzenleyicileri
köşeye sıkıştırıyorsunuz —
											en azından belli bir süre.
									",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
"
","
","
","
","
",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
"
											So where is all of this coming from?
											The United Nations estimates
that 80 percent of it
											is from highly organized
and ultrasophisticated criminal gangs.
											To date,
											this represents one of the largest
illegal economies in the world,
											topping out at, now get this,
											445 billion dollars.
											Let me put that in perspective
for all of you:
											445 billion dollars is larger than the GDP
											of 160 nations,
											including Ireland, Finland,
Denmark and Portugal,
											to name a few.
									","
											Mas então, de onde vem tudo isto?
											As Nações Unidas calculam
											que uns 80%
											provêm de grupos criminosos
ultrassofisticados
											e fortemente organizados.
											Até hoje,
											isso representa uma das maiores
economias ilegais do mundo,
											que atinge, reparem bem,
											445 mil milhões de dólares
											Vou pôr isso em perspetiva:
											445 mil milhões de dólares
é um valor mais elevado
											do que o PIB de 160 nações,
											incluindo a Irlanda, a Finlândia,
a Dinamarca e Portugal,
											para referir só alguns.
									","
											D'où viennent les attaques ?
											Les Nations Unies ont estimé que 80%
											sont issus de gangs criminels
très organisés et ultra sophistiqués.
											A ce jour,
											cela représente une plus importantes
économies illégales au monde,
											atteignant, écoutez bien,
											445 milliards de dollars.
											Laissez-moi remettre cela
dans son contexte :
											445 milliards de dollars,
c'est plus que le PIB
											de 160 nations,
											y compris l'Irlande, la Finlande,
le Danemark et le Portugal,
											pour ne citer qu'eux.
									","
											Entonces, ¿de dónde viene todo esto?
											Naciones Unidas estima
que el 80 % de ellos
											vienen de bandas criminales 
altamente organizadas y ultrasofisticadas.
											Hasta la fecha,
											esto supone una de las mayores 
economías ilegales en el mundo,
											superando, ahora,
											los USD 445 000 millones.
											Permítanme poner esto 
en perspectiva para todos:
											USD 445 000 millones es más que el PIB
											de 160 naciones,
											incluyendo Irlanda, Finlandia, 
Dinamarca y Portugal,
											por mencionar algunas.
									","
											Peki, bu saldırılar nereden geliyor?
											Birleşmiş Milletler bunun %80'inin
											çok iyi organize olmuş ultra sofistike 
çetelerin işi olduğunu tahmin ediyor.
											Bugüne dek,
											dünyadaki en büyük yasa dışı
ekonomik faaliyetlerden biri budur
											şuna bakın, 445 milyar dolarlık
											bir büyüklüğe ulaşmışlar.
											Bunu dikkatinize sunuyorum:
											445 Milyar dolar, 160 ülkenin GSMH
(Gayri Safi Milli Hasıla) sından
											daha büyüktür.
											Bu ülkeler arasında, İrlanda, Finlandiya,
Danimarka ve Portekiz
											sadece bir kaç örnek.
									",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
"
","
","
","
","
",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
"
											So how does this work?
											How do these criminals operate?
											Well, let me tell you a little story.
											About a year ago,
											our security researchers were tracking
											a somewhat ordinary but sophisticated
banking Trojan called the Dyre Wolf.
											The Dyre Wolf would get on your computer
											via you clicking on a link
in a phishing email
											that you probably shouldn't have.
											It would then sit and wait.
											It would wait until you logged
into your bank account.
											And when you did,
the bad guys would reach in,
											steal your credentials,
											and then use that to steal your money.
											This sounds terrible,
											but the reality is,
in the security industry,
											this form of attack
is somewhat commonplace.
											However, the Dyre Wolf had
two distinctly different personalities —
											one for these small transactions,
											but it took on an entirely
different persona
											if you were in the business of moving
large-scale wire transfers.
									","
											Como é que isto funciona?
											Como é que esses criminosos manobram?
											Vou contar-vos uma história.
											Há cerca de um ano,
											os nossos investigadores
de segurança andavam na pista
											de um cavalo de Troia bancário, vulgar
mas sofisticado, chamado Dyre Wolf.
											O Dyre Wolf entrava no nosso computador,
											quando clicávamos numa ligação
num email ""phishing""
											em que provavelmente não devíamos clicar.
											Ele entrava e ficava à espera.
											Esperava até nos ligarmos
à nossa conta bancária.
											Quando o fizéssemos,
os mauzões entravam lá,
											roubavam as nossas credenciais,
											e depois usavam-nas 
para roubar o nosso dinheiro.
											Isto é terrível,
											mas a realidade é que,
na indústria da segurança,
											esta forma de ataque
é um lugar comum.
											No entanto, o Dyre Wolf tinha
duas personalidades totalmente distintas,
											uma para estas pequenas transações,
											mas assumia uma pessoa
totalmente diferente
											se tivéssemos por costume
transferir grandes somas de dinheiro.
									","
											Comment cela fonctionne-t-il ?
											Comment ces criminels opèrent-ils ?
											Laissez-moi vous raconter
une petite histoire.
											Il y a environ un an,
											nos chercheurs en sécurité
suivaient la piste
											d'un cheval de Troie du système bancaire
assez ordinaire mais sophistiqué :
											le Dyre Wolf.
											Le Dyre Wolf arrivait sur votre ordinateur
											quand vous cliquiez sur un lien
dans un mail de hammeçonnage
											que vous ne devriez pas avoir.
											Puis il attendait.
											Il attendait que vous vous connectiez
à votre compte bancaire.
											Quand vous le faisiez,
les méchants arrivaient,
											volaient vos identifiants
											puis les utilisaient
pour voler votre argent.
											Cela semble horrible
											mais en réalité,
dans l'industrie de la sécurité,
											ce type d'attaque est commun.
											Cependant, le Dyre Wolf avait
deux personnalités différentes —
											il en avait une
pour ces petites transactions
											mais revêtait une tout autre personnalité
											si vous faisiez des virements
de montants importants.
									","
											¿Cómo funciona esto?
											¿Cómo funcionan estos criminales?
											Bueno, les contaré una pequeña historia.
											Hace un año,
											nuestros investigadores 
de seguridad rastreaban
											un troyano bancario poco común, pero 
sofisticado llamado la Dyre Lobo.
											El Dyre Lobo se instalaba 
en la computadora
											haciendo clic en un enlace 
en un correo electrónico de phishing
											que probablemente no deberíamos recibir.
											Este esperaba.
											Esperaba hasta que uno 
entraba en su cuenta bancaria.
											Y al hacerlo, aparecían los malos,
											robaban sus credenciales,
											para robar su dinero.
											Esto suena terrible,
											pero la realidad es que, 
en el sector de la seguridad,
											esta forma de ataque es algo común.
											Sin embargo, el Dyre Lobo tenía 
dos personalidades muy diferentes:
											una para estas pequeñas transacciones,
											pero adoptaba otro personaje
completamente diferente
											si estaba en el negocio de transferencias 
electrónicas a gran escala.
									","
											Peki bu iş nasıl yapılıyor?
											Bu çeteler nasıl çalışıyor?
											Size kısa bir hikaye anlatayım.
											Yaklaşık bir yıl önce
											güvenlik araştırmacılarımız
Dyre Wolf adında, bir anlamda
											sıradan ama karmaşık bir bankacılık
Trojan virüsünün izini sürüyordu.
											Dyre Wolf, tıklamamanız gereken sahte bir
											e-postadaki linke tıkladığınızda
											bilgisayarınıza bulaşıyordu.
											Sonra beklemeye geçiyordu.
											Banka hesabınıza girene kadar da
beklemeye devam ediyordu.
											Hesabınıza girdiğinizde, dolandırıcılar
											bilgilerinizi ele geçiriyor
											ve sonra da paranızı çalıyordu.
											Bu can sıkıcı bir şey,
											ama gerçek şu; güvenlik işinde
											bu tür saldırılar olağan şeylerdendir.
											Ancak, Dyre Wolf'un birbirinden
farklı iki kişiliği vardı.
											biri küçük işlemler içindi
											ancak, eğer büyük miktarlarda
para transferinin yapıldığı
											bir iş yapıyorsanız, virüsün
kişiliği tamamen değişiyordu.
									",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
"
","
","
","
","
",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
"
											Here's what would happen.
											You start the process
of issuing a wire transfer,
											and up in your browser would pop
a screen from your bank,
											indicating that there's a problem
with your account,
											and that you need to call
the bank immediately,
											along with the number
to the bank's fraud department.
											So you pick up the phone and you call.
											And after going through
the normal voice prompts,
											you're met with
an English-speaking operator.
											""Hello, Altoro Mutual Bank.
How can I help you?""
											And you go through the process
like you do every time you call your bank,
											of giving them your name
and your account number,
											going through the security checks
to verify you are who you said you are.
											Most of us may not know this,
											but in many large-scale wire transfers,
											it requires two people to sign off
on the wire transfer,
											so the operator then asks you
to get the second person on the line,
											and goes through the same set
of verifications and checks.
									","
											Eis o que pode acontecer:
											Começamos o processo
de emitir uma transferência
											e no cimo do ecrã
aparece um quadro do nosso banco
											indicando que há um problema
com a nossa conta
											e é necessário ligar para o banco
imediatamente,
											indicando o número
para o departamento de fraudes do banco.
											Nós agarramos no telefone e ligamos.
											Depois de passar pelas perguntas
automáticas da praxe,
											somos atendidos por um operador
de língua inglesa.
											""Altoro Mutual Bank,
em que posso ajudá-lo?""
											E passamos por todo o processo
igual ao que passamos
											sempre que ligamos para o banco.
											Damos o nome e o número da conta,
											passamos pelos controlos de segurança,
											para verificarem se somos
quem dizemos que somos.
											Muitos de nós conhecemos tudo isso
											mas, na maior parte das transferências
de grande escala
											são necessárias duas pessoas
para aprovarem a transferência,
											por isso, o operador pede
para passar à segunda pessoa,
											e volta a fazer o mesmo conjunto
de verificações e controlos.
									","
											Voici ce qui se produisait.
											Vous commencez
à faire un virement bancaire
											et, dans votre navigateur, apparaît
une fenêtre de votre banque
											indiquant qu'il y a un problème
avec votre compte,
											que vous devez immédiatement
appeler la banque,
											avec le numéro du département
anti-fraude de la banque.
											Vous décrochez le téléphone et appelez.
											Après avoir passé
les invites vocales habituelles,
											vous obtenez un opérateur
qui parle français :
											« Bonjour, Altoro Mutual Bank.
Comment puis-je vous aider ? »
											Et vous suivez le processus,
comme à chaque appel à la banque,
											vous donnez votre nom
et votre numéro de compte,
											vous passez les tests de sécurité
pour vérifier votre identité.
											La plupart d'entre nous l'ignorent,
											mais pour les virements importants,
											il faut que deux personnes
valident le virement,
											l'opérateur vous demande donc
de lui passer la seconde personne
											et lui fait passer les mêmes
tests et vérifications.
									","
											Esto es lo que pasaba.
											Se iniciaba el proceso de emisión 
de transferencia bancaria,
											y en el navegador 
se abría una pantalla del banco,
											lo que indicaba que había 
un problema con su cuenta,
											y que tenía que llamar 
al banco de inmediato,
											junto con el número 
del departamento de fraude del banco.
											Así que tomé el teléfono y llamé.
											Y después de pasar 
por las instrucciones de voz normales,
											que da un operador en inglés.
											""Hola, Altoro Mutual Bank. 
¿Cómo puedo ayudarle?""
											Y uno pasa por ese proceso, 
cada vez que se llama a su banco,
											de dar el nombre y el número de cuenta,
											pasando por controles para verificar 
la identidad de quien llama.
											La mayoría no puede saber esto,
											pero en muchas transferencias 
electrónicas a gran escala,
											se requieren dos personas para 
firmar la transferencia bancaria,
											por lo que el operador le pregunta para 
obtener la segunda persona en la línea,
											y pasa por la misma serie 
de verificaciones y controles.
									","
											O zaman şu oluyordu;
											bir transfer yapmak için 
işlemlere başladığınızda
											ekranda, bankanızdan gelen
ve hesabınızda bir sorun
											olduğunu söyleyen bir pencere açılıyor
											ve derhal bankayı aramanız 
gerektiğini söylüyor ve bankanın
											dolandırıcılık birimine ait
numarayı da veriyordu.
											Siz de o numarayı arıyordunuz.
											Normal sesli yönlendirmelerden sonra

											karşınıza İngilizce konuşan
bir görevli çıkıyordu.
											""İyi günler, Altoro Bankası.
Size nasıl yardımcı olabilirim?""
											Ve siz bankayı her aramanızda olduğu
gibi işlemleri sürdürüyor
											ona adınızı ve hesap numaranızı veriyor ve
											güvenlik sorularına cevap vererek
kimliğinizi doğruluyordunuz.
											Çoğumuz şunu bilmez;
											büyük miktarlardaki transferlerde
											transferi iki kişinin onaylaması gerekir.
											Bu nedenle daha sonra görevli
sizden ikinci kişinin iletişime
											geçmesini istiyor ve aynı doğrulama
işlemleri tekrar yapılıyordu.
									",Where is cybercrime really coming from?,Caleb Barlow,14:27,"crime,data,hack,computers"
