pt,en,fr,de,title,speaker,duration,tags
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											Está tudo interligado.
											Como uma índia de Shinnecock, 
fui educada para saber isso.
											Nós somos uma pequena tribo de pescadores
											situada no extremo sudeste de Long Island
											perto da cidade de Southampton, em Nova Iorque.
									","
											Everything is interconnected.
											As a Shinnecock Indian, I was raised to know this.
											We are a small fishing tribe
											situated on the southeastern tip of Long Island
											near the town of Southampton in New York.
									","
											Tout est interconnecté.
											En tant qu'Indienne Shinnecock, 
j'ai été élevé en le sachant.
											Nous sommes une petite tribu de pêcheurs
											et nous vivons à l'extrémité sud-est de Long Island
											près de la ville de Southampton à New York.
									","
											Alles ist miteinander verbunden.
											Als Shinnecock-Indianer wurde ich
mit diesem Bewusstsein erzogen.
											Wir sind ein kleiner Stamm von Fischern,
											der an der südöstlichen Spitze
von Long Island
											nahe der Stadt Southampton
in New York beheimatet ist.
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											Quando eu era criança
											o meu avô sentou-se comigo ao sol
num dia quente de Verão.
											Não havia nuvens no céu.
											Depois de algum tempo, comecei a transpirar.
											Ele apontou para o céu e disse:
											""Olha, vês aquilo?
											""Aquilo é parte de ti lá em cima.
											""É a tua água que ajuda a formar a nuvem
											""que se torna a chuva,
que alimenta as plantas
											""que alimenta os animais.""
									","
											When I was a little girl,
											my grandfather took me to sit outside in the sun on a hot summer day.
											There were no clouds in the sky.
											And after a while I began to perspire.
											And he pointed up to the sky, and he said,
											""Look, do you see that?
											That's part of you up there.
											That's your water that helps to make the cloud
											that becomes the rain that feeds the plants
											that feeds the animals.""
									","
											Quand j'étais petite,
											mon grand-père et moi nous nous sommes assis 
dehors au soleil, une chaude journée d'été.
											Il n'y avait pas de nuages dans le ciel.
											Au bout d'un moment,
j'ai commencé à transpirer.
											Il a montré le ciel du doigt, et il a dit :
											« Regarde, tu vois ça ?
											Ce qui est là-haut fait partie de toi.
											C'est l'eau qui aide à faire le nuage
											que devient la pluie qui nourrit les plantes,
											qui nourrit les animaux. »
									","
											Als kleines Mädchen
											saß mein Großvater an einem heißen 
Sommertagen mit mir draußen in der Sonne
											– kein Wölkchen am Himmel.
											Nach einer Weile begann ich zu schwitzen.
											Er zeigte in den Himmel und sagte:
											»Schau mal – siehst du das?
											Das da oben ist ein Teil von dir.
											Es ist auch dein Wasser,
das eine Wolke bildet,
											zu Regen wird, die Pflanzen nährt,
											und die Tiere nährt.«
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											Na minha contínua exploração de temas
na natureza
											que tenham a capacidade de ilustrar 
a interligação entre toda a vida
											comecei a caçar tempestades em 2008
											depois de a minha filha dizer:
""Mãe, devias fazer isso.""
									","
											In my continued exploration of subjects in nature
											that have the ability to illustrate the interconnection of all life,
											I started storm chasing in 2008
											after my daughter said, ""Mom, you should do that.""
									","
											Dans mon exploration continue 
des sujets de la nature
											qui ont la capacité d'illustrer 
l'interconnexion de toute vie,
											j'ai commencé à chasser
les tempêtes en 2008
											après que ma fille ait dit : 
« Maman, tu devrais le faire. »
									","
											Auf meiner weiteren Suche nach Modellen der Natur,
											welche die Kraft haben Verbundenheit 
von allem Leben zu veranschaulichen,
											begann ich 2008 Stürme zu verfolgen,
											nachdem meine Tochter sagte:
»Mama, das solltest du tun.«
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											E três dias mais tarde, conduzindo muito depressa
											estava a perseguir um tipo singular
de nuvem gigante chamado supercélula
											capaz de produzir granizo do tamanho de uma toranja
											e tornados espetaculares
											embora, na verdade, só 2% o façam.
											Estas nuvens podem ficar tão grandes,
com 80 km de largura
											e chegar até 20 000 metros na atmosfera.
											Elas podem crescer muito,
bloqueando toda a luz do dia
											ficando bastante escuro e sinistro 
estar debaixo delas.
									","
											And so three days later, driving very fast,
											I found myself stalking a single type of giant cloud called the super cell,
											capable of producing grapefruit-size hail
											and spectacular tornadoes,
											although only two percent actually do.
											These clouds can grow so big, up to 50 miles wide
											and reach up to 65,000 feet into the atmosphere.
											They can grow so big, blocking all daylight,
											making it very dark and ominous standing under them.
									","
											Alors trois jours plus tard, 
je conduisais très vite,
											je me suis retrouvée à traquer un seul type 
de nuage géant appelé orage supercellulaire
											capable de produire des grêlons 
de la taille d'un pamplemousse
											et des tornades spectaculaires,
											bien que seulement 2 % le font réellement.
											Ces nuages peuvent devenir si grands, 
jusqu'à 80 km de large
											et atteindre une altitude de 20 000 mètres
dans l'atmosphère.
											Ils peuvent devenir si grands, 
bloquer la lumière du jour,
											et en-dessous, tout devient sombre et menaçant.
									","
											Drei Tage später in rasanter Fahrt
											fand ich mich wieder auf einer Jagd nach einer
riesigen Wolke, auch Superzelle genannt,
											welche fähig sind Hagelkörner 
so groß wie Grapefruits und
											eindrucksvolle Wirbelstürme hervorzubringen,
											wobei das davon nur zwei Prozent vorweisen.
											Diese Wolken können wirklich groß werden,
bis zu 80km weit,
											und können bis zu 20.000m
in die Atmosphäre reichen.
											Sie können so groß werden, dass sie
											das Tageslicht verdrängen, sodass es 
darunter sehr dunkel und bedrohlich wirkt.
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											Caçar tempestades é uma experiência muito tátil.
											Há um vento quente, húmido, a soprar-nos nas costas
											e o cheiro a terra, a trigo, a erva, 
às partículas carregadas.
											Depois há as cores nas nuvens
											da formação de granizo, os verdes 
e os azuis-turquesa.
											Aprendi a respeitar o relâmpago.
											O meu cabelo costumava ser liso.
									","
											Storm chasing is a very tactile experience.
											There's a warm, moist wind blowing at your back
											and the smell of the earth, the wheat, the grass, the charged particles.
											And then there are the colors in the clouds
											of hail forming, the greens and the turquoise blues.
											I've learned to respect the lightning.
											My hair used to be straight.
									","
											La chasse aux tempêtes 
est une expérience très tactile.
											Il y a des vents chauds et humides, 
qui vous soufflent dans le dos
											et l'odeur de la terre, du blé, 
de l'herbe, les particules chargées.
											Et puis, il y a les couleurs dans les nuages
											de la grêle qui se forme, 
les verts et les bleus turquoises.
											J'ai appris à respecter la foudre.
											Avant mes cheveux étaient raides.
									","
											Sturmjagen führt zu sehr sinnlichen Erfahrungen.
											Ein warmer, feuchter Wind bläst von hinten,
											und der Geruch von Erde, Weizen, Gras,
den aufgeladenen Teilchen liegt in der Luft.
											Dann sind diese Farben in den Wolken,
											in denen sich der Hagel zusammenbraut,
von Grün zu Türkisblau.
											Ich habe gelernt die Blitze zu respektieren.
											Mein Haar war mal glatt.
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
