pt,de,fr,title,speaker,duration,tags
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											""Olha para mim!""
									","
											""Schau mich an!""
									","
											« Regarde-moi ! »
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Com estas palavras, passei a ser
uma treinadora de olhares.
											Sou mãe de Ivan, com 15 anos.
											Ivan tem autismo, não fala,
											e comunica através de um iPad
											onde está todo o seu universo
de palavras em imagens.
									","
											Diese Worte machten aus mir
einen ""Augenkontakt-Trainer"".
											Ich bin Ivans Mutter, er ist 15 Jahre alt.
											Ivan hat Autismus,
											er spricht nicht.
											Er kommuniziert mittels einem iPad,
											in dem sein ganzer Wortschatz
in Form von Bildern abgelegt ist.
											Er bekam die Diagnose,
als er zweieinhalb war.
											Ich erinnere mich noch
sehr schmerzlich an diesen Tag.
											Mein Mann und ich fühlten
uns sehr verloren;
											wir wussten nicht,
wo wir anfangen sollten.
											Es gab kein Internet,
											wir konnten nicht
nach Informationen googeln.
											Wir machten unsere
ersten Schritte rein intuitiv.
									","
											Avec ce mot, je suis devenue
dresseuse de regards.
											Je suis la maman d'Ivan, âgé de 15 ans.
											Ivan est autiste, il ne parle pas,
											mais il communique grâce à un iPad
											où se trouve tout son univers
de mots en images.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Soubemos do seu diagnóstico
quando tinha dois anos e meio
											e ainda hoje recordo
esse momento com muita dor.
											O meu marido e eu
sentíamo-nos perdidos.
											Não sabíamos por onde começar.
											Não havia Internet como agora,
											não podíamos pesquisar informações,
											por isso os primeiros passos
											foram de pura intuição.
									","
											Ivan hielt keinen Blickkontakt,
											vergaß alle Wörter wieder, die er wusste,
											und er reagierte weder auf seinen Namen,
noch auf alles, was wir ihn fragten,
											als ob Wörter nur Geräusche wären.
											Der einzige Weg zu erfahren,
											was in ihm vorging,
											was er fühlte,
											war ein Blick in seine Augen.
											Aber dieser Zugang war versperrt.
											Wie sollte ich ihm das Leben beibringen?
											Wenn ich Dinge tat, die er mochte,
schaute er mich an.
											Dann waren wir verbunden.
											Also habe ich diese Dinge genutzt,
											um immer mehr Momente
mit Augenkontakt zu haben.
											Wir spielten viele Stunden
mit Alexia, seiner älteren Schwester.
											Und wenn wir riefen:
""Ich habe dich gefangen!"",
											suchte er mit den Augen nach uns.
											In solchen Augenblicken
fühlte ich das Leben in ihm.
									","
											Nous avons reçu le diagnostic
quand il avait deux ans et demi.
											Je me rappelle encore de ce moment
avec beaucoup de chagrin.
											Mon mari et moi nous sommes sentis perdus.
											Nous ne savions pas par où commencer.
											Il n'y avait pas Internet 
comme de nos jours.
											Nous ne pouvions pas
chercher d'information sur Google.
											C'est ainsi que nos premiers pas
											ont été guidés par l'intuition.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Ivan não mantinha o contacto visual,
											perdera as palavras que dizia,
											não respondia ao seu nome
											nem a nada que lhe pedíssemos,
											como se as palavras fossem ruídos.
											A única forma que eu tinha
											de saber o que se passava com ele,
											o que é que ele sentia,
											era olhando para os seus olhos.
											Mas essa ligação estava quebrada.
											Como ensinar a vida a Ivan?
											Contudo, eu fazia coisas
de que ele gostava.
											Aí, sim, olhava para mim
											e estávamos juntos,
											Por isso dediquei-me
a segui-lo nessas coisas
											para que cada vez houvesse
mais momentos de olhares.
											Passávamos horas e horas
a jogar à apanhada
											com a irmã mais velha, Alexia.
											Quando dizíamos: ""Vou apanhar-te!""
											ele olhava para nós
											e, nesse momento,
eu sentia que ele estava vivo.
									","
											Wir halten den Rekord
für Schwimmbadaufenthalte.
											Ivan hatte immer schon
eine Leidenschaft für Wasser.
											Ich erinnere mich, als er zweieinhalb war,
											fuhren wir an einem regnerischen Wintertag
											zu einem Hallenbad.
											Denn wir gingen auch
an regnerischen Tagen schwimmen.
											Auf der Autobahn
nahm ich die falsche Abfahrt.
											Er brach in Tränen aus, weinte
ununterbrochen und war untröstlich,
											bis ich umdrehte.
											Erst das beruhigte ihn.
									","
											Ivan ne soutenait pas le regard.
											Il avait perdu les mots
qu'il énonçait jadis,
											il ne répondait pas à son nom
											ni à quoi que ce soit
qu'on lui demandait ;
											comme si les mots étaient des bruits.
											La seule façon de savoir
											ce qu'il lui arrivait,
											ce qu'il ressentait,
											c'était en le regardant
droit dans les yeux.
											Mais ce lien était brisé.
											Comment enseigner la vie à Ivan ?
											Quand je faisais des choses
qui lui plaisaient,
											là, oui, il me regardait
											et nous étions ensemble.
											Je me suis donc dévouée
à lui plaire sur ce genre de choses,
											pour qu'à chaque fois il y ait
plus de complicité, plus de regards.
											Nous passions des heures
à jouer à chat perché
											avec sa sœur aînée Alexia,
											et quand je disais :
« Je vais t'attraper »,
											il nous cherchait avec les yeux,
											et c'est là que je voyais 
qu'il était vraiment vivant.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Também temos um recorde
de horas na piscina.
											Ivan sempre teve uma paixão
muito forte pela água.
											Recordo que ele tinha
dois anos e meio
											e, um dia de inverno,
de muita chuva,
											eu estava a levá-lo 
para uma piscina coberta,
											porque nem sequer nesses dias
deixávamos de ir.
											Estávamos a seguir pela autoestrada
											e enganei-me na saída.
											Ele começou a chorar,
desconsolado, sem parar,
											até eu retomar o caminho
											e então sim, acalmou-se.
									","
											Wie ist es möglich,
dass ein Zweieinhalbjähriger,
											der seinen eigenen Namen nicht kennt,
											in dichtem Regen und Nebel,
wo ich nichts sehen konnte,
											die genaue Wegstrecke erkennt?
											Ich erkannte Ivans außergewöhnliches
visuelles Gedächtnis —
											und dass dies mein Weg ist,
um mit ihm in Kontakt zu kommen.
									","
											Nous avons aussi le record
d'heures à la piscine.
											Ivan a toujours eu
une forte attirance pour l'eau.
											Je me souviens
quand il avait deux ans et demi,
											un jour d'hiver où il pleuvait des cordes
											et pourtant je l'amenais
à une piscine couverte
											puisque même les jours de pluie
ne nous empêchaient pas d'y aller.
											Nous étions en voiture sur l'autoroute
											et quand j'ai raté la sortie,
											il a éclaté en sanglots, pleurant 
toutes les larmes de son corps,
											jusqu'à ce que je reprenne le bon chemin.
											Puis, quand nous sommes
arrivés, il s'est arrêté.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
