en,fr,tr,es,pt,title,speaker,duration,tags
"
","
","
","
","
",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
"
											When you walk around
the place where you live,
											most of the times,
											you feel pretty safe
and comfortable, right?
											Now imagine if there were land mines
											buried right here,
											scattered around,
											and you'd never know
when you might step on one.
											That's how it is for many
in my home country, Colombia.
											As a result of a 50-year
internal armed conflict,
											we have an undetermined
number of land mines
											buried throughout the countryside,
											affecting more than one third
of the Colombian population.
											These anti-personnel mines
											are designed to maim,
not to kill their targets.
											The logic behind this, which is awful,
											is that more resources are taken up
caring for an injured soldier
											than dealing with a person
who has been killed.
									","
											Lorsque vous vous promenez
autour de chez vous,
											la plupart du temps,
											vous vous sentez à l'aise
et en sécurité, n'est-ce pas ?
											Maintenant imaginez
qu'il y ait des mines antipersonnel
											enterrées juste ici,

											éparpillées un peu partout,
											et que vous ne puissiez pas savoir si vous
allez marcher sur l'une d'entre elles.
											C'est une réalité pour beaucoup de gens
dans mon pays natal, la Colombie.
											À cause d'un conflit armé interne
qui dure depuis 50 ans,
											il y a un nombre indéterminé
de mines antipersonnel
											éparpillées dans les campagnes,
											affectant plus d'un tiers
de la population colombienne.
											Ces mines antipersonnel
											sont conçues pour mutiler
et non tuer leurs victimes.
											La logique effroyable
qui se cache derrière ces mines,
											est que plus de ressources sont utilisées
lorsqu'on s'occupe d'un soldat blessé
											que lorsqu'on s'occupe
d'une personne qui a été tuée.
									","
											Yaşadığımız yerde
etrafta dolaşırken
											genellikle kendimizi
											güvende ve rahat hissederiz, değil mi?
											Şimdi, tam burada
											etrafta kara mayınları
											döşeli olduğunu ve ne zaman
											bunlardan birine basabileceğini 
hiç bilmediğini düşün.
											Ana vatanım Kolombiya'da
durum çoğu insan için böyle.
											50 yıl süren silahlı 
iç çatışmaların sonucu olan
											ülke topraklarına döşenmiş
sayısı belirlenemeyen
											miktarda kara mayını var
											ve Kolombiya nüfusunun
üçte biri bundan etkileniyor.
											Bu anti-personel mayınlar
											düşman unsuru öldürmek değil,
sakatlamak için tasarlanmıştır.
											Bunun arkasındaki mantık korkunçtur;
											yaralı bir askerle ilgilenmek,
ölü bir askere oranla,
											daha fazla personel ve kaynak
kullanımı gerektirir.
									","
											Cuando caminan por el lugar donde viven
											se sienten seguros y cómodos
la mayoría del tiempo, ¿cierto?
											Pero imaginen si hubiesen minas terrestres 
antipersonales enterradas aquí,
											diseminadas por doquier,
											y no supieran cuándo podrían pisar una.
											Esto es así para muchas personas
en mi país natal: Colombia.
											Como consecuencia de un conflicto
armado interno de 50 años
											tenemos un número indeterminado
de minas terrestres
											enterradas en las zonas rurales,
											que afectan a más de un tercio
de la población colombiana.
											Estas minas antipersona
											son diseñadas para mutilar,
no para matar a sus víctimas.
											La lógica detrás de esto,
la cual es terrible,
											es que cuidar a un soldado herido
requiere más recursos
											que atender a una persona ya fallecida.
									","
											Quando passeamos pelos locais
onde vivemos,
											na maior parte das vezes,
											sentimo-nos seguros
e confortáveis, não é?
											Imaginem se houvesse minas terrestres
											enterradas por aí,
											espalhadas por ali
											e nunca soubéssemos
se podíamos pisar alguma.
											É o que acontece a muita gente
no meu país, a Colômbia.
											Em consequência de um conflito
armado interno durante 50 anos,
											temos um número indeterminado
de minas terrestres
											enterradas por toda a área rural,
											que afetam mais de um terço
da população colombiana.
											Estas minas antipessoais
											destinam-se a mutilar,
não a matar os seus alvos.
											A lógica por detrás disso,
o que é terrível,
											é que se gastam mais recursos
com um soldado ferido
											do que a lidar com uma pessoa
que foi morta.
									",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
"
","
","
","
","
",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
"
											I met Adriana Rodriguez
about five years ago
											while I was working
for the Colombian government
											as a documentary filmmaker.
											During the conflict,
											she was forced to leave her house ...
											with her kids in her arms.
											One day, one of her neighbors was killed
											while he stepped on a land mine.
											He was actually inside
an abandoned house, not outside,
											a house exactly like the one
Adriana was forced to leave.
											Ever since, she has been living
with the fear that she, or her children,
											might step on a land mine.
									","
											J'ai rencontré Adriana Rodriguez
il y a environ cinq ans.
											Je travaillais
pour le gouvernement colombien
											en tant que réalisateur de documentaires.
											Pendant le conflit,
											elle fut contrainte de quitter sa maison
											avec ses enfants dans ses bras.
											Un jour, un de ses voisins fut tué
											parce qu'il posa le pied
sur une mine antipersonnel.
											En fait, il se trouvait à l'intérieur
d'une maison abandonnée,
											et non à l'extérieur,
											une maison exactement comme celle
qu'Adriana fut contrainte d'abandonner.
											Depuis, elle vit dans la peur
qu'elle ou un de ses enfants,
											marche sur une mine antipersonnel.
									","
											Adriana Rodriguez ile 
beş yıl önce tanıştım
											Kolombiya hükümeti için
bir belgesel yapımcısı
											olarak çalışıyordum.
											Adriana çatışmalar sırasında
											kucağında çocuklarıyla birlikte
											evinden zorla sürülmüştü.
											Bir gün komşularından biri
											bir mayına bastı ve öldü
											ve adam terk edilmiş bir 
evin içindeydi, dışarıda değil
											ve ev tıpkı Adriana'nın zorla
terk ettiği evine benziyordu.
											Bu olaydan beri Adriana, 
kendisi veya çocuklarının bir mayına
											basabileceği 
korkusuyla yaşıyor.
									","
											Conocí a Adriana Rodríguez
hace unos cinco años
											cuando trabajaba para
el gobierno colombiano
											como realizadora de documentales.
											Durante el conflicto
ella fue forzada a dejar su casa...
											con sus hijos en brazos.
											Un día, uno de sus vecinos murió
por haber pisado una mina antipersona.
											De hecho, él estaba dentro de
una casa abandonada, no afuera,
											una casa justo igual a la que
Adriana fue forzada a dejar.
											Desde entonces ella ha vivido
con el temor de que ella o sus hijos
											puedan pisar una mina antipersona.
									","
											Conheci Adriana Rodriguez
há uns cinco anos
											quando eu estava a trabalhar
para o governo colombiano
											como realizador cinematográfico
de documentários.
											Durante o conflito,
											ela foi forçada a abandonar a sua casa,
											com os filhos ao colo.
											Um dia, um dos seus vizinhos foi morto
											quando pisou uma mina terrestre.
											Na verdade, ele estava dentro
duma casa abandonada,
											não estava na rua,
											uma casa exatamente igual
à que Adriana fora forçada a abandonar.
											Desde aí, ela vive com medo
de que ela, ou algum dos filhos
											possa pisar uma mina terrestre.
									",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
"
","
","
","
","
",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
"
											You know, the Colombian conflict
has been running for so long
											that neither me nor my mom
have seen our country in peace,
											and for someone like me,
											who has been living detached
from all this suffering,
											there was only two options:
											either I get used to it,
											or I can try to change it
with all my heart.
											And I have to admit
that for almost 30 years,
											I was getting used to it, you know?
											But something changed for me
when I met my wife.
											She is a political scientist
											completely passionate
about the Colombian armed conflict.
											She helped me to understand
											how deeply our country has
been affected by land mines and by war.
											We decided to come here
to the United States
											in search of new skills
											that would enable us to contribute
in a fair way to our society,
											and maybe even help heal it.
									","
											Vous savez, le conflit colombien existe
depuis si longtemps
											que ma mère et moi n'avons
jamais vu notre pays en paix,
											et pour quelqu'un comme moi,
											qui vit détaché
de toute cette souffrance,
											il y a seulement deux options :
											soit je m'y habitue,
											soit je fais tout mon possible
pour changer les choses.
											Et je dois admettre
que pendant presque 30 ans,
											je m'y habituais, vous savez.
											Cependant, quelque chose s'est changé
en moi lorsque j'ai rencontré ma femme.
											Elle est politologue
											et complètement passionnée
par le conflit armé colombien.
											Elle m'a aidé à comprendre
											à quel point notre pays a été affecté
par les mines antipersonnel et la guerre.
											Nous avons décidé de venir
ici aux États-Unis
											à la recherche de nouvelles compétences
											qui nous permettraient de contribuer
d'une façon juste à notre société,
											et peut-être même l'aider à guérir.
									","
											Biliyorsunuz Kolombiya'daki çatışmalar
öyle uzun süredir devam ediyor ki
											ne ben, ne de annem ülkemizi
hiç barış içinde görmedik.
											Bütün bu acıları gören
											benim gibi biri için
											sadece iki seçenek vardı:
											ya buna alışacaktım
											ya da bütün kalbimle
bunu değiştirmeye çalışacaktım.
											İtiraf edeyim yaklaşık
30 yıl buyunca
											alışmayı seçtim, bilirsiniz.
											Ama karımla tanışınca
bir şeyler değişti.
											Karım bir siyaset bilimcisi
											ve Kolombiyadaki silahlı ihtilafa
yoğun bir ilgisi var.
											Ve benim, bu savaş ve mayınlarından
											ülkenin ne kadar derinden 
etkilendiğini anlamamı sağladı.
											Buraya, Amerikaya 
gelmeye karar verdik
											yeni beceriler edinmek istiyorduk
											böylece insanlarımıza adil bir biçimde
katkı yapmamız mümkün olacaktı
											belki iyileşmesine de
yardım edebilecektik.
									","
											El conflicto colombiano ha durado tanto
que ni mi mamá ni yo hemos visto
											nuestro país en paz.
											Y para alguien como yo,
											que ha vivido alejado
de todo ese sufrimiento,
											había solo dos opciones:
											acostumbrarme a sufrir o intentar
cambiar eso con todo mi corazón.
											Y debo admitir que en casi 30 años
ya me estaba acostumbrando a eso, ¿saben?
											Pero algo cambio en mí
cuando conocí a mi esposa.
											Ella es politóloga,
											apasionada totalmente por 
el conflicto armado colombiano.
											Ella me ayudó a entender lo mucho
que había sido afectado nuestro país
											por la guerra y las minas antipersona.
											Decidimos venir a aquí, a EE.UU.,
en búsqueda de nuevas habilidades
											que nos permitiesen contribuir
justamente con nuestra sociedad
											e incluso, quizá, ayudar a sanarla.
									","
											O conflito colombiano
durou tanto tempo
											que nem eu nem a minha mãe
vimos o nosso país em paz.
											Para alguém como eu,
											que tem vivido afastado
de todo este sofrimento,
											só havia duas opções:
											ou me habituava
											ou tentava mudá-la
com todas as minhas forças.
											Tenho que reconhecer
que, durante quase 30 anos
											estava a ficar habituado.
											Mas houve uma coisa que me mudou
quando encontrei a minha mulher.
											Ela é cientista política
											totalmente apaixonada
pelo conflito armado da Colômbia.
											Ajudou-me a perceber
											como o nosso país tem sido
afetado profundamente
											pelas minas terrestres e pela guerra.
											Decidimos voltar aqui
aos Estados Unidos da América
											à procura de novas aptidões
											que nos permitissem contribuir
de modo justo para a nossa sociedade
											e talvez mesmo ajudá-la a curar-se.
									",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
"
","
","
","
","
",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
"
											While in grad school,
											I started developing
											an augmented reality,
really broad application
											to help military personnel
to deactivate land mines more safely.
											During that time, I also realized
											that Colombia is not
the only country in the world
											that has to worry about land mines.
											In fact, more than 58 countries
											are still contaminated
with any sort of explosive device.
											Only in 2015, due to an escalation of war
											in countries like Libya,
Syria, Ukraine and Yemen,
											the number of [land mine
casualties] almost doubled,
											from 3,695 to 6,461 people.
											Imagine that.
											While some countries
are trying to get rid of land mines,
											some others are increasing their use.
									","
											Pendant mes études supérieures,
											j'ai commencé à développer
											une application de réalité augmentée,
à grande amplitude,
											pour aider le personnel militaire

											à désactiver les mines antipersonnel
de manière plus sécurisée.
											Pendant ce temps,
je me suis aussi rendu compte
											que la Colombie n'était pas
le seul pays dans le monde
											qui doive s'inquiéter
des mines antipersonnel.
											En fait, plus de 58 pays
											sont toujours contaminés
par des dispositifs explosifs.
											Rien qu'en 2015, à cause
d'une aggravation de la guerre
											dans des pays comme la Libye,
la Syrie, l'Ukraine et le Yémen,
											le nombre de victimes a presque doublé,
											passant de 3 965 à 6 461 personnes.
											Imaginez.
											Alors que certains pays
tentent de s'en débarrasser,
											d'autres les utilisent de plus en plus.
									","
											Yüksek Okuldayken,
											askeri personelin,
kara mayınlarını
											daha güvenli bir biçimde
etkisizleştirmesine yardım edecek
											çok geniş uygulamalı bir artırılmış
gerçeklik geliştirmeye başladım.
											Bu süre boyunca, ayrıca
											Kolombiya'nın kara mayınlarından 
endişe duyan
											dünyadaki tek ülke olmadığını öğrendim.
											Aslında, 58 den fazla ülkede hâlâ
											her türden patlayıcı kirliliği var.
											Sadece 2015 yılında, savaşların
şiddetlenmesiyle nedeniyle,
											Libya, Suriye, Ukrayna ve
Yemen gibi ülkelerde
											kara mayınlarının neden oldugu ölüm
sayısı neredeyse ikiye katlandı
											ve 3695'den 6461'e yükseldi.
											Bunu bir düşünün.
											Bazı ülkeler mayınlardan 
kurtulmaya çalışırken
											diğerleri bunların kullanımını artıryor.
									","
											Durante mi posgrado comencé a desarrollar
											una aplicación de realidad aumentada
para ayudar al personal militar
											a desactivar estas minas
de manera más segura.
											Durante ese tiempo,
											también me di cuenta de que Colombia
no es el único país en el mundo
											que tiene que preocuparse
por las minas antipersona.
											De hecho, más de 58 países
											siguen estando contaminados
por alguna clase de dispositivo explosivo.
											Solo en el 2015, debido a
un escalamiento de la guerra
											en países como Libia,
Siria, Ucrania y Yemen,
											el número de víctimas
de las minas antipersona
											casi se duplicó: de 3695 a 6461 personas.
											Imaginen eso.
											Mientras que algunos países intentan
librarse de las minas antipersona,
											otros aumentan su uso.
									","
											Quando estava na faculdade,
											comecei a desenvolver uma aplicação
											de realidade aumentada,
muito abrangente,
											para ajudar os militares a desativar
minas terrestres, de modo mais seguro.
											Durante esse período, também percebi
											que a Colômbia não é
o único país do mundo
											que têm preocupações
com as minas terrestres.
											Mais de 58 países
											ainda estão contaminados
com qualquer tipo de engenho explosivo.
											Só em 2015, devido ao aumento da guerra
											em países como a Líbia,
a Síria, a Ucrânia e o Iémen,
											o número de minas terrestres
quase duplicou
											de 3695 para 6461.
											Imaginem.
											Alguns países estão a tentar
ver-se livres das minas terrestres,
											mas outros estão a aumentar o seu uso.
									",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
"
","
","
","
","
",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
"
											But what happens when a conflict
that involved land mines
											comes to an end?
											There are two consequences.
											On the one hand,
											the internally displaced population
will start returning to their lands,
											and on the other hand,
											hidden land mines are going
to start exploding more often
											on the civilian side.
											That's the reason why I decided to join
											the Computer Science Department at NYU,
											along with Professor Claudio Silva
											to start to develop an app
called MineSafe.
											MineSafe uses information
from the community
											to suggest paths that have been declared
as the most transited
											without accident or incident
caused by a land mine.
											These traffic patterns
can also be used to determine
											the top priority zones to be de-mined.
											Almost 15 million people are living now
in the countryside of Colombia.
											Imagine, for a moment, if we can
crowdsource information from all of them
											to help people like Adriana
and her children
											to find safe and reliable paths.
											This information
can not only be used for that.
											This information can also help them
to become more productive.
											Farmers will be able to find
											which lands have been cleared
from explosive devices,
											and in that way, they will be able
to find new, fertile grounds
											to start growing food again.
									","
											Mais que se passe-t-il lorsqu'un conflit
qui implique des mines antipersonnel
											se termine ?
											Il y a deux conséquences.
											Dans un premier temps,
											les habitants qui ont été déplacés
vont revenir chez eux
											et dans un deuxième temps,
											les mines antipersonnel cachées
vont se mettre à exploser plus souvent
											et affecter la population civile.
											C'est la raison pour laquelle
j'ai décidé de rejoindre
											le département informatique
à l'université de New York,
											aux côtés du professeur Claudio Silva
											pour commencer à développer
une application appelée MineSafe.
											MineSafe utilise les informations
de la population
											pour suggérer des chemins qui ont été
déclarés comme les plus utilisés
											sans qu'un accident ou un incident
ne soit causé par une mine antipersonnel.
											Ces données de circulation peuvent aussi
être utilisées pour déterminer
											les zones urgentes à déminer.
											Près de 15 millions de personnes
											vivent actuellement
dans les campagnes de Colombie.
											Imaginez un instant qu'on obtienne
les informations de toutes ces personnes
											pour aider des personnes
comme Adriana et ses enfants
											à trouver des chemins sûrs et sécurisés.
											Ces informations peuvent
aussi servir à autre chose.
											Ces informations peuvent aussi
les aider à devenir plus productifs.
											Les fermiers pourront savoir
											quelles terres ont été débarrassées
de ces dispositifs explosifs,
											et de cette manière, ils trouveront
de nouvelles terres fertiles
											qu'ils pourront de nouveau cultiver.
									","
											Peki, mayınlarının da 
kullanıldığı çatışmalar
											bittiğinde ne oluyor?
											Bunun iki tür sonucu oluyor.
											Bir taraftan,
											iç göç yapmış olan insanlar
topraklarına geri dönmeye başlıyor.
											Diğer yandan,
											bu gömülü mayınlar
daha sık patlıyor
											ve sivillere zarar veriyor.
											New York Üniversitesi 
Bilgisayar Bilimleri Bölümüne
											katılmaya bu nedenle karar vermiştim.
											Profesör Claudio Silva ile birlikte
											MineSafe adlı bir uygulama
geliştirmek için.
											MineSafe,
toplumdan sağlanan ve
											herhangi bir mayın vukuatı
bildirilmemiş sık kullanılan
											patika ve yol bilgilerini 
kullanarak çalışıyor.
											Bu güzergâhlar aynı zamanda
mayından arındırılacak
											yüksek öncelikli alanları
belirlemeye yarıyor.
											Kolombiya'nın kırsal bölgelerinde
yaşayan nüfus yaklaşık 15 milyon.
											Bu insanlara, Adriana ve çocukları
gibi insanlara, yardım etmek için 

											güvenli ve emin yolları bulmada 
kitle kaynaklı bilgileri, bir an

											sağlayabildiğimizi düşünün.
											Bu bilgiler sadece bu işe 
yaramaz.
											Bu bilgiler ayrıca, onların 
daha üretken olmalarını sağlar.
											Çiftçiler patlayıcılardan
											temizlenmiş alanları bulabilir
											ve bu verimli topraklarda 
tekrar ürün yetiştirme
											olanağına kavuşabilirler.
									","
											Pero ¿qué sucede
											cuando termina un conflicto 
que involucra minas antipersona?
											Existen dos consecuencias.
											Por un lado,
											la población desplazada internamente
va a regresar a sus tierras
											y, por el otro, las minas antipersona
escondidas van a empezar a explotar
											con mayor frecuencia y entre los civiles.
											Esa es la razón por la cual decidí unirme
											al Departamento de Ciencias Computacionales 
de la Universidad de Nueva York,
											junto con el profesor Claudio Silva,
											para empezar a desarrollar
una aplicación llamada MineSafe.
											MineSafe usa información de la comunidad
para sugerir los caminos
											que se han transitado sin incidentes
ocasionados por minas antipersona.
											Estos patrones de tráfico
pueden usarse también
											para determinar las zonas prioritarias
para el desminado.
											Casi 15 millones de personas viven
en las zonas rurales de Colombia.
											Imaginen, por un momento, si pudiésemos
obtener información de todos ellos
											para ayudar a personas
como Adriana y sus hijos
											a encontrar caminos seguros y confiables.
											Esta información puede usarse para más.
											Esta información puede ayudarles
también a ser más productivos.
											Los campesinos podrán encontrar
tierras libres de dispositivos explosivos
											y, de esta manera, podrán encontrar 
suelos nuevos y fértiles
											para cosechar alimentos otra vez.
									","
											Mas que acontece quando um conflito
que envolveu minas terrestres
											chega ao fim?
											Há duas consequências.
											Por um lado,
											a população deslocada
começa a regressar às suas terras
											e, por outro lado,
											as minas terrestres escondidas
vão começar a explodir mais vezes
											do lado dos civis.
											Por essa razão, decidi entrar
											para o Departamento
de Ciências Informáticas
											da Universidade de Nova Iorque
											juntamente com o Professor Claudio Silva
											para começar a desenvolver
uma aplicação chamada MineSafe.
											A MineSafe usa informações
da comunidade
											que sugerem vias declaradas
como as mais utilizadas
											sem acidentes ou incidentes
provocados por minas terrestres.
											Estes padrões de tráfego
também podem ser usados para determinar
											as zonas de prioridade máxima
para serem limpas de minas.
											Quase 15 milhões de pessoas vivem hoje
nas zonas rurais da Colômbia.
											Imaginem, por instantes,
											se pudermos receber informações
do público de todas elas.
											para ajudar pessoas como Adriana
e os seus filhos,
											a encontrar caminhos
seguros e de confiança.
											Estas informações podem ser
usadas para outras coisas.
											Estas informações também podem
ajudá-las a serem mais produtivas.
											Os lavradores poderão ficar a saber
											quais as terras que foram limpas
de engenhos explosivos
											e, desse modo, poderão
encontrar terrenos novos e férteis
											para voltar a cultivar alimentos.
									",The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,6:03,"TED Residency,communication,software,innovation,South America,violence,war"
