pt,tr,en,title,speaker,duration,tags
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											Trabalho com crianças que sofrem de autismo.
											Especificamente, desenvolvo tecnologias
											para as ajudar a comunicar.
									","
											Ben otistik çocuklarla çalışıyorum.
											Tam olarak yaptığım, iletişim kurmalarına yardımcı olacak
											teknolojiler yaratmak.
									","
											I work with children with autism.
											Specifically, I make technologies
											to help them communicate.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											Muitos dos problemas que 
as crianças autistas
											enfrentam têm uma causa comum,
											e essa causa é que elas têm dificuldade
											em entender abstracções, simbolismos.
											E por essa razão, 
têm muita dificuldade com a linguagem.
									","
											Otistik çocukların karşılaştığı sorunların çoğunun
											ortak bir kökeni var.
											Bu köken, onların
											soyut kavramları ve sembolleri anlamakta zorlanmaları.
											Ve bu yüzden konuşma dilinde zorluk yaşıyorlar.
									","
											Now, many of the problems that children
											with autism face, they have a common source,
											and that source is that they find it difficult
											to understand abstraction, symbolism.
											And because of this, they have 
a lot of difficulty with language.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											Vou falar um pouco sobre a razão 
por que é que isso acontece.
											Como podem ver, esta é uma imagem 
de uma tigela de sopa.
											Todos nós vemos isso. 
Todos nós percebemos isso.
											Estas são duas outras imagens de sopa,
											mas, como podemos ver, 
estas imagens são mais abstractas.
											Não são tão concretas.
											E quando passamos para a linguagem,
											podemos ver que passa a ser uma palavra
											cujo aspecto e modo como soa
											não tem nada a ver com a foto 
com que começámos,
											nem com o que ela representa, 
ou seja, uma tigela de sopa.
											A palavra é essencialmente 
uma representação abstracta,
											uma representação totalmente arbitrária
											duma coisa que existe no mundo real,
											e isso é uma coisa que as crianças autistas
											têm uma dificuldade terrível em perceber.
											É por isso que a maioria das pessoas 
que trabalham com crianças autistas
											— terapeutas da fala, professores —
											o que fazem, 
é tentar ajudar crianças autistas
											a comunicar, não com palavras, 
mas com imagens.
											Se uma criança autista quiser dizer:
											""Eu quero sopa"", essa criança usará
											três imagens diferentes, ""Eu"", ""quero"" e ""sopa"",
											e juntará essas imagens.
											Então, o terapeuta ou os pais percebem
											o que é que a criança quer.
											E isto tem sido muito eficaz.
											Nos últimos 30, 40 anos
											é o que se tem feito.
											Na verdade, há alguns anos,
											eu desenvolvi uma aplicação para o iPad
											que faz exatamente a mesma coisa. 
Chamei-lhe Avaz,
											e funciona com as crianças
											a escolher diferentes imagens.
											Essas imagens são agrupadas sequencialmente 
para formar frases,
											e essas frases são pronunciadas 
em voz alta.
											O Avaz, essencialmente, transforma imagens,
											é um tradutor, traduz imagens em fala.
									","
											Bunun nedeni hakkında biraz açıklama yapayım.
											Görüyorsunuz ki bu fotoğrafta bir kâse çorba var.
											Hepimiz bunu görebiliyor ve anlıyoruz.
											Bunlar da iki farklı çorba resmi,
											ama görüyorsunuz ki bu ikisi daha soyut.
											Bunlar o kadar da somut değiller.
											Konuşma diline gelirsek,
											bu bir sözcük hâline gelir: Çorba.
											Ve bu sözcüğün ne görüntüsünün ne de seslendirilişinin
											başlangıçtakiyle hiç bir ilgisi yoktur.
											Temsil etmekte olduğu şeye, bir kâse çorbaya benzemez.
											Sözcük, gerçek dünyada bulunan bir şeyin
											tamamen soyut, tamamen rasgele seçilmiş
											bir temsilidir.
											İşte bu durum,
											otizmli çocukların aşırı derecede zorlanmalarına neden olur.
											Bu nedenle, otizmli çocuklarla çalışan pek çok insanın,
											konuşma terapistlerinin, eğitimcilerin
											yaptıkları şey, otistik çocuklara yardım için
											sözcüklerle değil de, resimlerle iletişim kurmaktır.
											Eğer otizmli bir çocuk ""Ben çorba istiyorum""
											demek isterse, 3 farklı resim seçer:
											""Ben"", ""istemek"" ve ""çorba""
											ve bunları biraraya getirir.
											Böylece terapist veya ebeveyn
											çocuğun söylemek istediği şeyi anlar.
											Ve bu inanılmaz etkili olmuştur;
											son 30-40 yıldır
											insanlar bunu yapıyor.
											Aslında, birkaç yıl önce
											iPad için bir uygulama geliştirdim
											ve yaptığı şey tam olarak bu.
											Adı Avaz ve çocukların farklı resimler
											seçmesi şeklinde çalışıyor.
											Bu resimler, cümleler oluşturacak biçimde sıralanıyor
											ve cümleler sesli olarak okunuyor.
											Dolayısıyla Avaz, esasen resimleri dönüştüren
											bir çeviri yazılımı, resimleri konuşmaya çeviren.
									","
											Let me tell you a little bit about why this is.
											You see that this is a picture of a bowl of soup.
											All of us can see it. All of us understand this.
											These are two other pictures of soup,
											but you can see that these are more abstract
											These are not quite as concrete.
											And when you get to language,
											you see that it becomes a word
											whose look, the way it looks and the way it sounds,
											has absolutely nothing to do 
with what it started with,
											or what it represents, which is the bowl of soup.
											So it's essentially a completely abstract,
											a completely arbitrary representation of something
											which is in the real world,
											and this is something that children with autism
											have an incredible amount of difficulty with.
											Now that's why most of the people 
that work with children with autism —
											speech therapists, educators —
											what they do is, they try to help children with autism
											communicate not with words, but with pictures.
											So if a child with autism wanted to say,
											""I want soup,"" that child would pick
											three different pictures, ""I,"" ""want,"" and ""soup,""
											and they would put these together,
											and then the therapist or the parent would
											understand that this is what the kid wants to say.
											And this has been incredibly effective;
											for the last 30, 40 years
											people have been doing this.
											In fact, a few years back,
											I developed an app for the iPad
											which does exactly this. It's called Avaz,
											and the way it works is that kids select
											different pictures.
											These pictures are sequenced
together to form sentences,
											and these sentences are spoken out.
											So Avaz is essentially converting pictures,
											it's a translator, it converts pictures into speech.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											Foi um grande êxito.
											Há milhares de crianças a usar o Avaz
											em todo o mundo.
											Então, comecei a pensar
											sobre o que ele consegue fazer 
e o que não consegue fazer.
											E percebi uma coisa interessante:
											O Avaz ajuda crianças autistas
a aprender palavras.
											O que ele não faz é ajudá-las a aprender
											os padrões das palavras.
											Vou explicar isto com maior pormenor.
											Reparem nesta frase: 
""Eu quero sopa esta noite"".
											Aqui, não são só as palavras 
que transmitem um significado
											É também a forma como 
as palavras estão organizadas,
											a maneira como essas palavras 
são modificadas e organizadas.
											E é por isso que uma frase como 
""Eu quero sopa esta noite"",
											é diferente de uma frase como
											""Sopa quero esta eu noite"", 
que não faz qualquer sentido.
											Há, pois, aqui uma abstracção escondida
											que as crianças autistas 
têm muita dificuldade em apreender
											ou seja, o facto de podermos 
modificar palavras
											e reorganizá-las para terem 
diferentes significados,
											para transmitirmos ideias diferentes.
											É a isso que chamamos gramática.
											E a gramática é extremamente poderosa,
											porque a gramática é 
um componente da linguagem
											que utiliza o vocabulário finito 
que todos nós temos
											e nos permite transmitir 
uma quantidade infinita de informações,
											uma quantidade infinita de ideias.
											É a maneira como podemos organizar 
as palavras
											para transmitir as ideias que queremos.
									","
											Bu son derece etkili.
											Dünyanın her yanında
											bunu kullanan binlerce çocuk var.
											Neler yapabildiği ve yapamadığı
											üzerine düşünmeye başladım.
											Ve ilginç bir şey fark ettim:
											Avaz, otistik çocukların sözcük öğrenmesine yardımcı oluyor.
											Yardım edemediği nokta ise
											sözcük kalıplarını öğrenmeleri.
											Bunu daha ayrıntılı şekilde açıklamama izin verin.
											Şu cümleyi ele alalım: ""Ben bu gece çorba istiyorum.""
											Burada anlamı ileten sadece sözcükler değildir.
											Sözcüklerin nasıl sıralandığı ve
											değiştiriliş ve düzenleniş biçimi de önemlidir.
											Bu yüzden ""Ben bu gece çorba istiyorum"" cümlesi,
											""Çorba gece ben bu istiyorum"" gibi anlamsız
											bir cümleden farklıdır.
											Öyleyse burada otizmli çocukların başa çıkmakta
											zorlandığı gizli bir başka soyutlama daha var.
											İşin aslı, sözcükleri değiştirip düzenleyerek,
											farklı düşünceler iletmek için
											farklı anlamlara gelmelerini sağlayabilirsiniz.
											Buna dilbilgisi diyoruz.
											Ve dilbilgisi inanılmaz güçlü.
											Çünkü dilbilgisi, dilin öyle bir bileşeni ki,
											onun sayesinde sonlu sayıdaki sözcüklerimizle
											sonsuz miktarda bilgi iletebiliyoruz,
											sonsuz miktarda düşünce.
											Ne isterseniz onu dile getirmeniz için
											sözcükleri bir araya getirmenin yolu.
									","
											Now, this was very effective.
											There are thousands of children using this,
											you know, all over the world,
											and I started thinking about
											what it does and what it doesn't do.
											And I realized something interesting:
											Avaz helps children with autism learn words.
											What it doesn't help them do is to learn
											word patterns.
											Let me explain this in a little more detail.
											Take this sentence: ""I want soup tonight.""
											Now it's not just the words
here that convey the meaning.
											It's also the way in which these words are arranged,
											the way these words are modified and arranged.
											And that's why a sentence like ""I want soup tonight""
											is different from a sentence like
											""Soup want I tonight,"" which 
is completely meaningless.
											So there is another hidden abstraction here
											which children with autism find
a lot of difficulty coping with,
											and that's the fact that you can modify words
											and you can arrange them to have
											different meanings, to convey different ideas.
											Now, this is what we call grammar.
											And grammar is incredibly powerful,
											because grammar is this one component of language
											which takes this finite vocabulary that all of us have
											and allows us to convey an
infinite amount of information,
											an infinite amount of ideas.
											It's the way in which you can put things together
											in order to convey anything you want to.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											Então, depois de ter criado o Avaz,
											andei preocupado durante muito tempo
											sobre como é que podia ensinar 
gramática a crianças autistas.
											A solução apareceu-me 
numa situação muito interessante.
											Vi, por acaso, uma criança autista
											a conversar com a mãe,
											e o que aconteceu foi isto:
											Inesperadamente, de modo muito espontâneo,
											a criança levantou-se e disse: ""Comer"".
											O que foi interessante
											foi a forma como a mãe tentou descobrir
											o significado do que a criança queria dizer
											fazendo-lhe perguntas.
											Perguntou: ""Comer o quê? 
Queres comer um gelado?
											""Queres comer? 
Há mais alguém que quer comer?
											""Queres comer um gelado agora? 
Queres comer um gelado logo à noite?""
											E então eu percebi
											que o que a mãe tinha feito 
fora uma coisa extraordinária.
											Tinha sido capaz de levar a criança 
a comunicar-lhe
											uma ideia sem usar a gramática.
											E fiquei a pensar que talvez fosse isso
											de que andava à procura.
											Em vez de pôr as palavras por ordem, 
numa sequência,
											como uma frase, colocamo-las
											neste mapa, onde elas ficam todas ligadas.
											não por serem colocadas 
umas a seguir às outras
											mas sob a forma de perguntas, 
em pares de pergunta e resposta.
											E se assim fizéssemos, 
o que estávamos a transmitir
											não era uma frase em inglês
											mas o que estávamos realmente 
a transmitir era um significado,
											o significado de uma frase em inglês.
											O significado, em certo sentido, 
é o ponto fraco da linguagem.
											Aparece depois do pensamento 
mas antes da linguagem.
											E a ideia era que esta representação 
em particular
											transmitisse um sentido na sua 
forma mais pura.
									","
											Böylece Avaz'ı geliştirmemin ardından,
											uzun bir süre boyunca otizmli çocuklara
											dilbilgisini nasıl kazandırabileceğim konusunda kafa yordum.
											Çok ilginç bir bakış açısı sonucunda çözüme ulaştım.
											Şans eseri, annesiyle konuşmakta olan
											otizmli bir çocuğa rastladım
											ve olaylar gelişti.
											Durup dururken, hiç beklenmedik bir biçimde,
											çocuk ayağa kalktı ve dedi ki, ""Ye.""
											İlginç olan nokta,
											çocuğunun söylediklerinin anlamını
											açığa çıkarabilmek için, annesinin
											sorular kullanarak konuşması idi.
											""Ne ye? Dondurma yemek ister misin?
											Sen mi yemek istiyorsun? Başka biri mi yemek istiyor?
											Sen dondurmayı şimdi mi yemek istiyorsun? Dondurmayı akşam mı yemek istiyorsun?""
											Ve bir anda, annenin yaptığı şeyin
											ne kadar inanılmaz olduğunu fark ettim.
											Çocuğun, dilbilgisi olmadan kendisine ne düşündüğünü
											aktarabilmesini sağlıyordu.
											Ve bir anda, belki de aradığım şey bu
											diye düşündüm.
											Sözcükleri düzenleyip cümle olarak sıraya sokmak yerine,
											onları hepsinin bağlantılı olduğu
											bir sözcük haritasına yerleştirmek ve
											ard arda dizmek yerine sorular sormak,
											soru-cevap çiftleri şeklinde.
											Böyle yaptığınızda, ilettiğiniz şey
											İngilizce bir cümle olmuyor.
											Ama ilettiğiniz şey gerçekten de bir anlam oluyor,
											İngilizce bir cümlenin anlamı.
											Anlam, bir açıdan dilin en hassas noktasıdır.
											Düşünceden sonra değil, dilden bile önce gelir.
											Ve bana göre, bu özel gösterim biçimi
											anlamı işlenmemiş biçimiyle iletebilirdi.
									","
											And so after I developed Avaz,
											I worried for a very long time
											about how I could give grammar 
to children with autism.
											The solution came to me from
a very interesting perspective.
											I happened to chance upon a child with autism
											conversing with her mom,
											and this is what happened.
											Completely out of the blue, very spontaneously,
											the child got up and said, ""Eat.""
											Now what was interesting was
											the way in which the mom was trying to tease out
											the meaning of what the child wanted to say
											by talking to her in questions.
											So she asked, ""Eat what? Do 
you want to eat ice cream?
											You want to eat? Somebody else wants to eat?
											You want to eat cream now? You
want to eat ice cream in the evening?""
											And then it struck me that
											what the mother had done was something incredible.
											She had been able to get that child to communicate
											an idea to her without grammar.
											And it struck me that maybe this is what
											I was looking for.
											Instead of arranging words in an order, in sequence,
											as a sentence, you arrange them
											in this map, where they're all linked together
											not by placing them one after the other
											but in questions, in question-answer pairs.
											And so if you do this, then what you're conveying
											is not a sentence in English,
											but what you're conveying is really a meaning,
											the meaning of a sentence in English.
											Now, meaning is really the underbelly,
in some sense, of language.
											It's what comes after thought but before language.
											And the idea was that this particular representation
											might convey meaning in its raw form.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
