pt,en,fr,tr,title,speaker,duration,tags
"
","
","
","
",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
											Vou falar de ""hackers"" 
[piratas cibernéticos].
											A imagem que nos vem à cabeça
											quando digo esta palavra,
											provavelmente não é Benjamin Franklin,
											mas vou explicar-vos
porque é que devia ser.
									","
											I'm going to talk about hackers.
											And the image that comes to your mind
											when I say that word is probably not
											of Benjamin Franklin,
											but I'm going to explain to you why it should be.
									","
											Je vais vous parler 
des pirates informatiques.
											Lorsque je prononce ce mot,
											l'image qui vous vient à l'esprit 
n'est certainement pas
											celle de Benjamin Franklin,
											mais je vais vous expliquer
pourquoi ça devrait être le cas.
									","
											Size bilgisayar korsanlarından
bahsedeceğim.
											Ben o kelimeyi söyleyince
aklınızda beliren görüntü
											muhtemelen Benjamin Franklin değil.
											Ama neden o olması
gerektiğini açıklayacağım.
									",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
","
","
","
",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
											A imagem que nos vem à cabeça
											é, provavelmente, mais do tipo
de um miúdo sebento
											sentado numa cave, a fazer algo perverso,
											ou de um criminoso sombrio
a tentar roubar a nossa identidade,
											ou de um patife internacional
											com um objetivo político.
											A cultura predominante
tem alimentado a ideia
											de que os ""hackers"" são pessoas 
que devemos recear.
									","
											The image that comes to your mind
											is probably more likely of a pasty kid
											sitting in a basement doing something mischievous,
											or of a shady criminal who is
trying to steal your identity,
											or of an international rogue
											with a political agenda.
											And mainstream culture has kind of fed this idea
											that hackers are people that we should be afraid of.
									","
											L'image qui vous vient à l'esprit
											est probablement celle 
d'un gamin un peu pâlot,
											assis dans une cave, 
en train de faire des bêtises,
											ou celle d'un criminel véreux en train 
d'essayer de voler votre identité,
											ou bien celle d'un voyou 
mondialement connu
											avec un programme politique.
											La culture grand public a nourri
l'idée, en quelque sorte,
											que les pirates étaient des personnes
qu'on devrait craindre.
									","
											Muhtemelen gözünüzde daha çok
bir bodrumda oturmuş
											ve kötü niyetli şeyler yapan
solgun bir çocuk
											ya da kimlik bilgilerinizi çalmaya 
çalışan karanlık bir suçlu
											veya siyasi bir gündemi olan
											uluslararası bir düzenbaz canlandı.
											Popüler kültür bize
											korsanların korkulması gereken insanlar
olması fikrini dayattı.
									",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
","
","
","
",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
											Mas, como a maior parte 
das coisas na tecnologia,
											e no mundo da tecnologia,
											os ""hackers"" têm tanto poder 
para o Bem como para o Mal.
											Por cada ""hacker""
que tenta roubar a nossa identidade
											há outro que está a construir
uma ferramenta
											que ajudará a encontrar os nossos
entes queridos depois de um desastre
											ou a controlar a qualidade ambiental
											depois de um derramamento de petróleo.
											Na verdade, os ""hackers"" não passam 
de amadores que fazem inovações
											num sistema que já existe,
											e isso é uma atividade
profundamente democrática.
											Trata-se de pensamento crítico.
											Trata-se de questionar as formas 
de fazer as coisas.
											É a ideia de que, se encontrarmos 
um problema, tratamos de o resolver,
											e não apenas de nos queixarmos dele.
											Sob muitos aspetos, foram os ""hackers"" 
que construíram os EUA.
											Betsy Ross foi uma ""hacker"".
											O Metropolitano subterrâneo 
foi uma descoberta brilhante.
											E, desde os irmãos Wright a Steve Jobs,
											os ""hackers"" estiveram sempre
											na base da democracia norte-americana.
									","
											But like most things in technology
											and the technology world,
											hacking has equal power for good as it has for evil.
											For every hacker that's trying to steal your identity
											there's one that's building a tool
											that will help you find your
loved ones after a disaster
											or to monitor environmental quality
											after an oil spill.
											Hacking is really just any amateur innovation
											on an existing system,
											and it is a deeply democratic activity.
											It's about critical thinking.
											It's about questioning existing ways of doing things.
											It's the idea that if you see a 
problem, you work to fix it,
											and not just complain about it.
											And in many ways, hacking is what built America.
											Betsy Ross was a hacker.
											The Underground Railroad was a brilliant hack.
											And from the Wright brothers to Steve Jobs,
											hacking has always been at the foundation
											of American democracy.
									","
											Mais comme dans la plupart
des choses dans la technologie
											et le monde de la technologie,
											le piratage peut autant être une force
du bien qu'une force du mal.
											Pour chaque pirate qui essaie
de voler votre identité,
											il y en a un qui construit un outil
											qui vous aidera à retrouver 
vos proches après une catastrophe,
											ou à surveiller la qualité
de l'environnement
											après un déversement de pétrole.
											Le piratage n'est 
qu'une innovation d'amateurs
											dans un système existant,
											et c'est une activité 
profondément démocratique.
											Il s'agit d'esprit critique. Il s'agit 
de remettre en question
											les manières existantes 
de faire les choses.
											C'est l'idée que, si on constate un
problème, on travaille à le résoudre,
											et on ne fait pas que s'en plaindre.
											De nombreuses manières, le piratage
a construit l'Amérique.
											Betsy Ross était une pirate.
											Le Chemin de Fer Clandestin
était un piratage génial.
											Depuis les frères Wright
jusqu'à Steve Jobs,
											le piratage a toujours été la base
											de la démocratie américaine.
									","
											Fakat teknoloji ve teknoloji dünyasında
olan pek çok şey gibi
											korsanlığın da kötülük ve iyilik için 
eşit derecede gücü var.
											Kimliğinizi çalmaya çalışan 
her korsan için
											bir araç yaratan başka bir korsan var.
											Bu araç bir afet sonrası 
sevdiklerinizi bulmaya
											ya da bir petrol sızıntısı sonrası 
çevre kalitesini gözlemlemeye
											yardım edebilir.
											Korsanlık aslında mevcut sistemde
amatörce bir inovasyon
											ve son derece demokratik bir faaliyet.
											Eleştirel düşünme
											ve bir şeyler yapmanın var olan
yollarını sorgulamayla alakalı.
											Bir sorun gördüğünüzde
ondan şikayet etmeye değil
											onu düzeltmeye çalışma düşüncesi.
											Pek çok bakış açısına göre
Amerika'yı yaratan şey korsanlık.
											Betsy Ross bir bilgisayar korsanıydı.
											Underground Railroad da
müthiş bir korsanlıktı.
											Wright kardeşlerden Steve Jobs'a kadar
											korsanlık her zaman
Amerikan demokrasisinin
											temelinde var oldu.
									",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
","
","
","
",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
											Assim, se há coisa que eu pretenda
deixar-vos hoje aqui,
											é que, da próxima vez
que pensem num ""hacker"",
											não pensem neste tipo
											mas neste, Benjamin Franklin,
											que foi um dos maiores ""hackers""
de todos os tempos.
											Foi um dos inventores
mais prolíficos dos EUA,
											mas nunca registou uma patente,
											porque achava
que todo o conhecimento humano
											devia estar disponível livremente.
											Deu-nos os óculos bifocais e o para-raios,
											e, claro, tivemos a colaboração dele
											na invenção da democracia norte-americana.
									","
											So if there's one thing I want
to leave you here with today,
											it's that the next time you
think about who a hacker is,
											you think not of this guy
											but of this guy, Benjamin Franklin,
											who was one of the greatest hackers of all time.
											He was one of America's most prolific inventors,
											though he famously never filed a patent,
											because he thought that all human knowledge
											should be freely available.
											He brought us bifocals and the lightning rod,
											and of course there was his collaboration
											on the invention of American democracy.
									","
											Donc, s'il y a une seule chose 
avec laquelle je voudrais
											vous laisser aujourd'hui,
											c'est que la prochaine fois que vous
penserez à l'identité d'un pirate,
											vous ne penserez pas à ce type,
											mais à celui-ci, Benjamin Franklin,
											un des plus grands pirates
de tous les temps.
											Il fut l'un des inventeurs les plus
prolifiques en Amérique,
											bien qu'il n'ait jamais
déposé de brevet,
											car il pensait que toutes 
les connaissances humaines
											devaient être disponibles
gratuitement.
											Il nous a permis d'avoir les verres à 
double foyer et les paratonnerres
											et il a bien sûr collaboré
											à l'invention de
la démocratie en Amérique.
									","
											Size bugün aktarmak 
istediğim tek düşünce
											bir dahaki sefere korsan
kelimesini duyduğunuzda
											bu adam yerine
											bu adamı, tüm zamanın en iyi 
korsanlarından biri olan
											Benjamin Franklin'i
kafanızda canlandırmanız.
											Asla bir patent sahibi olmadığı bilinse de
											Amerika'nın en üretken
mucitlerinden biriydi
											çünkü insanlığın tüm bilgisinin
											herkesçe ulaşılabilmesi
gerektiğini düşünüyordu.
											Bize çift odaklı gözlük camlarını
ve paratoneri verdi
											ve tabii ki Amerikan demokrasisinin
kuruluşunda da yardımları oldu.
									",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
","
","
","
",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
											No Code For America, tentamos incorporar
											o espírito de Ben Franklin.
											Foi um pensador e um estadista
											cuja conceção de cidadania
											foi sempre baseada na ação.
											Acreditava que o governo
podia ser exercido pelo povo,
											e chamamos a essas pessoas
""hackers civis"".
									","
											And in Code For America, we really try to embody
											the spirit of Ben Franklin.
											He was a tinkerer and a statesman
											whose conception of citizenship
											was always predicated on action.
											He believed that government could be built
											by the people,
											and we call those people civic hackers.
									","
											Chez Code For America,
nous essayons vraiment d'incarner
											l'esprit de Ben Franklin.
											C'était un bricoleur
et un homme d’État
											dont la conception 
de la citoyenneté
											a toujours été fondée sur l'action.
											Il croyait que le gouvernement
pouvait être construit
											par le peuple,
											et on appelle ces personnes
des pirates civiques.
									","
											""Code for America""da
											Franklin'in ruhunu aşılamak için
gerçekten çalışıyoruz.
											Boş zamanlarında bir şeyler yapmaya
hevesliydi ve aynı zamanda
											vatandaşlık görevini her zaman
harekete dayandıran bir devlet adamıydı.
											Hükûmetin insanlarla
kurulabileceğine inanıyordu
											ve biz bu insanlara
											kentsel korsanlar diyoruz.
									",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
","
","
","
",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
											Assim, não admira que os valores
											subjacentes a uma democracia saudável,
											tais como a colaboração
e a delegação de poder,
											a participação e a iniciativa,
											sejam os mesmos valores 
que estão subjacentes à Internet.
											E por isso, não admira
que muitos ""hackers""
											estejam a virar a sua atenção 
para o problema da governação.
									","
											So it's no wonder that the values
											that underly a healthy democracy,
											like collaboration and empowerment
											and participation and enterprise,
											are the same values that underly the Internet.
											And so it's no surprise that many hackers
											are turning their attention to
the problem of government.
									","
											Il n'est pas surprenant 
que les valeurs
											qui sont à la base
d'une démocratie saine,
											comme la collaboration et 
la responsabilisation,
											la participation et
l'esprit d'entreprise,
											soient les mêmes valeurs qui 
sont à la base d'Internet.
											Et ce n'est pas surprenant que
bon nombre de pirates
											portent leur attention
vers la question du gouvernement.
									","
											Şüphesiz ki sağlıklı bir demokrasinin
altında yatan değerler,
											işbirliği, yekilendirme,
katılımcılık ve girişim değerleri gibi,
											internetin altında yatan
değerlerin tamamen aynısı.
											Ve yine hiç şaşırtmayacak bir şekilde
											pek çok korsan, hükûmet sorunlarıyla
daha çok ilgili olmaya başladı.
									",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
","
","
","
",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
											Antes de vos dar alguns exemplos
											do que os ""hackers civis"" andam a fazer,
											quero que fique claro que não é preciso
											ser programador
para ser um ""hacker civil"".
											Basta acreditar que podemos
											usar uma ferramenta do século XXI
											para enfrentar os problemas
que o governo enfrenta.
											Na nossa comunidade,
estamos sempre a ouvir falar
											dos ""hackers civis"" do Code for America
											mas não percebemos quanto trabalho técnico
											está a ser feito em projetos
de ""pirataria"" civil.
											Portanto, prestem atenção.
											Todos vocês são potenciais
""hackers civis"".
									","
											But before I give you a few examples
											of what civic hacking looks like,
											I want to make clear that you don't have
											to be a programmer to be a civic hacker.
											You just have to believe that you can bring
											a 21st-century tool set to bear
											on the problems that government faces.
											And we hear all the time from our community
											of civic hackers at Code for America
											that they didn't understand
how much nontechnical work
											actually went into civic hacking projects.
											So keep that in mind.
											All of you are potential civic hackers.
									","
											Mais avant de vous donner 
quelques exemples
											de pirates civiques,
											je veux clarifier le fait qu'on
n'est pas obligé
											d'être programmeur pour être
un pirate civique.
											Il faut simplement croire
qu'on peut apporter
											un ensemble d'outils 
du XXIe siècle pour peser
											sur les problèmes 
qu'affronte le gouvernement.
											Nous entendons tous les jours
depuis notre communauté
											de pirates civiques,
chez Code For America,
											qu'ils n'ont pas compris
à quel point le travail non technique
											faisait en fait partie des projets
de piratage civique.
											Gardez ceci à l'esprit.
											Vous êtes tous
des pirates civiques potentiels.
									","
											Kentsel korsanlık örneklerini göstermeden
şunu netleştirmek isterim,
											kentsel korsan olmak için
yazılımcı olmanıza gerek yok.
											Hükûmetin yaşadığı sorunlarla
ilgilenmek için
											bir 21. yüzyıl alet takımı
getirebileceğinize inanmanız yeterli.
											Code for America'daki kentsel korsan
topluluğumuzdan hep duyduğumuz şey
											kentsel korsan erişim projelerine
											teknik olmayan bu kadar işin
nasıl girdiğine anlam verememeleridir.
											Bunu aklınızda tutun.
											Hepiniz potansiyel kentsel korsansınız.
									",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
"
","
","
","
",Why good hackers make good citizens,Catherine Bracy,9:50,"cities,software,urban planning"
