en,es,pt,fr,title,speaker,duration,tags
"
","
","
","
",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
"
											So if I told you that
this was the face of pure joy,
											would you call me crazy?
											I wouldn't blame you,
											because every time I look at this
Arctic selfie, I shiver just a little bit.
											I want to tell you
a little bit about this photograph.
									","
											Si les dijera que esta es 
la cara de la pura alegría,
											¿me llamarían loco?
											No les culpo,
											porque cada vez que miro esta selfie 
del Ártico, me estremezco un poco.
											Quiero contarles un poco 
sobre esta fotografía.
									","
											Se eu vos dissesse que esta 
era a cara de felicidade pura,
											chamar-me-iam maluco?
											Não vos culparia,
											porque cada vez que olho para esta ""selfie""
do Ártico, fico um pouco arrepiado.
											Quero falar-vos um pouco 
acerca desta fotografia.
									","
											Si je vous disais que ce visage
est celui de la joie à l'état pur,
											penseriez-vous que je suis fou ?
											Je ne vous blâmerais pas,
											car chaque fois que je regarde
ce selfie arctique, j'ai le frisson.
											Laissez-moi vous parler 
un peu de cette photo.
									",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
"
","
","
","
",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
"
											I was swimming around
in the Lofoten Islands in Norway,
											just inside the Arctic Circle,
											and the water was hovering
right at freezing.
											The air? A brisk -10 with windchill,
											and I could literally feel the blood
trying to leave my hands,
											feet and face, and rush
to protect my vital organs.
											It was the coldest I've ever been.
											But even with swollen lips, sunken eyes,
and cheeks flushed red,
											I have found that this place right here
is somewhere I can find great joy.
									","
											Estaba nadando en 
las islas Lofoten en Noruega,
											dentro del Círculo Polar Ártico,
											y el agua se estaba congelando.
											¿El aire? A un enérgico 
viento helado de -10 °C
											y yo sentía literalmente la sangre 
abandonándome las manos,
											los pies y la cara para apresuradamente 
proteger mis órganos vitales.
											Es el lugar más frío donde he estado.
											Pero incluso con labios hinchados, 
ojos hundidos y mejillas enrojecidas,
											siento que este lugar es un sitio 
donde encontrar una gran alegría.
									","
											Eu estava a nadar 
nas Ilhas Lofoten, na Noruega,
											no Círculo Polar Árctico.
											A água estava suspensa, quase a congelar.
											O ar? Uma temperatura arrepiante
de 10 graus negativos.
											Eu conseguia literalmente sentir o sangue 
a tentar sair das minhas mãos,
											dos pés e da cara, e apressei-me 
a proteger os meus órgãos vitais.
											Nunca tinha estado tão gelado.
											Mas mesmo com os lábios inchados, 
olhos encovados e bochechas vermelhas,
											descobri que este lugar é onde 
eu posso encontrar muita felicidade.
									","
											Je nageais quelque part
dans les Iles Lofoten en Norvège,
											à la frontière du Cercle Arctique.
											L'eau flirtait avec zéro degré.
											Et l'air ? Un frisquet -10, venteux.
											Je sentais littéralement mon sang 
s'enfuir de mes mains,
											des pieds et du visage pour se concentrer 
à protéger mes organes vitaux.
											Je n'ai jamais eu aussi froid.
											Mais même avec les lèvres bleues,
les yeux enflés et les joues rouges,
											j'ai découvert que dans cet endroit-là, 
je pouvais trouver un bonheur intense.
									",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
"
","
","
","
",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
"
											Now, when it comes to pain,
psychologist Brock Bastian
											probably said it best when he wrote,
											""Pain is a kind of shortcut
to mindfulness.
											It makes us suddenly aware
of everything in the environment.
											It brutally draws us in
											to a virtual sensory awareness
of the world much like meditation.""
									","
											Cuando se trata de dolor, 
el psicólogo Brock Bastian
											quizá lo dijo mejor al escribir:
											""El dolor es una especie de atajo 
para la atención plena.
											Hace que de repente seamos conscientes 
de todo en el medio ambiente.
											Brutalmente nos atrae
											a una conciencia sensorial virtual 
del mundo al igual que a la meditación"".
									","
											No que toca à dor, 
o psicólogo Brock Bastian
											provavelmente disse-o melhor 
quando escreveu:
											""A dor é uma espécie de atalho 
para atingir a plenitude.
											""Desperta-nos para tudo no ambiente.
											""Arrasta-nos brutalmente
											""para uma compreensão sensorial do mundo
tal como na meditação.""
									","
											Si on parle de la douleur,
le psychologue Brock Bastian
											la définit le mieux :
											« La douleur est un raccourci
vers l'attention consciente.
											Elle nous rend brusquement attentif
à tout ce qui nous entoure.
											Elle nous attire brutalement
											dans un univers sensoriel virtuel,
un peu comme la méditation. »
									",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
"
","
","
","
",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
"
											If shivering is a form of meditation,
then I would consider myself a monk.
											(Laughter)
									","
											Si temblar es una forma de meditación, 
entonces yo me considero un monje.
											(Risas)
									","
											Se tremer é uma forma de meditar,
então eu considerar-me-ia um monge.
											(Risos)
									","
											Si trembler est une forme de méditation,
je peux me considérer un moine.
											(Rires)
									",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
"
","
","
","
",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
"
											Now, before we get into the why
											would anyone ever want to surf
in freezing cold water?
											I would love to give you
a little perspective
											on what a day in my life can look like.
									","
											Antes de entrar en el porqué
											iba alguien a querer 
surfear en agua helada
											me encantaría poner 
esto en perspectiva
											en cómo puede ser un día de mi vida.
									","
											Antes de entrarmos no porquê,
											alguém gostaria de fazer ""surf"" 
na água gelada?
											Gostaria de dar-vos uma pequena ideia
											daquilo que pode ser um dia na minha vida.
									","
											Avant de parler des raisons 
pour lesquelles
											on peut vouloir surfer 
dans l'eau glaciale,
											j'aimerais vous brosser une idée
											d'un jour typique dans ma vie.
									",The joy of surfing in ice-cold water,Chris Burkard,9:42,"creativity,oceans,photography,travel,Antarctica"
