pt,tr,en,de,title,speaker,duration,tags
"
","
","
","
",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
"
											Então, ao descer do autocarro,
											dirigi-me para a esquina
											na direção oeste, a caminho
de uma aula de braile.
											Era o inverno de 2009,
											e eu tinha ficado cego há cerca de um ano.
											Estava tudo a correr muito bem.
											Quando cheguei a salvo ao outro lado,
											virei-me para a esquerda,
											carreguei no botão para
acionar o sinal sonoro do peão,
											e esperei pela minha vez.
											Quando ele soou, comecei a travessia
											e cheguei a salvo ao outro lado.
											Ao pisar o passeio,
											ouvi o som de uma cadeira de aço
											deslizando no passeio
de cimento à minha frente.
											Eu sei que existe um café na esquina,
											e eles têm cadeiras em frente,
											então eu desviei-me para a esquerda
											para andar mais perto da rua.
											Assim que me desviei, 
a cadeira também deslizou.
											Apercebi-me de que tinha cometido um erro
											e voltei para a direita,
											e a cadeira também, em perfeita sincronia.
											Agora eu estava a ficar um pouco ansioso.
											Voltei para a esquerda,
											e a cadeira também,
											bloqueando o meu caminho.
											Agora, estava oficialmente a enlouquecer.
											Então gritei:
											""Quem diabo está aí? 
O que está a acontecer?""
											Nesse momento, por cima do meu grito,
											ouvi algo mais, um barulho familiar.
											Parecia familiar,
											e rapidamente pensei noutra possibilidade,
											e estendi a minha mão esquerda,
											até que os meus dedos 
roçaram numa coisa peluda,
											e me deparei com uma orelha,
											a orelha de um cão, 
talvez um ""golden retriever"".
											A sua coleira tinha sido presa à cadeira
											enquanto o dono entrou no café,
											e foi bem persistente nos esforços
											para me cumprimentar, 
talvez receber uma festa atrás da orelha.
											Quem sabe, talvez estivesse 
a oferecer-se para me ajudar.
											(Risos)
									","
											Otobüsten indikten sonra,
											Braille alfabesi eğitimine gitmek için
											köşeden geri döndüm ve batıya yöneldim.
											2009 kışıydı
											ve ben yaklaşık bir senedir görme engelliydim.
											Her şey oldukça iyi gidiyordu.
											Diğer tarafa sağ salim vardıktan sonra,
											sola döndüm
											sesli yaya sinyali tuşuna bastım,
											ve sıramı bekledim.
											Sinyal çalıştığında yürüdüm
											ve güvenli bir şekilde diğer tarafa vardım.
											Kaldırıma adım attığımda,
											önümdeki beton kaldırımda
											bir sandalyenin sesini duydum.
											Köşede bir kafe ve
											önünde sandalyeler olduğunu biliyordum,
											bu yüzden yola daha yakın olmak için
											sola doğru kaydım.
											Ben sola kaydığımda, sandalye de aynı şeyi yaptı.
											Bir hata yaptığımı fark ettim,
											ve tekrar sağa doğru gittim
											ve sandalye de aynı şekilde, mükemmel bir uyumla, sağa doğru kaydı.
											O zaman biraz endişelenmeye başladım.
											Tekrar sola doğru gittim
											ve sandalye de yürüyüş yolumu kapatarak
											sola kaydı.
											Artık resmen tepem atıyordu.
											Bağırdım,
											""Kim var orada? Ne oluyor?""
											Tam o anda, bağırışımın üzerine
											başka bir şey duydum, tanıdık bir tıkırtı.
											Ses tanıdık geldi
											ve çabucak başka bir olasılığı dikkate aldım
											ve sol elimi uzattım,
											parmaklarım tüylü bir şeye sürtündü
											ve bir kulakla karşılaştım
											bir köpek kulağıyla, muhtemelen bir golden retriever.
											Sahibi kahve almak için içeri girdiğinden,
											kayışı bir sandalyeye bağlıydı.
											Israrla çabalaması beni selamlamak içindi
											ya da belki kulağını kaşıtmak için.
											Kim bilir, belki de görme engelli biri için çalışmaya gönüllü oluyordu.
											(Gülüşmeler)
									","
											So, stepping down out of the bus,
											I headed back to the corner
											to head west en route to a braille training session.
											It was the winter of 2009,
											and I had been blind for about a year.
											Things were going pretty well.
											Safely reaching the other side,
											I turned to the left,
											pushed the auto-button for
the audible pedestrian signal,
											and waited my turn.
											As it went off, I took off
											and safely got to the other side.
											Stepping onto the sidewalk,
											I then heard the sound of a steel chair
											slide across the concrete sidewalk in front of me.
											I know there's a cafe on the corner,
											and they have chairs out in front,
											so I just adjusted to the left
											to get closer to the street.
											As I did, so slid the chair.
											I just figured I'd made a mistake,
											and went back to the right,
											and so slid the chair in perfect synchronicity.
											Now I was getting a little anxious.
											I went back to the left,
											and so slid the chair,
											blocking my path of travel.
											Now, I was officially freaking out.
											So I yelled,
											""Who the hell's out there? What's going on?""
											Just then, over my shout,
											I heard something else, a familiar rattle.
											It sounded familiar,
											and I quickly considered another possibility,
											and I reached out with my left hand,
											as my fingers brushed against something fuzzy,
											and I came across an ear,
											the ear of a dog, perhaps a golden retriever.
											Its leash had been tied to the chair
											as her master went in for coffee,
											and she was just persistent in her efforts
											to greet me, perhaps get a scratch behind the ear.
											Who knows, maybe she was volunteering for service.
											(Laughter)
									","
											Als ich aus dem Bus ausstieg,
											ging ich zur Kreuzung zurück
											und wandte mich nach Westen, 
unterwegs zu einer Braille-Übungssitzung.
											Es war Winter 2009
											und ich war bereits 
seit etwa einem Jahr blind.
											Es lief alles ziemlich gut.
											Ich erreichte die andere Straßenseite 
wohlbehalten
											und drehte mich nach links,
											betätigte den Knopf für 
das akustische Fußgängersignal
											und wartete, bis ich dran war.
											Als das Signal losging, 
machte ich mich auf
											und erreichte sicher die andere Seite.
											Als ich den Gehsteig betrat,
											hörte ich das Geräusch eines Metallstuhls,
											der vor mir über den Beton 
des Gehsteigs rutschte.
											Ich weiß, dass es dort 
an der Ecke ein Café gibt
											und sie dort Stühle 
vor der Tür stehen haben,
											also richtete ich mich nach links,
											etwas weiter in Richtung Straße.
											Und als ich das tat, 
rutschte der Stuhl auch nach links.
											Ich nahm an, ich hätte mich vertan,
											und ging wieder ein Stück nach rechts
											und wieder tat es der Stuhl mir nach, 
vollkommen synchron.
											Jetzt wurde mir ein wenig bange.
											Ich ging wieder nach links
											und ebenso rutschte der Stuhl
											und hinderte mich am Weitergehen.
											Jetzt drehte ich ernsthaft durch
											und ich rief:
											""Wer zur Hölle ist dort? 
Was geht hier vor?""
											Und gerade als ich rief,
											hörte ich noch etwas anderes, 
ein vertrautes Gerassel.
											Es klang vertraut.
											Da kam mir eine andere Möglichkeit 
in den Sinn.
											Ich streckte meine linke Hand aus
											und meine Finger stießen 
auf etwas Wuscheliges.
											Weiter ertastete ich ein Ohr,
											das Ohr eines Hundes, 
eines Golden Retrievers vielleicht.
											Seine Leine war am Stuhl 
festgebunden worden,
											während ihr Besitzer drinnen 
einen Kaffee trank
											und er war einfach eifrig 
in seiner Bemühung,
											mich zu begrüßen, um vielleicht ein wenig 
hinter dem Ohr gekrault zu werden.
											Vielleicht wollte er mir auch nur helfen.
											(Lachen)
									",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
"
","
","
","
",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
"
											Mas esta história, é na realidade, sobre
											os medos e os equívocos que acompanham
											a ideia de se deslocar numa cidade
											sem ver,
											aparentemente alheio ao ambiente
											e às pessoas ao redor.
									","
											Fakat bu küçük hikaye aslında;
											görünüşte, çevreye ve etrafınızdaki insanlara
											kayıtsız kalarak,
											görme yetiniz olmadan
											şehirde dolaşma fikrinin getirdiği
											korkular ve yanlış anlamalar hakkında.
									","
											But that little story is really about
											the fears and misconceptions that come along
											with the idea of moving through the city
											without sight,
											seemingly oblivious to the environment
											and the people around you.
									","
											Diese kleine Geschichte handelt
											von den Ängsten und Missverständnissen,
											die mit der Vorstellung, 
sich blind durch die Stadt zu bewegen
											einhergehen,
											scheinbar, ohne sich seiner Umgebung
											und den Menschen um sich herum 
bewusst zu sein.
									",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
"
","
","
","
",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
"
											Então deixem-me dar um passo atrás 
e contextualizar um pouco.
											No dia de São Patrício, de 2008,
											dei entrada no hospital para uma cirurgia
											para remover um tumor cerebral.
											A cirurgia foi um sucesso.
											Dois dias depois, 
a minha visão começou a falhar.
											No terceiro dia, 
desapareceu completamente.
									","
											Bir adım geri gidelim ve size arkaplanı biraz daha anlatayım.
											2008'in St. Patrick Günü'nde
											ameliyat olmak için hastanaye yattım,
											beyin tümörü ameliyatı.
											Ameliyat başarılıydı.
											İki gün sonra, görüş kaybı yaşamaya başladım.
											Üçüncü günde tamamen kayboldu
									","
											So let me step back and set the stage a little bit.
											On St. Patrick's Day of 2008,
											I reported to the hospital for surgery
											to remove a brain tumor.
											The surgery was successful.
											Two days later, my sight started to fail.
											On the third day, it was gone.
									","
											Lassen Sie mich etwas ausholen, 
um Sie ein wenig ins Bild zu setzen.
											Am St. Patricks Day (17. März) 
im Jahr 2008
											hatte ich einen Termin im Krankenhaus 
für einen chirurgischen Eingriff,
											um einen Gehirntumor zu entfernen.
											Der Eingriff war erfolgreich.
											Zwei Tage später begann 
mein Sehvermögen zu versagen.
											Am dritten Tag war es ganz verschwunden.
									",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
"
","
","
","
",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
"
											Imediatamente, senti 
uma sensação incrível.
											de medo, de confusão, de vulnerabilidade,
											como qualquer um sentiria.
											No entanto, como tinha tempo 
para parar e pensar,
											na verdade, comecei a compreender
											que tinha muito que agradecer.
											Lembrei-me, especialmente do meu pai,
											que morreu de complicações decorrentes
											de uma cirurgia ao cérebro.
											Ele tinha 36 anos. 
E eu tinha 7 anos na altura.
											Assim, apesar de ter todos os motivos
											para temer o que estava para vir,
											e de não ter a menor ideia 
do que ia acontecer,
											eu estava vivo.
											O meu filho ainda tinha o pai.
											E além disso, não era a primeira pessoa
											a perder a visão.
											Eu sabia que haveria todo 
o tipo de sistemas
											e de técnicas e treinos
											para levar uma vida 
significativa, plena e ativa
											sem visão.
									","
											Herkeste olabileceği gibi, anında,
											korku, şaşkınlık ve çaresizlik
											hissettim.
											Fakat düşünmeye fırsat bulduğumda,
											şükretmem gereken
											birçok şeyin olduğunu fark etmeye başladım.
											Özellikle babam hakkında düşündüm,
											beyin ameliyatı sonrası oluşan sorunlardan dolayı
											vefat etmişti.
											Babam 36, ben ise 7 yaşındaydım.
											Beni bekleyen şeylerden korkmak için
											her türlü sebebim olsa da
											ve ne olacağı hakkında hiçbir fikrim olmasa da,
											hala hayattaydım.
											Oğlumun hala bir babası vardı.
											Üstelik, görme yetisini kaybeden
											ilk insan ben değildim.
											Görme yetim olmadan da dolu dolu, anlamlı ve aktif
											bir hayat yaşamamı sağlayacak
											teknikler, eğitimler ve sistemler
											olduğunu biliyordum.
									","
											Immediately, I was struck by an incredible sense
											of fear, of confusion, of vulnerability,
											like anybody would.
											But as I had time to stop and think,
											I actually started to realize
											I had a lot to be grateful for.
											In particular, I thought about my dad,
											who had passed away from complications
											from brain surgery.
											He was 36. I was seven at the time.
											So although I had every reason
											to be fearful of what was ahead,
											and had no clue quite what was going to happen,
											I was alive.
											My son still had his dad.
											And besides, it's not like I was the first person
											ever to lose their sight.
											I knew there had to be all sorts of systems
											and techniques and training to have
											to live a full and meaningful, active life
											without sight.
									","
											Unmittelbar erfasste mich 
ein unglaubliches Gefühl
											von Angst, Verwirrung und Verletzlichkeit.
											Wie es jedem ergehen würde.
											Doch als ich Zeit zum Innehalten 
und Nachdenken fand,
											wurde mir bewusst,
											dass ich viele Dinge hatte, 
für die ich dankbar sein konnte.
											Ich dachte besonders an meinen Vater,
											der verstorben war infolge 
von Komplikationen
											eines chirurgischen Eingriffs am Gehirn.
											Er war 36. Ich war damals sieben.
											Obwohl ich also jeden Grund hatte
											mich vor dem zu fürchten, was vor mir lag,
											und ich nicht recht wusste, 
wie es weitergehen sollte,
											war ich immerhin am Leben.
											Mein Sohn hatte immer noch seinen Vater.
											Und außerdem bin ich ja nicht 
der erste Mensch,
											der jemals sein Augenlicht verloren hat.
											Ich wusste, dass es eine Vielfalt 
an Methoden
											Techniken und Übungen geben musste,
											um ein erfülltes, sinnvolles 
und aktives Leben zu führen,
											auch ohne Augenlicht.
									",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
"
","
","
","
",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
"
											Então, quando tive alta do hospital
											alguns dias depois, saí com uma missão,
											a missão de conseguir o melhor treino
											o mais rápido possível 
para reconstruir a minha vida.
											Em 6 meses, voltei ao trabalho.
											O meu treino tinha começado.
											Andei até de bicicleta de dois lugares
											com os meus antigos amigos ciclistas,
											e estava a ir sozinho para o trabalho,
											andava pela cidade e apanhava o autocarro.
											Foi muito trabalho duro.
									","
											Birkaç gün sonra, hastaneden taburcu olduğumda,
											artık bir görevim vardı:
											mümkün olan en iyi eğitimi olabildiğince
											çabuk alıp, hayatımı yeniden kurmaya başlamak.
											6 ay içinde işe geri döndüm.
											Eğitimim başlamıştı.
											Hatta eski bisiklet arkadaşlarımla beraber,
											iki kişilik bir bisiklet bile sürmeye başlamıştım.
											Ayrıca, yürüyerek ve otobüse binerek
											işime kendim gidip geliyordum.
											Gerçekten zordu.
									","
											So by the time I was discharged from the hospital
											a few days later, I left with a mission,
											a mission to get out and get the best training
											as quickly as I could and get on to rebuilding my life.
											Within six months, I had returned to work.
											My training had started.
											I even started riding a tandem bike
											with my old cycling buddies,
											and was commuting to work on my own,
											walking through town and taking the bus.
											It was a lot of hard work.
									","
											Als ich dann, einige Tage später,
											aus dem Krankenhaus entlassen wurde, 
hatte ich eine Mission:
											rauszugehen 
und so schnell wie möglich
											das bestmögliche Training ausfindig zu machen 
und mein Leben wieder auf die Beine zu stellen.
											Innerhalb von sechs Monaten 
war ich wieder bei der Arbeit.
											Mein Training hatte begonnen.
											Ich fuhr sogar ein Tandem-Rad
											mit meinen alten Radfahr-Freunden
											und bewältigte den Weg zur Arbeit 
selbstständig,
											zu Fuß durch die Stadt und mit dem Bus.
											Es war eine Menge harter Arbeit.
									",Design with the blind in mind,Chris Downey,11:40,"Senses,agriculture,design,sight,urban planning,blindness"
