es,fr,title,speaker,duration,tags
"
","
",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
"
											El mundo está cambiando
											de modos realmente profundos,
											y me preocupa que los inversores
											no le presten la debida atención
											a algunos de los mayores 
generadores de cambios,
											sobre todo cuando se trata 
de sustentabilidad.
											Y por sustentabilidad me refiero 
a las cosas realmente importantes,
											como los asuntos medioambientales 
y sociales
											y de gobierno corporativo.
											Creo que es insensato ignorar estas cosas,
											porque implica poner en peligro
											los rendimientos a largo plazo.
											Y esto es algo que quizá los sorprenda:
											el equilibrio de fuerzas para una
influencia real sobre la sustentabilidad
											recae sobre 
los inversores institucionales,
											los grandes inversores 
como los fondos de pensiones,
											las fundaciones y las donaciones.
											Creo que las inversiones sustentables
											son menos complicadas 
de lo que Uds. piensan,
											más efectivas de lo que creen
											y más importantes de lo que imaginamos.
									","
											Par certains aspects, le monde change
											véritablement en profondeur,
											et je crains que les investisseurs
											ne portent pas assez attention
											à certains des plus gros facteurs de changement,
											en particulier en matière 
de développement durable.
											J'entends par « durable » 
des sujets vraiment croustillants
											comme les problèmes 
environnementaux et sociaux,
											et la gouvernance des corporations.
											Je crois qu'il est imprudent 
d'ignorer ces choses,
											car, ce faisant, 
les rendements à long-terme
											sont mis en danger.
											Et voici une chose 
qui pourrait vous surprendre :
											la balance du pouvoir qui peut vraiment 
influencer le développement durable
											dépend
des investisseurs institutionnels,
											des gros investisseurs 
comme les fonds de retraite,
											les fondations et les dotations.
											Je crois que l'investissement durable
											est moins compliqué 
que vous ne le pensez,
											plus rentable que vous le croyez
											et plus important que nous pouvons l'imaginer.
									",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
"
","
",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
"
											Les recordaré algo que ya saben.
											Tenemos una población 
que crece en tamaño y en edad;
											somos 7000 millones de almas,
											y vamos hacia los 10 000 millones
											para finales de siglo;
											consumimos recursos naturales
											más rápido de lo que pueden reponerse;
											y las principales emisiones responsables
											del cambio climático siguen aumentando.
											Está claro que estos son asuntos
medioambientales y sociales,
											pero eso no es todo.
											Son asuntos económicos
											y por tanto relevantes
											para el riesgo y el rendimiento.
											Son muy complejos
											y pueden parecer tan alejados
											que nos tienta hacer esto:
											enterrar la cabeza en la arena
y no pensar en eso.
											Resístanse, si pueden. 
No hagan esto en casa.
											(Risas)
									","
											Je vais vous rappeler 
ce que nous savons déjà.
											Nous avons une population 
qui augmente et vieillit.
											Il y a sept milliards d'âmes aujourd'hui,
											qui en deviendront dix
											à la fin du siècle.
											Nous consommons les ressources naturelles
											plus vite qu'elles ne se renouvellent,
											et les émissions principalement 
responsables
											des changements climatiques 
ne font qu'augmenter.
											Ce sont clairement des problèmes 
environnementaux et sociaux,
											mais ce n'est pas tout.
											Ce sont des problèmes économiques,
											et cela les pose en termes
											de risques et de gains.
											Et ils sont si complexes,
											et ils semblent si éloignés
											que nous pourrions bien être tentés
											de nous enfouir la tête dans le sable 
et ne plus y penser.
											Résistez à cela, si vous le pouvez. 
Ne faites pas ça à la maison.
											(Rires)
									",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
"
","
",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
"
											Pero me hace preguntarme
											si las reglas para invertir de hoy
											son válidas para mañana.
											Sabemos que los inversores,
											cuando observan una empresa
para ver si invierten,
											se fijan en los datos financieros, 
en valores
											como el crecimiento de las ventas, 
la liquidez, la participación de mercado,
											la valoración... 
¿saben?, en la parte sexy.
											Y estas cosas son fundamentales, claro,
											pero no son suficientes.
											Los inversores también deberían fijarse 
en los valores
											de lo que llamamos MSG:
											el medioambiente, lo social 
y el gobierno.
											En medioambiente se incluye 
el consumo de energía,
											la disponibilidad del agua, 
los desechos y la contaminación,
											en hacer un uso eficiente de los recursos.
											En lo social se incluye el capital humano,
											cosas como el compromiso de los empleados
											y la capacidad de innovación,
											así como el manejo de la 
cadena de abastecimiento
											y los derechos humanos y laborales.
											Y el gobierno 
se refiere a la supervisión
											de las empresas por parte de sus juntas
e inversores.
											Les dije que esta era 
la parte importante.
											Pero MSG es una medida 
de la sustentabilidad,
											y las inversiones sustentables agregan 
los factores MSG
											a los factores financieros 
en el proceso de inversión.
											Eso significa reducir los riesgos futuros
											ya que se minimiza el daño 
a las personas y al planeta,
											y eso significa darles capital 
a los usuarios
											que lo utilizan orientándolo
											hacia fines productivos y sustentables.
									","
											Mais, cela me fait me demander
											si les règles d'investissement d'aujourd'hui
											seront adéquates demain.
											Nous savons que les investisseurs,
											lorsqu'ils analysent une entreprise 
et décident s'ils doivent y investir,
											regardent ses données financières,
											des mesures comme la croissance des ventes, 
les liquidités, les parts de marché,
											les estimations 
- vous savez, les trucs vraiment sexy.
											Ces choses sont fondamentales, bien sûr,
											mais ce n'est pas assez.
											Les investisseurs devraient aussi voir 
des mesures de performance
											en ce que nous appelons ESG :
											environnement, social et gouvernance.
											L'environnement inclut 
la consommation énergétique,
											la disponibilité de l'eau, 
les déchets et la pollution,
											l'usage efficace des ressources.
											Le social inclut le capital humain,
											la participation des employés
											et la capacité à innover,
											tout comme la gestion de la chaîne logistique,
											le droit du travail et les droits de l'Homme.
											La gouvernance inclut la supervision
											des entreprises par leurs conseils 
d'administration et leurs investisseurs.
											Vous voyez, je vous ai dit 
que c'était vraiment ça le plus « croustillant ».
											Mais l'ESG est la mesure 
du développement durable,
											et l'investissement durable 
combine les facteurs ESG
											et les facteurs financiers 
dans le processus d'investissement.
											Cela veut dire limiter les risques futurs
											en réduisant les dommages faits 
aux personnes et à la planète,
											ce qui se traduit en capital pour les utilisateurs
											qui l'emploient à l'obtention de résultats
											productifs et durables.
									",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
"
","
",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
"
											Entonces, si la sustentabilidad
tiene hoy en día importancia económica,
											y todo indica que la tendrá más 
en el futuro,
											¿el sector privado 
le está prestando atención?
											Lo genial es que la mayoría 
de los directores ejecutivos, sí.
											Empezaron a ver la sustentabilidad
											no solo como algo importante, 
sino crucial para el éxito empresarial.
											Un 80 % de los gerentes ejecutivos 
de todo el mundo
											ven la sustentabilidad como la raíz 
del crecimiento de la innovación
											y como el camino
hacia las ventajas competitivas
											de sus industrias.
											Pero el 93 % ven MSG como el futuro,
											o como importante 
en el futuro de sus empresas.
											Está claro lo que piensan 
los directores ejecutivos.
											Hay oportunidades enormes 
en la sustentabilidad.
									","
											Alors, si le développement durable compte 
sur le plan financier aujourd'hui
											et tout porte à croire 
qu'il comptera plus encore demain,
											le secteur privé est-il à l'écoute ?
											L'excellente nouvelle, c'est que 
la plupart des PDG le sont.
											Ils ont commencé à voir 
que le développement durable
											n'est pas qu'important mais crucial 
à leur succès en affaires.
											Environ 80 pour cent des PDG dans le monde
											voient dans le développement durable 
la source d'une croissance de l'innovation
											et une voie vers un avantage compétitif
											dans leurs industries.
											Mais 93 pour cent voient l'ESG comme le futur
											ou comme important pour le futur 
de leurs entreprises.
											Donc, les visions des PDG sont claires.
											Il y a des opportunités extraordinaires 
dans le développement durable.
									",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
"
","
",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
"
											Entonces, 
¿cómo hacen las empresas para usar MSG
											para obtener 
resultados comerciales concretos?
											Un ejemplo que tenemos muy presente.
											En 2012, State Street mudó 54 aplicaciones
											a un entorno de nube
											y nosotros sacamos otras 85.
											Hicimos virtuales nuestros entornos 
de sistema operativo
											y completamos numerosos procesos 
de automatización.
											Estas iniciativas crean 
un lugar de trabajo más móvil,
											reducen el espacio real que ocupan,
											y traen aparejado un ahorro 
de USD 23 millones
											anuales en costos operativos
											y evitan la emisión
											de 100 000 toneladas 
de dióxido de carbono.
											Eso equivale a sacar 21 000 autos
											de las calles.
											Impresionante, ¿no?
											Otro ejemplo es Pentair.
											Pentair es un conglomerado industrial
											y hace cerca de una década,
											vendieron sus cruciales empresas 
de herramientas eléctricas
											y reinvirtieron esas ganancias 
en una empresa de agua.
											Fue una apuesta enorme. 
¿Por qué lo hicieron?
											Bueno, que me disculpen los fans 
de ""Mejorando la casa"",
											pero hay más crecimiento en el agua
que en las herramientas eléctricas,
											y esta empresa tiene los ojos puestos
											en lo que ellos llaman 
""el nuevo Nuevo Mundo"".
											Son 4000 millones 
de personas de clase media
											que necesitan alimentos, energía y agua.
									","
											Alors, comment les entreprises 
utilisent-elles l'ESG
											pour arriver à des résultats concrets ?
											Un exemple que nous chérissons 
nous est proche.
											En 2012, State Street a transféré 
54 activités
											vers l'environnement 
cloud virtuel,
											et nous en avons éliminé 85 de plus.
											Nous avons dématérialisé 
nos systèmes d'opération
											et nous avons réalisé 
plusieurs projets d'automatisation.
											Ces initiatives créent un environnement 
de travail plus mobile,
											réduisent notre occupation 
de l'espace immobilier,
											nous permettent des économies 
de 23 millions de dollars
											en coûts d'opération annuels,
											et nous évitent l'émission
											de 100 000 tonnes métriques de carbone.
											Cela équivaut à retirer 21 000 automobiles
											des routes.
											Merveilleux, n'est-ce pas ?
											Pentair est un autre exemple.
											Pentair est un conglomérat industriel américain
											et il y a environ dix ans
											ils ont vendu leur principale activité, l'outillage,
											et réinvesti l'argent dans une entreprise 
centrée sur l'eau.
											C'était un sacré défi. 
Pourquoi l'ont-ils fait ?
											Eh bien, désolé pour 
les amateurs de bricolage,
											il y a plus de croissance 
dans l'eau que dans l'outillage
											et cette entreprise a développé 
une vision
											de ce qu'elle appelle le 
« nouveau Nouveau Monde. »
											C'est quatre milliards de gens 
de la classe moyenne
											qui ont besoin de nourriture, 
d'énergie et d'eau.
									",The investment logic for sustainability,Chris McKnett,12:19,"business,finance,investment,sustainability"
