fr,en,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Quand j'étais petit,
											j'ai vécu une expérience si puissante
											que j'ai cherché
à la reproduire toute ma vie,
											en vain.
											Il ne s'agissait pas
de réalité virtuelle,
											mais de musique.
											C'est le début de mon histoire.
									","
											When I was a kid,
											I experienced something so powerful,
											I spent the rest of my life
searching for it,
											and in all the wrong places.
											What I experienced wasn't virtual reality.
											It was music.
											And this is where the story begins.
									","
											Quando era miúdo,
											senti algo tão poderoso,
											que passei o resto da minha vida
à procura disso,
											nos lugares errados.
											O que sentira não era realidade virtual.
											Era música.
											E é aqui que a história começa.
									","
											Bir çocukken
											öyle güçlü bir şey deneyimledim ki
											hayatım boyunca onu aradım
											ve bütün yanlış yerlerde.
											Deneyimlediğim şey 
sanal gerçeklik değildi.
											Müzikti.
											İşte hikâye burada başlıyor.
									","
											Als ich ein Kind war,
											hatte ich ein eindrückliches Erlebnis.
											Ich suchte den Rest meines Lebens danach,
											aber an den falschen Orten.
											Ich hatte keine virtuelle Realität erlebt.
											Es war Musik.
											Und hier beginnt die Geschichte.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Me voici,
											écoutant le « White Album » des Beatles.
											L'expression sur mon visage
correspond au sentiment
											que j'ai cherché à reproduire depuis.
											La musique déclenche des émotions,
											elle vous touche au plus profond,
											elle vous va droit au cœur.
											Elle approfondit chaque expérience.
											S'il vous plaît.
									","
											That's me,
											listening to the Beatles' ""White Album.""
											And the look on my face is the feeling
											that I've been searching for ever since.
											Music goes straight to the emotional vein,
											into your bloodstream
											and right into your heart.
											It deepens every experience.
											Fellas?
									","
											Este sou eu,
											a ouvir o ""White Album"" dos Beatles.
											A expressão na minha cara é o sentimento
											de que tenho andado à procura desde então.
											A música dirige-se à veia emocional,
											entra na corrente sanguínea
											direita ao coração.
											Aprofunda cada experiência.
											Rapazes?
									","
											Bu benim,
											Beatles'ın ""Beyaz Albüm""ünü dinliyorum.
											Yüzümdeki ifade
											o zamandan beri aradığım şey.
											Müzik doğrudan duygusal damardan
											kan akışınıza ve oradan da
											direkt kalbinize gider.
											Her deneyimi derinleştirir.
											Arkadaşlar?
									","
											Das bin ich
											beim Hören vom ""White Album"" der Beatles.
											Der Ausdruck auf meinem
Gesicht zeigt das Gefühl,
											nach dem ich seither auf der Suche bin.
											Musik geht direkt in
unsere emotionale Ader,
											in unsere Blutbahn
											und dringt direkt ins Herz.
											Sie vertieft jede Erfahrung.
											Leute?
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Musique)
									","
											(Music)
									","
											(Música)
									","
											(Müzik)
									","
											(Musik)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Voici les géniaux McKenzie Stubbert
											et Joshua Roman.
											Musique !
									","
											This is the amazing McKenzie Stubbert
											and Joshua Roman.
											Music —
									","
											Estes são os espantosos
McKenzie Stubbert e Joshua Roman
											A música...
									","
											Bu inanılmaz McKenzie Stubbert
											ve Joshua Roman.
											Müzik —
									","
											Das ist der unglaubliche McKenzie Stubbert
											und Joshua Roman.
											Musik —
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaus)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
