en,es,fr,title,speaker,duration,tags
"
","
","
",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
"
											My journey away from violent extremism
began 22 years ago,
											when I denounced racism
											and left the American white
supremacist skinhead movement
											that I had helped build.
									","
											Mi viaje lejos de la violencia extremista
comienza hace 22 años,
											cuando denuncié el racismo y
											dejé el movimiento skinhead
estadounidense de supremacía blanca.
											que ayudé a construir.
									","
											Mon voyage pour m'éloigner
de l'extrémisme violent
											a commencé il y a 22 ans,
											quand j'ai dénoncé le racisme
											et quitté le mouvement américain
suprémaciste blanc des skinheads
											que j'avais aidé à fonder.
									",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
"
","
","
",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
"
											(Cheers and applause)
									","
											(Vítores y aplausos)
									","
											(Encouragements et applaudissements)
									",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
"
","
","
",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
"
											I was just 22 years old at the time,
											but I had already spent eight years,
from the time I was 14 years old,
											as one of the earliest
and youngest members
											and an eventual leader within
America's most violent hate movement.
									","
											Tenía solo 22 años entonces,
											pero ya había pasado ocho,
desde que tenía 14 años,
											como uno de los primeros y
más jovenes miembros

											y líder eventual dentro del movimiento 
de odio estadounidense más violento
									","
											Je n'avais que 22 ans à l'époque,
											mais j'avais déjà passé huit ans,
depuis mes 14 ans,
											comme l'un des premiers
et plus jeunes membres
											et finalement un dirigeant du mouvement
de haine le plus violent des États-Unis.
									",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
"
","
","
",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
"
											But I wasn't born into hate;
											in fact, it was quite the opposite.
											I had a relatively normal childhood.
											My parents are Italian immigrants
											who came to the United States
in the mid-1960s
											and settled on the South Side of Chicago,
											where they eventually met,
											and opened a small beauty shop.
											Right after I was born,
things got a little bit more difficult.
											They struggled to survive with raising
a young family and a new business,
											often working seven days a week,
											14 hours a day,
											taking on second and third jobs
just to earn a meager living.
											And quality time with my parents
was pretty nonexistent.
											Even though I knew
they loved me very much,
											growing up, I felt abandoned.
											I was lonely, and I started to withdraw,
											and then I started to resent my parents
and become very angry.
											And as I was growing up,
through my teenage years,
											I started to act out to try and get
attention from my parents.
									","
											pero no nací en el odio;
											de hecho, fue lo opuesto.
											Tuve una infancia relativamente normal.
											Mis padres son inmigrantes italianos
											que vinieron a EE. UU. 
a mediados de los años 60
											y se establecieron en el norte de Chicago,
											donde se conocieron,
											y abrieron una tiendecita de belleza.
											Justo después de nacer,
las cosas se volvieron más difíciles.
											Lucharon por sobrevivir criando
una joven familia y un nuevo negocio,
											a menudo trabajando 7 días a la semana,
											14 horas al día,
											asumiendo segundos y terceros trabajos
ganándose la vida precariamente.
											Y el tiempo de calidad con mis padres
básicamente no existía.
											A pesar de que sabía
lo mucho que me querían,
											al crecer, me sentí abandonado.
											Estaba solo y empecé a excluirme
											empecé a tener resentimiento a mis padres
y empecé a enfadarme.
											Mientras crecía, 
en mis años de adolescencia,
											empecé a ponerme a prueba y conseguir
la atención de mis padres.
									","
											Je ne suis pas né dans la haine.
											En fait, c'était plutôt le contraire.
											J'ai eu une enfance relativement normale.
											Mes parents sont des immigrants italiens
											qui sont venus aux États-Unis
au milieu des années 60
											et se sont installés
dans le Sud de Chicago,
											où ils se sont rencontrés
											et ont ouvert un petit salon de beauté.
											Juste après ma naissance,
les choses se sont un peu compliquées.
											Ils ont lutté pour survivre
											en élevant une jeune famille
et en ayant une nouvelle entreprise,
											travaillant souvent
sept jours par semaine,
											14 heures par jour,
											endossant un deuxième et troisième emploi
pour gagner modestement leur vie.
											Je passais très peu de temps
avec mes parents.
											Même si je savais
qu'ils m'aimaient beaucoup,
											en grandissant,
je me suis senti abandonné.
											Je me sentais seul,
j'ai commencé à me replier sur moi-même
											et j'ai ensuite commencé à en vouloir
à mes parents et à être en colère.
											En grandissant, durant mon adolescence,
											je me suis mal comporté pour essayer
d'attirer l'attention de mes parents.
									",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
"
","
","
",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
"
											And one day, when I was 14,
											I was standing in an alley,
and I was smoking a joint,
											and a man who was twice my age,
with a shaved head and tall black boots,
											came up to me,
											and he snatched the joint from my lips.
											Then he put his hand on my shoulder
and he looked me in the eyes,
											and he said,
											""That's what the communists
and the Jews want you to do
											to keep you docile.""
											I was 14 years old,
											I'd been trading baseball cards
and watching ""Happy Days"" —
											I didn't really know what a Jew was.
									","
											Y un día, cuando tenía 14,
											Estaba de pie en un callejón,
estaba fumando un porro,
											y un hombre del doble de mi edad
con la cabeza afeitada y botas negras,
											vino hacia mí,
											y me robó el porro de los labios.
											Entonces puso una mano en mi hombro
y me miró a los ojos,
											y dijo,
											""Eso es lo que los comunistas
y los judíos quieren que hagas
											para mantenerte dócil.""
											Yo tenía 14 años,
											Cambiaba tarjetas de beisbol y
veía ""Días Felices""—
											No sabía realmente qué era un judío.
									","
											Un jour, quand j'avais 14 ans,
											je me tenais dans une allée
et je fumais un joint
											et un homme ayant deux fois mon âge,
											avec la tête rasée
et de hautes bottes noires,
											est venu me voir
											et a arraché le joint de mes lèvres
											Puis il a mis sa main sur mon épaule,
m'a regardé dans les yeux
											et a dit :
											« C'est ce que les communistes
et les juifs veulent que tu fasses
											afin que tu restes docile. »
											J'avais 14 ans,
											j'échangeais des cartes de baseball
et regardais la télé —
											j'ignorais ce qu'était un juif.
									",My descent into America's neo-Nazi movement — and how I got out,Christian Picciolini,20:18,"TEDx,activism,United States,compassion,identity,humanity,personal growth,race,social change,society,violence"
