en,fr,tr,de,title,speaker,duration,tags
"
","
","
","
",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
"
											Who do you want to be?
											It's a simple question,
											and whether you know it or not,
											you're answering it every day
through your actions.
											This one question will define
your professional success
											more than any other,
											because how you show up
and treat people means everything.
											Either you lift people up
by respecting them,
											making them feel valued,
appreciated and heard,
											or you hold people down
by making them feel small,
											insulted, disregarded or excluded.
											And who you choose to be means everything.
									","
											Qui veux-tu être ?
											C'est une question simple,
											et que vous le sachiez ou non,
											vous y répondez chaque jour
par vos actions.
											Cette question définira
votre réussite professionnelle
											plus que tout autre,
											parce que tout passe par la manière
de vous montrer et de traiter les autres.
											Soit vous encouragez les gens
en les respectant,
											en les valorisant, en étant reconnaissant
et en les écoutant,
											soit vous les rabaissez,
en les dénigrant,
											et ils se sentent insultés,
ignorés ou exclus.
											Et le rôle que vous choisissez
est totalement signifiant.
									","
											Kim olmak istiyorsun?
											Bu basit bir soru
											ve cevabı bilsen de bilmesen de
											onu her gün hareketlerinle cevaplıyorsun.
											Tek bir soru profesyonel başarını
											diğer sorulardan
daha fazla belirleyecek,
											çünkü insanlara nasıl davrandığın ve
davranış sergilediğin her şey demektir.
											İster insanlara saygı duyarak, onları
											değerli, takdire şayan ve duyulmuş
hissettirerek iyi hissettir,
											ister onları küçük hissettirme,
											aşağılama, saygısızlık yapma 
veya dışlama suretiyle küçük düşür.
											Ve kim olmayı seçtiğin de 
her şey demektir.
									","
											Wer wollen Sie sein?
											Eine einfache Frage
											und ob Sie es wissen oder nicht,
											Sie beantworten sie täglich
durch Ihr Verhalten.
											Diese Frage bestimmt Ihren Berufserfolg
											mehr als jede andere.
											Denn wie man sich zeigt
und Menschen behandelt, bestimmt alles.
											Entweder bestärkt man Menschen,
indem man sie respektiert
											und ihnen das Gefühl gibt, geschätzt,
gemocht und gehört zu werden
											oder man unterdrückt sie
und gibt ihnen das Gefühl,
											klein, gekränkt, unerwünscht
oder ausgeschlossen zu sein.
											Ihre Haltung als Person bedeutet alles.
									",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
"
","
","
","
",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
"
											I study the effects
of incivility on people.
											What is incivility?
											It's disrespect or rudeness.
											It includes a lot of different behaviors,
											from mocking or belittling someone
											to teasing people in ways that sting
											to telling offensive jokes
											to texting in meetings.
											And what's uncivil to one person
may be absolutely fine to another.
											Take texting while someone's
speaking to you.
											Some of us may find it rude,
											others may think it's absolutely civil.
											So it really depends.
											It's all in the eyes of the beholder
and whether that person felt disrespected.
											We may not mean to make
someone feel that way,
											but when we do, it has consequences.
									","
											J'étudie les effets
de l'incivilité sur les gens.
											Qu'est-ce que l'incivilité ?
											C'est le mépris ou l'impolitesse.
											Elle recouvre de nombreux
comportements différents,
											allant de la moquerie ou du rabaissement
											à la taquinerie méchante,
											en passant par les blagues offensantes
											et l'envoi de textos en réunion.
											Ce qui est incivil pour l’un peut être
parfaitement acceptable pour l’autre.
											Par exemple, envoyer un texto
alors que quelqu'un vous parle.
											Certains d'entre nous
peuvent trouver ça impoli,
											d'autres peuvent penser
que c'est tout à fait correct.
											Ça dépend vraiment.
											C'est une question de perception,
et de si on se sent respecté ou non.
											On n'a peut-être pas l'intention
d'être irrespectueux envers l'autre,
											mais quand on le fait,
ça a des conséquences.
									","
											Kabalığın insanlar üzerindeki 
etkilerini araştırıyorum.
											Kabalık nedir?
											Saygısızlık ve nezaketsizliktir.
											Bir insanı küçük düşürüp onunla 
alay etmekten,
											ona iğneleyici bir biçimde takılmaya,

											hakaret edici şakalar yapmaya,
											toplantılarda mesaj atmaya kadar
											birçok farklı davranış içerir.
											Ve birine kaba gelen başka bir insana
tamamen normal gelebilir.
											Biri sizinle konuşurken 
mesajlaşmayı ele alalım.
											Bazılarımız onu kaba bulabilir,
											diğerleri bunun kesinlikle
nazik olduğunu düşünebilir.
											Yani bu gerçekten kişiye bağlıdır.
											Bakış açısında ve karşıdakinin
saygısızlık yapıldığını hissetmesindedir.
											Bir insanı böyle hissettirmek
istememiş olabiliriz,
											ama böyle olduğunda sonuçları vardır.
									","
											Ich untersuche die Auswirkungen
von Unhöflichkeit auf Menschen.
											Was ist Unhöflichkeit?
											Respektlosigkeit oder Grobheit.
											Das können verschiedene
Verhaltensweisen sein,
											vom Verspotten oder
Herabsetzen einer Person
											bis zum Belästigen, so dass es schmerzt,
											beleidigende Witze machen
											oder in Meetings SMS schreiben.
											Was eine Person als unhöflich empfindet,
mag für eine andere in Ordnung sein.
											Beispielsweise Nachrichten schreiben,
während einer Unterhaltung.
											Manche finden es unhöflich,
											andere finden es angemessen.
											Es kommt darauf an.
											Es liegt in den Augen des Betrachters
und ob sich die Person missachtet fühlte.
											Vielleicht beabsichtigen wir nicht,
dass sich jemand so fühlt,
									",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
"
","
","
","
",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
"
											Over 22 years ago,
											I vividly recall walking into
this stuffy hospital room.
											It was heartbreaking to see my dad,
this strong, athletic, energetic guy,
											lying in the bed with electrodes
strapped to his bare chest.
											What put him there
was work-related stress.
											For over a decade,
											he suffered an uncivil boss.
											And for me, I thought he was
just an outlier at that time.
											But just a couple years later,
											I witnessed and experienced
a lot of incivility
											in my first job out of college.
											I spent a year going to work every day
											and hearing things from coworkers like,
											""Are you an idiot?
That's not how it's done,""
											and, ""If I wanted your opinion, I'd ask.""
									","
											Il y a plus de 22 ans,
											je me rappelle bien d'être entrée
dans cette chambre d'hôpital étouffante.
											Voir mon père, ce type fort,
athlétique, énergique,
											allongé sur le lit, des électrodes posées
sur sa poitrine nue, m'a brisé le cœur.
											Il en est arrivé là
à cause du stress lié au travail.
											Pendant plus de dix ans,
											il a supporté un patron incivil.
											Quant à moi, à l'époque, j'ai pensé
qu'il n'était qu'une exception.
											Mais quelques années plus tard,
											j'ai vu et vécu beaucoup d'incivilités
											dans le cadre de mon premier
emploi après la fac.
											J'ai passé un an à aller
au travail chaque jour
											et à entendre mes collègues dire
											« Es-tu idiote ? Ce n'est pas
comme ça qu'on fait ».
											et, « si je voulais ton avis,
je le demanderais ».
									","
											Yaklaşık 22 yıl önce,
											bu bunaltıcı hastane odasına yürüyüşümü
canlı bir şekilde hatırlıyorum.
											Babamı; bu güçlü, atletik, enerjik adamı
çıplak göğsüne kablo sarılmış hâlde görmek
											yürek parçalayıcıydı.
											Babamı oraya koyan şey
işle alakalı stresti.
											10 yıldan fazla bir süre,
											kaba bir patrona tahammül etmişti.
											Ve ben, onun sadece bir aykırı
olduğunu düşünmüştüm.
											Ama birkaç yıl sonra,
											okulumdan sonraki ilk işimde 
birçok saygısızlığa şahit oldum
											ve saygısızlığı yaşadım.
											Her gün işe giderek ve meslektaşlarımdan
											""Aptal mısın? O öyle olmaz."" 
""Fikrini sormadık.""
											gibi şeyler işiterek
											bir yıl harcadım.
									","
											doch wenn wir es tun
hat das Konsequenzen.
											Ich erinnere mich bildhaft daran,
											wie ich vor mehr als 22 Jahren
in dieses stickige Krankenzimmer kam.
											Es war herzzerreißend,
meinen Vater zu sehen,
											diesen starken, athletischen,
dynamischen Mann, im Bett liegend,
											mit Elektroden an der Brust.
											Was ihn dorthin gebracht hatte
war Stress am Arbeitsplatz.
											Mehr als zehn Jahre ertrug er
einen unhöflichen Vorgesetzten.
											Zu der Zeit dachte ich
er sei ein Einzelfall.
											Doch nur zwei Jahre später
											erfuhr und bezeugte ich
sehr viel Unhöflichkeit
											im ersten Job nach der Uni.
											Ein Jahr lang ging ich täglich zur Arbeit
											und hörte Kollegen sagen:
											""Bist du ein Idiot? So geht das nicht""
									",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
"
","
","
","
",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
"
											So I did the natural thing.
											I quit, and I went back to grad school
to study the effects of this.
											There, I met Christine Pearson.
											And she had a theory
that small, uncivil actions
											can lead to much bigger problems
											like aggression and violence.
											We believed that incivility affected
performance and the bottom line.
											So we launched a study,
and what we found was eye-opening.
									","
											Alors j'ai fait ce qu'il fallait faire.
											J'ai démissionné, et je suis retournée à
l'université pour étudier ces situations.
											J'y ai rencontré Christine Pearson.
											Et elle avait cette théorie 
que les petits actes d'incivilité
											pouvaient conduire 
à de plus gros problèmes
											tels que l'agression et la violence.
											On pensait que l'incivilité affectait
la performance et le résultat final.
											On a lancé une étude, et ce que 
nous avons trouvé fut une révélation.
									","
											Ve doğal olan şeyi yaptım.
											İşten ayrıldım, yüksekokula 
bunların etkilerini çalışmak için döndüm.
											Orada Christine Pearson ile tanıştım.
											Onun, küçük kaba davranışların

											kızgınlık ve şiddet gibi 
daha büyük sorunlara
											yol açabildiği teorisi vardı.
											Kabalığın performansı ve sonucu
etkilediğine inanıyorduk.
											Bu yüzden bir çalışma oluşturduk ve
bulduğumuz şey göz açıcıydı.
									","
											und ""Hätte ich deine Meinung hören wollen,
hätte ich dich gefragt"".
											Also tat ich was ich tun musste.
											Ich kündigte und ging zurück an die Uni,
											um die Auswirkungen hiervon zu erforschen.
											Dort traf ich Christine Pearson.
											Sie glaubte, dass kleine,
respektlose Verhaltensweisen
											zu viel größeren Problemen
wie Aggression und Gewalt führen konnten.
											Wir glaubten, Unhöflichkeit wirke sich
letztendlich auf die Leistung aus.
									",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
"
","
","
","
",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
"
											We sent a survey to business school alumni
											working in all different organizations.
											We asked them to write a few sentences
											about one experience
where they were treated rudely,
											disrespectfully or insensitively,
											and to answer questions
about how they reacted.
											One person told us about a boss
that made insulting statements like,
											""That's kindergartner's work,""
											and another tore up someone's work
in front of the entire team.
											And what we found is that incivility
made people less motivated:
											66 percent cut back work efforts,
											80 percent lost time
worrying about what happened,
											and 12 percent left their job.
									","
											On a envoyé un sondage 
aux anciens d'une école de commerce
											travaillant
dans des entreprises différentes .
											Nous leur avons demandé d'écrire
quelques phrases
											à propos d'un moment où ils ont
été traités de manière impolie,
											irrespectueuse ou insensible,
											et de répondre à des questions 
sur la façon dont ils ont réagi.
											Quelqu'un nous a parlé d'un patron qui
faisait des remarques insultantes comme,
											« C'est du travail de maternelles »
											et un autre a déchiré le travail
de quelqu'un devant toute l'équipe.
											Nous avons découvert que l'incivilité 
rendait les gens moins motivés :
											66% réduisent leurs efforts au travail,
											80% perdent du temps
à se soucier de ce qui s'est passé,
											et 12 % quittent leur travail.
									","
											Farklı şirketlerde çalışan
işletme mezunlarına
											bir anket yolladık.
											Onlardan kabaca, saygısızca,
duygusuzca davranılmış
											bir deneyimle ilgili
birkaç cümle yazmalarını
											ve buna nasıl tepki verdiklerine dair

											soruları cevaplamalarını istedik.
											Biri patronun ona
""Çocuk işi mi bu? "" gibi
											hakaret edici sözler sarf 
ettiğini söyledi
											ve başka biri birinin işini bütün takımın 
önünde yırttığını söyledi.
											Bulduğumuz şey ise 
kabalığın insanları daha az motive ettiği:
											%66'sı iş çabalarını azalttı,
											%80'i ne olduğu hakkında
endişelenip vakit kaybetti
											ve %12'si işlerinden ayrıldı.
									","
											Wir machten eine Studie
											und sie war aufschlussreich.
											Wir sandten eine Umfrage zu
Absolventen der Handelsschule,
											in verschiedene Organisationen.
											Sie sollten über eine Erfahrung schreiben,
											wo sie respektlos, unsensibel
oder grob behandelt worden waren.
											und Fragen beantworten,
darüber wie sie reagierten.
											Eine Person erzählte uns
von einem Vorgesetzten,
											der mit Aussagen beleidigte wie:
											""Das ist Kindergarten-Arbeit.""
											Ein weiterer zerriss die Arbeit
einer Person vor dem gesamten Team.
											Wir sahen, dass Unhöflichkeit
Menschen tatsächlich demotivierte.
											66 Prozent gaben sich weniger Mühe,
											80 Prozent verbrachten Zeit damit,
sich Sorgen zu machten
									",Why being respectful to your coworkers is good for business,Christine Porath,15:24,"leadership,TEDx,work,business,science,productivity,personal growth,motivation,psychology,success"
