en,fr,de,title,speaker,duration,tags
"
","
","
",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
"
											Interpreter: Piano, ""p,""
is my favorite musical symbol.
											It means to play softly.
											If you're playing a musical instrument
and you notice a ""p"" in the score,
											you need to play softer.
											Two p's — even softer.
											Four p's — extremely soft.
											This is my drawing of a p-tree,
											which demonstrates
											no matter how many thousands
upon thousands of p's there may be,
											you'll never reach complete silence.
											That's my current definition of silence:
											a very obscure sound.
									","
											Interprète : Piano, « p »,
est mon symbole musical préféré.
											Il signifie jouer doucement.
											Si vous jouez d'un instrument
et remarquez un « p » sur la partition,
											vous devez jouer plus doucement.
											Deux p : encore plus doucement.
											Quatre p : extrêmement doucement.
											Voici ma représentation
d'un arbre p,
											qui démontre
											que peu importe les milliers de p
qu'il pourrait y avoir,
											vous n'aurez jamais
le silence complet.
											C'est ma définition actuelle du silence :
											un son très obscur.
									","
											Dolmetscherin: Piano, ""p"",
ist mein liebstes musikalische Symbol.
											Es bedeutet, sanft zu spielen.
											Wenn man ein Musikinstrument spielt
und in der Partitur ein ""p"" bemerkt,
											muss man sanfter spielen.
											Zwei ""p"" — noch sanfter.
											Vier ""p"" — extrem sanft.
											Das ist meine Zeichnung eines p-Baums,
											die zeigt,
											egal wie viele Abertausende ""p"" es gibt,
											man erreicht nie vollkommene Stille.
											Das ist meine aktuelle
Definition von Stille:
											ein sehr dunkler Klang.
									",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
"
","
","
",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
"
											I'd like to share a little bit
											about the history
of American Sign Language, ASL,
											plus a bit of my own background.
											French sign language was brought
to America during the early 1800s,
											and as time went by,
mixed with local signs,
											it evolved into the language
we know today as ASL.
											So it has a history of about 200 years.
									","
											J'aimerais partager
											un peu de l'histoire de la langue
des signes américaine (LSA)
											et un peu de ma propre histoire.
											La langue des signes française est arrivée
en Amérique au début du XIXème siècle,
											et, le temps passant,
se mélangeant avec les signes locaux,
											elle a évolué en la langue
aujourd'hui appelée LSA.
											Elle a donc une histoire
d'environ 200 ans.
									","
											Ich möchte Ihnen etwas
											über die Geschichte der American
Sign Language, ASL, vermitteln,
											und etwas zu meinem Hintergrund.
											Französische Gebärdensprache
kam Anfang des 18 Jh. nach Amerika,
											und vermischte sich im Laufe
der Zeit mit lokalen Gesten,
											daraus entwickelte sich die heute
als ASL bekannte Sprache.
											Sie hat also eine etwa
200-jährige Geschichte.
									",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
"
","
","
",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
"
											I was born deaf,
											and I was taught to believe
that sound wasn't a part of my life.
											And I believed it to be true.
											Yet, I realize now
that that wasn't the case at all.
											Sound was very much a part of my life,
											really, on my mind every day.
											As a Deaf person living
in a world of sound,
											it's as if I was living
in a foreign country,
											blindly following its rules,
customs, behaviors and norms
											without ever questioning them.
									","
											Je suis née sourde,
											et on m'a appris à croire que le son
ne faisait pas partie de ma vie.
											Et j'ai cru que c'était vrai.
											Pourtant, je réalise maintenant
que ce n'était pas du tout le cas.
											Le son faisait partie de ma vie,
											vraiment, dans mon esprit, chaque jour.
											En tant que personne sourde vivant
dans un monde de sons,
											c'est comme si je vivais
dans un pays étranger,
											suivant aveuglément ses règles,
coutumes, comportements et normes
											sans jamais les questionner.
									","
											Ich wurde taub geboren,
											und mir wurde beigebracht,
dass Klang kein Teil meines Lebens ist.
											Damals glaubte ich daran.
											Heute erkenne ich,
dass das überhaupt nicht stimmt.
											Klänge waren ein großer
Teil meines Lebens,
											und kamen mir täglich in den Sinn.
											Als Gehörlose in einer Welt
voller Klänge zu leben,
											war wie in einem fremden Land zu leben,
											blindlings die Regeln, Bräuche,
Verhaltensweisen und Normen befolgend,
											ohne sie je in Frage zu stellen.
									",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
"
","
","
",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
"
											So how is it that I understand sound?
											Well, I watch how people
behave and respond to sound.
											You people are like my loudspeakers,
and amplify sound.
											I learn and mirror that behavior.
											At the same time,
I've learned that I create sound,
											and I've seen how people respond to me.
											Thus I've learned, for example ...
											""Don't slam the door!""
											""Don't make too much noise when
you're eating from the potato-chip bag!""
									","
											Alors, comment se fait-il
que je comprenne le son ?
											Je regarde le comportement des gens
et leur réponse au son.
											Vous êtes comme mes haut-parleurs :
vous amplifiez le son.
											J'apprends et reproduis ce comportement.
											En même temps,
j'ai appris que je créais du son,
											j'ai vu comment les gens me répondaient.
											J'ai ainsi appris, par exemple :
											« Ne claque pas la porte ! »
											« Ne fais pas trop de bruit
en mangeant des chips ! »
									","
											Wie kann ich Klang überhaupt erfassen?
											Ich beobachte menschliches Verhalten
und die Reaktion auf Klänge.
											Menschen sind wie meine Lautsprecher,
sie verstärken Klang.
											Ich lerne und kopiere das Verhalten.
											Gleichzeitig habe ich gelernt,
dass ich Klänge produziere,
											und gesehen, wie Leute auf mich reagieren.
											So habe ich zum Beispiel gelernt:
											""Schlag die Tür nicht zu!""
											""Mach' nicht so viel Krach,
wenn du aus der Chips-Tüte ist.""
									",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
"
","
","
",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									",The enchanting music of sign language,Christine Sun Kim,15:17,"art,composing,communication,sound,language,TED Fellows,music"
