pt,tr,fr,title,speaker,duration,tags
"
","
","
",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
											Eu cresci em Orlando na Flórida.
											Era filho de um engenheiro aeroespacial.
											Eu vivia e respirava o programa Apollo.
											Víamos os lançamentos no quintal
											ou íamos de carro até Cape.
									","
											Orlando, Florida'da büyüdüm.
											Bir havacılık mühendisinin oğluydum.
											Apollo programını yaşadım ve soludum.
											Ya arka bahçemizden kalkışları izlerdik,
											ya da onu araba ile bir saat gittikten 
sonra Cape üzerinden izlerdik.
											Açıkçası uzay ve onun hakkındaki
her şeyden etkilenirdim,
											fakat onun içine mühendislikle girdiğimde 
daha da fazla etkilendim.
									","
											J'ai grandi à Orlando, en Floride.
											Je suis le fils d'un ingénieur
en aérospatiale.
											J'ai grandi avec le programme Apollo
dans les veines.
											Soit nous regardions les lancements
depuis le jardin,
											soit nous roulions une heure
pour les voir depuis Cap Canaveral.
											J'étais fasciné par l'espace
et tout ce qui s'y rapporte,
											mais j'étais encore plus impressionné
par l'ingénierie mise en œuvre.
									",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
","
","
",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
											Ficava impressionado com
o espaço e tudo sobre ele,
											mas ficava mais impressionado
com a engenharia por detrás.
									","
											Arkamda harika bir manzara görüyorsunuz.
											Bu resim Uluslararası
Uzay İstasyonundan çekildi,
											bu nadiren görünen ve nadiren çalışılan
											ve neredeyse hiç keşfedilmemiş
											gezegenimizin bir parçasını gösterir.
											Bu yer stratosfer olarak isimlendirilir.
									","
											Derrière moi se trouve 
une vue époustouflante,
											une image prise depuis 
la station spatiale internationale,
											et on y voit une partie de notre planète
											que l'on montre et que l'on étudie 
rarement,
											et qui n'est presque jamais explorée.
											Cet endroit s'appelle la stratosphère.
									",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
","
","
",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
											Atrás de mim veem uma vista espantosa,
											uma foto tirada a partir 
da Estação Espacial Internacional
											e ela mostra-nos uma 
porção do nosso planeta
											que raramente é vista e
raramente estudada
											e quase nunca é explorada.
											Esse lugar chama-se estratosfera.
									","
											Eğer yeryüzünden başlayıp, 
yukarı doğru giderseniz
											gitgide daha da soğur
											ve stratosferin başlangıcına ulaşınca
											harika bir şey olur.
											Soğuma oranı daha da düşer 
ve ardından ısınma başlar
											ve gittikçe daha da ısınır.
											Öyle ki herhangi bir koruma
olmadan hayat kalınabilinir.
											Yaklaşık sıfır derecedir
											ve ardından soğuma sonlanır
											ve burası stratosferin tepesidir.
											Gezegenimizin üzerinde en az 
ulaşılabilir yerlerden biridir.
											Çoğu kez, muhtemelen farklı
ses hızlarındaki
											alevler içerisindeki astronotlar
											tarafından ziyaret edildiğinde
											onların burada kalacak birkaç 
saniyeleri vardır,
											ve ardından bir alev topuna
dönüşerek geri dönerler,
											geldikleri yoldan.
									","
											En partant du sol, si vous montez 
de plus en plus
											il fait de plus en plus froid
											jusqu'à ce que vous atteignez
le début de la stratosphère,

											et là un truc incroyable se produit.
											Le taux de refroidissement diminue,
puis la température augmente,
											elle augmente de plus en plus
											jusqu'au moment où vous pourriez presque
survivre sans aucune protection,
											autour de zéro degré,
											et enfin elle repart pour être 
de plus en plus froide,
											et c'est la fin de la stratosphère.
											C'est l'un des endroits les plus
inaccessibles de notre planète.
											La plupart du temps, elle est visitée
											par des astronautes qui la traverse
dans un vaisseau incandescent,
											à plusieurs fois la vitesse du son,
											en quelques secondes à l'aller,
											et comme dans une boule de feu
											sur le chemin du retour.
									",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
","
","
",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
											Se começarmos no planeta
e subirmos e subirmos e subirmos
											torna-se cada vez mais frio
											até chegarmos ao ponto inicial 
da estratosfera
											e depois algo extraordinário acontece.
											Começa a ficar mais frio a um ritmo
mais lento e, de seguida, começa a aquecer
											e torna-se cada vez mais quente
											até ao ponto em que é quase possível 
sobreviver sem proteção,
											a cerca de 0 graus.
											Logo a seguir acabamos
por ficar com mais frio
											e aí estamos no limite da estratosfera.
											É um dos lugares menos 
acessíveis do planeta.
											Quase sempre, quando é visitado,
											é por astronautas, quando
a estão a atravessar a caminho do espaço,
											provavelmente muito acima
da velocidade da som,
											com a duração de alguns segundos.
											Depois evidenciam uma bola
de fogo na entrada,
											no regresso à terra.
									","
											Fakat sorduğum soru,
Stratosferde oyalanmak mümkün mü ?
											Stratosferi deneyimlemek mümkün mü ?
											Stratosferi keşfetmek mümkün mü ?
											Bir telefon görüşmesi yaptım.
									","
											Mais je me suis demandé s'il est possible
de s’attarder dans la stratosphère.
											Est-il possible de vivre la stratosphère?
											Est-il possible d'explorer
la stratosphère ?
									",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
","
","
",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
											A questão que eu coloco é:
											Será possível ficar
mais tempo na estratosfera?
											Será possível apreciar a estratosfera?
											Será possível explorar a estratosfera?
									","
											Bunu favori arama motorumu kullanarak
											uzunca bir süre, yaklaşık bir yıl çalıştım
											ve ardından korkutucu bir telefon konuşması yaptım.
											Bir arkadaşımın referansı ile 
""Paragon Uzay Geliştirme Şirketinden""
											Taber MacCallum ile
											ona bir soru sordum:
											Stratosfere gitmek için
											bir sistem geliştirmek mümkün mü ?
											O olduğunu söyledi.
											Bu görüşmeden sonra yaklaşık 3 yıl süresince
sadece bunu gerçekleştirmek için çalıştık.
											Geçen yıl 24 Ekim' de
											bu giysinin içerisinde,
											Yer üzerinde başladım,
											bir balonla 41 kilometreye e çıktım
											fakat kim sayıyordu ki ?
									","
											J'ai étudié la question en utilisant 
mon moteur de recherche favori
											pendant un bout de temps,
presque un an,
											et puis j'ai passé
un coup de fil angoissant.
											C'était un tuyau de l'un de mes amis 
d'appeler Taber MacCallum
											de l'entreprise
Paragon Space Development Corporation
											et je lui ai demandé
											s'il était possible de construire
											un système
pour aller dans la stratosphère.
											Et il a répondu que oui.
											Et après trois ans environ, 
nous sommes allés plus loin,
											et le 24 octobre de l'année dernière,
											dans cette combinaison,
											en partant du sol,
											j'ai atteint 135 890 pieds (41 419 m),
accroché à un ballon,
											mais on est pas à un près !
									",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
","
","
",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
											Estudei isto usando o meu
motor de pesquisa favorito
											durante algum tempo, há cerca de um ano.
											Depois fiz um telefonema assustador.
											Um amigo aconselhou-me
a entrar em contacto com Taber MacCallum
											da Corporação de Desenvolvimento
Espacial de Paragon,
											e fiz-lhe esta pergunta:
											É possível construir um sistema
											que chegue à estratosfera?
											E ele disse que sim.
											Depois de um período de três anos,
acabámos por fazer isso mesmo.
											E a 24 de outubro do ano passado,
											neste fato espacial,
											comecei no chão.
											Subi num balão e cheguei a uma
altitude de 41 419 metros.
											Mas quem está a contar?
									","
											(Gülüşmeler)
									","
											(Rires)
									",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
","
","
",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
											(Risos)
									","
											Saat de 1321 kilometreden daha fazla
											bir hızla Dünya' ya geri döndüm.
											Bu dört dakika 27 saniye süren bir inişti.
											300 metreye geldiğimde,
bir paraşüt açtım ve indim.
									","
											Retour sur Terre avec une vitesse 
atteignant 1322 km/h.
											La descente a duré 4 min 27 s.
											Et arrivé à 10 000 pieds (3000 m), j'ai 
ouvert un parachute et je me suis posé.
									",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
","
","
",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
											Regressei à terra a uma velocidade
de até 1322 quilómetros por hora.
											Foi uma descida que demorou
quatro minutos e 27 segundos.
											Quando atingi os 3048 metros,
abri o paraquedas e aterrei.
									","
											(Alkışlar)
									","
											(Applaudissements)
									",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
"
","
","
",I leapt from the stratosphere. Here's how I did it,Alan Eustace,14:28,"astronomy,exploration,innovation,invention,physics,science,space,engineering,Google,adventure,technology,extreme sports"
