de,es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Meine Karriere ist ungewöhnlich.
											Ich weiß das, weil Menschen, wie etwa Kollegen,
											zu mir kommen und sagen: ""Chris, deine Karriere ist ungewöhnlich.""
											(Gelächter)
											Und ich kann gut verstehen, was sie meinen,
											da ich meine Karriere
											als theoretischer Nuklearphysiker begann.
											Ich machte mir Gedanken über Quarks und Gluonen,
											und Schwerion-Kollisionen,
											und das im Alter von 14 Jahren.
											Nein, nein, ich war nicht 14 Jahre alt.
											Aber danach
											hatte ich wirklich mein eigenes Labor
											in der für Computational Neuroscience
											und ich machte keine Neurowissenschaft.
											Später würde ich an Evolutionsgenetik arbeiten,
											und an Systembiologie.
									","
											Tengo una carrera extraña.
											Lo sé, porque se acercan mis colegas
											y dicen: ""Chris, tienes una carrera extraña"".
											(Risas)
											Y lo entiendo,
											porque comencé mi carrera
											como físico teórico nuclear.
											Pensaba en quarks, en gluones,
											en colisiones de iones pesados,
											y tenía tan sólo 14 años.
											No, no tenía 14.
											Pero después de ello,
											tuve mi propio laboratorio
											en el departamento de neurociencia computacional,
											y no estaba haciendo neurociencia.
											Después, trabajé en genética evolutiva
											y en biología de sistemas.
									","
											Tenho uma carreira estranha.
											Sei disso porque há pessoas
que me abordam,
											colegas que me dizem:
""Chris, tens uma carreira estranha.""
											(Risos)
											E percebo o que querem dizer,
											porque comecei a minha carreira
											como um físico nuclear teórico.
											E andava a pensar sobre quarks e gluões
											e colisões de iões pesados,
											e tinha apenas 14 anos.
											Não, não, não tinha 14 anos.
											Mas depois disso,
											na verdade tinha o meu próprio laboratório
											no departamento
de neurociência computacional,
											e não estava a fazer
nenhuma neurociência.
											Mais tarde, trabalharia
em genética evolucionária,
											e em biologia de sistemas.
									","
											Böyle tuhaf bir kariyere sahibim.
											Bunu biliyorum, çünkü insanlar diğer meslektaşları gibi bana gelirler
											ve ''Chris, tuhaf bir kariyerin var'' derler.
											(Gülüşmeler)
											Ve onunların bakış açısını görebiliyorum,
											çünkü kendi kariyerime başladım
											teorik bir nükleer fizikçi olarak.
											Ve kuarklar ve gluonları düşünüyordum.
											ve büyük iyon çarpışmalarını düşünüyordum.
											ve daha 14 yaşında idim.
											Hayır,hayır 14 yaşında değildim.
											Fakat bundan sonra,
											aslında benim kendi laboratuvarım vardı
											bilişimsel sinirbilim departmanında,
											ve sinirbilimiyle uğraşmıyordum.
											Daha sonra, evrimsel kalıtım bilimi üzerine ,
											ve sistem biyolojisi üzerine çalışacaktım.
									","
											J'ai une carrière étrange.
											Je le sais parce que les gens viennent me trouver, mes collègues par exemple,
											et disent : ""Chris, tu as une carrière étrange.""
											(Rires)
											Et je vois ce qu'ils veulent dire,
											parce que j'ai commencé ma carrière
											en tant que physicien nucléaire théorique.
											Et je réfléchissais aux quarks et aux gluons
											et aux collisions d'ions lourds,
											et je n'avais que 14 ans.
											Non, non, je n'avais pas 14 ans.
											Mais après ça,
											j'ai eu mon propre labo pour de vrai
											dans le département de neurosciences computationnelles,
											et je ne faisais pas de neurosciences.
											Après, j'ai travaillé sur la génétique évolutionniste,
											et sur la biologie des systèmes.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Aber heute will ich von etwas anderem erzählen.
											Ich werde Ihnen erzählen,
											wie ich etwas über das Leben lernte.
											Ich war eigentlich Raketenwissenschaftler.
											Ich war nicht wirklich ein Raketenwissenschaftler,
											aber ich arbeitete
											im Labor für Jet-Propulsion,
											im sonnigen Kalifornien, wo es warm ist;
											wohingegen ich jetzt im Mittleren Westen bin,
											und es ist kalt.
											Aber es war eine aufregende Erfahrung.
											Eines Tages kam ein NASA Manager in mein Büro,
											setzte sich und sagte:
											""Können Sie uns bitte sagen,
											wie wir nach Leben außerhalb der Erde suchen sollten?""
											Da war ich überrascht,
											da ich eigentlich eingestellt worden war,
											um an Quantum Computation zu arbeiten.
											Und doch hatte ich eine richtig gute Antwort.
											Ich sagte: ""Ich habe keine Ahnung.""
											Und er sagte zu mir: ""Biosignaturen,
											wir müssen nach Biosignaturen suchen.""
											Und ich fragte: ""Was ist das?""
											Er antwortete: ""Jedes messbare Naturerscheinung,
											die Hinweise auf die Anwesenheit von Leben
											zulässt.""
											Und ich sagte: ""Wirklich?
											Ist das so einfach?
											Ich meine, wir haben Leben.
											Kann man keine Definition anwenden,
											wie zum Beispiel eine Definition des Lebens vom Obersten Gerichtshofs?""
									","
											Pero hoy les contaré algo más.
											Les contaré
											cómo aprendí algo acerca de la vida.
											En verdad era científico.
											No trabajaba en cohetes,
											pero sí en el Jet Propulsion
											Laboratory (Laboratorio de Propulsión a Chorro)
											en la soleada California donde está templado;
											mientras que ahora estoy en el medio-oeste,
											y hace frío.
											Pero fue una experiencia emocionante.
											Un día un gerente de la NASA entró a mi oficina,
											se sentó y me dijo:
											""¿Podría por favor decirnos
											cómo buscamos vida fuera de la tierra?""
											Y me sorprendió,
											porque me habían contratado
											para trabajar en computación cuántica.
											Sin embargo, tenía una buena respuesta.
											Le dije: ""No tengo idea"".
											Y él me dijo: ""Biomarcadores,
											necesitamos buscar un biomarcador"".
											Le dije: ""¿Qué es eso?""
											Me dijo: ""Es un fenómeno medible
											que nos permite indicar
											la presencia de la vida"".
											Dije: ""¿En serio?
											¿No es así de simple?
											Digo, hay vida.
											¿No se puede aplicar una definición,
											digamos, una definición como de la Suprema Corte de la -Vida-?""
									","
											Mas vou falar-vos sobre outra coisa, hoje.
											Vou falar-vos
											sobre como aprendi algo sobre a vida.
											E eu era mesmo um cientista de foguetões.
											Na verdade, não era
um cientista de foguetões
											mas estava a trabalhar
											no Jet Propulsion Laboratory
											na solarenga California onde faz calor;
											ao passo que agora estou no Midwest,
											e faz frio.
											Mas foi uma experiência entusiasmante.
											Um dia um gestor da NASA
entra no meu escritório,
											senta-se e diz:
											""Pode dizer-nos por favor,
											""como é que procuramos vida
fora da Terra?""
											E isso foi uma surpresa para mim,
											porque eu tinha sido contratado,
realmente,
											para trabalhar em computação quântica.
											No entanto,
eu tinha uma muito boa resposta.
											Disse: ""Não faço ideia.""
											E ele disse-me: ""Bioassinaturas,
											""precisamos de procurar
uma bioassinatura.""
											E eu disse: ""O que é que é isso?""
											E ele disse:
""É qualquer fenómeno mensurável
											""que nos permita indicar
											""a presença de vida.""
											E eu disse: ""A sério?
											""É que, isso é fácil, não é?
											""Quer dizer, temos vida.
											""Não podem aplicar uma definição,
											""por exemplo, uma definição do tipo
das do Supremo Tribunal?""
									","
											Fakat size bugün hakkında bir şeyler den bahsedeceğim.
											Size hayat hakkında
											nasıl bir şey öğrendiğimi anlatacağım.
											Ve aslında füze bilimcisi idim.
											gerçek bir füze bilimcisi değildim,
											fakat çalışıyordum
											jet motoru laborotuvarında
											Sıcağın olduğu bol güneşli California'da
											Oysa şimdi Orta Batı'da yım,
											ve soğuk.
											Ama bu heyecan verici bir deneyim oldu.
											Bir gün bir NASA yöneticisi odama geldi.
											Oturdu ve dedi ki,
											Lütfen bize anlatabilir misin,
											dünya dışında yaşamı nasıl ararız?
											ve bu benim için bir sürpriz oldu,
											Çünkü gerçekten işe alındım.
											kuantum bilgisayarı üzerinde çalışmak için
											Ancak, benim iyi bir cevabım vardı.
											'' Hiçbir fikrim yok '' dedim.
											Ve bana ''Biyosinyatürler,
											bizim biyosinyatürler bulmaya ihtiyacımız var.'' dedi.
											Ve dedim ki, ''O da ne?''
											O '' Bu yaşam belirtisi gösteren
											ölçülebilir
											bir fenomen.
											'' Gerçekten mi?'' dedim.
											Çünkü o kadar kolay değil mi?
											Demek istediğim, bizim bir hayatımız var.
											Bir tanımda bulunabilir misiniz?
											örneğin gibi, Anayasa Mahkemesinin yaşam tanımı gibi mi? ""
									","
											Mais je vais vous parler d'autre chose aujourd’hui.
											Je vais vous raconter
											comment j'ai appris quelque chose à propos de la vie.
											J'étais en fait chercheur en aérospatiale.
											Je n'étais pas vraiment un chercheur en aérospatiale,
											mais je travaillais
											au laboratoire Jet Propulsion [propulsion à réaction]
											en Californie, au chaud et au soleil ;
											alors que maintenant je suis dans le Middle West,
											et il fait froid.
											Mais c'était une expérience enthousiasmante.
											Un jour un responsable de la NASA vient dans mon bureau,
											s'assied et dit :
											""Pouvez-vous s'il-vous-plaît nous dire,
											comment chercher de la vie ailleurs que sur la Terre ?""
											Et ça m'a surpris,
											parce que j'avais été en fait engagé
											pour travailler sur l'informatique quantique.
											Pourtant, j'avais une très bonne réponse.
											J'ai dit : ""Je n'en ai aucune idée.""
											Et il m'a dit : ""Les signatures biologiques,
											nous devons chercher les signatures biologiques.""
											Et j'ai dit : ""Qu'est-ce que c'est ?""
											Et il a dit : ""C'est tout phénomène mesurable
											qui nous permet d'indiquer
											la présence de vie"".
											Et j'ai dit : ""Vraiment ?
											N'est-ce pas un peu facile ?
											Je veux dire, nous avons la vie.
											Ne pouvez-vous pas utiliser une définition,
											par exemple une définition de la vie semblable à celle de la Cour Suprême ?""
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Und dann dachte ich eine Weile darüber nach und sagte:
											""Nun ja, ist das wirklich so einfach?
											Weil, ja, wenn man soetwas sieht,
											dann, ja klar, nenne ich das Leben—
											kein Zweifel.
											Aber hier ist etwas.""
											Und er meinte: ""Eben, das ist auch Leben. Das weiß ich.""
											Außer wenn man daran glaubt, dass Leben
											durch Sterben definiert ist,
											hat man hier kein Glück.
											da dies ein sehr merkwürdiger Organismus ist.
											Er wächst bis zu seiner Erwachsenenzeit so
											und durchschreitet dann eine Benjamin-Button-Phase,
											und entwickelt sich weiter und weiter zurück,
											bis er wieder einem Embryo gleicht,
											und wächst danach wieder, schrumpft dann wieder, wächst wieder — wie ein Jo-Jo—
											und er stirbt niemals.
											Es handelt sich also um Leben,
											aber eben nicht so,
											wie wir es uns vorstellen.
											Und dann sieht man soetwas.
											Und er sagt: ""Oh mein Gott, was für eine Form des Lebens ist das?""
											Weiß es jemand?
											Es ist eigentlich kein Leben, es ist ein Kristall.
									","
											Pensé un poco y dije:
											""Bueno, ¿es realmente así de fácil?
											Porque, sí, si ves algo como esto,
											entonces, bien, lo llamaré vida...
											sin duda.
											Pero aquí hay algo"".
											Y él siguió: ""Bien, eso es vida también. Lo sé"".
											Excepto, que si se piensa que la vida está definida
											también por las cosas que mueren,
											no tienes suerte con esto,
											porque eso es de hecho un organismo muy extraño.
											Crece hasta la etapa adulta
											y luego pasa por una etapa de Benjamin Button,
											y regresa y regresa
											hasta que es como un embrión otra vez,
											y entonces crece otra vez, regresa y crece, como un yo-yo,
											y nunca muere.
											Entonces es, de hecho, vida,
											pero no lo es
											como pensaríamos que sería la vida.
											Y entonces ves algo como esto.
											Él se quedó como: ""Por Dios, ¿qué tipo de forma de vida es esa?""
											¿Alguien sabe?
											De hecho no es vida, es un cristal.
									","
											E então pensei sobre isso
um bocado, e disse:
											""Bem, é mesmo fácil, não?
											""Porque, sim, se virem algo assim,
											""então tudo bem, vamos chamar-lhe vida,
											""não há dúvidas.
											""Mas aqui está uma coisa.""
											E ele diz:
""Certo, isso também é vida. Eu sei.
											""Excepto se pensares que a vida
											""também se define por coisas que morrem,
											""não vais ter sorte com esta coisa,
											""porque, na verdade,
é um organismo muito estranho.
											""Desenvolve-se
até à idade adulta dessa forma
											""e depois passa por uma fase
Benjamin Button,
											""e depois retrocede e retrocede
											""até ser como um embrião de novo,
											""e então desenvolve-se de novo,
e retrocede e desenvolve-se
											""— como um ioiô —
											""e nunca morre.
											""Então, de facto é vida,
											""mas, na realidade, não é
como nós pensávamos que a vida seria.
											""E então vemos algo assim.""
											E ele: ""Meu Deus,
que tipo de forma de vida é essa?""
											Alguém sabe?
											Na verdade, não é vida, é um cristal.
									","
											Ve sonra, biraz düşündüm ve
											""peki, gerçekten bu kadar kolay mı? dedim.
											Çünkü, evet, böyle bir şey görürseniz,
											sonra tamam, bir yaşam olarak adlandıracağım,
											hiç şüphe yok.
											Fakat burada bir şey var''
											Ve gider bu da bir yaşam. Biliyorum.
											Hayatı ölümlü şeylerle tanımlıyorsan
											bu şeyle
											Şanşlı değilsiniz,
											çünkü gerçekten çok garip bir organizma.
											Bu ileri bir aşamaya varır
											ve sonra Benjamin Button'un aşamasına geçer,
											ve gerçekten geriye ve geriye
											yeniden embriyo olana kadar gider
											ve sonra gerçekten geri döner ve
											asla ölmez.
											Bu yüzden gerçek yaşamdır
											ama bizim düşündüğümüz
											gibi gerçek değildir.
											ve sonra bunun gibi şeyler görürsünüz.
											ve O sanki ,''Allah'ım ne tür bir yaşam şekli?''
											kim bilir?
											Sadece bir yaşam değil, bir kristal.
									","
											Alors j'y ai réfléchi un peu, et j'ai dit :
											""Bon, est-ce vraiment si simple ?
											Parce que oui, si vous voyez quelque chose comme ça,
											alors d'accord, je vais appeler ça la vie,
											c'est indubitable.
											Mais voici quelque chose"".
											Et il continue : ""Bien, c'est la vie aussi. Je sais cela"".
											Sauf que si vous pensez que la vie est aussi définie
											par les choses qui meurent,
											pas de chance en ce qui concerne cette chose,
											parce que c'est en fait un organisme très étrange.
											Il grandit jusqu'au stade adulte comme cela
											et passe alors par une phase à la Benjamin Button,
											et régresse en fait encore et encore,
											jusqu'à redevenir un petit embryon,
											et en fait recommence alors à grandir, et à rajeunir encore et grandir, comme une sorte de yo-yo,
											et il ne meurt jamais.
											Donc c'est vraiment de la vie,
											mais en fait ça ne ressemble pas
											à ce nous considérons que devrait être la vie.
											Et alors vous voyez quelque chose comme cela.
											Et il a répondu : ""Mon dieu, quel sorte de forme de vie est-ce ?""
											Quelqu'un sait ?
											Ce n'est pas vraiment de la vie, c'est un cristal.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Wenn man einmal anfängt
											auf die ganz kleinen Sachen zu schauen —
											diese Person hat
											einen ganzen Artikel geschrieben und sagte, ""Hey, das sind Bakterien.""
											Außer, wenn man noch genauer schaut,
											sieht man, dass in Wahrheit dieses Ding, viel zu klein ist, um das zu sein.
											Also er war überzeugt,
											aber tatsächlich sind die meisten Menschen das nicht.
											Und dann natürlich
											hat die NASA auch eine große Ankündigung gemacht
											und Präsident Clinton hat eine Pressekonferenz gegeben,
											über diese unglaubliche Entdeckung
											von Leben auf einem Mars-Meteroiten.
											Nur ist das heutzutage sehr umstritten.
											Wenn man aus all diesen Bildern lernt,
											dann wird man feststellen, dass es eigentlich nicht so einfach ist.
											Vielleicht brauche ich docch
											eine Defintion des Lebens,
											um diese Unterscheidung zu machen.
									","
											Así que una vez que comienzas a observar
											cada vez más pequeñas...
											Esta persona en particular
											escribió un artículo entero y dijo: ""Oye, esas son bacterias"".
											Pero, si no las ves de cerca,
											ves, de hecho, que es demasiado pequeña para ser algo así.
											Entonces quedó convencido,
											pero, de hecho, la mayoría no lo está.
											Y entonces, por supuesto,
											la NASA también tenía un gran anuncio.
											El Presidente Clinton dio una conferencia de prensa,
											acerca de este descubrimiento increíble
											de vida en un meteorito de Marte.
											Hoy en día está en duda.
											Si toman la lección de todas estas imágenes,
											entonces se darán cuenta, bueno, tal vez no sea tan fácil.
											Tal vez se necesita
											una definición de -vida-
											para poder hacer ese tipo de distinción.
									","
											Então, assim que começamos a olhar
											para coisas cada vez mais pequenas
											— esta pessoa, em particular,
											escreveu um artigo inteiro e disse:
""Ei, isto são bactérias.""
											Só que, se olharmos
um pouco mais de perto,
											vemos que isto é pequeno demais
para ser algo assim.
											Ele ficou convencido,
											mas a maioria das pessoas não.
											E depois, é claro,
											a NASA fez também
um grande anúncio público,
											e o Presidente Clinton
deu uma conferência de imprensa,
											sobre esta descoberta espantosa
											de vida num meteorito marciano.
											Só que hoje em dia,
isto é amplamente disputado.
											Se tirarmos a lição
de todas estas imagens,
											então apercebemo-nos — bem, na verdade,
talvez não seja assim tão fácil.
											Talvez eu precise mesmo
											de uma definição de vida
											para poder fazer aquele tipo de distinção.
									","
											Bu yüzden küçük şeylere
											bakmaya başlarsın
											bu yüzden bu özel kişi
											bütün makaleyi yazar ve ''Hey, bunlar bakteridir'' der.
											Gördüğün dışında biraz daha yakından baktıysan gerçekte bu
											bunlar herhangi bir şey olmak için çok küçükler.
											Böylece ikna oldu
											ama gerçekte bir çok kişi olmadı.
											Ve sonra, tabi ki,
											NASA ayrıca büyük bir duyuru yaptı
											ve Başkan Clinton
											Mars gezegeni'nin bu inanılmaz keşfi hakkında
											bir basın toplantısı düzenledi,
											Şu günlerde çok yoğun bir şekilde tartışılıyor.
											Tüm bu resimlerden ders alırsak,
											sonra kolay olmadığının farkına varırız.
											Belki bu tür bir ayrım yapmak için
											hayatı tanımlamaya
											ihtiyacım var.
									","
											Donc une fois que vous avez commencé à chercher et à regarder
											des choses de plus en plus petites -
											cette personne en particulier
											a écrit un article entier et a dit : ""Hé, voici des bactéries"".
											Sauf que si vous regardez d'un peu plus près,
											vous voyez, en fait, que cette chose est bien trop petite pour en être.
											Il était convaincu,
											mais en fait la plupart des gens ne le sont pas.
											Et alors, bien sûr,
											la NASA a fait une grande annonce,
											et le Président Clinton a donné une conférence de presse,
											à propos de cette découverte fascinante
											de vie dans une météorite de Mars.
											Sauf que de nos jours, c'est largement contesté.
											Si vous tirez une leçon de toutes ces photos,
											alors vous vous rendez compte que ce n’est pas si simple en fait.
											Peut-être que j'ai besoin
											d'une définition de la vie
											afin de faire ce genre de distinction.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Kann man Leben definieren?
											Wie würden Sie es angehen?
											Natürlich
											wüde man die Encyclopedia Britannica nehmen und L aufschlagen.
											Nein, natürlich würde man das nicht manchen, man würde es googeln.
											Und dann hat man vielleicht ein Ergebnis.
											Und was man vielleicht bekommt —
											und alles, was sich auf Dinge bezieht, die wir gewohnt sind,
											schmeißt man weg.
											Und dann kommt man vielleicht auf soetwas.
											Und es ist etwas Kompliziertes
											mit sehr vielen Konzepten.
											Wer würde so etwas
											Verschachteltes und Komplexes
											und Sinnloses schreiben?
											Oh, es ist eigentlich ein wirklich bedeutender Konzeptenkomplex.
											Also, ich hebe einige Wörter hervor
											und sage, dass solche Defintionen
											beruhen auf Sachen, die nicht
											auf Aminosäuren oder Blättern basieren,
											oder auf etwas, was wir gewohnt sind,
											sondern in Wahrheit nur auf Prozessen.
											Wenn man sich das anschaut ist,
											ist dies eigentlich in einem Buch, das ich über künstliches Leben geschrieben habe.
											Und das erklärt, warum
											der NASA-Manager überhaupt bei mir im Büro war.
											Weil die Idee war, dass wir mit solchen Konzepten
											wir vielleicht tatsächlich
											eine Form des Lebens herstellen können.
									","
											Entonces, ¿se puede definir la vida?
											Bueno ¿Cómo hacerlo?
											Desde luego,
											vamos a la Enciclopedia Britannica y abrimos en la V.
											No, por supuesto que no hcemos eso; lo bucamos en Google.
											Y encontramos algo.
											Encontraríamos...
											algo refereido a lo que estamos acostumbrados,
											lo descartamos.
											Podría aparecer algo como esto.
											Dice algo complicado,
											con muchos conceptos.
											¿Quién podría escribir algo
											tan enredado, complejo
											y necio?
											Oh, de hecho es una serie de conceptos muy, muy importantes.
											Resalto sólo algunas palabras
											y digo que definiciones como esta
											no están basadas
											en los aminoácidos o las hojas
											ni en nada de lo que estemos acostumbrados,
											sino solamente en procesos.
											Y, si observan,
											esto estaba en un libro que escribí que tiene que ver con vida artificial.
											Y eso explica por qué
											el gerente de la NASA estaba en mi oficina, para empezar.
											Porque la idea era que, con conceptos como este,
											tal vez podríamos hacer
											una forma de vida.
									","
											Então, pode a vida ser definida?
											Bem, como abordariam a questão?
											Bem, é claro,
											iriam à Enciclopédia Britânica,
até à letra V.
											Não, claro que não fariam isso;
iriam antes ao Google.
											E então talvez obtivessem algo.
											E o que talvez obtivessem
											— algo que realmente se referisse
a coisas a que estamos habituados,
											descartávamos.
											E depois talvez chegassem
a algo como isto.
											E isto diz algo complicado
											com montes e montes de conceitos.
											Quem é que, à face da Terra,
											escreveria algo tão retorcido e complexo
											e inepto?
											Oh, trata-se, na verdade, de um conjunto
de conceitos muito, muito importantes.
											Por isso, ao realçar apenas
algumas palavras
											e dizer que definições assim
											dependem de coisas que não se baseiam
											em aminoácidos ou folhas
											ou qualquer coisa
a que estejamos habituados,
											mas apenas em processos.
											E se dermos uma olhadela,
											isto estava num livro que escrevi
que lida com vida artificial
											e que explica porque é que
aquele gestor da NASA
											foi parar ao meu escritório.
											Porque a ideia era que,
com conceitos destes,
											talvez possamos, de facto, fabricar
uma forma de vida.
									","
											Hayatı tanımlayabilir miyiz?
											Peki bunun hakkında ne dersin?
											Şey tabi ki
											Britanica ansiklobedisini alcaktın ve L. yi açacaktın.
											Hayır tabikide yapma bunu; google a yaz bir şeyler.
											Ve sonra belki bir şey elde edersiniz.
											Ve ne elde edersiniz
											ve size attığımız şeyleri gerçekten refer eden
											her şey.
											Ve sonra size böyle şeyler gelebilir.
											Ve bazı şeylerin bir çok kavramla beraber
											karmaşık olduğunu söylüyor.
											Dünya da kim
											karmasık ve anlamsız bir şey
											yazabilir?
											Ov gerçekten önemli kavramlar
											Bu yüzden bir kaç kelimeyle vurguluyorum
											ve amino asit yada yapraklar
											aslında sadece süreç içinde kullanığımız
											herhangi bir şeyin
											tanımını
											veriyorum.
											Ve bir göz atın,
											Bu yazdığım yapay bir yaşamla uzlaşan kitabımda ki idi.
											Ve niçin Nasa yöneticisinin benim ofisimde
											olduğunu açıklar.
											Çünkü düşünce bunun gibi kavramlarlaydı,
											belki gerçekten yeni bir yaşam biçimi
											oluşturabiliriz.
									","
											Donc est-ce que la vie peut-être définie ?
											Eh bien, comment feriez-vous ?
											Bien sûr,
											vous iriez ouvrir l'""Encyclopedia Britannica"" à la lettre L.
											Non bien sûr, vous ne feriez pas cela ; vous le taperiez dans Google.
											Et alors vous pourriez obtenir quelque chose.
											Et ce que vous pourriez obtenir -
											tout ce qui se réfère aux choses auxquelles nous sommes habitués,
											vous le jetez.
											Alors vous pourriez finir avec quelque chose comme ceci.
											Et ça dit quelque chose de compliqué
											avec tout plein de concepts.
											Qui donc écrirait quelque chose
											d'aussi alambiqué et complexe
											et stupide ?
											Oh, c'est en fait un ensemble de concepts vraiment très importants.
											Donc, je surligne juste quelques mots
											et affirme que de telles définitions
											ne reposent pas sur
											des acides aminés or des feuilles,
											ou quoi que ce soit d'habituel pour nous,
											mais repose en fait seulement sur des processus.
											Et si vous y jetez un œil,
											c'était en fait dans un livre que j'ai publié à propos de la vie artificielle.
											Et cela explique pourquoi
											le responsable de la NASA était dans mon bureau pour commencer.
											Parce que l'idée était que, avec des concepts comme ceux-là,
											nous pouvons peut-être réellement fabriquer
											une forme de vie.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
