en,tr,pt,fr,es,de,title,speaker,duration,tags
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											I'm an artist.
											Being an artist
is the greatest job there is.
											And I really pity
each and every one of you
											who has to spend your days
discovering new galaxies
											or saving humanity from global warming.
									","
											Ben bir ressamım.
											Ressam olmak dünyanın en güzel mesleği.
											Günlerini yeni galaksileri keşfetmeye
											ve insanoğlunu küresel ısınmadan
kurtarmaya çalışarak geçiren
											her birinize acıyorum.
									","
											Sou um artista.
											Ser artista, é o melhor trabalho
que existe.
											Tenho pena de cada um de vocês,
											que gastaram os vossos dias 
a descobrir novas galáxias
											ou a salvar a humanidade contra
o aquecimento global.
									","
											Je suis artiste
											Être artiste, 
c'est le meilleur emploi qu'il existe.
											Et j'ai vraiment pitié pour vous tous
											qui passez vos jours
en découvrant des galaxies nouvelles
											ou en sauvant l'humanité
du réchauffement climatique.
									","
											Soy artista.
											Ser artista es el mejor trabajo.
											Uds. realmente me dan pena
											porque tienen que pasar todo el día
descubriendo galaxias
											o salvando la humanidad
del calentamiento global.
									","
											Ich bin Künstler.
											Künstler zu sein, ist
der beste Beruf überhaupt.
											Ich bemitleide jeden einzelnen von Ihnen,
											der seine Tage damit verbringen muss,
neue Galaxien zu entdecken
											oder die Menschheit vor
der Erderwärmung zu retten.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											But being an artist
is also a daunting job.
											I spend every day,
from nine to six, doing this.
									","
											Ama ressam olmak ayrıca cesurca bir iş.
											Ben her gün sabah dokuzdan
akşam altıya kadar böyleyim.
									","
											Mas, ser artista também é
um trabalho desanimador.
											Passo todos os dias,
das nove às seis, a fazer isto.
									","
											Mais être artiste
est aussi un travail intimidant.
											Je passe tous les jours de neuf heures
à six heures, en faisant ceci.
									","
											Pero ser artista es también
un trabajo difícil.
											Todos los días, de nueve a seis, 
me la paso haciendo esto.
									","
											Künstler zu sein, ist auch
ein entmutigender Beruf.
											Ich verbringe jeden Tag
von 9 bis 18 Uhr damit.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											I even started a side career
that consists entirely
											of complaining about the difficulty
of the creative process.
									","
											Hatta yaratıcı sürecin
zorluğundan şikayet etmek
											ikinci mesleğim hâline geldi.
									","
											Até comecei uma carreira paralela
que consistia inteiramente
											numa reclamação sobre a dificuldade
do processo criativo.
									","
											J'ai même commencé une activité secondaire
qui consiste entièrement
											à se plaindre de la difficulté
du processus de création.
									","
											Incluso comencé otra carrera
que consiste únicamente
											en quejarme sobre las dificultades
del proceso creativo.
									","
											Ich begann sogar einen Nebenberuf,
der einzig und allein darin besteht,
											sich über die Schwierigkeiten
											des kreativen Prozesses zu beschweren.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											But today, I don't want to talk
about what makes my life difficult.
											I want to talk about what makes it easy.
											And that is you —
											and the fact that
you are fluent in a language
											that you're probably not even aware of.
											You're fluent in the language
of reading images.
											Deciphering an image like that
											takes quite a bit
of an intellectual effort.
											But nobody ever taught you how this works,
											you just know it.
									","
											Ama bugün hayatımı zorlaştıran
şeylerden konuşmak istemiyorum.
											Kolaylaştıran şeylerden
konuşmak istiyorum.
											Bu da öncelikle siz
											ve muhtemelen farkında bile olmadan
											bir dili çok iyi konuştuğunuz gerçeği.
											Bu görselleri anlama dilini
çok iyi konuşuyorsunuz.
											Böyle bir görseli deşifre etmek
											bir hayli zihinsel çaba gerektiriyor.
											Ama bunun nasıl olduğunu
kimse size öğretmedi.
											Yine de biliyorsunuz.
									","
											Mas hoje, não quero falar sobre 
o que torna a minha vida difícil.
											Mas sobre o que a torna fácil.
											São vocês
											e o facto de serem fluentes
numa linguagem,
											algo de que, provavelmente,
nem se aperceberam.
											Vocês são fluentes na linguagem
de ler imagens.
											Decifrar imagens como esta,
											exige algum esforço intelectual.
											Mas nunca vos ensinaram 
como é que isso funciona,
											vocês sabem, simplesmente.
									","
											Mais aujourd'hui, je ne veux pas
parler de ce qui me rend la vie dure.
											Je veux parler de ce qui la rend facile.
											Et c'est vous
											et le fait que vous comprenez une langue
											sans même en être conscient.
											Vous lisez couramment
la langue des images.
											Déchiffrer une telle image
											demande un certain effort intellectuel.
											Personne ne vous a jamais
enseigné comment faire
											mais vous le faites, tout simplement.
									","
											Pero hoy no quiero hablarles 
sobre lo que hace mi vida difícil.
											Quiero hablarles sobre
lo que la hace fácil.
											Y son Uds.
											y el hecho de que hay un idioma
que Uds. conocen muy bien,
											pero que no son conscientes de ello.
											Uds. pueden leer fluidamente
la lengua de las imágenes.
											Descifrar una imagen como esta
											requiere un poco de esfuerzo intelectual.
											Pero nadie se lo enseñó,
											solo lo saben.
									","
											Aber heute will ich nicht darüber reden, 
was mein Leben schwer macht.
											Ich will über das reden,
was mein Leben erleichtert.
											Und das sind Sie
											und die Tatsache, dass Sie
eine Sprache fließend beherrschen,
											ohne es zu merken.
											Sie beherrschend die Sprache
des Bilderlesens fließend.
											Ein Bild wie dies zu entziffern
											beansprucht doch einige
intellektuelle Anstrengungen.
											Niemand aber hat Ihnen beigebracht,
wie das funktioniert,
											Sie wissen es einfach.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
