en,tr,es,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
"
											How many of you are tired
											of seeing celebrities adopting kids
from the African continent?
									","
											Söylesenize kaçınız ünlülerin
											Afrika kıtasından çocuk evlat edinmelerini
görmekten sıkıldı.
									","
											¿Cuántos de Uds. están cansados
											de ver celebridades
adoptando niños de África?
									","
											Combien d'entre vous en ont marre
											de voir des célébrités adopter des enfants
venant du continent africain ?
									","
											Quantos de vocês estão fartos
											de ver celebridades a adotar
crianças de África?
									",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
"
","
","
","
","
",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
"
","
","
","
","
",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
"
											Well, it's not all that bad.
											I was adopted.
											I grew up in rural Uganda,
											lost both my parents
when I was very, very young.
											And when my parents passed,
											I experienced all the negative
effects of poverty,
											from homelessness,
											eating out of trash piles,
											you name it.
									","
											Göründüğü kadar kötü değil.
											Ben de evlat edinildim.
											Uganda'nın kırsalında büyüdüm,
											çok genç yaşlardayken 
ailemi kaybettim.
											Ailemi kaybettikten sonra,
											yoksulluğun bütün 
negatif etkilerini yaşadım,
											evsizlikten,
											çöp yığınlarından beslenmeye kadar,
											daha pek çok şey.
									","
											No es del todo malo.
											Yo fui adoptado.
											Crecí en los campos de Uganda,
											perdí a mis padres
cuando era muy, muy joven.
											Cuando mis padres fallecieron,
											viví todos los aspectos
negativos de la pobreza,
											desde no tener hogar
y comer restos de basura
											hasta lo que imaginen.
									","
											Ce n'est pas si mauvais.
											J'ai été adopté.
											J'ai grandi dans la campagne ougandaise,
											j'ai perdu mes deux parents
quand j'étais très, très jeune.
											Quand mes parents sont décédés,
											j'ai connu tous les effets
négatifs de la pauvreté,
											de l'itinérance
											à la nourriture tirée d'un tas d'ordures,
											tout ce que vous voulez.
									","
											Bem, não é assim tão mau.
											Eu fui adotado.
											Cresci na parte rural do Uganda,
											perdi os meus pais demasiado novo.
											E quando os meus pais morreram,
											experienciei todos os efeitos
negativos da pobreza,
											desde ficar sem casa,
											comer do lixo,
											e tudo mais.
									",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
"
","
","
","
","
",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
"
											But my life changed
											when I got accepted into an orphanage.
											Through one of those
sponsor-an-orphan programs,
											I was sponsored and given an opportunity
to acquire an education.
											I started off in Uganda.
											I went through school, and the way
this particular program worked,
											you finished high school
and after high school,
											you go learn a trade —
to become a carpenter, a mechanic
											or something along those lines.
									","
											Fakat hayatım
											yetimhaneye kabul edildiğimde değişti.
											Eğitimimi tamamlayabilmem için,
—bir yetime sponsor ol— eğitim
											programlarının biri tarafından bir fırsat
sunuldu ve desteklendim.
											Uganda'da başladım.
											Okula gittim ve bu programın
çalışma şekli şöyle,
											liseyi bitiriyorsunuz ve liseden sonra,
											bir zanaat öğrenmelisiniz —
marangozluk, tamircilik
											ya da bu tarz bir şey olabilir.
									","
											Pero mi vida cambió cuando
me aceptaron en un orfanato.
											A través de un programa
de apadrinar a un huérfano
											fui apadrinado para recibir educación.
											Comencé en Uganda.
											Fui a la escuela.
											Y según a las reglas
de este programa en particular,
											después de terminar la secundaria
											hay que aprender una profesión:
carpintería, mecánica o algo similar.
									","
											Mais ma vie a changé
											quand j'ai été accepté dans un orphelinat.
											Via l'un de ces programmes
de parrainage d'un orphelin,
											j'ai été parrainé et on m'a offert
l'opportunité d'accéder à une éducation.
											J'ai commencé en Ouganda.
											Je suis allé à l'école et la façon
dont ce programme fonctionnait
											était qu'après avoir fini le lycée,
											vous appreniez un métier
pour devenir charpentier, mécanicien
											ou quelque chose comme ça.
									","
											Mas a minha vida mudou
											quando fui aceite num orfanato.
											Através de um desses programas 
de apoio a órfãos,
											fui apadrinhado e tive a oportunidade 
de ter uma educação.
											Comecei no Uganda.
											Fui para a escola e, da forma que este 
particular programa funcionava,
											quando se acaba o ensino secundário
											aprende-se um ofício
— de carpinteiro, mecânico
											ou algo do género.
									",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
"
","
","
","
","
",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
"
											My case was a little different.
											The sponsor family that was sending
these 25 dollars a month
											to this orphanage to sponsor me,
											which — I had never met them —
											said, ""Well ...
											we would like to send you
to college instead.""
											Oh — it gets better.
									","
											Benim olayım birazcık farklıydı.
											Sponsor aile aylık 25 doları
bu organizasyona
											beni desteklemesi için yolluyordu.
											-ki hiç tanışmadım onlarla-
											bu aile bana,
											""Seni üniversiteye 
yollamak istiyoruz."" dedi.
											Tamam, daha iyi.
									","
											Mi caso fue un poco diferente.
											La familia patrocinadora,
											que enviaba los 25 dólares al mes
al orfanato para apadrinarme
											y a quienes nunca había conocido,
											dijo: ""Bueno...
											en vez de eso queremos
enviarte a la universidad"".
											Esto se pone mejor.
									","
											Mon cas était un peu différent.
											La famille marraine qui envoyait
ces 25 dollars par mois
											à cet orphelinat pour me parrainer,
											que je n'avais jamais rencontrée,
											a dit : « Eh bien...
											Nous aimerions que tu ailles
plutôt à l'université. »
											Oh — il y a mieux.
									","
											O meu caso foi diferente.
											A família que enviava 
25 dólares mensais
											para este orfanato, para me ajudar,
											e que eu nunca conheci,
											disse: ""Bem...
											""queremos enviar-te
para a universidade.""
											Oh, e fica melhor.
									",How adoption worked for me,Christopher Ategeka,7:57,"TED Fellows,Africa,children,family,parenting,humanity,personal growth,society"
