en,tr,es,pt,fr,title,speaker,duration,tags
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											I'm an historian.
											And what I love about being an historian
is it gives you perspective.
									","
											Ben bir tarihçiyim.
											Ve tarihçi olmanın sevdiğim yönü
size bir bakış açısı kazandırması.
									","
											Soy historiadora.
											Y lo que me encanta de ser historiadora
es la perspectiva que te da.
									","
											Sou historiadora
											e adoro ser historiadora
porque nos dá perspetiva.
									","
											Je suis une historienne.
											Ce que j'aime dans le fait
d'être historienne,
											c'est que cela met les choses
en perspective.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											Today, I'd like to bring that perspective
to education in the United States.
											About the only thing people can agree on
											is that the most strategic time
for a child to start learning
											is early.
											Over 50 years ago,
											there was a watershed moment
in early education in the US
											called ""Head Start.""
											Now, historians love watersheds
											because it makes it so easy
to talk about what came before
											and what's happened since.
											Before Head Start, basically nothing.
											With Head Start,
											we began to get our nation's
most at-risk children ready for school.
									","
											Bugün, ABD'nin eğitimine yeni
bir bakış açısı getirmek istiyorum.
											Herkes şunu bilir ki,
											bir çocuğun öğrenmesindeki en kritik
zamanlar erken çağlardır.
											Elli yıl kadar önce,
											ABD'de okul öncesi eğitim sisteminde ""Head
Start"" adında bir dönüm noktası yaşandı.
											Tarihçiler dönüm noktalarını severler
											çünkü bu, öncesi ve sonrası hakkında
konuşmayı kolaylaştırır.
											Head Start'dan önce,
kısaca hiçbir şey yoktu.
											Head Start'la birlikte,
											ülkemizin en fazla risk altındaki
çocuklarını okula hazırlamaya başladık.
									","
											Quisiera traer esa perspectiva
a la educación en EE. UU.
											Una de las pocas cosas
en las que podemos coincidir
											es que, estratégicamente, el mejor momento
para que un niño comience su aprendizaje
											es a temprana edad.
											Hace más de 50 años,
											hubo un punto de inflexión
en la educación preescolar en EE. UU,
											llamado ""Head Start"".
											A los historiadores nos encantan 
estos momentos
											porque facilitan mucho
el hablar sobre lo que había antes
											y lo que sucedió desde entonces.
											Antes de ""Head Start"",
básicamente no había nada.
											Con ""Head Start"",
											empezamos a preparar escolarmente
a nuestros niños más necesitados.
									","
											Hoje gostava de dar essa perspetiva
ao ensino nos EUA.
											A única coisa com que todas
as pessoas estão de acordo
											é que a altura mais estratégica
de uma criança começar a aprender
											é quanto mais cedo melhor.
											Há mais de 50 anos,
											houve um ponto de viragem
no ensino infantil, nos EUA,
											chamado ""Head Start"".
											Os historiadores adoram pontos de viragem
											porque torna fácil falar
sobre o que existia antes
											e do que aconteceu depois,
											Antes do Head Start, praticamente nada.
											Com o Head Start,
											começámos a preparar para a escola
as nossas crianças de maior risco.
									","
											Aujourd'hui, j'aimerais
mettre les choses en perspective
											concernant l'éducation aux États-Unis.
											La seule chose sur laquelle
les gens peuvent s'accorder,
											c'est que le moment le plus stratégique
pour qu'un enfant commence à apprendre
											est jeune.
											Il y a plus de 50 ans,
											il y a eu un moment décisif
											dans l'éducation préscolaire
aux États-Unis
											appelé « Head Start ».
											Les historiens adorent
les moments décisifs
											car il est si facile de parler
de ce qui est venu avant
											et de ce qu'il s'est passé depuis.
											Avant Head Start, il n'y a
globalement rien eu.
											Avec Head Start,
											nous avons commencé
à préparer pour l'école
											les enfants les plus à risque
de notre nation.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											Since Head Start, we've made strides,
											but there are still
2.2 million children in the US
											without access to early learning,
											or more than half of
the four-year-olds in the country.
											That's a problem.
											But the bigger problem is what we know
happens to those children.
											At-risk children who reach school
without basic skills
											are 25 percent more likely to drop out,
											40 percent more likely
to become teen parents
											and 60 percent less likely
to go to college.
									","
											Head Start'la birlikte gelişmeler yaşadık
											ama hâlâ okul öncesi eğitime erişimi
olmayan 2,2 milyon çocuk bulunuyor
											veya ülkedeki 4 yaşındaki
çocukların yarısından fazlası.
											Bu bir sorun.
											Ama daha büyük bir sorun, bu çocuklara
bildiğimiz kadarıyla ne olduğu.
											Temel becerileri kazanmadan okula
gelen risk altındaki çocukların
											okulu bırakması %25,
											erken yaşta ebeveyn olması %40
											ve üniversiteye gidememesi %60 daha olası.
									","
											Desde que existe ""Head Start"",
hemos avanzado muchísimo,
											pero aún hay 2,2 millones
de niños en EE. UU.
											sin acceso a la educación preescolar,
											es decir, más de la mitad de los niños
de cuatro años en el país.
											Esto es un problema.
											Pero el mayor problema
es lo que sucede con esos niños.
											Los niños que llegan a la escuela
sin ciertas habilidades básicas
											tienen un 25 % más 
de probabilidad de abandonar,
											40 % más de convertirse
en padres en la adolescencia
											y 60 % menos de ir a una universidad.
									","
											A partir do Head Start,
fizemos progressos,
											mas ainda há 2,2 milhões
de crianças nos EUA
											sem acesso à aprendizagem pré-escolar,
											ou seja, mais de metade das crianças
de quatro anos no país.
											Isto é um problema.
											Mas o problema maior é o que sabemos
que acontece a essas crianças.
											As crianças em risco que chegam à escola
sem as competências básicas
											têm mais 25% de hipóteses de desistirem,
											mais 40% de probabilidades
de serem pais adolescentes
											e menos 60% de probabilidades
de chegarem à faculdade.
									","
											Depuis Head Start,
nous avons fait de grands progrès,
											mais il y a encore aux États-Unis
2,2 millions d'enfants
											sans accès à l'apprentissage,
											ou plus de la moitié
des enfants de quatre ans du pays.
											C'est un problème.
											Mais le plus gros problème,
											c'est que nous savons
ce qui arrive à ces enfants.
											Les enfants à risque arrivant à l'école
sans les compétences élémentaires
											ont 25% de risques de plus
d'abandonner l'école,
											40% de risques de plus
de devenir parents durant l'adolescence
											et 60% de chances de moins
d'aller à l'université.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											So if we know how important
early education is,
											why aren't all children getting it?
											There are barriers that the solutions
we've come up with to date
											simply can't overcome.
											Geography: think rural and remote.
											Transportation: think
working parents everywhere.
											Parent choice: no state requires
a four-year-old to go to school.
											And cost: the average cost for a state
to educate a preschooler
											is five thousand dollars a year.
									","
											Eğer erken eğitimin bu kadar
önemli olduğunu biliyorsak
											neden her çocuk eğitim alamıyor?
											Bugüne kadar bulduğumuz çözümlerin
geçemediği engeller var.
											Coğrafya; kırsalı ve uzakları düşünün.
											Ulaşım; her yerde çalışan
ebeveynleri düşünün.
											Ebeveyn seçimi; hiçbir eyalette dört yaş
için okul zorunlu değil.
											Ve fiyat; okul öncesi eğitimin eyaletlere
göre ortalama fiyatı yılda beş bin dolar.
									","
											Si conocemos la importancia
de la educación preescolar,
											¿por qué no se la damos a todos?
											Existen barreras que las soluciones
propuestas hasta el día de hoy
											no pueden superar.
											Geográficamente: piensen
en lo rural y alejado.
											En cuanto al transporte: piensen
en los padres que trabajan.
											Decisiones parentales: ningún Estado
obliga a un niño de 4 a ir a la escuela.
											En cuanto a los costos: el promedio
para un estudiante de preescolar
											es de 5000 dólares al año.
									","
											Portanto, se sabemos a importância
do ensino pré-escolar,
											porque é que nem todas as crianças
beneficiam dela?
											Há barreiras que as soluções
que arranjámos até hoje
											não conseguem ultrapassar.
											Geográficas: pensem nos locais
rurais e distantes.
											Transportes: pensem em pais
trabalhadores por toda a parte.
											Opções dos pais:
											nenhum estado exige que as crianças
de quatro anos frequentem a escola.
											E custos: o custo médio para um estado
assegurar o ensino pré-escolar
											é de 5000 dólares por ano.
									","
											Si nous savons combien
l'éducation préscolaire importe,
											pourquoi est-ce que tous les enfants
n'en bénéficient pas ?
											Il y a des obstacles que les solutions
que nous avons trouvées jusqu'ici
											ne peuvent pas surmonter.
											La géographie : pensez rural et isolé.
											Les transports : pensez
aux parents actifs partout.
											Le choix des parents :
											aucun État n'exige qu'un enfant
de quatre ans aille à l'école.
											Et le coût : le coût moyen pour qu'un État
éduque un enfant d'âge préscolaire
											est 5 000 dollars par an.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											So am I just going
to keep talking about problems?
											No.
											Today, I want to tell you about
a cost-effective, technology-delivered,
											kindergarten-readiness program
that can be done in the home.
											It's called UPSTART,
											and more than 60,000 preschoolers
in the US have already used it.
									","
											Problemler hakkında konuşmaya
devam mı edeceğim?
											Hayır.
											Bugün size uygun fiyatlı, teknolojiyle
erişilen, anaokuluna hazırlayan
											ve evde yapılan bir
programdan bahsedeceğim.
											İsmi UPSTART
											ve ABD'de 60 binden fazla okul öncesi
öğrencisi bu programı kullandı.
									","
											¿Solo hablaré de los problemas?
											No.
											Hoy quiero hablarles de un programa 
de bajo costo y tecnológico
											que prepara para el jardín de infancia
y puede realizarse en el hogar.
											Se llama ""UPSTART"",
											y más de 60 000 niños
ya lo han usado en EE. UU.
									","
											Portanto, vou continuar a falar
destes problemas?
											Não.
											Hoje quero falar dum programa
de ensino pré-escolar,
											que usa a tecnologia,
com um bom custo-efeito
											que pode ser feito em casa.
											Chama-se UPSTART.
									","
											Vais-je continuer à parler de problèmes ?
											Non.
											Aujourd'hui, je veux vous parler
d'un programme peu cher et technologique
											de préparation à la grande section
pouvant être suivi chez soi.
											Il s'appelle UPSTART
											et plus de 60 000 enfants
d'âge préscolaire l'ont déjà utilisé.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											Now, I know what you might be thinking:
											here's another person throwing tech
at a national problem.
											And you'd be partially right.
											We develop early learning software
designed to individualize instruction,
											so children can learn at their own pace.
											To do that, we rely on experts from fields
ranging from reading to sociology
											to brain science development
to all aspects of early learning,
											to tell us what the software
should do and look like.
									","
											Muhtemelen şöyle düşünüyorsunuzdur,
											işte başka bir kişi teknolojiyle ulusal
bir problemi çözmeye çalışıyor.
											Ve biraz haklı olabilirsiniz.
											Çocuklar kendi hızlarında öğrenebilsinler
diye yönergeleri bireyselleştiren
											bir erken eğitim yazılımı tasarlıyoruz.
											Bunun için, yazılımın ne yapması
ve nasıl görünmesi konusunda
											okumadan sosyolojiye, beyin gelişiminden
okul öncesi eğitimin tüm yönlerine kadar
											birçok alanda uzmanlara danışıyoruz.
									","
											Sé lo que estarán pensando:
											una persona más resolviendo
un problema nacional con tecnología.
											Y, en cierta medida, tienen razón.
											Creamos un software de educación infantil
diseñado para individualizar las lecciones
											de manera que los niños
aprendan a su propio ritmo.
											Para lograrlo, consultamos a expertos
que van desde la lectura o la sociología
											hasta el desarrollo del cerebro
y todos los aspectos de esta educación
											para que nos dijeran qué hacer
y qué aspecto debe tener el software.
									","
											Já foi usado nos EUA, por mais
de 60 000 crianças do pré-escolar.
											Sei que podem estar a pensar:
											""Esta é mais uma pessoa a introduzir
a tecnologia num problema nacional"".
											E, em parte, têm razão.
											Desenvolvemos um ""software""
de aprendizagem
											destinado para ensino individualizado,
											para as crianças podem aprender
ao seu próprio ritmo.
											Para isso, reunimos especialistas
de áreas, desde a leitura à sociologia,
											ao desenvolvimento da ciência cerebral
											a todos os aspetos da aprendizagem inicial
									","
											Je sais ce que vous pourriez penser :
											voici une autre personne
											proposant de la technologie
pour un problème national.
											Et vous auriez partiellement raison.
											Nous développons
un logiciel d'apprentissage
											conçu pour individualiser l'enseignement
											pour que les enfants puissent
apprendre à leur rythme.
											Pour ce faire, nous nous en remettons
à des experts de différents domaines
											allant de la lecture à la sociologie
											à la science du développement cérébral
et à tous les aspects de l'apprentissage,
											pour nous dire
ce que le logiciel devrait faire
											et à quoi il devrait ressembler.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											Here's an example.
									","
											Örneğin,
									","
											Les doy un ejemplo.
									","
											que nos disseram o que o ""software""
devia fazer e como devia ser.
									","
											Voici un exemple.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
