en,es,pt,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
"
											When you're a child,
											anything and everything is possible.
											The challenge, so often,
is hanging on to that as we grow up.
											And as a four-year-old,
											I had the opportunity
to sail for the first time.
									","
											Cuando uno es niño,
											absolutamente todo es posible.
											El reto, tantas veces, es continuar así
a medida que crecemos.
											Y con cuatro años de edad,
											yo tuve la oportunidad
de navegar por primera vez.
									","
											Quando somos crianças,
											tudo é possível.
											Frequentemente, o difícil
é manter esse sentimento quando crescemos.
											Quando eu tinha quatro anos,
											tive a oportunidade de navegar
pela primeira vez.
									","
											Lorsque l'on est enfant,
											absolument tout est possible.
											Le défi est, bien souvent, de conserver 
ce sentiment en grandissant.
											Lorsque j'avais quatre ans,
											j'ai eu l'opportunité de naviguer 
pour la première fois.
									","
											Çocukken,
											her şey mümkündür.
											Zorluklar, sık sık, 
biz büyüdükçe ortaya çıkar.

											Dört yaşındayken,
											ilk kez denize 
açılma fırsatım oldu.
									","
											Wenn man ein Kind ist,
											dann ist wirklich alles möglich.
											Schwierig ist oft, weiter dran zu glauben,
wenn wir aufwachsen.
											Als ich vier Jahre alt war,
											hatte ich zum ersten Mal
die Gelegenheit zu segeln.
									",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
"
","
","
","
","
","
",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
"
											I will never forget
the excitement as we closed the coast.
											I will never forget
											the feeling of adventure
as I climbed on board the boat
											and stared into her tiny cabin
for the first time.
											But the most amazing feeling
was the feeling of freedom,
											the feeling that I felt
when we hoisted her sails.
											As a four-year-old child,
											it was the greatest sense of freedom
that I could ever imagine.
											I made my mind up there and then
that one day, somehow,
											I was going to sail around the world.
									","
											Nunca me olvidaré de la emoción
cuando nos acercábamos a la costa.
											Nunca me olvidaré
											del sentimiento de aventura
cuando subía a bordo del barco
											y miraba su pequeña cabina
por primera vez.
											Pero el sentimiento más increíble
era el sentimiento de libertad,
											lo que sentí
cuando izamos sus velas.
											Para una niña de cuatro años,
											fue la mayor sensación de libertad
que podría haberme imaginado.
											En ese momento decidí 
que algún día, de alguna manera,
											yo navegaría alrededor del mundo.
									","
											Jamais esquecerei a emoção 
de me aproximar da costa.
											Jamais esquecerei
											a sensação de aventura
quando entrei no barco
											e observei a pequena cabina
pela primeira vez.
											Mas a sensação mais incrível 
foi a sensação de liberdade,
											o que senti quando içámos as velas.
											Para uma criança de quatro anos,
											foi a maior sensação de liberdade 
que eu podia imaginar.
											Nessa altura, decidi que, um dia, 
fosse como fosse,
											eu iria dar a volta ao mundo
num barco à vela.
									","
											Je n'oublierai jamais l'excitation 
lorsque nous avons quitté la côte.
											Je n'oublierai jamais
											la sensation d'aventure 
lorsque je suis montée à bord du bateau
											et ai regardé avidement sa petite 
cabine pour la première fois.
											Mais la sensation la plus incroyable 
a été la sensation de liberté,
											la sensation que j'ai éprouvée
lorsque nous avons mis les voiles.
											Pour une enfant de quatre ans,
											c'était la plus grande 
sensation de liberté
											que j'aurais jamais pu imaginer.
											Là-bas, j'ai décidé qu'un jour, 
d'une façon ou d'une autre,
											j'allais naviguer autour du monde.
									","
											Kıyıya yaklaştığımızdaki heyecanımı 
hiç bir zaman unutmayacağım.
											İlk kez bota çıktığım
											ve küçük kamaraya 
bakakaldığım andaki macera hissini
											hiçbir zaman unutmayacağım.
											Fakat en inanılmaz duygu
özgürlük duygusuydu,

											onun yelkenlerini açtığımızdaki
hissettiğim duygu.

											Dört yaşındaki bir çocuk olarak,
											bu, hayal edebileceğim en 
büyük özgürlük hissiydi.
											Orada kararımı verdim
ve bir gün, bir şekilde
											dünyanın etrafını yelkenli 
ile dolaşacaktım.
									","
											Nie werde ich vergessen, wie aufregend
es war, zur Küste zu kommen.
											Nie werde ich dieses Gefühl
von Abenteuer vergessen,
											das ich verspürte,
als ich an Bord kletterte
											und zum ersten Mal
in die kleine Kajüte starrte.
											Am erstaunlichsten aber
war dieses Gefühl von Freiheit,
											das ich verspürte,
als wir die Segel hissten.
											Für mich als 4-jähriges Kind
											war dies das größte Gefühl von Freiheit,
das ich mir vorstellen konnte.
											Damals beschloss ich, 
dass ich eines Tages
											um die Welt segeln würde.
									",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
"
","
","
","
","
","
",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
"
											So I did what I could in my life
to get closer to that dream.
											Age 10, it was saving my school
dinner money change.
											Every single day for eight years,
I had mashed potato and baked beans,
											which cost 4p each, and gravy was free.
											Every day I would pile up the change
on the top of my money box,
											and when that pile reached a pound,
I would drop it in
											and cross off one of the 100 squares
I'd drawn on a piece of paper.
											Finally, I bought a tiny dinghy.
											I spent hours sitting on it in the garden
dreaming of my goal.
											I read every book I could on sailing,
											and then eventually,
having been told by my school
											I wasn't clever enough to be a vet,
											left school age 17 to begin
my apprenticeship in sailing.
									","
											E hice lo que pude en mi vida
para alcanzar ese sueño.
											Con 10 años, yo ahorraba
mi suelto de la cena escolar.
											Cada día durante ocho años,
comía puré y judías,
											que costaban cuatro peniques,
y la salsa era gratuita.
											Todos los días apilaba el suelto
encima de mi alcancía,
											y cuando la pila sumaba una libra,
la metía
											y tachaba uno de los 100 cuadrados
que yo había dibujado en un papel.
											Finalmente, me compré un botecito.
											Me pasé horas sentada en él en el jardín
soñando con mi objetivo.
											Leí todo lo que pude sobre navegación,
											hasta que, cuando 
me dijeron en la escuela
											que no era lo bastante lista 
para ser veterinaria,
											abandoné la escuela con 17 años
para empezar mi aprendizaje en navegación.
									","
											Assim, fiz o que pude na vida
para chegar perto desse sonho.
											Aos 10 anos, economizava
os trocos do almoço na escola.
											Todos os dias, durante oito anos
comi puré de batata e feijão
											que custavam 4 cêntimos, 
e o molho era de graça.
											Todos os dias eu empilhava os trocos
em cima do meu mealheiro
											e, quando aquela pilha somava uma libra,
guardava-os lá dentro
											e riscava um dos 100 quadrados
que tinha desenhado num papel.
											Por fim, comprei um pequeno bote.
											Passava horas sentada nele, no quintal, 
a sonhar com o meu objetivo.
											Li todos os livros que podia
sobre a navegação à vela.
											Por fim, quando a escola disse
											que eu não tinha inteligência suficiente
para ser veterinária,
											abandonei a escola aos 17 anos,
para começar a aprender a velejar.
									","
											Alors j'ai fait ce que j'ai pu
pour me rapprocher de ce rêve.
											À 10 ans, c'était économiser 
la monnaie de l'argent de la cantine.
											Chaque jour pendant huit ans,
je mangeais de la purée et des haricots,
											qui coûtaient 4 pence chacun, 
et la sauce était gratuite.
											Chaque jour, j'empilais 
la monnaie sur ma tirelire,
											et quand cette pile faisait 1 livre,
je la mettais dedans,
											et cochais l'un des cents carrés
											que j'avais dessinés 
sur une feuille de papier.
											Enfin, j'ai acheté un tout petit canot.
											Dans le jardin j'ai passé des heures 
dedans, m'imaginant réaliser mon rêve.
											J'ai lu chaque livre 
que j'ai pu sur la voile,
											puis, alors que mon école m'avait dit
											que je n'étais pas assez 
intelligente pour être vétérinaire,
											j'ai quitté l'école à 17 ans
											pour commencer 
mon apprentissage de la voile.
									","
											Bu hayale ulaşmak için hayatım boyunca 
elimden geldiği kadarını yaptım.

											10 yaşımda, okul yemeğinden 
artan paramı biriktiriyordum.

											8 yıl boyunca her Allah’ın günü
patates püresi ve fırında pişmiş 


											kurufasulye yedim, her biri 
4 peniydi ve sos da bedavaydı.
											Bunlar 1 pound olunca kutuya atacak,
											her gün bozuk paraları kumbaramın
üzerine dizecektim,
											önceden bir kağıdın üstüne çizdiğim 100 
kareden birinin üstünü çizecektim.

											Sonunda küçük bir bot satın aldım.
											Hedefimi hayal ederek bahçede 
onun içinde saatlerce oturdum.

											Yelkencilik hakkında bulabildiğim
her kitabı okudum
											ve sonunda okulum tarafından bana
											veteriner olmak için yeterince 
zeki olmadığım söylenince

											17 yaşında, yelkenci çıraklık 
eğitimi için okulu bıraktım.
									","
											Ich tat was ich konnte,
um diesem Traum näherzukommen.
											Mit 10 sparte ich
beim Schulessen das Wechselgeld.
											Acht Jahre lang aß ich jeden Tag
Kartoffelbrei und Baked Beans.
											Die kosteten je 4 Penny
und Sauce war gratis.
											Jeden Tag stapelte ich das Wechselgeld
auf meiner Spardose.
											Wenn es ein Pfund war,
steckte ich es hinein
											und strich eins der 100 Kästchen durch,
die ich auf ein Papier gemalt hatte.
											Schließlich kaufte ich
ein winziges Dinghy.
											Stundenlang saß ich im Garten darin
											und träumte von meinem Ziel.
											Ich las so viele Bücher
wie möglich über das Segeln.
											Als mir die Schule eines Tages sagte,
											ich sei zum Tierarzt nicht schlau genug,
											ging ich mit 17 von der Schule,
um mit meiner Segelausbildung anzufangen.
									",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
"
","
","
","
","
","
",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
"
											So imagine how it felt
just four years later
											to be sitting in a boardroom
											in front of someone who I knew
could make that dream come true.
											I felt like my life
depended on that moment,
											and incredibly, he said yes.
											And I could barely contain my excitement
as I sat in that first design meeting
											designing a boat
on which I was going to sail
											solo nonstop around the world.
											From that first meeting
to the finish line of the race,
											it was everything I'd ever imagined.
											Just like in my dreams, there were
amazing parts and tough parts.
											We missed an iceberg by 20 feet.
											Nine times, I climbed to the top
of her 90-foot mast.
											We were blown on our side
in the Southern Ocean.
											But the sunsets, the wildlife,
and the remoteness
											were absolutely breathtaking.
											After three months at sea, age just 24,
											I finished in second position.
											I'd loved it, so much so
that within six months
											I decided to go around the world again,
but this time not in a race:
											to try to be the fastest person ever
to sail solo nonstop around the world.
											Now for this, I needed a different craft:
											bigger, wider, faster, more powerful.
											Just to give that boat some scale,
I could climb inside her mast
											all the way to the top.
											Seventy-five foot long, 60 foot wide.
											I affectionately called her Moby.
											She was a multihull.
											When we built her, no one had ever
made it solo nonstop
											around the world in one,
though many had tried,
											but whilst we built her, a Frenchman
took a boat 25 percent bigger than her
											and not only did he make it,
but he took the record from 93 days
											right down to 72.
											The bar was now much, much higher.
									","
											Imagínense como me sentía
cuatro años después
											sentada en una sala de juntas
											delante de alguien que yo sabía
que podría realizar mi sueño.
											Me sentía como si mi vida
dependiera de aquel momento,
											e increíblemente él dijo que sí.
											Y yo apenas podía contener mi emoción
mientras asistía a la primera reunión
											para diseñar un bote 
en el que yo navegaría en solitario
											sin parar alrededor del mundo.
											Desde la primera reunión
hasta la línea de llegada,
											todo fue como yo me había imaginado.
											Tal y como en mis sueños, hubo
partes asombrosas y partes difíciles.
											Evitamos un iceberg por seis metros.
											Nueve veces trepé a
su mástil de 28 metros.
											El viento soplaba en nuestro costado
en el Océano Austral.
											Pero las puestas de sol,
la fauna y la lejanía
											eran absolutamente espectaculares.
											Tras tres meses en el mar,
con solo 24 años
											terminé en segunda posición.
											Me gustó tanto que al cabo de seis meses
											me decidí a navegar alrededor del mundo
de nuevo, pero ahora no en una carrera:
											para intentar ser la persona más rápida 

											en navegar en solitario
continuamente alrededor del mundo.
											Bueno, para eso yo necesitaba
una embarcación diferente:
											más larga, más ancha,
más rápida, más potente.
											Solo para dar una idea de escala,
yo podría subir por dentro de su mástil
											hasta la parte superior.
											Veintitrés metros de longitud,
18 metros de ancho
											Yo la llamaba cariñosamente Moby.
											Era un multicasco.
											Cuando lo construimos, nadie 
había logrado en solitario y sin parar
											dar la vuelta al mundo,
pero ya lo habían intentado,
											y mientras la construíamos,
											un francés, con un barco
25% mayor que el mío,
											no solo lo hizo,
sino que bajó el récord de 93 días
											hasta 72.
											El listón estaba ahora mucho más alto.
									","
											Imaginem como me senti,
quatro anos depois,
											sentada numa sala de conferências,
											em frente de alguém que eu sabia que 
podia tornar realidade o meu sonho.
											Senti que a minha vida 
dependia daquele momento
											e, incrivelmente, ele disse que sim.
											Mal podia conter a minha emoção 
naquela primeira reunião de ""design""
											para conceber o barco 
em que eu iria navegar,
											sozinha, sem parar, à volta do mundo.
											Desde aquela primeira reunião, 
até à linha final da corrida,
											foi tudo aquilo com que sempre sonhara.
											Tal como nos meus sonhos,
											houve momentos espantosos
e momentos difíceis.
											Evitei um icebergue a seis metros.
											Subi nove vezes ao topo do maestro
de 27 metros.
											Apanhei vento de través
no Oceano Austral.
											Mas os pores-do-sol, a fauna,
e o distanciamento
											eram de cortar a respiração.
											Ao fim de três meses no mar, 
aos 24 anos,
											acabei na segunda posição.
											Adorei tanto esta corrida
que, seis meses depois,
											decidi voltar a dar a volta ao mundo,
mas desta vez, sem ser numa corrida,
											tentar ser a pessoa 
mais rápida da história
											a velejar sozinha, sem parar, 
a dar a volta ao mundo.
											Para isso, precisava 
duma embarcação diferente,
											maior, mais larga, mais rápida,
mais potente.
											Para dar uma ideia
do tamanho desse barco,
											eu podia subir pelo interior
do mastro até ao topo.
											23 metros de comprimento, 
18 metros de largura.
											Chamei-lhe carinhosamente Moby.
											Era um catamarã.
											Quando o construímos,
											nunca ninguém tinha dado a volta ao mundo,
sozinho, sem paragens.
											embora muitos tivessem tentado.
											Mas, durante a construção, um francês
agarrou num barco 25% maior do que o nosso
											e não só o conseguiu,
como bateu o recorde de 93 dias,
											reduzindo-o para 72.
											A fasquia agora estava muito mais alta.
									","
											Imaginez comment je me suis sentie,
seulement quatre ans plus tard,
											d'être assise 
dans une salle de conférence,
											devant quelqu'un qui, je le savais,
pouvait réaliser mon rêve.
											J'ai eu l'impression que ma vie 
dépendait de ce moment,
											et incroyablement, il a dit oui.
											Je pouvais à peine 
contenir mon excitation
											lorsque j'ai assisté 
à cette première réunion
											pour concevoir un bateau 
avec lequel j'allais naviguer
											en solitaire, sans escale, 
autour du monde.
											Depuis cette première réunion 
à la ligne d'arrivée de la course,
											c'était tout ce que j'avais 
jamais imaginé.
											Comme dans mes rêves, il y eut des moments
formidables et des moments difficiles.
											Nous avons évité de six mètres un iceberg.
											Neuf fois, j'ai grimpé 
au sommet du mât de 27 mètres.
											Le vent soufflait en travers
dans l'océan Austral.
											Mais les couchers de soleil, 
la faune et l'éloignement
											étaient absolument époustouflants.
											Après trois mois en mer, 
à tout juste 24 ans,
											j'ai terminé en deuxième position.
											J'avais tant adoré cette course
qu'en moins de six mois,
											j'avais décidé de faire 
encore le tour du monde,
											mais cette fois, pas lors d'une course :
											pour essayer d'être la personne 
la plus rapide de l'histoire
											à naviguer en solitaire
sans escale autour du monde.
											Pour ce faire, j'avais besoin 
d'un bateau différent :
											plus grand, plus large, 
plus rapide, plus puissant.
											Pour donner une idée de son échelle,
											je pouvais grimper 
à l'intérieur de son mât
											jusqu'au sommet.
											23 mètres de long, 
18 mètres de large.
											Je l'appelais affectueusement Moby.
											C'était un multicoque.
											À l'époque, personne n'avait jamais réussi
un voyage en solitaire sans escale
											autour du monde en une fois,
bien que beaucoup aient essayé,
											mais durant la construction, 
un Français prit un bateau 25% plus grand,
											et non seulement a-t-il réussi, 
mais il a battu le record de 93 jours,
											et l'a fait descendre à 72.
											La barre était désormais bien plus haute.
									","
											Sadece dört yıl sonra hayalinizi 
gerçekteştirebileceğini
											bildiğiniz birinin yönetim kurulu 
toplantı odasının önünde
											oturmanın nasıl bir his 
olduğunu bir hayal edin.
											Hayatımın o ana bağlı 
olduğunu hisseder gibiydim
											ve inanılmaz bir şekilde,
o evet dedi.
											Ve ilk tasarım toplantısında 
otururken heyecanımı zor bastırabildim,
											dünyanın etrafında tek başıma, 
hiç durmadan 

											yelken açabileceğim botun tasarımı.
											İlk toplantıdan yarışın 
bitiş çizgisine kadar 

											her şey hayal ettiğim gibiydi.
											Tam da hayal ettiğim gibi, 
harika ve zor kısımları vardı.

											Neredeyse 6 metre ötedeki 
buz dağına çarpacaktık.

											Dokuz defa 27 metrelik direğin
en üstüne kadar tırmandım.

											Güney Okyanusu'nda rüzgar
bizden tarafa doğru esti.
											Fakat gün batımları,
vahşi yaşam ve uzaklık
											kesinlikle nefes kesiciydi.
											Denizdeki üç aydan sonra, 
daha henüz 24 yaşımda 


											yarışı ikinci olarak bitirdim.
											Bu o kadar hoşuma gitti ki altı ay içinde
											dünyanın etrafını yalnız başına en hızlı 
turlayan kişi olmak için tekrar
											dünyanın etrafını turlamaya karar verdim, 
fakat bu sefer bir yarışta değil.
											Bunun için daha farklı 
bir tekneye ihtiyacım vardı:
											Daha büyük, daha geniş, 
daha hızlı ve daha güçlü.
											Bu botun ölçüsünü şöyle tarif edeyim,
											yelken direğinin en üstüne 
kadar tırmanabiliyordum.
											Uzunluğu 23 metre, genişliği 19 metre.
											Sevgiyle ona Moby ismini verdim.
											Çok gövdeli bir yelkenliydi.
											Onu yaptığımızda, birçoklarının 
denemesine rağmen henüz hiç kimse
											tek başına hiç durmadan dünyanın
etrafında tur yapmamıştı,
											Fakat biz onu bitirdiğimizde, bir Fransız 
benimkinden %25 daha büyük bir botla
											bunu sadece başarmakla kalmadı,
ayrıca 93 gün olan rekoru da
											72 güne düşürdü.
											Çıta şimdi çok daha fazla yüksekti.
									","
											Stellen Sie sich vor, wie ich mich
nur vier Jahre später fühlte,
											als ich in einem Vorstandszimmer
											vor jemandem saß,
											von dem ich wusste, dass er
meinen Traum wahrmachen konnte.
											Ich fühlte, dass mein Leben
von diesem Moment abhing.
											Unglaublicherweise sagte er Ja.
											Beim ersten Design-Treffen konnte ich
meine Aufregung kaum zügeln,
											als wir das Boot entwarfen,
											mit dem ich einhändig nonstop
um die Welt segeln würde.
											Vom ersten Treffen
bis zur Ziellinie des ersten Rennens
											erfüllte es alle meine Vorstellungen.
											Wie in meinen Träumen war es
teils großartig und teils hart.
											Um 6 Meter verpassten wir einen Eisberg.
											Neun Mal kletterte ich zur Spitze
des 27 Meter hohen Masts.
											Im Südlichen Ozean
wehte es uns auf die Seite.
											Doch die Sonnenuntergänge,
die Tiere und die Abgeschiedenheit
											waren total atemberaubend.
											Nach 3 Monaten auf See, mit nur 24 Jahren,
											wurde ich am Ende Zweite.
											Ich liebte das so sehr, dass ich 
innerhalb von 6 Monaten beschloss,
											noch einmal um die Welt zu fahren,
aber nicht in einem Rennen:
											Ich wollte schneller als jeder zuvor
einhändig nonstop um die Welt segeln.
											Hierfür benötigte ich
ein anderes Fahrzeug:
											größer, breiter, schneller, kraftvoller.
											Um die Größe darzustellen:
Ich konnte im Mast
											bis ganz an die Spitze klettern.
											Knapp 23 Meter lang, gut 18 Meter breit.
											Liebevoll nannte ich sie Moby.
											Es war ein Mehrrumpfboot.
											Als wir es bauten, hatte es
trotz vieler Versuche noch niemand
											mit so einem solo nonstop
um die Welt geschafft.
											Als wir dabei waren es zu bauen,
nahm ein Franzose ein 25 % größeres,
											und schaffte es damit nicht nur,
sondern verbesserte den Rekord dabei
											von 93 auf nur 72 Tage.
											Nun war die Herausforderung viel größer.
									",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
"
","
","
","
","
","
",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
"
											And these boats were exciting to sail.
											This was a training sail
off the French coast.
											This I know well because I was one
of the five crew members on board.
											Five seconds is all it took
from everything being fine
											to our world going black
as the windows were thrust underwater,
											and that five seconds goes quickly.
											Just see how far below
those guys the sea is.
											Imagine that alone
in the Southern Ocean
											plunged into icy water,
thousands of miles away from land.
									","
											Y era muy emocionante navegar esos barcos.
											Aquí un velero para entrenamiento
cerca de la costa francesa.
											Lo conozco bien, pues fui uno de los
cinco miembros de su tripulación.
											Cinco segundos eran suficientes
para pasar de ""todo bien""
											a ""todo de color negro""
											mientras las ventanas
se sumergían en el agua,
											y esos cinco segundos pasaban muy rápido.
											Miren cómo el mar
está muy por debajo de ellos.
											Imagínense eso solos 
en el Océano Austral
											sumergidos en aguas gélidas,
miles de kilómetros lejos de tierra.
									","
											Estes barcos eram sensacionais
para velejar.
											Isto foi uma viagem de treino
ao largo da costa da França.
											(Risos)
											Sei do que falo porque eu era
um dos cinco membros da tripulação.
											Bastavam cinco segundos
para passar de ""tudo bem""
											para que o mundo escurecesse
quando as vigias mergulhavam na água.
											Esses cinco segundos
passam num instante. 

											Vejam como o mar
está muito abaixo destes tipos. 

											Imaginem isto, sozinhos,
no Oceano Austral 

											mergulhados na água gelada,
a milhares de quilómetros de terra firme. 

									","
											Ces bateaux étaient 
sensationnels à naviguer.
											C'était un essai en mer 
sur la côte française.
											Je connais bien parce que j'étais 
l'une des cinq membres d'équipage à bord.
											Alors que tout allait bien, 
il n'a fallu que cinq secondes
											pour que notre monde s'obscurcisse 
et que les hublots soient sous l'eau
											et ces cinq secondes passent vite.
											Regardez la distance entre la mer et ces gars.
											Imaginez ça, seule, dans l'océan Austral,
											plongée dans l'eau glacée, à des milliers 
de kilomètres de la terre ferme.
									","
											Ve bu botlar yelken açmaya can atıyordu.
											Bu, Fransa sahillerindeki 
yelken yarışı deneme yelkeniydi.
											Bunu çok iyi biliyorum çünkü güvertedeki 
beş mürettebattan biri bendim.
											Beş saniye içinde her şey berbat oldu,
											pencerelerimiz suya batarken 
hayatımız karardı
											ve bu beş saniye o kadar 
çabuk geçiyor ki.
											O insanların ne kadar denizin
altında olduklarını görmek.

											Karadan binlerce kilometre uzakta 
Güney Okyanusu'nda
											buzlu suya doğru battığınızı 
bir hayal edin.
									","
											Es war aufregend, diese Boote zu segeln.
											Dies war ein Segeltraining
vor der französischen Küste.
											Ich weiß das ganz genau,
denn ich war in der 5-köpfigen Crew.
											In nur 5 Sekunden verdunkelte sich
unsere heile Welt,
											als die Fenster unter Wasser tauchten.
											Die 5 Sekunden sind schnell vorbei.
											Schauen Sie, wie weit
unter ihnen die See ist.
											Stellen Sie sich das allein
im Südlichen Ozean vor,
											in eisiges Wassert getaucht,
tausende Kilometer von Land entfernt.
									",The surprising thing I learned sailing solo around the world,Dame Ellen MacArthur,16:47,"economics,environment,oceans"
