pt,en,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Quantos de vocês já usaram
uma folha de cálculo eletrónica
											como o Microsoft Excel?
											Muito bem.
											Quantos de vocês já geriram um negócio
com uma folha de cálculo manual,
											como o meu pai fazia na sua pequena
gráfica em Filadélfia?
											Muito menos pessoas.
									","
											How many of you have used
an electronic spreadsheet,
											like Microsoft Excel?
											Very good.
											Now, how many of you have run a business
with a spreadsheet by hand,
											like my dad did for his small
printing business in Philadelphia?
											A lot less.
									","
											Combien d'entre vous utilisent
une feuille de calcul électronique,
											comme Microsoft Excel ?
											Très bien.
											Combien d'entre vous ont géré leur affaire
avec une telle feuille, mais manuscrite,
											comme mon père l'a fait
dans son imprimerie de Philadelphie ?
											Vous êtes beaucoup moins.
									","
											Kaçınız bugüne kadar 
bir elektronik çizelge kullandı?
											Microsoft Excel gibi.
											Çok iyi.
											Peki kaçınız Philadelphia'daki 
küçük matbaasında babamın yaptığı gibi
											çizelgelerin elle yapıldığı 
bir işte çalıştı?
											Çok daha az.
									","
											Wer hat schon einmal
elektronische Tabellenkalkulation genutzt,
											wie Microsoft Excel?
											Sehr gut.
											Wer hat bereits für einen Betrieb
Kalkulationsblätter per Hand geführt,
											so wie mein Vater in seiner
kleinen Druckerei in Philadelphia?
											Viel weniger.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Foi assim que as coisas foram feitas
durante centenas de anos.
											No início de 1978,
comecei a trabalhar numa ideia
											que depois viria a ser a VisiCalc.
											No ano seguinte, ela descolou,
											funcionando numa coisa nova
chamada um computador pessoal Apple II.
											Podem ver que as coisas mudaram muito
quando, seis anos depois,
											o Wall Street Journal
publicou um editorial
											que presumia que todos conheciam
a VisiCalc e até a utilizavam.
									","
											Well, that's the way it was done
for hundreds of years.
											In early 1978,
I started working on an idea
											that eventually became VisiCalc.
											And the next year it shipped
											running on something new
called an Apple II personal computer.
											You could tell that things
had really changed when, six years later,
											the Wall Street Journal ran an editorial
											that assumed you knew what VisiCalc was
and maybe even were using it.
									","
											C'est pourtant ainsi que l'on a fait
pendant des centaines d'années.
											Début 1978, j'ai commencé
à développer une idée
											qui a abouti à VisiCalc.
											Et l'année suivante,
											il tournait sur une nouvelle machine,
appelée Apple II.
											6 ans plus tard, on savait que les choses
avaient vraiment évolué
											quand un éditorial du Wall Street Journal
											assumait que tout le monde
connaissait VisiCalc, voire l'utilisait.
									","
											Bu iş yüzlerce yıl bu şekilde yapıldı.
											1978'in başında, nihayetinde
VisiCalc'ın ortaya çıktığı
											bir fikir üzerinde çalışmaya başladım.
											Ve bu bir sonraki yıl Apple II
kişisel bilgisayarına olan
											rağbeti artırdı.
											Altı yıl sonra Wall Street Journal'ın 
insanların VisiCalc'ın
											ne demek olduğunu bildiğini
ve hatta onu kullandığını düşünen
											bir başyazı yayınladığında bazı şeylerin
gerçekten de değiştiğini söyleyebilirdin.
									","
											So machte man das seit Jahrhunderten.
											Anfang 1978 begann ich, 
an einer Idee zu arbeiten,
											woraus schließlich VisiCalc wurde.
											Im Folgejahr lief es
auf einem neuen Gerät,
											dem Apple II Personal Computer.
											Die Veränderung der Lage
sah man sechs Jahre später:
											Das Wall Street Journal ging
in einem Leitartikel davon aus,
											dass man VisiCalc kannte
und vielleicht sogar benutzte.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Em 1990, Steve Jobs disse:
											""As folhas de cálculo
impulsionaram a indústria"".
											""A VisiCalc fomentou o sucesso da Apple
mais do que qualquer outro acontecimento"".
											Numa nota mais pessoal, Jobs disse:
											""Se a VisiCalc tivesse sido feita
para outro computador,
											""vocês agora estariam
a entrevistar outra pessoa"".
									","
											Steve Jobs back in 1990
											said that ""spreadsheets
propelled the industry forward.""
											""VisiCalc propelled the success of Apple
more than any other single event.""
											On a more personal note,
											Steve said, ""If VisiCalc had been written
for some other computer,
											you'd be interviewing
somebody else right now.""
									","
											En 1990, Steve Jobs a dit ceci :
											« Les spreadsheets ont propulsé
l'industrie dans le futur.
											VisiCalc a contribué au succès d'Apple
bien davantage que toute autre chose. »
											Personnellement parlant,
											Steve m'a dit : « Si VisiCalc
avait été écrit pour un autre ordinateur,
											on interviewerait quelqu'un d'autre. »
									","
											Steve Jobs, 1990'da
											""Elektronik çizelge sanayiyi 
ileri taşıdı.""
											""VisiCalc, Apple'ın başarısını hiç bir şeyin 
yapmadığı kadar artırdı."" dedi.
											Daha samimi bir ortamda Steve,
											""Eğer VisiCalc başka bir bilgisayar için 
yazılmış olsaydı,
											şimdi başka birisiyle 
görüşüyor olurdun."" dedi.
									","
											Steve Jobs sagte 1990:
											""Die Tabellenkalkulation
brachte die Branche voran.""
											""VisiCalc brachte den Erfolg von Apple
mehr als jedes andere Programm voran.""
											Etwas persönlicher sagte Jobs:
											""Wäre VisiCalc für einen
anderen Computer geschrieben worden,
											würden Sie jetzt
jemand anderen interviewen.""
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Ou seja, a VisiCalc foi fundamental
para levar os PC para as empresas.
											Mas como?
											Como é que isso aconteceu?
O que foi que eu fiz?
											Eu aprendi a programar em 1966,
quando tinha 15 anos,
											poucos meses após
ter sido tirada esta foto.
											Naquela época, poucos estudantes
tinham acesso a computadores.
											Mas, com sorte e muita perseverança,
											eu consegui alugar
tempo de computador, na cidade.
									","
											So, VisiCalc was instrumental in getting
personal computers on business desks.
											How did it come about?
											What was it? What did I go through
to make it be what it was?
											Well, I first learned to program
back in 1966, when I was 15 —
											just a couple months
after this photo was taken.
											Few high schoolers had access
to computers in those days.
											But through luck
and an awful lot of perseverance,
											I was able to get
computer time around the city.
									","
											VisiCalc a donc largement contribué
à amener les ordinateurs dans les bureaux.
											Comment est-ce arrivé ?
											Qu'est ce qui a fait que j'ai créé
											ces feuilles de calcul
telles qu'elles sont ?
											J'ai commencé à programmer en 1966,
quand j'avais 15 ans,
											peu après cette photo.
											Peu d'étudiants avaient accès
à des ordinateurs à l'époque.
											Mais grâce à la chance
et beaucoup de persévérance,
											je parvenais à mettre les mains
sur des machines, en ville.
									","
											VisiCalc kişisel bilgisayarların 
iş yerlerine girmesinde etkili oldu.
											Peki bu nasıl ortaya çıktı?
											O neydi? Onu yapmak için neler yaşadım?
											Ben programlamayı 1966'da
15 yaşındayken öğrendim—
											bu fotoğraf çekildikten 
sadece bir kaç ay sonra.
											O günlerde çok az lise öğrencisinin
bilgisayara erişim imkanı vardı.
											Fakat biraz şans biraz da sabır sonucunda
											şehirde bilgisayar bulabildim.
									","
											Somit half VisiCalc maßgeblich dabei, 
PCs auf die Schreibtische zu bringen.
											Wie kam es dazu?
											Wie machte ich es zu dem, was es wurde?
											1966 lernte ich zu programmieren,
als ich 15 war —
											nur kurz nachdem
dieses Foto gemacht wurde.
											Nur wenige Schüler hatten damals
Zugang zu Computern.
											Aber durch Glück und viel Beharrlichkeit
											bekam ich Rechnerzeit in der Stadt.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Depois de dormir na lama em Woodstock,
fui para o MIT, cursar a faculdade.
											Ali, a fim de ganhar dinheiro,
trabalhei no Multics Project.
											O Multics foi pioneiro
em sistemas interativos.
											Já ouviram falar dos sistemas operativos
Linux e Unix?
											Eles vieram do Multics.
											Trabalhei nas versões Multics
											conhecidas por linguagens
interpretadasde computador,
											usadas pelas pessoas
em áreas da nanoinformática,
											para fazer cálculos,
enquanto estão a trabalhar num terminal.
									","
											After sleeping in the mud at Woodstock,
I went off to MIT to go to college,
											where to make money,
I worked on the Multics Project.
											Multics was a trailblazing
interactive time-sharing system.
											Have you heard of the Linux
and Unix operating systems?
											They came from Multics.
											I worked on the Multics versions
											of what are known
as interpreted computer languages,
											that are used by people
in noncomputer fields
											to do their calculations
while seated at a computer terminal.
									","
											Après des nuits dans la boue
de Woodstock, je suis allé au MIT
											et j'ai travaillé sur Multics
pour gagner ma vie.
											Multics était un système
de temps partagé interactif.
											Si vous connaissez les systèmes
d'exploitation Linux et Unix,
											ils proviennent de Multics.
											J'ai travaillé sur des versions Multics
											de ce que nous connaissons
comme le langage informatique interprété,
											utilisé par des non informaticiens,
											pour réaliser leurs calculs
assis devant un terminal informatique.
									","
											Woodstock'ta bir müddet süründükten sonra,
MIT'de üniversite eğitimine başladım.
											Orada okurken para kazanmak için 
Multics Projesi üzerinde çalıştım.
											Multics, interaktif, aynı anda bir kaç işlem
yapabilen çığır açan bir işletim sistemiydi.
											Linux ve Unix işletim sistemlerini 
hiç duydunuz mu?
											Onlar Multics'ten doğdu.
											Bilgisayar dışı alanlardaki insanların
											bir bilgisayar terminali karşısında
oturup hesaplarını yapmaları için
											yorumlanmış bilgisayar dilleri 
olarak bilinen
											Multics'in sürümleri üzerinde çalıştım.
									","
											Nachdem ich in Woodstock
im Schlamm geschlafen hatte,
											ging ich zum MIT aufs College.
											Um Geld zu verdienen,
arbeitete ich dort am Multics-Projekt.
											Multics war ein bahnbrechendes
interaktives Mehrbenutzersystem.
											Kennen Sie die Linux-
und Unix-Betriebssysteme?
											Die stammen von Multics ab.
											Ich arbeitete an Multics-Versionen,
											den sogenannten Interpretersprachen,
											die von Leuten außerhalb der Informatik
											für Kalkulationen am Computer
genutzt werden.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Depois de acabar o curso do MIT,
											fui trabalhar para a
Digital Equipment Corporation.
											Na DEC, trabalhei em ""softwares""
											para uma nova área de
composição tipográfica computadorizada.
											Ajudei os jornais a substituir
a máquina de escrever dos repórteres
											por terminais de computadores.
											Escrevia o ""software""
											e depois partia para lugares
como o Kansas City Star,
											onde treinava utilizadores
e obtinha comentários.
											Essa foi uma experiência concreta,
											bem diferente daquela que tive
nos laboratórios do MIT.
									","
											After I graduated from MIT,
											I went to work for
Digital Equipment Corporation.
											At DEC, I worked on software
											for the new area
of computerized typesetting.
											I helped newspapers
replace their reporters' typewriters
											with computer terminals.
											I'd write software
											and then I'd go out in the field
to places like the Kansas City Star,
											where I would train users
and get feedback.
											This was real-world experience
											that is quite different
than what I saw in the lab at MIT.
									","
											Mon diplôme du MIT en main,
											je suis parti travailler
pour Digital Equipment Corporation.
											Chez DEC, j'ai travaillé sur un logiciel
											pour la nouvelle ère
de composition informatique.
											J'ai aidé les journaux à remplacer
les machines à écrire des journalistes
											par des ordinateurs.
											J'écrivais des logiciels
											et ensuite, j'allais sur le terrain,
dans des endroits comme Kansas City Star,
											pour y former les utilisateurs
et avoir des retours.
											C'était la vie réelle,
											très différente de mon expérience
au labo du MIT.
									","
											MIT'den mezun olduktan sonra,
											Digital Equipment Şirketi'nde 
çalışmaya başladım.
											Bu şirkette bilgisayarlı dizginin
											yeni bir alanı için yazılım yaptım.
											Gazetelerin daktiloları bilgisayar 
terminalleriyle
											değiştirmelerine yardımcı oldum.
											Bir programı yazacak
											ve sonra sahaya çıkıp
Kansas City Star gibi yerler gidecek,
											kullanıcıları eğitecek ve
geri dönüş alacaktım.
											Bu, MIT'nin Laboratuarında gördüğümden
											çok farklı, gerçek bir hayat tecrübesiydi.
									","
											Nach meinem Abschluss am MIT
											arbeitete ich bei der 
Digital Equipment Corporation.
											Bei DEC arbeitete ich an Software
											für das neue Gebiet 
des computerbasierten Schriftsetzens.
											Ich half Zeitungen, ihre Schreibmaschinen 
durch Computer zu ersetzen.
											Ich schrieb Software
											und ging dann z. B. zum Kansas City Star,
											wo ich Anwender schulte
und Feedback erhielt.
											Diese Erfahrung in der realen Welt
											war ganz anders als das, was ich
im Labor des MIT gesehen hatte.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Em seguida, fui líder
de projetos de ""software""
											no primeiro processador de texto
da DEC — outra área nova.
											Tal como na composição tipográfica,
											o importante era construir
uma interface para o utilizador
											que fosse tão natural quanto eficaz
para pessoas que não usavam computadores.
											Depois da DEC, fui trabalhar
numa pequena empresa
											que fazia caixas registadoras eletrónicas
com microprocessadores
											para a indústria de ""fast food"".
											Mas sempre quis montar uma empresa
com o meu amigo Bob Frankston,
											que conheci no projeto Multics, no MIT.
									","
											After that, I was project leader
											of the software for DEC's first
word processor, again a new field.
											Like with typesetting, the important thing
was crafting a user interface
											that was both natural and efficient
for noncomputer people to use.
											After I was at DEC, I went
to work for a small company
											that made microprocessor-based electronic
cash registers for the fast-food industry.
											But I had always wanted to start
a company with my friend Bob Frankston
											that I met on the Multics project at MIT.
									","
											Ensuite, je suis devenu chef du projet
											de ce qui fut
le premier traitement de texte de DEC.
											Comme pour la composition,
l'important était de créer une interface
											naturelle et efficace
pour des utilisateurs non informaticiens.
											J'ai quitté DEC pour travailler
dans une petite entreprise
											qui fabriquait des caisses enregistreuses
électroniques pour les fast-food.
											J'avais cependant toujours voulu créer
une boîte avec mon ami Bod Frankston,
											que je connaissais depuis Multics du MIT.
									","
											Bundan sonra, DEC'in ilk kelime
işlemcisinin yazılımında
											proje lideriydim ve bu da
yeni bir alandı benim için.
											Dizgi makinasındaki gibi,
bilgisayarcı olmayanların kullanımı için
											hem doğal hem etkili bir
kullanıcı arayüzü işlemek önemliydi.
											DEC'ten sonra fast food sanayisi için
mikroişlemciye dayalı
											elektronik yazar kasa üreten 
küçük bir şirkette işe başladım.
											Fakat MIT'de Multics projesinde 
çalışırken tanıştığım arkadaşım
											Bob Frankston ile bir 
şirket kurmayı hep istemiştim.
									","
											Danach wurde ich Projektleiter
											für DECs erste Textverarbeitungssoftware,
wieder ein neuer Bereich.
											Wie beim Schriftsetzen war es wichtig,
eine Benutzeroberfläche zu erstellen,
											die natürlich und effizient 
in der Anwendung für den Laien war.
											Nach der Arbeit für DEC begann ich, 
bei einem kleinen Unternehmen zu arbeiten,
											das Kassen mit Mikroprozessor-Technologie 
für die Fast-Food-Branche herstellte.
											Aber ich wollte immer ein Unternehmen
mit meinem Freund Bob Frankston gründen,
											den ich beim Multics-Projekt
am MIT kennenlernte.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Decidi, então, voltar à faculdade
para aprender o máximo sobre negócios.
											No outono de 1977,
											entrei no programa de mestrado
da Harvard Business School.
											Eu era um dos poucos alunos
											que conhecia linguagens de programação.
											Aqui temos uma foto minha
no livro anual, sentado na primeira fila.
									","
											So I decided to go back to school to learn
as much as I could about business.
											And in the fall of 1977,
											I entered the MBA program
at Harvard Business School.
											I was one of the few
percentage of students
											who had a background
in computer programming.
											There's a picture of me from the yearbook
sitting in the front row.
									","
											Alors, je me suis décidé à retourner
sur les bancs d'école de gestion.
											Fin 1977,
											j'ai commencé un programme MBA
à Harvard Business School.
											Je faisais partie du petit
pourcentage d'étudiants
											avec une formation
en programmation informatique.
											Voici une photo de moi dans l'annuaire,
assis au premier rang.
									","
											Bu yüzden işletme hakkında olabildiğince 
çok şey öğrenmek için okula dönmeye karar verdim.
											1977'nin sonbaharında,
											Harvard İşletme Fakültesinde 
işletme yüksek lisans programına girdim.
											Bilgisayar programcılığı temeli olan 

											az sayıdaki öğrenciden biriydim.
											Öğrenci yıllığında benim ön sırada 
otururken çekilmiş bir fotoğrafım var.
									","
											Ich beschloss, wieder zu studieren und
alles über die Geschäftswelt zu lernen.
											Im Herbst 1977
											begann ich ein MBA-Programm 
an der Harvard Business School.
											Ich war einer der wenigen Studenten,
											der einen Hintergrund 
in Computerprogrammierung hatte.
											Das ist ein Bild aus dem Jahrbuch, 
ich sitze in der ersten Reihe.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											(Risos)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Em Harvard, aprendíamos
através do método de casos.
											Estudávamos até três casos por dia.
											Os casos são uma dezena de páginas
que descrevem um determinado negócio.
											Em geral, apresentam exemplos
que contêm palavras e números.
											dispostos de tal forma
que fazem sentido dentro do contexto.
											Geralmente são um pouco diferentes.
											Este é o meu trabalho de casa.
											Repito, números e palavras
dispostos de uma forma coerente.
											Muitos cálculos — nós éramos
quase tão bons como as calculadoras.
											Aliás, esta é a minha calculadora.
											Na festa de Halloween,
fui mascarado de calculadora.
									","
											Now, at Harvard,
we learned by the case method.
											We'd do about three cases a day.
											Cases consist of up to a few dozen pages
describing particular business situations.
											They often have exhibits,
and exhibits often have words and numbers
											laid out in ways that make sense
for the particular situation.
											They're usually all somewhat different.
											Here's my homework.
											Again, numbers, words,
laid out in ways that made sense.
											Lots of calculations —
we got really close to our calculators.
											In fact, here's my calculator.
											For Halloween, I went
dressed up as a calculator.
									","
											A Harvard, l'apprentissage
est fondé sur des cas.
											On en faisait trois par jour.
											Il s'agit d'une douzaine de pages
sur une situation précise d'affaires.
											Il y a des tableaux,
avec des mots et des nombres
											disposés d'une certaine manière
pour expliciter la situation.
											Ils sont tous légèrement différents.
											Voici mon devoir.
											Des chiffres, des mots,
mis en page pour créer du sens.
											Des tonnes de calculs,
nos calculettes n'étaient jamais loin.
											Voici ma calculette, d'ailleurs.
											Pour Halloween,
je me suis déguisé en calculette.
									","
											Harvard'da dersleri örnek olay
metoduyla işliyorduk.
											Günlük üç örnek olay işleyecektik.
											Örnek olaylar belirli iş durumlarını tarif
eden bir kaç düzine sayfadan oluşuyordu.
											Çoğunlukla belgeler vardı ve bunlar
olayların kavranabilmesi için
											genellikle kelime 
ve sayılardan oluşuyordu.
											Genellikle hepsi oldukça farklılar.
											İşte benim ödevim.
											Yine sayılar, kelimeler, 
anlamlı bir şeklide dizilmiş.
											Bir sürü hesaplama—hesap makinelerimizle 
yatar kalkar olmuştuk.
											İşte benim hesap makinem.
											Cadılar Bayramı partisi için 
hesap makinesi kılığına girmiştim.
									","
											In Harvard lernten wir 
nach der Fallmethode.
											Wir bearbeiteten ca. drei Fälle pro Tag.
											Die Fälle bestanden aus vielen Seiten
											und beschrieben eine bestimmte
Geschäftssituation.
											Diese hatten häufig Anhänge, 
die Wörter und Zahlen enthielten.
											Diese waren für den bestimmten Fall
sinnvoll angeordnet.
											Sie waren immer alle etwas anders.
											Hier meine Hausaufgaben.
											Wieder Zahlen, Wörter, 
jeweils sinnvoll angeordnet.
											Viele Berechnungen! Unsere Taschenrechner
wurden uns sehr vertraut.
											Hier ist mein Taschenrechner.
											An Halloween verkleidete ich mich
als Taschenrechner.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											(Risos)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
