en,es,fr,tr,title,speaker,duration,tags
"
","
","
","
",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
"
											It was a normal Tuesday 
at the superconductor,
											until a bug in the system created 
a small situation.
											Now your team is trapped in eleven 
separate pocket dimensions.
											Luckily for you, there’s a half-finished 
experimental teleportation robot
											that may be able to get you all home,
											if you can figure out how to work through
the quirks of its design.
									","
											Era un martes normal
en el superconductor
											hasta que un error en el sistema
creó un pequeño problema.
											Ahora tu equipo está atrapado en
11 dimensiones de bolsillo separadas.
											Por suerte para ti, hay un robot de
teletransporte experimental medio acabado
											que puede llevaros a todos a casa,
											si logras descubrir cómo hacerlo funcionar
a pesar de las peculiaridades del diseño.
									","
											C'était un mardi normal
au labo supraconducteur,
											jusqu'à ce qu'un bogue dans le système
ne crée un petit problème.
											Votre équipe est maintenant prisonnière
de onze dimensions séparées.
											Heureusement, une expérience à moitié
terminée de robot de téléportation
											pourrait tous vous ramener à la maison,
											si vous réussissez à comprendre
les subtilités de sa conception.
									","
											Bir süperiletken laboratuvarında
sıradan bir Perşembe günüydü,
											ta ki sistemdeki bir hata
küçük bir olay yaratana dek.
											Takımınız, on bir ayrı
minyatür boyutta tutsak kalıyor.
											Neyse ki sizi oradan çıkarabilecek,

											yarısı bitmiş deneysel bir
ışınlanma robotu var,
											tabii tasarımının garipliğini
çözmeyi başarabilirseniz.
									",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
"
","
","
","
",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
"
											Over interdimensional radio,
											your engineers explain
											that the robot can teleport into the 
alternate universes you’re trapped in,
											but it’ll do so completely at random.
											The robot has two levers 
and one big button.
											When it appears,
											you just switch the position of one 
of the levers from A to B or vice versa,
											and then the robot will note your 
dimensional position
											and teleport to another of the eleven 
dimensions at random.
											If it shows up again, you’ll have to pull 
a lever before it’ll teleport away.
											When anyone presses the button,
											the robot will bring everyone who pulled
a lever back home.
											Anyone who didn’t will be lost 
in the multi-verse forever.
									","
											A través de la radio interdimensional,
											tus ingenieros explican
											que el robot puede teletransportarse
a través de los universos alternativos
											pero lo hará de forma
completamente aleatoria.
											El robot tiene dos palancas
y un gran botón.
											Cuando aparezca,
											simplemente cambia la posición de
una de las palancas de A a B o viceversa,
											y entonces el robot anotará
tu ubicación dimensional
											y se teletransportará aleatoriamente
a otra de las once dimensiones.
											Si vuelve a aparecer, tendrás que
tirar de una palanca
											antes de que se teletransporte.
											Cuando alguien presiona el botón,
											el robot llevará a casa a todos
los que tiraron de la palanca.
											Quien no lo haya hecho se perderá
para siempre en el multiverso.
									","
											Via une radio interdimensionnelle,
											vos ingénieurs expliquent
que le robot peut se téléporter
											dans les univers alternatifs
où vous êtes prisonniers,
											mais de manière totalement aléatoire.
											Le robot possède deux leviers
et un grand bouton.
											Lorsqu'il apparait,
											inversez juste la position de l'un 
des leviers de A vers B ou vice versa,
											le robot notera
votre position dimensionnelle
											et se téléportera au hasard 
dans une autre des onze dimensions.
											S'il réapparaît,
											vous devrez pousser un levier
avant qu'il ne se téléporte ailleurs.
											Lorsque quelqu'un appuie sur le bouton,
											le robot ramène à la maison toutes les
personnes ayant poussé un levier.
											Quiconque ne l'ayant pas fait sera perdu
pour toujours dans le multivers.
									","
											Boyutlar arası radyoda mühendisleriniz
											robotun, tutsak kaldığınız
alternatif evrenlere ışınlanabileceğini,
											fakat bunu
											tamamen rastgele yapacağını söylüyorlar.
											Robotun iki kolu ve bir büyük butonu var.
											Robot belirdiği zaman,
											kollardan birisinin pozisyonunu
A'dan B'ye veya tam tersine çeviriyorsunuz
											ve robot, boyutsal
pozisyonunuzu not alıyor
											ve on bir boyuttan bir diğerine
rastgele ışınlanıyor.
											Tekrar belirirse, ışınlanmadan önce
bir kolu çekmeniz gerekiyor.
											Birisi butona bastığı zaman
											robot, kolu geri çekmiş olan
herkesi eve götürüyor.
											Kolu geri çekmemiş olanlar ise
sonsuza dek çoklu evrende kaybolacak.
									",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
"
","
","
","
",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
"
											The challenge is to make sure everyone
has pulled a lever
											before anyone hits the button.
											While you can talk to each other now
over the interdimensional radio
											and agree on a plan,
											the robot’s teleportation technology
											will interfere with all attempts 
at communication once it arrives.
											You won’t be able to attach messages 
to the robot
											or scratch notes into its superstrong
alloy body.
											Your only way to communicate information
											is to change the position of exactly 
one lever or hit the button.
									","
											El desafío es asegurarse de que
todos hayan tirado de una palanca
											antes de que alguien presione el botón.
											Si bien podéis hablar entre vosotros
a través de la radio interdimensional
											y acordar un plan,
											la tecnología de teletransporte del robot
											interferirá con todos los intentos
de comunicación una vez llegue.
											No podrás adherir mensajes al robot
											ni escribir notas en su cuerpo
de aleación súper fuerte.
											Tu única manera de
comunicar información
											es cambiar la posición de exactamente
una palanca o presionar el botón.
									","
											Le défi est de s'assurer que tout le monde
a poussé un levier
											avant que qui que ce soit
ne pousse le bouton.
											Vous pouvez vous parler maintenant
via la radio interdimensionnelle
											et vous accorder sur un plan,
											mais la technologie de téléportation
du robot
											interfèrera avec les tentatives 
de communication dès qu'il arrivera.
											Vous ne pourrez pas attacher de message
au robot
											ou en graver un sur son alliage
extrêmement solide.
											Votre seul moyen de communication
											est de changer la position d'exactement 
un levier ou de pousser le bouton.
									","
											Göreviniz, birisi butona basmadan önce
											herkesin bir kolu çektiğinden emin olmak.
											Boyutlar arası radyo aracılığıyla
birbirinizle konuşup
											bir plan yapabiliyorsunuz,
											fakat robotun ışınlanma teknolojisi
											robot ortaya çıktığında, bütün
iletişim girişimlerine müdahale edecek.
											Robota mesaj iliştiremeyeceksiniz
											veya süper güçlü alaşım gövdesine
notlar kazıyamayacaksınız.
											Tek haberleşme yolunuz,
											kesinlikle bir kolun pozisyonunu
değiştirmek veya butona basmak.
									",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
"
","
","
","
",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
"
											What plan will make sure 
everyone gets home?
									","
											¿Qué plan asegurará que
todos vuelvan a casa?
									","
											Quelle stratégie pourra garantir
que tout le monde rentrera à la maison ?
									","
											Herkesin eve dönmesini
nasıl bir plan sağlayabilir?
									",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
"
","
","
","
",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
"
											Pause the video now if you want to
figure it out for yourself.
									","
											Pausa el vídeo si quieres
resolverlo por ti mismo.
									","
											Mettez la vidéo en pause maintenant
si vous voulez le trouver par vous-même.
									","
											Cevabı kendiniz bulmak istiyorsanız,
videoyu şimdi durdurun.
									",Can you solve the multiverse rescue mission riddle?,Daniel Finkel,4:07,"science,animation,space,TED-Ed,math"
