en,es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
"
											A few years ago,
I broke into my own house.
											I had just driven home,
											it was around midnight
in the dead of Montreal winter,
											I had been visiting my friend,
Jeff, across town,
											and the thermometer on the front porch
read minus 40 degrees —
											and don't bother asking
if that's Celsius or Fahrenheit,
											minus 40 is where the two scales meet —
											it was very cold.
											And as I stood on the front porch
fumbling in my pockets,
											I found I didn't have my keys.
											In fact, I could see them
through the window,
											lying on the dining room table
where I had left them.
											So I quickly ran around
and tried all the other doors and windows,
											and they were locked tight.
											I thought about calling a locksmith —
at least I had my cellphone,
											but at midnight, it could take a while
for a locksmith to show up,
											and it was cold.
											I couldn't go back to my friend
Jeff's house for the night
											because I had an early flight
to Europe the next morning,
											and I needed to get
my passport and my suitcase.
									","
											Hace unos años, 
asalté mi propia casa.
											Acababa de llegar a casa
											era medianoche en la 
oscuridad invernal de Montreal,
											Yo había visitado a mi amigo Jeff 
en la ciudad,
											y el termómetro en el porche delantero 
marcaba -40 grados
											y no se molesten en preguntar 
si son grados Celsius o Fahrenheit,
											-40 es donde confluyen ambas escalas.
											Hacía mucho frío.
											Y mientras estaba en el porche 
delantero mirando en mis bolsillos,
											me di cuenta de que no tenía las llaves.
											De hecho, podía ver por la ventana
											que estaban en la mesa del comedor, 
donde las había dejado.
											Así que rápido intenté abrir
todas las otras puertas y ventanas,
											y todas estaban bien cerradas.
											Pensé en llamar a un cerrajero, 
al menos tenía mi celular,
											pero a la medianoche, un cerrajero 
podría tardar mucho tiempo en llegar,
											y hacía frío.
											No podía volver a casa de mi amigo 
de Jeff para pasar noche
											pues tenía un vuelo temprano 
a Europa a la mañana siguiente,
											y precisaba de mi pasaporte y mi maleta.
									","
											Aqui há uns anos,
invadi a minha própria casa.
											Tinha acabado de chegar,
											era meia noite,
em pleno inverno, em Montreal,
											tinha ido visitar o meu amigo Jeff
											e o termómetro no alpendre
marcava -40 graus.
											Não importa se eram
Celsius ou Fahrenheit,
											porque -40 graus é onde
as duas escalas coincidem.
											Estava muito frio.
											Quando estava no alpendre,
a remexer nos bolsos,
											percebi que não tinha chaves.
											Na verdade,
conseguia vê-las pela janela,
											na mesa da sala de jantar,
onde as deixara.
											Dei a volta rapidamente
e tentei as outras portas e janelas,
											que estavam fechadas.
											Pensei em chamar um serralheiro;
pelo menos tinha telemóvel.
											Mas, àquela hora,
o serralheiro era capaz de demorar
											e estava muito frio.
											Não podia voltar para casa do Jeff,
											porque ia voar cedo para a Europa,
na manhã seguinte,
											e precisava do passaporte e da mala.
									","
											Birkaç yıl önce,
kendi evimin kapısını kırarak girdim.
											Eve yeni varmıştım,
											Montreal kışının ortasında
gece yarısı civarıydı,
											karşı kasabadaki arkadaşım
Jeff'i ziyaret ediyordum
											ve ön sundurmadaki termometre
eksi 40'ı gösteriyordu.
											Zahmet edip de derece mi Fahrenheit mı
olduğunu sormayın,
											eksi 40 bu iki ölçü biriminin
buluştuğu noktadır.
											Hava çok soğuktu.
											Ön sundurmada ceplerimi
yoklayarak duruyorken
											anahtarlarımın olmadığını farkettim.
											Aslında pencereden
onları bıraktığım yerde,
											yemek masasının üzerinde
duruyorken görebiliyordum.
											Sonra hızlıca çevreyi dolaşarak
diğer kapı ve pencereleri denedim
											ama sıkıca kilitlenmişlerdi.
											Bir çilingir çağırmayı düşündüm
en azından hâlâ telefonum vardı
											ama gece yarısında çilingirin varması
biraz zaman alabilirdi
											ve hava soğuktu.
											Arkadaşım Jeff'in evine geri dönemezdim
											çünkü sabah erkenden
Avrupa'ya uçacaktım
											ve pasaportumu ve
valizimi almam gerekiyordu.
									","
											Vor ein paar Jahren,
brach ich in mein eigenes Haus ein.
											Ich war gerade nach Hause gefahren,
											es war um Mitternacht,
mitten im Montrealer Winter,
											ich hatte meinen Freund Jeff
am anderen Ende der Stadt besucht
											und das Thermometer
auf meiner Veranda zeigte -40 ° an —
											und fragen Sie mich nicht,
ob Celsius oder Fahrenheit,
											bei -40 ° treffen sich 
die beiden Skalen —
											es war sehr kalt.
											Als ich auf der Veranda stand
und in meinen Taschen kramte,
											merkte ich, dass meine Schlüssel fehlten.
											Ich konnte sie durch das Fenster sehen,
											sie lagen da auf dem Esstisch,
wo ich sie zurückgelassen hatte.
											Ich rannte ums Haus und probierte
alle anderen Türen und Fenster,
											die fest verschlossen waren.
											Ich überlegte einen Schlosser anzurufen,
ich hatte ja mein Handy,
											aber um Mitternacht könnte es dauern,
bis ein Schlosser kommt,
											und es war kalt.
											Ich konnte nicht bei meinem 
Freund Jeff übernachten,
											weil ich am Morgen einen frühen Flug
nach Europa hatte
											und meinen Reisepass und Koffer brauchte.
									",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
"
","
","
","
","
",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
"
											So, desperate and freezing cold,
											I found a large rock and I broke
through the basement window,
											cleared out the shards of glass,
											I crawled through,
											I found a piece of cardboard
and taped it up over the opening,
											figuring that in the morning,
on the way to the airport,
											I could call my contractor
and ask him to fix it.
											This was going to be expensive,
											but probably no more expensive
than a middle-of-the-night locksmith,
											so I figured, under the circumstances,
I was coming out even.
									","
											Así que, desesperado y helado,
											encontré una piedra grande y 
con ella rompí la ventana del sótano,
											tras limpiar los fragmentos de vidrio,
											me arrastré por ella,
											encontré un pedazo de cartón 
y lo puse en la apertura,
											pensando que por la mañana, 
camino al aeropuerto,
											llamaría a mi contratista para 
pedirle que lo arreglara.
											Resultaría caro,
											pero seguro que no más caro 
que un cerrajero a media noche,
											así que pensé, que a pesar de las 
circunstancias, salía bien parado.
									","
											Desesperado e gelado,
											encontrei uma pedra grande,
parti a janela da cave,
											limpei os bocados de vidro,
											entrei,
											encontrei um bocado de cartão
e tapei o buraco,
											a pensar que, de manhã,
a caminho do aeroporto,
											podia ligar ao empreiteiro
a pedir que reparasse a janela.
											Ia sair-me caro,
											mas não muito mais caro
do que o serralheiro fora de horas.
											Achei que, dadas as circunstâncias,
seria ela por ela.
									","
											Buz gibi hava ve çaresizlikle,
											büyük bir taş buldum ve
bodrum camını kırdım,
											cam kırıklarını topladım,
											içeri emekledim,
											bir parça mukavva buldum
ve onu girdiğim yerdeki açıklığa bantladım
											ve sabah havalimanına giderken
											müteahhitimi arayıp tamir
etmesini söylerim diye düşündüm.
											Pahalıya patlayacaktı
											ama muhtemelen gece yarısında gelen
çilingirden daha pahalı olmayacaktı.
											Bu gibi durumlarda
aynı hesaba geleceğini düşündüm.
									","
											Verzweifelt und verfroren
											fand ich einen großen Stein
und zerbrach damit das Kellerfenster,
											räumte die Glasscherben beiseite,
											kletterte hinein,
											fand ein Stück Pappe
und klebte es über das Loch,
											mit dem Gedanken, am Morgen,
auf dem Weg zum Flughafen,
											meinen Bauleiter anzurufen,
mit der Bitte es zu reparieren.
											Das würde viel kosten,
											aber vermutlich nicht mehr, 
als ein Schlosser mitten in der Nacht,
											also dachte ich mir, unter diesen 
Umständen kommt es auf dasselbe raus.
									",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
"
","
","
","
","
",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
"
											Now, I'm a neuroscientist by training
											and I know a little bit
about how the brain performs under stress.
											It releases cortisol
that raises your heart rate,
											it modulates adrenaline levels
											and it clouds your thinking.
											So the next morning,
											when I woke up on too little sleep,
											worrying about the hole in the window,
											and a mental note
that I had to call my contractor,
											and the freezing temperatures,
											and the meetings I had upcoming in Europe,
											and, you know, with all
the cortisol in my brain,
											my thinking was cloudy,
											but I didn't know it was cloudy
because my thinking was cloudy.
									","
											Soy neurólogo de profesión
											y sé un poco acerca de cómo 
funciona el cerebro bajo estrés.
											Libera cortisol que 
aumenta el ritmo cardíaco,
											modula los niveles de adrenalina
											y nubla el pensamiento.
											A la mañana siguiente,
											cuando me desperté con falta de sueño,
											preocupado por el agujero en la ventana,
											por mi nota mental de 
llamar a mi contratista,
											por las bajas temperaturas,
											y por las reuniones que tendría 
la siguiente semana en Europa,
											y con todo el cortisol en el cerebro,
											mi pensamiento estaba nublado,
											pero no sabía que estaba nublado 
porque mi pensamiento estaba nublado.
									","
											Sou neurocientista
											e sei um pouco sobre como
funciona o cérebro sob stress.
											Liberta cortisol,
que aumenta a frequência cardíaca,
											projeta os níveis da adrenalina
e tolda-nos o pensamento.
											Na manhã seguinte,
											quando acordei,
com poucas horas de sono,
											preocupado com o buraco na janela,
											a ideia de que tinha
de ligar ao empreiteiro,
											um frio de rachar
e as reuniões que ia ter na Europa,
											com todo o cortisol no cérebro,
não conseguia pensar direito,
											mas eu não o sabia
porque não estava a pensar direito.
									","
											Şuan sinirbilimi eğitimi alıyorum
											ve beynin stres altındayken
nasıl davrandığını birazcık biliyorum.
											Kalp atışlarınızı hızlandıran
kortizolu salgılar,
											adrenalin seviyelerini dindirir
											ve düşüncelerinizi bulanıklaştırır.
											Böylece bir sonraki sabah,
											çok az bir uykudan sonra uyandığımda
											camdaki delik için endişelenmeye başladım
											ve zihinsel olarak müteahhitimi 
arama işini not ettim.
											Dondurucu soğuklar
											ve Avrupa'daki yaklaşan toplantılarım
											ve bilirsiniz beynimdeki bütün
o kortizolla
											düşüncelerim bulanıktı
											ama bulanık olduğunu bilmiyordum
çünkü düşüncelerim bulanıktı.
									","
											Ich bin ein gelernter Neurowissenschaftler
											und weiß ein wenig darüber
wie sich das Gehirn bei Stress verhält.
											Es schüttet Cortisol aus,
was den Herzschlag erhöht,
											es stimmt den Adrenalinlevel darauf ab
											und vernebelt die Denkfähigkeit.
											Am nächsten Morgen,
											hatte ich zu wenig geschlafen
											und machte mir Sorgen
um das Loch im Fenster,
											ich musste daran denken,
meinen Bauunternehmer anzurufen
											und bei den eisigen Temperaturen
											und den bevorstehenden Meetings in Europa
											mit all dem Cortisol in meinem Gehirn,
											war mein Denken vernebelt,
											nur wusste ich das nicht, weil
meine Gedanken eben vernebelt waren.
									",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
"
","
","
","
","
",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
"
","
","
","
","
",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
"
											And it wasn't until I got
to the airport check-in counter,
											that I realized I didn't have my passport.
									","
											Y cuando llegué al mostrador 
de facturación en el aeropuerto,
											me di cuenta de que 
no tenía mi pasaporte.
									","
											Só quando cheguei
ao balcão do ""check-in"" no aeroporto
											é que percebi
que não tinha o passaporte.
									","
											Ve havalimanında check-in
bölümüne gitmeden önce,
											pasaportumu unuttuğumu farketmemiştim.
									","
											Erst als ich am Check-In-Schalter
am Flughafen stand,
											merkte ich, dass mein Pass fehlte.
									",How to stay calm when you know you'll be stressed,Daniel Levitin,12:20,"brain,health,mental health,neuroscience,memory,cognitive science,medicine"
