en,es,fr,de,title,speaker,duration,tags
"
","
","
","
",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
"
											Thank you so much everyone from TED, and Chris and Amy in particular.
											I cannot believe I'm here.
											I have not slept in weeks.
											Neil and I were sitting there comparing how little we've slept
											in anticipation for this. I've never been so nervous —
											and I do this when I'm nervous, I just realized. (Laughter)
											So, I'm going to talk about sort of what we did at this organization
											called 826 Valencia, and then I'm going to talk
											about how we all might join in and do similar things.
									","
											Muchas gracias a todo el mundo en TED, especialmente a Chris y a Amy.
											No me puedo creer que esté aquí.
											No he dormido en semanas.
											Neil y yo comparábamos sentados allí lo poco que habíamos dormido.
											pensando en esto. Nunca he estado tan nervioso —
											y hago esto cuando estoy nervioso. Me acabo de dar cuenta.
											Bien, voy a hablar de más o menos lo que hicimos en esta organización
											llamada 826 Valencia, y luego voy a hablar
											de cómo todos podemos apuntarnos para hacer cosas similares.
									","
											Merci beaucoup à tous les collaborateurs de TED, et à Chris et Amy en particulier.
											Je n'arrive pas à croire que je suis ici.
											Ça fait des semaines que je n'ai pas dormi.
											Neil et moi étions assis là à comparer à quel point on avait peu dormi
											dans l'attente de ceci. Je n'ai jamais été aussi stressé
											et je fais ça quand je suis stressé, je viens de m'en rendre compte.
											Donc, je vais raconter ce qu'on a fait, en quelque sorte, dans cette organisation
											qui s'appelle 836 Valencia et ensuite je vais vous dire
											comment on pourrait tous y participer et faire des choses similaires.
									","
											Vielen Dank an alle bei TED, speziell an Chris und Amy.
											Ich kann es nicht glauben dass ich hier bin.
											Ich habe seit Wochen nicht geschlafen
											Neil und ich haben gerade zusammengesessen und verglichen wie wenig wir geschlafen haben
											wegen der Vorfreude auf heute. Ich war noch nie so nervös —
											Ich mache das hier wenn ich nervös bin, ist mir gerade aufgefallen.
											Ich werde also erzählen, was wir mit dieser Organisation
											mit dem Namen ""826 Valencia"" geschafft haben und danach,
											wie wir uns alle beteiligen und ähnliches tun könnten.
									",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
"
","
","
","
",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
"
											Back in about 2000, I was living in Brooklyn,
											I was trying to finish my first book,
											I was wandering around dazed every day
											because I wrote from 12 a.m. to 5 a.m.
											So I would walk around in a daze during the day.
											I had no mental acuity to speak of during the day, but I had flexible hours.
											In the Brooklyn neighborhood that I lived in, Park Slope,
											there are a lot of writers —
											it's like a very high per capita ratio
											of writers to normal people.
											Meanwhile, I had grown up around a lot of teachers.
											My mom was a teacher, my sister became a teacher
											and after college so many of my friends went into teaching.
											And so I was always hearing them talk about their lives
											and how inspiring they were,
											and they were really sort of the most hard-working
											and constantly inspiring people I knew.
									","
											Allá por el año 2000, vivía en Brooklyn.
											Estaba intentando terminar mi primer libro.
											Caminaba atontado todos los días
											porque me dedicaba a escribir de 12 a 5 de la madrugada.
											Por ello caminaba como aturdido durante el día.
											No tenía la agudeza mental para hablar durante el día, pero tenía un horario flexible.
											En el barrio de Brooklyn donde vivía, Park Slope,
											había muchos escritores —
											un número enorme de escritores
											en comparación con la cantidad de gente normal.
											Además, yo había crecido rodeado de muchos profesores.
											Mi madre era profesora. Mi hermana se hizo profesora
											y muchos de mis amigos se hicieron profesores después de sus estudios universitarios.
											Así que siempre les estaba eschuchando hablar sobre sus vidas
											y lo mucho que inspiraban,
											y que realmente eran el grupo más trabajador
											y constantemente inspirador que yo conocía.
									","
											A l'époque, vers l'an 2000, j'habitais à Brooklyn,
											j'essayais de terminer mon premier livre,
											je flânais tous les jours, hébété
											parce que j'écrivais de minuit jusqu'à 5h00.
											Alors je flânais la tête ailleurs pendant la journée.
											Je n'avais aucune acuité mentale pendant la journée, mais j'avais des horaires flexibles.
											Dans le quartier de Brooklyn où j'habitais, à Park Slope,
											il y a beaucoup d'écrivains -
											Il y a une forte proportion
											d'écrivains par rapport aux gens normaux.
											En même temps, j'avais grandi entouré de beaucoup d'enseignants.
											Ma mère était enseignante ; ma soeur est devenue enseignante
											et après l'Université beaucoup de mes amis sont entrés dans l'enseignement.
											Alors je les entendais toujours parler de leurs vies,
											à quel point ils étaient une source d'inspiration pour d'autres,
											et ils étaient vraiment parmi les personnes
											les plus travailleuses et passionnantes que j'ai jamais connu.
									","
											Im Jahr 2000 lebte ich in Brooklyn
											und versuchte mein erstes Buch fertigzustellen,
											ich lief jeden Tag wie benommen herum,
											weil ich von Mitternach bis 5 Uhr morgens schrieb.
											Also lief ich tagsüber benommen herum.
											Ich hatte keine nennenswerte Denkschärfe während des Tages, aber ich hatte flexible Arbeitszeiten.
											In der Gegend in Brooklyn, in der ich lebte, in Park Slope,
											gibt es viele Schriftsteller —
											es gibt eine sehr hohe Quote von
											Schriftstellern zu normalen Leuten.
											Ich war indessen in der Umgebung vieler Lehrer aufgewachsen.
											Meine Mutter war Lehrerin, meine Schwester wurde Lehrerin
											und nach der Uni wurden viele meiner Freunde Lehrer.
											Deswegen hörte ich sie immer von ihrem Leben erzählen
											und wie inspirierend es war,
											und sie waren auf gewisse Art wirklich die am härtesten arbeitenden
											und dauerhaft inspirierenden Leute, die ich kenne.
									",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
"
","
","
","
",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
"
											But I knew so many of the things they were up against,
											so many of the struggles they were dealing with.
											And one of them was that so many of my friends
											that were teaching in city schools were having trouble
											with their students keeping up at grade level,
											in their reading and writing in particular.
											Now, so many of these students had come from households
											where English isn't spoken in the home,
											where a lot of them have different special needs,
											learning disabilities. And of course they're working in schools
											which sometimes and very often are under-funded.
											And so they would talk to me about this and say,
											""You know, what we really need is just more people,
											more bodies, more one-on-one attention,
											more hours, more expertise from people
											that have skills in English and can work with these students one-on-one.""
									","
											Pero sabía muchas de las cosas contra las que estaban,
											muchas de las luchas a las que tenían que enfrentarse.
											Y una de ellas era que muchos de mis amigos
											que trabajaban en colegios urbanos tenían problemas
											para que sus alumnos se mantuvieran en el nivel requerido
											sobre todo en sus competencias lectora y escritora.
											Bien, muchos de estos estudiantes venían de hogares
											donde no se hablaba inglés
											muchos de ellos con necesidades especiales diferentes y
											dificultades para el aprendizaje. Y por supuesto estaban trabajando en colegios
											que a veces y muy a menudo no tenían el presupuesto suficiente.
											Y me hablaban de ello y decían
											""¿Sabes? Lo que realmente necesitamos es simplemente más gente,
											más personas, más atención individualizada,
											más horas, más experiencia de gente
											que sepan inglés y que puedan trabajar con estos alumnos de forma individualizada"".
									","
											Mais je savais qu'ils devaient se battre contre tellement des choses
											qu'ils devaient tellement lutter...
											Et l'une d'entre elles était que beaucoup de mes amis
											qui étaient enseignants dans les écoles de centre ville avaient du mal
											à maintenir leurs élèves à niveau
											surtout en ce qui concerne la lecture et l'écriture.
											Mais voilà, beaucoup de ces élèves venaient de familles
											où l'anglais n'est pas parlé à la maison,
											beaucoup d'entre eux ont des besoins particuliers différents,
											des difficultés d'apprentissage. Et bien évidemment, ils travaillent dans des écoles
											qui parfois et même très souvent manquent de financement.
											Alors ils venaient me parler de tout ça et me disaient
											""Tu sais, ce dont on a vraiment besoin c'est seulement de plus de gens,
											plus d'équipes, plus d'attention personnalisée,
											plus d'heures, plus d'expertise de la part des gens
											qui ont des connaissances en Anglais et qui peuvent travailler avec ces élèves individuellement.""
									","
											Ich wusste aber auch von den ganzen Hürden, die ihnen im Weg standen,
											von den vielen Kämpfen, die sie auszutragen hatten.
											Eine Sache davon war, dass viele meiner Freunde,
											die in städtischen Schulen lehrten, Probleme hatten,
											ihre Schüler auf dem Level der Jahrgangsstufe zu halten,
											speziell beim Lesen und Schreiben.
											Viele dieser Schüler kommen aus Haushalten
											in denen Englisch nicht zuhause gesprochen wird
											und wo es viele unterschiedliche sonderpädagogische Bedürfnisse
											oder Lerndefizite gibt. Sie arbeiteten in Schulen,
											die manchmal, beziehungsweise sehr oft unterfinanziert sind.
											Sie redeten also mit mir darüber und sagten,
											""Weißt du, wir bräuchten wirklich mehr Leute,
											mehr Lehrkräfte, mehr Einzelunterricht,
											mehr Stunden, mehr Fachkompetenz von Leuten,
											die Fähigkeiten in Englisch haben und die mit diesen Schülern Einzelunterricht halten können.
									",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
"
","
","
","
",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
"
											Now, I would say, ""Well, why don't you just work with them one-on-one?""
											And they would say, ""Well, we have five classes of 30 to 40 students each.
											This can lead up to 150, 180, 200 students a day.
											How can we possibly give each student
											even one hour a week of one-on-one attention?""
											You'd have to greatly multiply the workweek and clone the teachers.
											And so we started talking about this.
											And at the same time,
											I thought about this massive group of people I knew:
											writers, editors, journalists, graduate students,
											assistant professors, you name it.
											All these people that had sort of flexible daily hours
											and an interest in the English word —
											I hope to have an interest in the English language,
											but I'm not speaking it well right now. (Laughter)
											I'm trying. That clock has got me.
											But everyone that I knew had an interest in the primacy of the written word
											in terms of nurturing a democracy, nurturing an enlightened life.
											And so they had, you know, their time
											and their interest, but at the same time
											there wasn't a conduit that I knew of in my community
											to bring these two communities together.
									","
											Bien, yo les decía: ""¿Por qué no trabajan ustedes con ellos individualmente?""
											Y ellos respondían: ""Bueno, tenemos cinco clases de 30 a 40 estudiantes cada una.
											Esto supone 150, 180, 200 estudiantes por día.
											¿Cómo podemos dar a cada alumno
											ni siquiera una hora a la semana de atención individualizada?""
											Tendrías que multiplicar la semana laboral y clonar a los profesores.
											Y empezamos a hablar de esto.
											Y al mismo tiempo,
											Pensé en un grupo enorme de gente que yo conocía:€
											escritores, editores, periodistas, estudiantes graduados,
											profesores, de todo.
											Todos ellos tenían un horario flexible durante el día
											e interés en el inglés —
											Yo creo tener interés en el inglés,
											pero no lo estoy hablando muy bien ahora mismo.
											Lo intento. Me puede el reloj.
											Pero todo el mundo que conocía estaba interesado en la importancia de la palabra escrita
											para cultivar una democracia y una vida culta.
											Y tenían, ¿saben?, tiempo
											e interés, pero al mismo tiempo
											no había, que yo supiera, una vía de comunicación en mi comunidad
											que pudiera juntar a estas dos comunidades.
									","
											Et je leur disais, ""Bon, alors pourquoi vous ne vous mettez pas juste à travailler avec eux de individuellement ?""
											Et ils disaient, ""Bon, on a cinq classes de 30 à 40 élèves chacune.
											Ce qui peut faire jusqu'à 150, 180, 200 élèves par jour.
											Comment est-ce qu'on pourrait donner à chaque élève
											même une heure par semaine d'attention individuelle ?""
											Il faudrait multiplier les horaires de travail et cloner les profs.
											Et nous avons donc commencé à discuter de ça.
											Et en même temps,
											j'ai pensé à cet énorme groupe de personnes que je connaissais :
											écrivains, éditeurs, journalistes, étudiants de 3ème cycle,
											professeurs d'université, tout ce que vous voudrez.
											Tous ces gens qui avaient des horaires relativement flexibles pendant la journée
											et qui s'intéressaient au verbe anglais -
											j'espère m'intéresser à la langue anglaise,
											mais en ce moment je ne la parle pas très bien.
											J'essaie. La montre m'oblige.
											Mais tous ceux que je connaissais s'intéressaient à l’importance essentielle de la parole écrite
											en tant que moyen d'alimenter une démocratie, d'alimenter une vie éclairée.
											Et donc, ils avaient, vous savez, leur temps
											et leur motivation, mais en même temps
											il n'y avait pas, à ma connaissance, de fil dans ma communauté
											qui permette de lier ces deux communautés ensemble.
									","
											Meine Reaktion: ""Naja, warum macht ihr dann nicht einfach Einzelunterricht mit ihnen?""
											Woraufhin sie sagten: ""Naja, wir haben fünf Klassen á 30 bis 40 Schüler.
											Das sind bis zu 150, 180, 200 Schüler pro Tag.
											Wie können wir jemals jedem Studenten
											auch nur eine Stunde Einzelunterricht pro Woche geben?""
											Man müsste die Arbeitswoche mehrfach multiplizieren und die Lehrer klonen.
											Also haben wir angefangen darüber zu reden.
											Zur gleichen Zeit
											habe ich über diese große Gruppe von Leuten nachgedacht, die ich kenne:
											Schriftsteller, Redakteure, Journalisten, Hochschulstudenten,
											Privatdozenten, und so weiter.
											All diese Leute haben prinzipiell flexible Arbeitszeiten
											und ein Interesse an der englischen Sprache —
											Ich hoffe, ein Interesse an der englischen Sprache zu haben,
											aber ich spreche sie gerade nicht wirklich gut.
											Ich gebe mein Bestes. Diese Uhr hält mich im Griff.
											Aber jeder den ich kannte, hatte ein Interesse am Vorrang des geschriebenen Wortes
											hinsichtlich dem Nähren der Demokratie, der Pflege eines aufgeklärten Lebens.
											Sie hatten also ihre Zeit
											und ihre Interessen, aber gleichzeitig
											gab es meines Wissens nach keine Verbindung in meiner Gemeinde,
											die diese beiden Gruppen zusammenbrachte.
									",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
"
","
","
","
",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
"
											So when I moved back to San Francisco, we rented this building.
											And the idea was to put McSweeney's —
											McSweeney's Quarterly, that we published twice or three times a year,
											and a few other magazines —
											we were going to move it into an office for the first time.
											It used to be in my kitchen in Brooklyn.
											We were going to move it into an office,
											and we were going to actually share space with a tutoring center.
											So we thought, ""We'll have all these writers and editors and everybody —
											sort of a writing community — coming into the office every day anyway,
											why don't we just open up
											the front of the building for students to come in there after school,
											get extra help on their written homework,
											so you have basically no border between these two communities?""
											So the idea was that we would be
											working on whatever we're working on,
											at 2:30 p.m. the students flow in and you put down what you're doing,
											or you trade, or you work a little bit later or whatever it is.
											You give those hours in the afternoon
											to the students in the neighborhood.
									","
											Así que cuando me mudé de vuelta a San Francisco, alquilamos este edificio.
											Y la idea era poner allí McSweeney´s —
											McSweeney's Quarterly, la revista que publicábamos dos o tres veces al año.
											y algunas otras revistas —
											íbamos a mudarnos a una oficina por primera vez.
											La oficina solía ser mi cocina en Brooklyn.
											Íbamos a mudarnos a una oficina,
											e íbamos a compartir el espacio con un centro de tutorías.
											Así que pensamos: ""Tenemos a todos estos escritores, editores y demás —
											algo así como una comunidad escritora que va a venir a la oficina todos los días de todos modos,
											¿por qué no abrimos entonces
											la parte delantera del edificio para que vengan después del colegio,
											y reciban ayuda con sus deberes escolares
											de forma que básicamente no haya límites entre esas dos comunidades?""
											La idea era que nosotros trabajaríamos
											en lo que estuviéramos trabajando,
											y a las 2.30 los estudiantes entrarían y dejarías de hacer lo que estuvieras haciendo.
											o lo cambiarías o lo harías un poco más tarde o lo que fuera.
											Darías esas horas por las tardes
											a los estudiantes del barrio.
									","
											Donc, de retour à San Francisco, nous avons loué cet immeuble.
											Et l'idée c'était de mettre McSweeney's -
											McSweeney's Quarterly, que l'on publiait deux ou trois fois par an,
											et quelques autres magazines -
											de les installer dans un bureau pour la première fois.
											Avant c'était dans ma cuisine à Brooklyn.
											On allait l'installer dans un bureau,
											et on allait partager l'espace avec un centre de soutien scolaire.
											Alors on s'est dit, ""On aura tous ces écrivains et éditeurs et tout le monde -
											une espèce de communauté d'écrivains venant au bureau tous les jours de toute façon,
											pourquoi nous n'ouvrons pas tout simplement
											l'entrée de l'immeuble pour qu'ils viennent après l'école,
											recevoir de l'aide supplémentaire pour leurs devoirs écrits,
											et donc essentiellement ne plus avoir de barrière entre ces deux communautés ?""
											Et donc l'idée c'était que l'on pouvait
											travailler sur ce qu'on était en train de faire,
											mais à 14h30 les élèves débarquent et on arrête de faire ce qu'on fait,
											ou on l'échange, ou on travaille un peu plus tard après ou quoi que ce soit.
											On donne ces heures de l'après midi
											aux élèves du quartier.
									","
											Als ich dann zurück nach San Francisco gezogen bin, haben wir dieses Gebäude gemietet.
											Die Idee war, ""McSweeney's"" —
											""McSweeney's Quarterly"", das wir zwei oder drei mal jährlich veröffentlichten,
											zusammen mit ein paar anderen Magazinen —
											wir wollten dafür zum ersten Mal ein Büro beziehen.
											Das war bis dahin meine Küche in Brooklyn gewesen.
											Wir wollten also ein Büro einrichten,
											und gleichzeitig die Örtlichkeiten mit einem Nachhilfezentrum teilen.
											Wir dachten uns also: ""Wir haben diese ganzen Schriftsteller, Redakteure und so weiter —
											eine Art Schriftstellergemeinde, die sowieso jeden Tag ins Büro kommt,
											warum öffnen wir nicht einfach
											die Vorderseite des Gebäudes für Schüler nach der Schule,
											um ihnen Hilfe bei den schriftlichen Hausaufgaben zu geben,
											so dass es quasi keine Barriere zwischen den beiden Gruppen gibt?
											Die Idee war also, dass man
											eben seine Arbeit macht,
											um 14:30 kommen die Schüler reingeströmt und man unterbricht was man tut,
											oder man tauscht oder arbeitet eben ein bisschen später.
											Man gibt diese Stunden am Nachmittag
											für die Schüler aus der Nachbarschaft.
									",My wish: Once Upon a School,Dave Eggers,25:35,"TED Prize,activism,children,collaboration,culture,design,education,entertainment,global issues,writing,teaching"
